start	end	speaker	confidence	text
8010	65380	A	0.939419495798319	Hello and welcome, everybody. It is September 19, 2023. We're here at the active inference Institute in guest stream 58.1, and today the session will be around the experiences of those who have worked with Gerald Edelman. Edelman lived from 1929 to 2014, and as hopefully this conversation can explore and unpack a little bit, worked in various areas related to the brain, body, and mind. So without further ado, I will have our guests introduce themselves, give a little bit of a background on how they came to be working with Professor Edelman, and then we have several prepared questions and several other questions. So thank you all for joining, and perhaps, Andrew, if you'd like to begin.
66710	275060	B	0.9390337441860462	All right, so I'll just start a little bit with my background. I did my PhD at University of Minnesota, and then I did my postdoc at Hopkins with Apostles Georgopoulos and Vernon Macassel. And then I got a job in Phoenix working in a small neuroscience institute or neuroscience department at a hospital. And I worked there for six or seven years. And my interest was working with non human primates with monkeys and studying how they reached for different objects and drew objects and then looked at the activity in primary motor cortex neurons. And we carried out different kinds of analysis based on the directionality of the neurons in motor cortex built populations and were able to actually look at these neural signals and see how they corresponded in a pretty exact way to the way the animals are moved in time and space. In other words, trajectories. And after working there six or seven years, I was invited to come and look at this new institute that Gerald Edelman was establishing in San Diego in La Jolla and met a bunch of super interesting people like Guilio Tononi and Olof Sporns. And really, their deep intellect and curiosity and creativity has convinced me to move to. I ended up moving there. And so Edelman was able to build this gorgeous research facility on the Tory Pines cliffs, basically, and it was a magnificent architecture. And he recruited a number of people besides sparns and Tononi, and so he divided the group into theorists and experimentalists. And I was an experimentalist, but we would have lunch every day together as a group and discuss different topics. And I was really exposed to a whole new way of thinking about neuroscience in terms of sort of the cognitive aspects of it, which I still have difficulty with, to tell you personally, because I don't even know how you define cognition. And I'm not sure that anybody really can, or as Vernon Machasto would say, I don't know the answer to that, nor does anybody else. Maybe Karl would take issue with that. But anyway, the coolest thing about it was being really exposed to a lot of creative thinking and deep intellectual endeavors, and I've really never regretted the seven or eight years I spent there. I think it really helped change the way my career went from being sort of a motor control strict, sort of very careful scientist to using my imagination a lot more than I would have otherwise. So I'll leave it at that.
278040	278790	A	0.9922	Awesome.
279480	731850	C	0.909847969387756	Cheng Ming okay, yeah, I can speak about my journey with Dr. Edelman. So I was originally from Taiwan. I graduated with a medical degree in Taiwan university in 78. But I was very interested in doing basic science. So I applied a PhD program and got into Rock Federal University and that started to search for a laboratory. And certainly Dr. Ederman is very powerful intellectual capacity building in the building it was on 9th floor of the Bronx laboratory. I was very impressed. So I joined the laboratory. So since 78 to 83 I was a PhD student and I was working on the topic called neural cell adhesion molecule. So at that time Edelman already got his Nobel prize for immunoglobulin. But he would be usually elegant way would say I solved molecular recognition. So he said I don't want to stay in immunology to collect more awards. He said I will work out cell recognition. So in his mind how cell recognition work is through a group of adhesion molecular interaction. So that's how he started to work on the cell adhesion molecule and duty's house actually work out the chicken cell adhesion molecular. So when I joined the laboratory, my PhD things was work out the first mammalian cell adhesion molecule. And in addition to NCAM, though, I supposed to work out on these adhesion molecule mediating the Neurolog cell recognition as he said he would say. I asked him also after all what would be my PhD thesis and he would say ming, when I start to write a poem, I don't know how it's going to end. That's the way he would put his language there. So he just figured out retinal tectoprojection I'm hardworking student so I would work out on that. And as you know, these days our so called systems biology approach, right, is these transcriptome single cell RNA sequencing to identify a non biased way to identify molecules involved. At that time the so called systems biology approach was making monoclonal antibodies. So I would be there taking out the brain and the retina and the tectum and produce I produce 18 batch of the monochromatic antibody against these neuronal cell membranes. So I certainly have identified a lot of adhesion molecule but none of them really show a very distinct pattern these days. I think the field using the transcription factors was able to identify some patterns but at that later it's kind of all altogether. But I remember that actually anyway, I didn't really figure out retinol technical projection but that's enough for me to graduate. But at that time I also still remember how I actually had a great impact on my professional career. So I was cutting chicken spinal cord cross section to mapping these cell adhesion molecules. So I have some feather chicken feather hanging outside there, and they stand with this NCAM with the most beautiful, exquisite pattern. Later work on the feather as my major research model, kind of as a rosetta song to understand the language of morphogenesis. But there I remember how I started that. You have these feather, they form these branches. So these branches are actually originally formed cells. Then they die to become space. But before they die, they actually light up with NCM. Light up with NCM with the most exquisite pattern there. So you kind of say, okay, you're going to carve out this region. You light up with NCM, you light up with sonic, and then other signal coming to say you die. But before they die, they light up that pattern. So the feather pattern is very exquisite. Radio symmetry, bilateral symmetry, bilateral symmetry. So Adam was very impressed by those findings. I appreciate he actually encouraged that when he sees something, he appreciates he encouraged it. He didn't say, oh, you're supposed to work on the brain or whatever. He actually like it. And subsequently he also developed this idea of topobiology, which he would acknowledge to say it's sort of based on the very exquisite pattern we found in the feather. But of course he developed it further. But some other time he would say, if this is not in feather, I am adamant I'm going to get another Nobel Prize. So I like it. Let him encourage that direction. So later when I became independent, I sort of say, okay, brain is wonderful, but it's all like being curved inside. I don't figure it out, but I'm not that smart. But I might be able to figure out feather pattern formation. So I have a reasonable, successful career. Figure out the able debo of the feather, but as I said, not just feather itself, but use feather as a rosetta stone to figure out morphogenesis. And that sort of I think I appreciate that he's encouraged on that. Also, as you know, the stem cell biology comes along and the feather in a bird baby chicken is one way. Adult chicken, male, female, all looks differently, but they are all from the same group of the stem cell that my lab have stemon straight. So it is the so called stem cell niche would be modulated by sex hormone, by age, by season, by temperature, and let them help you produce different feather forms to adapt to the environment. I think I enjoy my research career and it was obviously have his impact. And I think he's intellectually brilliant and always encouraged going after fundamental principles, saying that if you're going to work on a question, ask most profound questions and approach with the most available technology, current technology of the day. Don't waste your time on small questions. And I think I have taken those in so I can stay up to here and we can discuss more later.
733740	737352	A	0.9287240000000001	Thank you. Awesome. Karl hi.
737406	1595710	D	0.927177766830873	So my name is Karl Friston, and like my two colleagues, I found my stay with Jerry Edelman both foundational and very, very formative. I was quite early in my research career when I joined the neuroscience Institute. Having trained as a psychiatrist, I got into brain imaging. And at the inception of brain imaging, people were for the first time discovering principles of functional brain organization, such as the principle of functional segregation and subsequently principles of integration, how segregated specialized parts of the brain communicate or are coordinated or are integrated together. And one of the key theoreticians and neuroanatomists that authored this particular interpretation and deployment of neuroimaging was Semir Zeki. And semir zeki. For those of you who don't know, he's still very active, one of the architects of neuroaesthetics in his late retirement now, but he was friendly with Jerry Edelman, and Semi was famed for understanding the computational anatomy of early visual cortex and visual cortical hierarchies. And I repeat, the principles of functional specialization and integration. So after a couple of years at the inception of human brain mapping, using positron emission tomography and establishing, for example, the color center in a particular part of the visual cortex, I was effectively sent to New York. So my period of engagement was a fellowship between about 1990 and 1992 93. So this slightly predates Andy, and it covered the translocation of the Neurosciences Institute from the Rockefeller University to La Jolla and under the auspices of the script. So I spent half my fellowship at the Rockefeller and then subsequently watched the building of the magnificent neuroscientist Institute on North Tory Pines Road that Andy referred to with the auditorium, if I remember, designed by imported experts in audition and music and sound engineering from Sweden. It was really an amazing place. I do remember a couple of lunches before I returned to the UK to pursue my career in imaging neuroscience under the auspices of the welcome Trust, but only a couple because we were sort of in rented accommodation from the script on the other side of the road. But it was an awe inspiring bit of architecture, both intellectually and practically in terms of the early days of the Neuroscience Institute. So I was sent there basically because Sami Zecki thought it would be good for me to go and work with Jerry Adelman retrospectively. I now appreciate that. I was sent there to replace a gentleman called Reed Montague, who had been tasked with on the pure theory side, as opposed to the celadesian molecule and the wet lab side of Edelman's research. On the pure theory side, the point of my arrival, and to a certain extent at the point of Reed's brief exposure to the neuroscientist institute, the theory of neuronal group selection was becoming consolidated. And in particular, what drove the selection of neuronal groups, neuro ensembles, cell assemblies, however you want to describe them, and given Edelman's polchamp for incredibly incisive and straightforward but very creative biological thinking. He thought, well, it's obviously some kind of natural selection and therefore there must be the homologue of adaptive fitness that is underwriting the scaffolding and the dynamic structuring of connectivity or connections that were definitive of in the spirit of functional specialization, segregation, but also the mediator of functional integration of these neuronal groups. So this became known generically as value. So Reed was working on value dependent learning the plasticity and the principles that underwrite which synaptic connections have the right kind of adaptive fitness in their mileage. In that context that enabled them to persist and other connections went away and became or contributed to the sparse coupling of neural networks. And then Reed, and we can talk about the glorious stories about the departure of Reed. Reed actually ended up in a rather circuitous way with Terry Sejnowski at the Salk subsequently, then hooked up with people like Peter Diane and Wolfram Schultz, who at that time was in Zurich. And of course the story that emerged from that was the reward prediction error story that actually, ironically, Reed did not. But a number of Wolfram eventually got the brain prize for some decade or so later. But the inception of that story was actually at the Rockefeller. And it was basically an attempt by, I think, Reed to formalize the principles that must be in play to make the theory of neural group selection under what was an important dynamic from Edelman's point of view, which is this notion of reentrant dynamics. So very, very early on he had identified the fundamental importance of recurrent connectivity and reentry as very formative in the emergence of these structured groups and the associated functional specialization. Just open brackets, just to point out that you could claim that certainly his early conversations with people at that time sort of preempted stuff in computational neuroscience that we now take as for granted, not really realizing where it came from, but certainly his work with Vernon Mancast. I'm sure Andy will be able to speak to this later on. On the importance of reentry and dynamics and oscillations in the formation of these groups and sort of cortical. Columns and the like. That was sort of, I think, the monographs that they not the monographs, but the papers and the articles they wrote at that time I think were quite visionary. Steven Grossberg was also hanging around a few years earlier, and I think you could probably claim that between the two of them, they invented computational neuroscience. Certainly know New York, Boston, sort of East Coast kind of style of computational neuroscience, closely involved with something called the Neuroscience Research Foundation, so that they, as I understand it and again, Andy may want to correct me here, but this was like the forerunner of the Society for Neuroscience. It was a group of people. People, and perhaps Max Cowan is the name that comes to mind, people who actually invented words like neuroscience, which wasn't a thing, certainly when I was applying to my undergraduate studies and trying to create institutions, academic institutions, that would endorse this notion of neuroscience. And the Neuroscience Research Foundation was like the old guard. And then the Young Turks came along and reacted against the old Guard, the Neuroscience Research Foundation, to form the Society for Neuroscience. And then we all know the story since that time. It's one of the biggest societies in academia. So just making the point that Aidelman and his colleagues and vicarious colleagues, a lot of people, oliver Sacks being one, ernst Mer being another of his favorite sort of characters to talk to, all of whom would come and visit, and we were privileged just to listen in. And conversations in this very formative time where some of the sort of, I think, conceptual pillars of the way that we understand neuroscience in the 21st century were first articulated, probably not using quite the same words that we use nowadays. So no one talks about reentry anymore, so about recurrent neural networks or sort of feed forward and feedback and the like, but the same underlying dynamics. And maths, I think, is absolutely there. Anyway, I was brought in to replace Reed Montague, so that was my little contribution. Whilst we were in the Rockefeller, I made the mistake of thinking that the right way to do this was to actually write down equations and try and sort of naturalize it in terms of mathematics. Edelman was a great biological thinker. He was not a very good mathematical thinker, so there was a bit of a clash there. So I remember one meeting very early on when it was being decided what I was going to be doing. Perhaps it's useful just to say the context in which those early meetings took place. So Andy has already mentioned Guilio Tononi and Olaf spawns. They were two key people, edelman's young men who already in sight, you. And then I replaced Reed, and they were working really purely on theory. And that theory was tested in the context of a forerunner of supercomputing, a hypercube that was driving, in my day, little robots. So, again, Edelman was doing neurobotics in the 1980s in exactly the same way that people now in developmental neurobotics are still addressing exactly the same questions, probably with the same kind of computer infrastructure that obviously upgraded. So we were sitting around and Edelman was called out to take a phone call from Germany, and there was a look of horror on people's faces because I'd suggested a relationship between value dependent learning and the riskola Wagner rule from behavioral psychology. And as soon as you mention an equation or a formula, that set Edelman off. And I didn't know that, so I didn't know I pushed the wrong button. So when Edelman came back in, I was effectively rusticated. I was prevented from doing any work for three months and for every day, afternoon and morning I had to sit in the Rockefeller library and read purely biological great texts, and I ended up having to. The last one was The Growth of Biological Thought by Ernst Mayer. I had to read from page to page, and when I did so, I had become sufficiently sanitized to be allowed back into the workplace to actually do some work anyway. So that was our contribution. And then when we moved to the whole parade of 16 Wheeler traxxas, translocating all the kit and all the paperwork to La Jolla, and then relocating out there, settling down, I brought that work to closure. And interesting, that was at the point when Giulio well, Olaf, I remember him saying what he wants is basically to understand and simulate the brain in a way that draws explanatory power from the architecture of the connectivity. Basically, we say he wants to establish connectomics as a discipline, and of course, ten years later, he's Mr. Connectomics. Julio at that point was inventing integrated information theory with a particular focus on information, theoretical formulations of complexity, and what special, if you like, counterintuitive behaviors, do you get from these biologically configured connectors when you put dynamics on structure and trying to quantify that in a way that ultimately transpired to be measures like phi in IIT. So that was a fun time as the mathematician, closet mathematician, because I wasn't allowed to say anything about the maths at the time. I enjoyed that bit. And so looking being in at the, if you like, ground zero at the inception of all these aspirations, which eventually led to very fruitful careers. And then I went back to the UK. Just had fond memories and non fond memories, but both of a nostalgic sort since that time.
1598080	1605490	A	0.9622735	Awesome. Great tales. Changming or Andrew, anything you want to add? Or I can go to one of the questions.
1606180	1937130	B	0.9469673150684944	Well, just to expound a little bit on what Karl was saying, I don't know if you can see this book. Okay, so this was something that came out of the neuroscience research program that was sort of the old boys club that Francis Schmidt started at MIT and later was the basis for the neurosciences Institute. And what this was was sort of the who's who in neuroscience. So, again, if you look at this book, it says, edited by Francis O. Schmidt. So he was the guy that started that. This persisted even throughout the 2000s. Once or twice a year at the neurosciences Institute, they would organize one of these meetings, and it would be a who's who of neuroscience. So all the Nobel laureates in neuroscience, all the big names, would come for a four or five day meeting and talk about their research. And as a member of the neurosciences Institute, I got to sit in and meet these people. And it was phenomenal, especially with my background, because I was sort of not on the mainstream of neuroscience at that point. And that was really fascinating. So you got to meet people like Wolf Schultz and all the big names that were there, francis Crick. But what I want to go back to is this original book by Edelman and Mac Castle called The Mindful Brain. This is sort of like one of the bibles of early creative thinking about brain function, and it presaged the idea of distributed systems. This was sort of the thing that Vernon Moncasso was very much into. And so to this day, the way most people think about brain function is boxes, where each part of the brain is confined to a box, and then there are arrows pointed to other boxes. And so we get this idea that there's a circuitry. So you often hear neuroscientists talk about circuits, and that kind of comes from the idea that you have these boxes and you have arrows and you have plus and minus signs with the arrows, and then somehow the pluses and minuses add up and tell you what's going to happen at the next box. And that is nice because you can kind of simplify things and talk about causality in very concrete terms. And it's great if you're an engineer, because you can write transfer functions about defining how you get an output from an input, but that's not the way the brain works. And I think Kyle can attest to the early days of MRI studies where everybody was doing pseudocolored representations of these different areas to see which area would light up a particular task, as if each area had a specific job and could be assigned to a specific task. Neuroscience in general is still suffering from that point of view, and it's only become a little bit more clear as computational science has matured in the last five or ten years, especially with the adaptation of artificial neural networks to the mainstream, that we can start to explore more biological meaningful ways of brain function. And Vernon Macassill recognized that as sort of the I would say the founder of systems neuroscience, modern systems neuroscience, and Edelman talked about that a little know, there's group theory and some of the things that OLEF has started. With graph theory still sort of based on strict anatomical you know, if you read like Olaf's latest review, where the field is starting to progress away from that constraint of anatomical connectivity, we're starting to get more toward the idea of truly distributed systems. And to me, that's super exciting. But you can look back to this book from the see that the seed was planted way back then and see how almost 50 years later, now, it's finally starting to evolve into something that's becoming more mainstream. And if you sort of look at the evolution of neuroscience, I think if you project ahead to the next ten or 20 years, this is going to be really the fundamental change in the way we think about neural function. And I'm super excited about that and you look and sort of back in history to see how that's evolved. And I don't know, I think there's something very attractive about thinking about things that way.
1939040	2060300	C	0.9091756799999998	Yeah. Okay, I'll add something, I think, talking about Edema's, the brilliance about seeing things through. I don't know. In the neurobiology field, you people still sort of think the neuro Darwinism idea is still there, right? So that was the time when I was with him in Rockefeller University he would talk things like know Darwinism for evolution species. And he saw that in immunoglobulin chronos selection. So he applied to this neurodarwinism idea. But I have to say, subsequently, actually, my career is mainly in university, Southern California and working on this morphogenesis tissue patent formation. And in our field, sort of more bench work aspect of Edelman. This direction, not the neurobiology direction, but in the field, there were people originally more talking about the stem cells are predetermined and then they go this lineage. They go this lineage. But we using the skin as a model. Actually, I start to write these things kind of a Darwinism within the skin. I mean, basically it's that there is no preset forever stem cells. If you wipe out these stem cells, other cells are waiting there to take over the space. So there is even during development and during regeneration to make the tissue patterning process robust. There is a small so called Darwinism competition going on in there and that is sort of also influencing our work in morphogenesis these days. And I think that's kind of the impact of him on this aspect as well. Wow.
2060990	2104060	A	0.9514833333333328	All right. I'll read a question. This was from Dave Douglas. Dave wrote, we know that Professor Edelman used deep analogies in exploring new subjects as in his leveraging his knowledge of immunology and organismal development to probe conceptualization and learning. Did he ever work specifically on metaphor and analogy as such? For example, did he leverage his experience of music and poetry to dig out scientific facts while separating fertile from sterile analogies? An answer or just what that makes you think of?
