"Speaker Name","Start Time","End Time","Transcript"
"Speaker 1","00;00;07;01","00;00;28;12","Hello and welcome everyone to the Active Inference Lab and to the Active Inference Livestream. We're here in Active Inference Live Stream. 17.0 and it's March 3rd, 2021. I'm Daniel and I'm here with two of my colleagues who can introduce themselves blue."
"Speaker 2","00;00;29;25","00;00;31;20","Hi, Sarah. Go ahead."
"Speaker 3","00;00;33;17","00;00;46;29","My name is Sarah Davis. I'm a person who's interested in things. I'm a student in this university, in a master's program, in philosophy of science. And I've been an engineer in a bunch of other things, so I'm just generally interested in how it's all connected."
"Speaker 2","00;00;49;04","00;00;53;02","I'm Blue Knight. I'm an independent research consultant based out of New Mexico."
"Speaker 1","00;00;54;08","00;01;16;17","Cool. Well, we're here for a fun discussion, so thanks both for joining at the Active Inference Lab. We're an experiment in online communication, learning and practice related to active inference. You can find us at our links and socials this is a recorded and an archived and a hastily produced livestream. So please provide us with feedback so that we can be improving on our work."
"Speaker 1","00;01;17;04","00;01;49;00","All perspectives and backgrounds are welcome here and we'll follow good livestream etiquette. So here we are in paper number 17 and we've just completed our first quarterly Active Inference Lab Roundtable. So check that out on our channels if you haven't. And today we're going to be setting the context for 17.1 and 17.2. The paper that we're discussing in 17 is information flow in context dependent hierarchical Bayesian Inference by Chris Fields and James F Glazebrook."
"Speaker 1","00;01;49;20","00;02;32;07","It was published in October 20, 20. And what's funny is that the Dot zero videos have always been about context, setting, context and we even wrote in the previous videos the video's introduction and its context. It's not a review of the final word. And then it got really better with this paper because it's a paper about context. The punch line or a punch line of this paper is that we can integrate various approaches from mathematics mostly to achieve a scale free formalism that leads to an interpretation of nested systems where communicating systems are engaged in active inference and distinguished by informational or statistical patterns, or they're engaged in something that's related to active inference, let's"
"Speaker 1","00;02;32;07","00;03;08;11","say, because it's pretty out there with what it is, and it's a challenging but also a fun paper. So we're going to start with the goals and the claims in the abstract. And at that point it might be like, Wait, what with the roadmap headers or with the abstract claims, it's like driving through a country where you don't speak the language perhaps, and that's OK because the bulk of this video in the keywords are going to be going through and kind of unpacking a lot of the key terms that are going to matter for even just understanding the lay of the land."
"Speaker 1","00;03;09;00","00;03;33;20","And then we've pulled out a few other key topics. Some quotations didn't go as much into the formalisms of the paper itself, but we're looking forward to doing that with the authors in 17.1. And so we're just looking forward to that in 17.1. And two, we'll be discussing the same paper. So read it and save and submit your questions and get in touch if you want to participate."
"Speaker 1","00;03;33;20","00;03;55;23","And also we're looking forward to your chats during this presentation, giving us a little support along the way. So here we go with the goals and claims of the paper under discussion. So here are the goals and the claims. So maybe Blue, do you want to read the authors goals and claims sure."
"Speaker 2","00;03;56;04","00;04;24;00","So the goals for the paper are twofold. First, to model intrinsic or true contextual lity using the general general category theoretic methods of choose basis and channel theory. And second, to employ this formulation to reconstruct hierarchical Bayesian inference in a context dependent way it doesn't say Here we have formulated an approach to intrinsic context duality in general category theoretic terms."
"Speaker 2","00;04;24;10","00;04;32;05","A set of observations exhibits intrinsic contextual city. If no coupon can be constructed over the observables that produce them."
"Speaker 1","00;04;34;13","00;05;01;10","Full cone, toe cone, who knows how would say so. They're doing a couple of things here. They have two main goals, so it's great that they're laying it out. Clearly, the first one is about context, and they want to be having a more advanced way to talk about context. And it turns out that they're going to be doing that using category theory and choose basis and channel theory, all of which we're going to be going into at least a little bit."
"Speaker 1","00;05;01;28","00;05;22;10","And then secondly, they're going to be linking all of this stuff that they just did up here with context theory, category theory. And they're kind of by combining that with context dependent Bayesian inference, we've talked a lot about active inference and Bayesian inference. So this is sort of the hinge where we connect some of these ideas to active inference."
"Speaker 1","00;05;23;03","00;05;58;08","And then this is a quote from their conclusion, which is that they have formulated a new way of modeling contextually in very general category theory terms, specifically relating to this code cone construction. But the category theoretic term allows them to move between a few different areas that we're going to be walking through today. So here we go with the abstract I'll read the first of the three slides of the abstract, and anyone can give any thoughts or just start reading the second part of the abstract."
"Speaker 1","00;05;59;11","00;06;21;18","Recent theories developing broad notions of context and its effects on inference are becoming increasingly important in fields as diverse as cognitive psychology, information science and quantum information theory and computing Here we introduce a novel and general approach to the characterization of contextual ity using the techniques of choice, basis and channel theory. View this general theories of information flow."
"Speaker 1","00;06;22;13","00;06;44;10","This involves introducing three essential components into the formalism, events, conditions and measurement systems. Any thoughts? Either of you two or someone can just start reading the second part of the abstract Let's go to the second part of the abstract. I think we'll have a lot of time for off the cuff remarks soon."
"Speaker 1","00;06;46;11","00;06;48;25","So, Sarah, do you want to go for the second part of the abstract?"
"Speaker 3","00;06;50;02","00;07;17;16","Sure. Incorporating these factors in relationship to conditional probabilities leads to information flows both in the setting of two spaces and channel theory. The latter provides a representation of semantic content using focal logistics from which conditional URLs can be derived. We employ these features to construct a cone cone diagrams come utility, compute activity of which and forces inferential coherence."
"Speaker 3","00;07;18;20","00;07;28;15","With these built a scale free architecture incorporating a Bayesian like hierarchical structure in which there is an interpretation of active inference in Markov blankets."
"Speaker 1","00;07;29;25","00;07;32;22","Nice and then blue. How about finish out the abstract."
"Speaker 2","00;07;36;01","00;08;07;14","We compare this architecture with other theories of context reality, which we briefly review. We also show that this development of ideas conveniently accommodates negative probabilities leading to the notion of sign the information flow and address how quantum context duality can be interpreted within this model. Finally, we relate contextually to the frame problem, another way of characterizing a fundamental limitation on the observational and information inferential capabilities of finite agents Perfect."
"Speaker 1","00;08;07;27","00;08;35;20","So that is the abstract. That's how the authors wanted to present and communicate their work to a broad audience. Of specialists and non-specialists. And again, we're going to be going into basically all the words that might be non-obvious in this abstract and the keywords that come into play. That's what we wanted to be unpacking today. So we're going to look over their roadmap because just like the abstract is how they want to communicate what they did."
