"Start Time","End Time","Transcript"
"00;00;08;15","00;00;08;26","Hello"
"00;00;08;26","00;00;08;29","and"
"00;00;08;29","00;00;09;14","welcome."
"00;00;09;14","00;00;09;20","I"
"00;00;09;20","00;00;09;27","think"
"00;00;09;27","00;00;10;02","that"
"00;00;10;02","00;00;10;11","we're"
"00;00;10;11","00;00;10;19","going"
"00;00;10;19","00;00;11;05","now."
"00;00;11;14","00;00;11;26","This is"
"00;00;11;26","00;00;12;00","the"
"00;00;12;00","00;00;12;10","active"
"00;00;12;10","00;00;12;20","inference"
"00;00;12;20","00;00;12;26","live"
"00;00;12;26","00;00;13;07","stream."
"00;00;13;07","00;00;13;19","Its"
"00;00;13;19","00;00;13;29","active"
"00;00;13;29","00;00;14;15","inference"
"00;00;14;15","00;00;14;26","live"
"00;00;14;26","00;00;15;05","stream."
"00;00;15;05","00;00;16;09","18 on"
"00;00;16;09","00;00;18;20","March 17th 2021."
"00;00;19;28","00;00;20;08","Welcome"
"00;00;20;08","00;00;20;15","to the"
"00;00;20;15","00;00;20;23","Active"
"00;00;20;23","00;00;21;03","Inference"
"00;00;21;03","00;00;21;13","live"
"00;00;21;13","00;00;22;03","everyone."
"00;00;22;03","00;00;22;15","We are"
"00;00;22;15","00;00;22;20","a"
"00;00;22;20","00;00;23;16","participatory"
"00;00;23;16","00;00;24;04","online"
"00;00;24;04","00;00;24;22","lab"
"00;00;24;22","00;00;25;07","that is"
"00;00;25;07","00;00;26;00","communicating"
"00;00;26;00","00;00;26;14","learning"
"00;00;26;14","00;00;26;25","and"
"00;00;26;25","00;00;27;16","practicing"
"00;00;27;16","00;00;28;00","applied"
"00;00;28;00","00;00;28;10","active"
"00;00;28;10","00;00;28;26","inference."
"00;00;28;26","00;00;29;02","You"
"00;00;29;02","00;00;29;05","can"
"00;00;29;05","00;00;29;21","find us"
"00;00;29;21","00;00;30;01","at any"
"00;00;30;01","00;00;30;02","of"
"00;00;30;02","00;00;30;07","these"
"00;00;30;07","00;00;30;20","links"
"00;00;30;20","00;00;31;10","here."
