"Start Time","End Time","Transcript"
"00;00;05;29","00;00;06;07","Hello"
"00;00;06;07","00;00;06;10","and"
"00;00;06;10","00;00;06;26","welcome"
"00;00;06;26","00;00;07;17","to the"
"00;00;07;17","00;00;08;01","Active"
"00;00;08;01","00;00;08;25","Inference"
"00;00;08;25","00;00;09;10","Lab."
"00;00;09;10","00;00;09;26","This is"
"00;00;09;26","00;00;10;01","the"
"00;00;10;01","00;00;10;11","Active"
"00;00;10;11","00;00;10;22","Inference"
"00;00;10;22","00;00;11;02","Lab"
"00;00;11;02","00;00;11;09","and"
"00;00;11;09","00;00;11;13","the"
"00;00;11;13","00;00;11;26","Active"
"00;00;11;26","00;00;12;12","Inference"
"00;00;12;12","00;00;13;11","Livestream."
"00;00;13;16","00;00;13;26","Today"
"00;00;13;26","00;00;14;09","we are"
"00;00;14;09","00;00;14;18","in"
"00;00;14;18","00;00;14;27","Active"
"00;00;14;27","00;00;15;06","Inference"
"00;00;15;06","00;00;15;22","Livestream"
"00;00;15;22","00;00;16;28","18.1"
"00;00;16;28","00;00;17;08","on"
"00;00;17;08","00;00;19;20","March 23rd 2021"
"00;00;20;14","00;00;20;25","welcome"
"00;00;20;25","00;00;21;03","to the"
"00;00;21;03","00;00;21;09","Active"
"00;00;21;09","00;00;21;19","Inference"
"00;00;21;19","00;00;21;27","Lab,"
"00;00;21;27","00;00;22;24","everyone."
"00;00;22;24","00;00;23;03","We're"
"00;00;23;03","00;00;23;05","a"
"00;00;23;05","00;00;23;28","participatory"
"00;00;23;28","00;00;24;12","online"
"00;00;24;12","00;00;24;28","lab"
"00;00;24;28","00;00;25;12","that is"
"00;00;25;12","00;00;26;05","communicating,"
"00;00;26;05","00;00;26;18","learning"
"00;00;26;18","00;00;26;22","and"
"00;00;26;22","00;00;27;10","practicing"
"00;00;27;10","00;00;27;26","applied"
"00;00;27;26","00;00;28;06","active"
"00;00;28;06","00;00;29;01","inference."
"00;00;29;01","00;00;29;05","You"
"00;00;29;05","00;00;29;10","can"
"00;00;29;10","00;00;29;24","find us"
"00;00;29;24","00;00;30;19","at our links"
"00;00;30;19","00;00;31;15","here."
"00;00;31;19","00;00;32;00","This is a"
"00;00;32;00","00;00;32;17","recorded"
"00;00;32;17","00;00;32;24","in an"
"00;00;32;24","00;00;33;09","archived"
"00;00;33;09","00;00;33;17","live"
"00;00;33;17","00;00;33;28","stream."
"00;00;33;28","00;00;34;06","So"
"00;00;34;06","00;00;34;15","please"
"00;00;34;15","00;00;34;24","provide"
"00;00;34;24","00;00;34;28","us"
"00;00;34;28","00;00;35;16","with feedback"
"00;00;35;16","00;00;35;21","so"
"00;00;35;21","00;00;35;29","we can"
"00;00;35;29","00;00;36;10","improve"
"00;00;36;10","00;00;36;14","our"
"00;00;36;14","00;00;37;04","work."
"00;00;37;14","00;00;37;20","All"
"00;00;37;20","00;00;38;10","backgrounds"
"00;00;38;10","00;00;38;18","and"
"00;00;38;18","00;00;39;07","perspectives"
"00;00;39;07","00;00;39;11","are"
"00;00;39;11","00;00;39;21","welcome"
"00;00;39;21","00;00;40;09","here"
"00;00;40;09","00;00;40;14","and"
"00;00;40;14","00;00;40;19","we'll"
"00;00;40;19","00;00;40;27","be"
"00;00;40;27","00;00;41;09","using"
"00;00;41;09","00;00;41;18","good"
"00;00;41;18","00;00;41;28","video"
"00;00;41;28","00;00;42;14","etiquette"
"00;00;42;14","00;00;42;20","for"
"00;00;42;20","00;00;42;24","live"
"00;00;42;24","00;00;43;20","streams."
"00;00;44;08","00;00;44;24","Today"
"00;00;44;24","00;00;45;04","we're"
"00;00;45;04","00;00;45;13","in"
"00;00;45;13","00;00;45;22","live"
"00;00;45;22","00;00;46;02","stream"
"00;00;46;02","00;00;47;03","18.1"
"00;00;47;03","00;00;47;15","in our"
"00;00;47;15","00;00;47;27","first of"
"00;00;47;27","00;00;48;09","two"
"00;00;48;09","00;00;49;01","participatory"
"00;00;49;01","00;00;49;08","group"
"00;00;49;08","00;00;49;28","discussions"
"00;00;49;28","00;00;50;09","on the"
"00;00;50;09","00;00;50;24","predictive"
"00;00;50;24","00;00;51;04","global"
"00;00;51;04","00;00;51;15","neural"
"00;00;51;15","00;00;52;04","workspace"
"00;00;52;04","00;00;52;27","paper."
"00;00;52;27","00;00;53;07","And"
"00;00;53;07","00;00;53;13","we're"
"00;00;53;13","00;00;53;18","with"
"00;00;53;18","00;00;53;22","the"
"00;00;53;22","00;00;54;05","authors"
"00;00;54;05","00;00;54;24","here,"
"00;00;54;24","00;00;55;03","Ryan"
"00;00;55;03","00;00;55;17","Smith"
"00;00;55;17","00;00;55;27","and"
"00;00;55;27","00;00;56;11","Christopher"
"00;00;56;11","00;00;56;19","White."
"00;00;56;19","00;00;56;27","So"
"00;00;56;27","00;00;57;07","thanks"
"00;00;57;07","00;00;57;19","to"
"00;00;57;19","00;00;57;27","both"
"00;00;57;27","00;00;58;00","of"
"00;00;58;00","00;00;58;07","you"
"00;00;58;07","00;00;58;20","for"
"00;00;58;20","00;00;59;00","joining"
"00;00;59;00","00;00;59;10","today"
"00;01;00;20","00;01;00;29","today"
"00;01;00;29","00;01;01;04","and"
"00;01;01;04","00;01;02;02","18.1."
"00;01;02;02","00;01;02;06","The"
"00;01;02;06","00;01;02;13","goal"
"00;01;02;13","00;01;02;15","is"
"00;01;02;15","00;01;02;20","just"
"00;01;02;20","00;01;02;23","going"
"00;01;02;23","00;01;03;02","to be"
"00;01;03;02","00;01;03;13","to"
"00;01;03;13","00;01;04;02","discuss"
"00;01;04;02","00;01;04;09","and"
"00;01;04;09","00;01;04;20","learn"
"00;01;04;20","00;01;04;24","and"
"00;01;04;24","00;01;05;01","ask"
"00;01;05;01","00;01;05;04","some"
"00;01;05;04","00;01;05;17","questions"
"00;01;05;17","00;01;06;01","about"
"00;01;06;01","00;01;06;10","this"
"00;01;06;10","00;01;06;20","awesome"
"00;01;06;20","00;01;07;14","paper."
"00;01;07;20","00;01;08;00","And"
"00;01;08;00","00;01;08;03","we're"
"00;01;08;03","00;01;08;07","going"
"00;01;08;07","00;01;08;15","to go"
"00;01;08;15","00;01;08;25","through"
"00;01;08;25","00;01;09;01","some"
"00;01;09;01","00;01;09;20","introductions"
"00;01;09;20","00;01;10;11","and warmups."
"00;01;10;11","00;01;10;18","And"
"00;01;10;18","00;01;11;10","then I"
"00;01;11;10","00;01;11;18","believe"
"00;01;11;18","00;01;12;06","Christopher"
"00;01;12;06","00;01;12;10","will"
"00;01;12;10","00;01;12;17","have"
"00;01;12;17","00;01;12;24","some"
"00;01;12;24","00;01;13;08","slides"
"00;01;13;08","00;01;13;19","to"
"00;01;13;19","00;01;13;27","share"
"00;01;13;27","00;01;14;02","with"
"00;01;14;02","00;01;14;10","us"
"00;01;14;10","00;01;14;19","and"
"00;01;14;19","00;01;14;25","set"
"00;01;14;25","00;01;15;19","some context."
"00;01;15;19","00;01;15;25","And"
"00;01;15;25","00;01;16;04","then"
"00;01;16;04","00;01;16;09","we'll"
"00;01;16;09","00;01;17;00","just"
"00;01;17;00","00;01;17;13","proceed"
"00;01;17;13","00;01;17;25","with"
"00;01;17;25","00;01;18;09","probably"
"00;01;18;09","00;01;18;11","a"
"00;01;18;11","00;01;18;17","bunch"
"00;01;18;17","00;01;18;19","of"
"00;01;18;19","00;01;19;03","questions"
"00;01;19;03","00;01;19;06","that"
"00;01;19;06","00;01;19;10","we"
"00;01;19;10","00;01;19;14","all"
"00;01;19;14","00;01;19;23","have"
"00;01;19;23","00;01;20;01","about"
"00;01;20;01","00;01;20;26","the paper"
"00;01;20;26","00;01;21;02","as"
"00;01;21;02","00;01;21;07","well"
"00;01;21;07","00;01;21;10","as"
"00;01;21;10","00;01;21;15","some"
"00;01;21;15","00;01;21;27","questions"
"00;01;21;27","00;01;22;02","from"
"00;01;22;02","00;01;22;03","the"
"00;01;22;03","00;01;22;11","live"
"00;01;22;11","00;01;22;29","chat."
"00;01;23;20","00;01;23;28","To get"
"00;01;23;28","00;01;24;10","started,"
"00;01;24;10","00;01;24;24","though,"
"00;01;25;01","00;01;25;11","let's"
"00;01;25;11","00;01;25;24","just"
"00;01;25;24","00;01;26;05","go"
"00;01;26;05","00;01;26;25","around"
"00;01;26;25","00;01;27;09","and"
"00;01;27;09","00;01;27;22","introduce"
"00;01;27;22","00;01;28;24","ourselves"
"00;01;28;24","00;01;29;04","and"
"00;01;29;04","00;01;29;12","we can"
"00;01;29;12","00;01;29;15","each"
"00;01;29;15","00;01;29;20","just"
"00;01;29;20","00;01;29;27","give a"
"00;01;29;27","00;01;30;06","short"
"00;01;30;06","00;01;30;25","introduction"
"00;01;30;25","00;01;30;29","or"
