"Start Time","End Time","Transcript"
"00;00;10;26","00;00;11;09","Hello,"
"00;00;11;09","00;00;11;26","everyone."
"00;00;11;26","00;00;12;13","Welcome"
"00;00;12;13","00;00;12;27","to the"
"00;00;12;27","00;00;13;08","Active"
"00;00;13;08","00;00;13;20","Inference"
"00;00;13;20","00;00;14;02","Lab"
"00;00;14;02","00;00;14;09","and"
"00;00;14;09","00;00;14;24","to the"
"00;00;14;24","00;00;15;04","Active"
"00;00;15;04","00;00;15;14","Inference"
"00;00;15;14","00;00;15;20","Live"
"00;00;15;20","00;00;16;10","Stream."
"00;00;16;10","00;00;16;21","This is"
"00;00;16;21","00;00;17;03","Active"
"00;00;17;03","00;00;17;22","Inference"
"00;00;17;22","00;00;18;00","Live"
"00;00;18;00","00;00;18;10","Stream"
"00;00;18;10","00;00;19;24","19.1"
"00;00;19;24","00;00;20;06","on"
"00;00;20;06","00;00;23;16","April 6th 2021."
"00;00;23;16","00;00;24;02","Welcome to"
"00;00;24;02","00;00;24;05","the"
"00;00;24;05","00;00;24;17","Active"
"00;00;24;17","00;00;24;28","Inference"
"00;00;24;28","00;00;25;16","Lab."
"00;00;25;19","00;00;26;12","We are"
"00;00;26;12","00;00;26;15","a"
"00;00;26;15","00;00;27;14","participatory"
"00;00;27;14","00;00;27;28","online"
"00;00;27;28","00;00;28;10","lab"
"00;00;28;10","00;00;28;22","that is"
"00;00;28;22","00;00;29;19","communicating,"
"00;00;29;19","00;00;30;05","learning"
"00;00;30;05","00;00;30;14","and"
"00;00;30;14","00;00;31;05","practicing"
"00;00;31;05","00;00;31;18","applied"
"00;00;31;18","00;00;31;28","active"
"00;00;31;28","00;00;32;20","inference."
"00;00;32;20","00;00;32;24","You"
"00;00;32;24","00;00;32;28","can"
"00;00;32;28","00;00;33;11","find us"
"00;00;33;11","00;00;34;01","at our"
"00;00;34;01","00;00;34;15","links"
"00;00;34;15","00;00;34;23","and"
"00;00;34;23","00;00;35;10","contact"
"00;00;35;10","00;00;35;24","information"
"00;00;35;24","00;00;36;10","here."
"00;00;37;00","00;00;37;06","This"
"00;00;37;06","00;00;37;10","is"
"00;00;37;10","00;00;37;28","recorded"
"00;00;37;28","00;00;38;06","in an"
"00;00;38;06","00;00;38;23","archived"
"00;00;38;23","00;00;39;00","live"
"00;00;39;00","00;00;39;09","stream,"
"00;00;39;09","00;00;39;17","so"
"00;00;39;17","00;00;39;27","please"
"00;00;39;27","00;00;40;07","provide"
"00;00;40;07","00;00;40;21","us"
"00;00;40;21","00;00;41;09","feedback"
"00;00;41;09","00;00;41;16","so"
"00;00;41;16","00;00;41;19","that"
"00;00;41;19","00;00;42;02","we can"
"00;00;42;02","00;00;42;16","improve"
"00;00;42;16","00;00;43;15","our work"
"00;00;44;08","00;00;45;04","all backgrounds."
"00;00;45;04","00;00;45;10","And"
"00;00;45;10","00;00;45;25","perspectives"
"00;00;45;25","00;00;46;00","are"
"00;00;46;00","00;00;46;09","welcome"
"00;00;46;09","00;00;46;23","here"
"00;00;47;00","00;00;47;11","and"
"00;00;47;11","00;00;47;16","we'll"
"00;00;47;16","00;00;47;21","be"
"00;00;47;21","00;00;48;05","following"
"00;00;48;05","00;00;48;19","hopefully"
"00;00;48;19","00;00;49;01","video"
"00;00;49;01","00;00;49;13","etiquette"
"00;00;49;13","00;00;49;28","for"
"00;00;49;28","00;00;50;24","livestreams"
"00;00;50;24","00;00;51;02","such"
"00;00;51;02","00;00;51;29","as muting"
"00;00;51;29","00;00;52;05","when"
"00;00;52;05","00;00;52;09","there's"
"00;00;52;09","00;00;52;15","noise"
"00;00;52;15","00;00;52;19","in our"
"00;00;52;19","00;00;53;08","background"
"00;00;53;08","00;00;53;17","and"
"00;00;53;17","00;00;53;27","raising"
"00;00;53;27","00;00;54;10","our hands"
"00;00;54;10","00;00;54;13","so"
"00;00;54;13","00;00;54;24","we can"
"00;00;54;24","00;00;54;29","hear"
"00;00;54;29","00;00;55;04","from"
"00;00;55;04","00;00;55;14","everyone"
"00;00;55;14","00;00;55;22","who wants"
