"Start Time","End Time","Transcript"
"00;00;14;20","00;00;15;05","Hello"
"00;00;15;05","00;00;15;12","and"
"00;00;15;12","00;00;15;22","welcome"
"00;00;15;22","00;00;16;08","to the"
"00;00;16;08","00;00;16;17","Active"
"00;00;16;17","00;00;16;28","Inference"
"00;00;16;28","00;00;17;15","Lab."
"00;00;17;16","00;00;18;03","This is"
"00;00;18;03","00;00;18;13","Active"
"00;00;18;13","00;00;18;25","Inference"
"00;00;18;25","00;00;19;02","live"
"00;00;19;02","00;00;19;20","stream"
"00;00;19;20","00;00;20;09","number"
"00;00;20;09","00;00;22;00","19.2"
"00;00;22;00","00;00;22;10","on"
"00;00;22;10","00;00;23;06","April 13th."
"00;00;23;06","00;00;23;21","20,"
"00;00;23;21","00;00;24;05","21."
"00;00;24;05","00;00;24;12","So"
"00;00;24;12","00;00;24;22","welcome"
"00;00;24;22","00;00;25;05","everyone"
"00;00;25;05","00;00;25;15","and"
"00;00;25;15","00;00;26;00","thank you"
"00;00;26;00","00;00;26;11","for"
"00;00;26;11","00;00;27;04","joining."
"00;00;27;17","00;00;28;07","We are the"
"00;00;28;07","00;00;28;19","Active"
"00;00;28;19","00;00;29;04","Inference"
"00;00;29;04","00;00;29;17","Lab."
"00;00;29;17","00;00;30;08","We are"
"00;00;30;08","00;00;30;18","a"
"00;00;30;18","00;00;31;15","participatory"
"00;00;31;15","00;00;31;29","online"
"00;00;31;29","00;00;32;19","lab"
"00;00;32;21","00;00;33;10","that is"
"00;00;33;10","00;00;34;02","communicating,"
"00;00;34;02","00;00;34;15","learning"
"00;00;34;15","00;00;34;25","and"
"00;00;34;25","00;00;35;21","practicing"
"00;00;35;21","00;00;36;02","active"
"00;00;36;02","00;00;36;27","inference."
"00;00;37;20","00;00;37;24","You"
"00;00;37;24","00;00;37;28","can"
"00;00;37;28","00;00;38;13","find us"
"00;00;38;13","00;00;38;20","at"
"00;00;38;20","00;00;39;18","the links"
"00;00;39;18","00;00;40;04","that are"
"00;00;40;04","00;00;40;18","listed"
"00;00;40;18","00;00;41;08","here"
"00;00;41;24","00;00;42;20","this is recorded"
"00;00;42;20","00;00;42;27","in an"
"00;00;42;27","00;00;43;12","archived"
"00;00;43;12","00;00;43;18","live"
"00;00;43;18","00;00;44;02","stream,"
"00;00;44;02","00;00;44;09","so"
"00;00;44;09","00;00;44;20","please"
"00;00;44;20","00;00;45;00","provide"
"00;00;45;00","00;00;45;03","us"
"00;00;45;03","00;00;45;20","with feedback"
"00;00;45;20","00;00;45;24","so"
"00;00;45;24","00;00;45;29","that"
"00;00;45;29","00;00;46;15","we can"
"00;00;46;15","00;00;46;24","be"
"00;00;46;24","00;00;47;10","improving"
"00;00;47;10","00;00;47;20","on our"
"00;00;47;20","00;00;48;12","work."
"00;00;49;03","00;00;49;09","All"
"00;00;49;09","00;00;49;28","backgrounds"
"00;00;49;28","00;00;50;04","and"
"00;00;50;04","00;00;50;24","perspectives"
"00;00;50;24","00;00;51;03","are"
"00;00;51;03","00;00;52;00","welcome here"
"00;00;52;00","00;00;52;15","and"
"00;00;52;15","00;00;52;25","we will"
"00;00;52;25","00;00;52;29","be"
"00;00;52;29","00;00;53;12","following"
"00;00;53;12","00;00;53;29","good"
"00;00;53;29","00;00;54;08","video"
"00;00;54;08","00;00;54;23","etiquette"
"00;00;54;23","00;00;54;29","for"
"00;00;54;29","00;00;56;04","livestreams."
"00;00;56;22","00;00;57;00","Today"
"00;00;57;00","00;00;57;03","we're"
"00;00;57;03","00;00;57;09","in the"
"00;00;57;09","00;00;57;19","follow"
"00;00;57;19","00;00;57;24","up"
"00;00;57;24","00;00;58;16","discussion."
"00;00;58;16","00;01;00;14","19.2"
"00;01;00;14","00;01;00;27","our third"
"00;01;00;27","00;01;01;15","discussion"
"00;01;01;15","00;01;02;02","following"
"00;01;02;02","00;01;02;10","on"
"00;01;02;10","00;01;02;17","the"
"00;01;02;22","00;01;03;16","zero"
"00;01;03;16","00;01;04;12","contextualizing"
"00;01;04;12","00;01;05;00","video"
"00;01;05;00","00;01;05;06","and"
"00;01;05;06","00;01;05;08","the"
"00;01;05;08","00;01;05;17","dot"
"00;01;05;17","00;01;06;04","one"
"00;01;06;04","00;01;06;14","first"
"00;01;06;14","00;01;07;01","discussion"
"00;01;07;01","00;01;07;11","last"
"00;01;07;11","00;01;07;17","week"
"00;01;07;17","00;01;07;23","with"
"00;01;07;23","00;01;08;07","Caspir"
"00;01;08;07","00;01;08;12","and"
"00;01;08;12","00;01;08;20","everyone"
"00;01;08;20","00;01;09;06","else."
"00;01;09;10","00;01;09;20","And so"
"00;01;09;20","00;01;09;27","today"
"00;01;09;27","00;01;10;00","in"
"00;01;10;00","00;01;10;27","19.2,"
"00;01;10;27","00;01;11;01","we're"
"00;01;11;01","00;01;11;05","going"
"00;01;11;05","00;01;11;21","to be"
"00;01;11;21","00;01;12;12","continuing"
"00;01;12;12","00;01;12;18","this"
"00;01;12;18","00;01;13;09","discussion"
"00;01;13;09","00;01;13;21","on"
"00;01;13;21","00;01;14;02","deeply"
"00;01;14;02","00;01;14;11","felt"
"00;01;14;11","00;01;15;11","affect,"
"00;01;15;11","00;01;15;21","hearing"
"00;01;15;21","00;01;16;04","some"
"00;01;16;04","00;01;16;22","slides"
"00;01;16;22","00;01;17;03","from"
"00;01;17;03","00;01;18;03","Caspir,"
"00;01;18;03","00;01;18;17","bringing up"
"00;01;18;17","00;01;18;22","some"
"00;01;18;22","00;01;18;24","of"
"00;01;18;24","00;01;19;00","these"
"00;01;19;00","00;01;19;12","questions"
"00;01;19;12","00;01;19;16","that"
"00;01;19;16","00;01;19;20","we're"
"00;01;19;20","00;01;20;01","having"
"00;01;20;01","00;01;20;10","about"
"00;01;20;10","00;01;21;05","implications"
"00;01;21;05","00;01;21;11","and"
"00;01;21;11","00;01;21;21","other"
"00;01;21;21","00;01;22;08","topics."
"00;01;23;17","00;01;23;22","So"
"00;01;23;22","00;01;23;27","really"
"00;01;23;27","00;01;24;00","the"
"00;01;24;00","00;01;24;10","goal"
"00;01;24;10","00;01;24;17","is"
"00;01;24;17","00;01;24;25","just"
"00;01;24;25","00;01;25;12","to"
"00;01;25;12","00;01;25;21","learn"
"00;01;25;21","00;01;25;25","and"
"00;01;25;25","00;01;26;25","discuss"
"00;01;26;25","00;01;27;03","and"
"00;01;27;03","00;01;27;10","we'll"
"00;01;27;10","00;01;28;06","be"
"00;01;28;06","00;01;28;14","going"
"00;01;28;14","00;01;28;20","through"
"00;01;28;20","00;01;28;28","whatever"
"00;01;28;28","00;01;29;06","we need"
"00;01;29;06","00;01;29;24","to"
"00;01;29;26","00;01;30;10","and"
"00;01;30;10","00;01;30;19","next"
"00;01;30;19","00;01;30;27","week"
"00;01;30;27","00;01;31;00","and"
"00;01;31;00","00;01;31;11","beyond,"
"00;01;31;11","00;01;31;16","we'll"
"00;01;31;16","00;01;31;17","be"
"00;01;31;17","00;01;32;07","discussing"
"00;01;32;07","00;01;32;18","different"
"00;01;32;18","00;01;33;15","papers."
"00;01;33;29","00;01;34;05","So"
"00;01;34;05","00;01;34;09","let's"
"00;01;34;09","00;01;34;16","just"
"00;01;34;16","00;01;34;22","do"
"00;01;34;22","00;01;34;24","a"
"00;01;34;24","00;01;35;09","quick"
"00;01;35;09","00;01;35;22","round"
"00;01;35;22","00;01;35;26","of"
"00;01;35;26","00;01;36;27","introduction"
"00;01;36;27","00;01;37;05","and"
"00;01;37;05","00;01;37;18","then"
"00;01;37;18","00;01;38;26","we can"
"00;01;39;11","00;01;39;23","see"
"00;01;39;23","00;01;39;28","and"
"00;01;39;28","00;01;40;21","hear"
"00;01;40;21","00;01;41;16","what"
"00;01;41;16","00;01;42;00","Caspir"
"00;01;42;00","00;01;42;18","has"
"00;01;42;18","00;01;43;07","brought"
"00;01;43;07","00;01;44;03","to"
"00;01;44;05","00;01;44;13","share"
"00;01;44;13","00;01;44;24","with us"
"00;01;44;24","00;01;45;12","today."
"00;01;45;18","00;01;45;25","So"
"00;01;45;25","00;01;46;15","I'll"
"00;01;46;15","00;01;46;26","start."
"00;01;46;26","00;01;47;02","I'm"
"00;01;47;02","00;01;47;22","Daniel."
"00;01;47;22","00;01;48;06","I'm"
"00;01;48;06","00;01;48;10","a"
"00;01;48;10","00;01;48;26","post-doc"
"00;01;48;26","00;01;49;09","in"
"00;01;49;09","00;01;50;10","California,"
"00;01;50;10","00;01;50;20","and"
"00;01;50;20","00;01;50;26","I'll"
"00;01;50;26","00;01;51;03","pass"
"00;01;51;03","00;01;51;19","it to"
"00;01;51;19","00;01;52;12","Scott"
"00;01;55;25","00;01;56;06","Scott."
"00;01;56;06","00;01;56;21","David,"
"00;01;56;21","00;01;57;00","I'm"
"00;01;57;00","00;01;58;04","the director"
"00;01;58;04","00;01;58;16","of the"
"00;01;58;16","00;01;59;06","Information"
"00;01;59;06","00;01;59;23","Risk"
"00;01;59;23","00;02;00;10","and"
"00;02;00;10","00;02;01;00","Synthetic"
"00;02;01;00","00;02;02;12","Intelligence"
"00;02;02;12","00;02;02;25","Research"
"00;02;02;25","00;02;03;10","Initiative"
"00;02;03;10","00;02;03;15","at the"
"00;02;03;15","00;02;04;00","University"
"00;02;04;00","00;02;04;02","of"
"00;02;04;02","00;02;04;19","Washington"
"00;02;04;19","00;02;05;03","Applied"
"00;02;05;03","00;02;05;15","Physics"
"00;02;05;15","00;02;06;04","Lab."
"00;02;06;11","00;02;06;17","And"
"00;02;06;17","00;02;06;22","I'll"
"00;02;06;22","00;02;07;08","transfer it"
"00;02;07;08","00;02;07;19","to"
"00;02;07;19","00;02;09;02","Alex"
"00;02;11;13","00;02;12;08","Thanks."
"00;02;12;27","00;02;13;06","I'm"
"00;02;13;06","00;02;13;19","Alex."
"00;02;13;19","00;02;13;29","I'm a"
"00;02;13;29","00;02;14;21","researcher"
"00;02;14;21","00;02;14;25","in"
"00;02;14;25","00;02;15;19","Systems"
"00;02;15;19","00;02;16;04","Management"
"00;02;16;04","00;02;16;29","School"
"00;02;16;29","00;02;17;07","in"
"00;02;17;07","00;02;17;21","Moscow,"
"00;02;17;21","00;02;18;22","Russia."
"00;02;18;23","00;02;19;14","And I"
"00;02;19;14","00;02;19;26","set"
"00;02;19;26","00;02;20;14","blue"
"00;02;23;13","00;02;24;05","Good morning."
"00;02;24;05","00;02;24;15","I am"
"00;02;24;15","00;02;24;24","Blue"
"00;02;24;24","00;02;25;07","Knight."
"00;02;25;07","00;02;25;20","I'm an"
"00;02;25;20","00;02;26;13","independent"
"00;02;26;13","00;02;26;26","research"
"00;02;26;26","00;02;27;17","consultant"
"00;02;27;17","00;02;27;28","based"
"00;02;27;28","00;02;28;15","out of"
"00;02;28;15","00;02;28;23","New"
"00;02;28;23","00;02;29;13","Mexico."
"00;02;29;13","00;02;29;29","And I"
"00;02;29;29","00;02;30;03","will"
"00;02;30;03","00;02;30;13","pass"
"00;02;30;13","00;02;30;28","it to"
"00;02;30;28","00;02;31;09","Dean"
"00;02;33;04","00;02;33;11","I"
"00;02;33;11","00;02;33;15","am"
"00;02;33;15","00;02;34;11","Dean."
"00;02;34;11","00;02;34;21","I'm up"
"00;02;34;21","00;02;34;25","here"
"00;02;34;25","00;02;34;27","in"
"00;02;34;27","00;02;35;08","Calgary,"
"00;02;35;08","00;02;36;11","Canada,"
"00;02;36;11","00;02;37;02","retired,"
"00;02;37;02","00;02;37;11","trying"
"00;02;37;11","00;02;37;14","to"
"00;02;37;14","00;02;37;26","keep up"
"00;02;37;26","00;02;38;01","with"
"00;02;38;01","00;02;38;05","all"
"00;02;38;05","00;02;38;10","this"
"00;02;38;10","00;02;38;25","activity"
"00;02;38;25","00;02;39;00","and"
"00;02;39;00","00;02;39;23","stuff."
"00;02;39;27","00;02;40;02","I'll"
"00;02;40;02","00;02;40;12","pass"
"00;02;40;12","00;02;40;16","to"
"00;02;40;16","00;02;41;15","Stephen"
"00;02;42;19","00;02;42;27","Hello."
"00;02;42;27","00;02;43;00","I'm"
"00;02;43;00","00;02;43;14","Stephen."
"00;02;43;14","00;02;43;20","I'm in"
"00;02;43;20","00;02;44;19","Toronto."
"00;02;44;19","00;02;44;24","I'm"
"00;02;44;24","00;02;45;00","just"
"00;02;45;00","00;02;45;09","working"
"00;02;45;09","00;02;45;11","on"
"00;02;45;11","00;02;45;13","a"
"00;02;45;13","00;02;45;24","practice"
"00;02;45;24","00;02;46;10","base."
"00;02;47;10","00;02;47;29","I do"
"00;02;47;29","00;02;48;10","a lot"
"00;02;48;10","00;02;48;13","of"
"00;02;48;13","00;02;48;22","work"
"00;02;48;22","00;02;48;28","with"
"00;02;48;28","00;02;49;24","participatory"
"00;02;49;24","00;02;51;01","theater"
"00;02;51;01","00;02;51;13","and"
"00;02;51;13","00;02;51;28","social"
"00;02;51;28","00;02;53;11","topographies"
"00;02;53;11","00;02;53;26","for"
"00;02;53;26","00;02;54;12","exploring"
"00;02;54;12","00;02;54;27","community"
"00;02;54;27","00;02;56;00","development,"
"00;02;56;06","00;02;56;12","and"
"00;02;56;12","00;02;56;17","I'll"
"00;02;56;17","00;02;56;28","pass"
"00;02;56;28","00;02;57;02","it"
"00;02;57;02","00;02;57;13","over"
"00;02;57;13","00;02;57;29","to"
"00;02;57;29","00;02;58;22","I think"
"00;02;58;22","00;02;58;27","it's"
"00;02;58;27","00;02;59;04","now"
"00;02;59;04","00;02;59;23","Casper."
"00;02;59;23","00;02;59;26","Is"
"00;02;59;26","00;03;00;02","that"
"00;03;00;02","00;03;00;16","right?"
"00;03;01;17","00;03;02;03","Yes."
"00;03;03;03","00;03;03;11","So my"
"00;03;03;11","00;03;03;16","name"
"00;03;03;16","00;03;03;22","is"
"00;03;03;22","00;03;04;03","Casper"
"00;03;04;03","00;03;04;20","Hespe."
"00;03;05;17","00;03;05;23","I'm"
"00;03;05;23","00;03;06;06","a busy"
"00;03;06;06","00;03;06;19","student"
"00;03;06;19","00;03;06;26","at the"
"00;03;06;26","00;03;07;07","University"
"00;03;07;07","00;03;07;10","of"
"00;03;07;10","00;03;08;12","Amsterdam"
"00;03;08;17","00;03;09;01","focusing"
"00;03;09;01","00;03;10;00","on"
"00;03;10;05","00;03;10;09","the"
"00;03;10;09","00;03;11;06","emergence"
"00;03;11;06","00;03;11;21","of"
"00;03;11;21","00;03;12;04","social"
"00;03;12;04","00;03;13;09","cognition"
"00;03;13;17","00;03;14;10","in"
"00;03;15;00","00;03;15;17","development"
"00;03;15;17","00;03;15;25","and"
"00;03;15;25","00;03;17;04","evolution."
"00;03;18;19","00;03;19;03","And"
"00;03;19;03","00;03;19;16","today"
"00;03;19;16","00;03;19;23","I'll"
"00;03;19;23","00;03;20;02","be"
"00;03;20;02","00;03;20;08","will"
"00;03;20;08","00;03;20;12","be"
"00;03;20;12","00;03;21;27","continuing"
"00;03;22;04","00;03;22;14","standing"
"00;03;22;14","00;03;23;26","on so"
"00;03;23;26","00;03;24;01","from"
"00;03;24;01","00;03;24;16","last time."
"00;03;24;16","00;03;24;23","So"
"00;03;24;23","00;03;25;00","I'll"
"00;03;25;00","00;03;25;18","be"
"00;03;25;20","00;03;26;05","mostly"
"00;03;26;05","00;03;26;23","assuming"
"00;03;26;23","00;03;26;29","that"
"00;03;26;29","00;03;27;19","your"
"00;03;28;13","00;03;29;04","already"
"00;03;29;21","00;03;30;01","listen"
"00;03;30;01","00;03;30;05","to"
"00;03;30;05","00;03;30;21","that"
"00;03;31;01","00;03;31;15","lecture"
"00;03;31;15","00;03;32;09","as well."
"00;03;32;20","00;03;33;01","But"
"00;03;33;01","00;03;33;10","just"
"00;03;33;10","00;03;34;11","for"
"00;03;34;29","00;03;35;15","for"
"00;03;35;15","00;03;36;00","everybody's"
"00;03;36;00","00;03;37;02","sanity,"
"00;03;37;06","00;03;37;11","I'll"
"00;03;37;11","00;03;37;15","get"
"00;03;37;15","00;03;37;18","the"
"00;03;37;18","00;03;37;27","short"
"00;03;37;27","00;03;38;18","intro"
"00;03;38;18","00;03;39;03","on"
"00;03;39;03","00;03;39;09","what"
"00;03;39;09","00;03;39;18","we've"
"00;03;39;18","00;03;39;25","been"
"00;03;39;25","00;03;40;27","discussing"
"00;03;40;27","00;03;41;02","so"
"00;03;41;02","00;03;41;12","far."
"00;03;43;03","00;03;43;11","And"
"00;03;43;11","00;03;43;28","just"
"00;03;43;28","00;03;44;04","to"
"00;03;44;04","00;03;45;10","describe"
"00;03;45;11","00;03;45;14","the"
"00;03;45;14","00;03;45;29","context"
"00;03;45;29","00;03;46;12","of"
"00;03;46;17","00;03;47;04","this"
"00;03;47;04","00;03;47;28","research"
"00;03;47;28","00;03;48;21","and"
"00;03;50;21","00;03;51;10","I was"
"00;03;51;10","00;03;52;15","I was"
"00;03;52;15","00;03;52;27","when I"
