"Start Time","End Time","Transcript"
"00;00;08;11","00;00;08;27","OK."
"00;00;08;27","00;00;09;12","Hello"
"00;00;09;12","00;00;09;21","and"
"00;00;09;21","00;00;10;05","welcome"
"00;00;10;05","00;00;10;18","to"
"00;00;10;18","00;00;10;29","Active"
"00;00;10;29","00;00;11;09","Influence"
"00;00;11;09","00;00;11;24","Lab."
"00;00;11;24","00;00;12;18","This is"
"00;00;12;18","00;00;13;22","the third"
"00;00;13;22","00;00;14;23","in a"
"00;00;14;23","00;00;15;14","ongoing"
"00;00;15;14","00;00;15;25","series"
"00;00;15;25","00;00;15;28","of"
"00;00;15;28","00;00;16;29","discussions"
"00;00;16;29","00;00;17;15","between,"
"00;00;17;15","00;00;17;18","I"
"00;00;17;18","00;00;17;29","guess,"
"00;00;17;29","00;00;18;07","Active"
"00;00;18;07","00;00;18;17","Inference"
"00;00;18;17","00;00;19;01","Lab"
"00;00;19;01","00;00;19;11","and"
"00;00;19;11","00;00;19;21","John"
"00;00;19;21","00;00;20;15","Boik."
"00;00;20;15","00;00;20;23","I'm"
"00;00;20;23","00;00;21;10","Daniel."
"00;00;21;10","00;00;21;17","I'm"
"00;00;21;17","00;00;22;06","a postdoc"
"00;00;22;06","00;00;22;10","in"
"00;00;22;10","00;00;23;03","California,"
"00;00;23;03","00;00;23;08","and"
"00;00;23;08","00;00;23;13","I'm"
"00;00;23;13","00;00;23;17","going"
"00;00;23;17","00;00;23;23","to be"
"00;00;23;23","00;00;24;01","kind"
"00;00;24;01","00;00;24;17","of"
"00;00;24;18","00;00;25;00","working"
"00;00;25;00","00;00;25;10","through"
"00;00;25;10","00;00;25;20","the GM"
"00;00;25;20","00;00;26;12","board,"
"00;00;26;12","00;00;26;18","as"
"00;00;26;18","00;00;26;23","we've"
"00;00;26;23","00;00;26;29","done"
"00;00;26;29","00;00;27;01","in"
"00;00;27;01","00;00;27;06","these"
"00;00;27;06","00;00;27;21","other"
"00;00;27;21","00;00;28;09","sessions"
"00;00;28;09","00;00;28;27","while"
"00;00;28;27","00;00;29;13","John"
"00;00;29;13","00;00;29;23","goes"
"00;00;29;23","00;00;30;14","through"
"00;00;30;14","00;00;31;15","his paper."
"00;00;31;15","00;00;32;29","Some of the implications."
"00;00;32;29","00;00;33;08","We can"
"00;00;33;08","00;00;33;19","also"
"00;00;33;19","00;00;33;28","raise"
"00;00;33;28","00;00;34;03","up"
"00;00;34;03","00;00;34;09","some"
"00;00;34;09","00;00;34;26","questions"
"00;00;34;26","00;00;35;02","from"
"00;00;35;02","00;00;35;03","the"
"00;00;35;03","00;00;35;11","live"
"00;00;35;11","00;00;35;20","chat"
"00;00;35;20","00;00;35;25","so"
"00;00;35;25","00;00;36;03","people"
"00;00;36;03","00;00;36;06","are"
"00;00;36;06","00;00;36;28","totally"
"00;00;36;28","00;00;37;13","welcome"
"00;00;37;13","00;00;38;10","to"
"00;00;38;28","00;00;39;06","leave"
"00;00;39;06","00;00;39;25","questions"
"00;00;39;25","00;00;40;12","in there."
"00;00;40;12","00;00;41;05","We actually"
"00;00;41;05","00;00;41;13","it's"
"00;00;41;13","00;00;42;00","already"
"00;00;42;00","00;00;42;08","sort"
"00;00;42;08","00;00;42;13","of"
"00;00;42;13","00;00;42;24","messed"
"00;00;42;24","00;00;43;12","up"
"00;00;43;18","00;00;43;23","or"
"00;00;43;23","00;00;44;01","not."
"00;00;44;01","00;00;44;23","Sure."
"00;00;44;29","00;00;45;08","I hope"
"00;00;45;08","00;00;45;13","that"
"00;00;45;13","00;00;45;23","it will"
"00;00;45;23","00;00;46;06","work."
"00;00;46;06","00;00;46;09","It"
"00;00;46;09","00;00;46;19","looks like"
"00;00;46;19","00;00;46;22","it's"
"00;00;46;22","00;00;47;07","OK."
"00;00;47;07","00;00;47;14","We're"
"00;00;47;14","00;00;47;19","just"
"00;00;47;19","00;00;47;25","sort"
"00;00;47;25","00;00;47;27","of"
"00;00;47;27","00;00;48;06","dealing"
"00;00;48;06","00;00;48;10","with"
"00;00;48;10","00;00;48;13","the"
"00;00;48;13","00;00;49;16","streaming"
"00;00;49;18","00;00;49;28","tech"
"00;00;49;28","00;00;50;00","and"
"00;00;50;00","00;00;50;04","I'll"
"00;00;50;04","00;00;50;11","play"
"00;00;50;11","00;00;50;16","with"
"00;00;50;16","00;00;50;24","it."
"00;00;50;26","00;00;51;05","Once"
"00;00;51;05","00;00;51;08","you"
"00;00;51;08","00;00;51;14","start"
"00;00;51;14","00;00;51;23","talking,"
"00;00;51;23","00;00;52;13","John."
"00;00;52;17","00;00;53;04","But"
"00;00;53;17","00;00;54;03","yep,"
"00;00;54;28","00;00;55;07","I hope"
"00;00;55;07","00;00;55;21","this"
"00;00;56;01","00;00;56;06","is"
"00;00;56;06","00;00;56;15","a fun"
"00;00;56;15","00;00;57;01","discussion"
"00;00;57;01","00;00;57;09","because"
"00;00;57;09","00;00;57;19","the other ones"
"00;00;57;19","00;00;57;22","have"
"00;00;57;22","00;00;57;29","been"
"00;00;57;29","00;00;58;08","awesome"
"00;00;58;08","00;00;58;22","as well."
"00;00;58;22","00;00;58;28","So"
"00;00;58;28","00;00;59;01","I'll"
"00;00;59;01","00;00;59;08","flip"
"00;00;59;08","00;00;59;17","over"
"00;00;59;17","00;00;59;27","to"
"00;00;59;27","00;01;00;10","Slide"
"00;01;00;10","00;01;01;02","14"
"00;01;01;02","00;01;01;09","from"
"00;01;01;09","00;01;01;12","our"
"00;01;01;12","00;01;02;05","second"
"00;01;02;05","00;01;02;14","slide"
"00;01;02;14","00;01;02;25","show"
"00;01;02;25","00;01;03;01","and"
"00;01;03;01","00;01;03;05","let"
"00;01;03;05","00;01;03;08","you"
"00;01;03;08","00;01;03;18","pick up"
"00;01;03;18","00;01;03;21","with"
"00;01;03;21","00;01;03;26","some"
"00;01;03;26","00;01;04;12","points"
"00;01;04;12","00;01;04;16","from"
