"Speaker Name","Start Time","End Time","Transcript"
"Unknown","00;00;08;11","00;00;32;23","OK. Hello and welcome to Active Influence Lab. This is the third in a ongoing series of discussions between, I guess, Active Inference Lab and John Boik. I'm Daniel. I'm a postdoc in California, and I'm going to be kind of working through the GM board, as we've done in these other sessions while John goes through his paper. Some of the implications."
"Unknown","00;00;32;29","00;00;52;03","We can also raise up some questions from the live chat so people are totally welcome to leave questions in there. We actually it's already sort of messed up or not. Sure. I hope that it will work. It looks like it's OK. We're just sort of dealing with the streaming tech and I'll play with it. Once you start talking, John."
"Unknown","00;00;52;17","00;01;25;16","But yep, I hope this is a fun discussion because the other ones have been awesome as well. So I'll flip over to Slide 14 from our second slide show and let you pick up with some points from last time and let you know if anything is awry. Okay. Sounds good. Thank you. My name is John Boik. I'm a courtesy faculty at Oregon State University Environmental Science Graduate Program, and the series is about our series of discussions, is about a series of three papers that I recently published in the journal Sustainable Building."
"Unknown","00;01;25;19","00;01;50;07","And the topic is Societal Transformation I think somewhere in the middle, in the middle of this talk, we'll show some links to those papers and then to my website where all this information can be found So where do you have the slides if you want to put up Slide 14? We're just going to jump in. We're going to jump into to halfway through the last talk."
"Unknown","00;01;50;07","00;02;14;11","We had a bunch of slides that we didn't get to. So we're going to try to get to them now. Yep, I'm there, so I'll be following along, but you just won't see it. But we're good to go. Oh, I won't see it. Okay. All right. OK. All right. So slide 14 is is a list of 14,000 data that I had proposed in this second."
"Unknown","00;02;14;12","00;02;48;07","The second paper, part two I should probably say what the title of that series is is the title is Science Driven Societal Transformation Parts one, two and three. So we were talking about part two last time, which was on motivation and strategy, and we're going to continue with that now. So in that part two paper I had listed 14,000 data for what any what would be what maybe could or should be in any R&D program aimed at societal transformation."
"Unknown","00;02;49;04","00;03;19;08","And throughout the series, I touch on all of these 14 and I would just like to make clear that what I'm proposing the series, the three part series, is itself a proposal for an R&D program that's kind of an informal proposal to the world about a program that could be started. And it is possible that other people have other groups have other ideas of what kind of R&D program, you know, could be constructed."
"Unknown","00;03;19;08","00;03;50;11","And, you know, it could be that in the future there's numerous R&D programs that are in operation that are all looking at this topic of societal transformation. And I wanted to offer a list of, of, of points or topics that that each of them might address. And that way, at the very least, we could compare programs by comparing these 414 points I just we covered we went through them last time, so I'm not going to go through them again."
"Unknown","00;03;50;11","00;04;14;03","But I just wanted to say a couple of things. Daniel I remember it from our last conversation. You had said something about, you know, getting a bunch of scientists together and maybe they won't agree on you know, different aspects of this. So there, you know, could be some arguments for one point over another point or one approach over another approach."
"Unknown","00;04;14;24","00;04;47;00","And that, of course, that is true and that's fine and that's good there there should be a variety of voices heard and considered. And in any R&D program. But I did want to make the point that the R&D program that I'm proposing, the concept is evidence based, science driven R&D program. So I suppose that well, let me say that that evidence evidence based program is different than a popularity based program."
