"Start Time","End Time","Transcript"
"00;00;09;27","00;00;10;18","OK."
"00;00;10;18","00;00;11;01","Hello,"
"00;00;11;01","00;00;11;18","everyone."
"00;00;11;18","00;00;11;27","We are"
"00;00;11;27","00;00;12;15","live."
"00;00;12;15","00;00;13;00","Welcome"
"00;00;13;00","00;00;13;26","to"
"00;00;13;26","00;00;14;07","Active"
"00;00;14;07","00;00;14;19","Flab"
"00;00;14;19","00;00;14;27","live"
"00;00;14;27","00;00;15;05","stream"
"00;00;15;05","00;00;15;10","number"
"00;00;15;10","00;00;17;00","22.2."
"00;00;17;00","00;00;17;09","Nice"
"00;00;17;09","00;00;17;23","repeating"
"00;00;17;23","00;00;18;03","digits"
"00;00;18;03","00;00;18;22","there."
"00;00;19;05","00;00;19;11","We're"
"00;00;19;11","00;00;19;23","here"
"00;00;19;23","00;00;20;08","with"
"00;00;20;08","00;00;20;20","Alex"
"00;00;20;20","00;00;21;03","Kieffer"
"00;00;21;03","00;00;21;14","and"
"00;00;21;14","00;00;21;25","others."
"00;00;21;25","00;00;21;29","We're"
"00;00;21;29","00;00;22;03","going"
"00;00;22;03","00;00;22;09","to be"
"00;00;22;09","00;00;22;20","having"
"00;00;22;20","00;00;22;29","our"
"00;00;22;29","00;00;23;13","second"
"00;00;23;13","00;00;23;24","follow"
"00;00;23;24","00;00;23;27","up"
"00;00;23;27","00;00;24;18","discussion"
"00;00;24;18","00;00;25;03","on"
"00;00;25;03","00;00;25;16","the paper."
"00;00;25;16","00;00;25;21","We've"
"00;00;25;21","00;00;25;26","been"
"00;00;25;26","00;00;26;11","discussing"
"00;00;26;11","00;00;26;15","for"
"00;00;26;15","00;00;26;17","the"
"00;00;26;17","00;00;27;04","little"
"00;00;27;04","00;00;27;15","last"
"00;00;27;15","00;00;28;01","bit."
"00;00;28;07","00;00;29;01","Psychophysical"
"00;00;29;01","00;00;29;20","identity"
"00;00;29;20","00;00;30;01","and"
"00;00;30;01","00;00;30;11","free"
"00;00;30;11","00;00;31;06","energy."
"00;00;31;08","00;00;31;15","It's"
"00;00;31;15","00;00;32;15","May 25th"
"00;00;32;15","00;00;33;04","20,"
"00;00;33;04","00;00;34;03","21."
"00;00;34;03","00;00;34;12","And"
"00;00;34;12","00;00;34;18","this"
"00;00;34;18","00;00;35;08","will be"
"00;00;35;08","00;00;35;10","a"
"00;00;35;10","00;00;35;17","great"
"00;00;35;17","00;00;36;02","discussion."
"00;00;36;02","00;00;36;08","So"
"00;00;36;08","00;00;36;15","thanks"
"00;00;36;15","00;00;36;24","again"
"00;00;36;24","00;00;37;03","for"
"00;00;37;03","00;00;37;15","everybody"
"00;00;37;15","00;00;38;07","who's"
"00;00;38;07","00;00;38;18","joining"
"00;00;38;18","00;00;38;29","live"
"00;00;38;29","00;00;39;04","as"
"00;00;39;04","00;00;39;09","well"
"00;00;39;09","00;00;39;15","as"
"00;00;39;15","00;00;39;26","watching"
"00;00;39;26","00;00;39;29","and"
"00;00;39;29","00;00;40;14","replay."
"00;00;40;14","00;00;40;21","If you're"
"00;00;40;21","00;00;41;00","watching"
"00;00;41;00","00;00;41;09","live"
"00;00;41;09","00;00;41;26","especially"
"00;00;41;26","00;00;42;03","feel"
"00;00;42;03","00;00;42;15","welcome"
"00;00;42;15","00;00;43;01","to add"
"00;00;43;01","00;00;43;03","a"
"00;00;43;03","00;00;43;14","comment"
"00;00;43;14","00;00;43;17","in"
"00;00;43;17","00;00;43;26","the live"
"00;00;43;26","00;00;44;06","chat"
"00;00;44;06","00;00;44;10","that"
"00;00;44;10","00;00;44;17","we can"
"00;00;44;17","00;00;45;10","address"
"00;00;46;12","00;00;46;24","Welcome"
"00;00;46;24","00;00;47;03","to"
"00;00;47;03","00;00;47;16","Active"
"00;00;47;16","00;00;47;27","Lab,"
"00;00;47;27","00;00;48;24","everyone."
"00;00;48;25","00;00;49;01","We're"
"00;00;49;01","00;00;49;03","a"
"00;00;49;03","00;00;50;05","participatory"
"00;00;50;05","00;00;50;20","online"
"00;00;50;20","00;00;51;03","lab"
"00;00;51;03","00;00;51;13","that is"
"00;00;51;13","00;00;52;17","communicating,"
"00;00;52;17","00;00;53;00","learning"
"00;00;53;00","00;00;53;04","and"
"00;00;53;04","00;00;53;24","practicing"
"00;00;53;24","00;00;54;07","applied"
"00;00;54;07","00;00;54;16","active"
"00;00;54;16","00;00;55;05","inference"
"00;00;55;05","00;00;55;09","you"
"00;00;55;09","00;00;55;13","can"
"00;00;55;13","00;00;55;26","find us"
"00;00;55;26","00;00;56;02","at"
"00;00;56;02","00;00;56;20","the links"
"00;00;56;20","00;00;57;02","that are"
"00;00;57;02","00;00;57;15","listed"
"00;00;57;15","00;00;58;07","here."
"00;00;58;20","00;00;59;19","This is recorded"
"00;00;59;19","00;00;59;24","and"
"00;00;59;24","00;01;00;16","an archived"
"00;01;00;16","00;01;00;23","live"
"00;01;00;23","00;01;01;13","stream,"
"00;01;01;13","00;01;01;22","so"
"00;01;01;22","00;01;02;03","please"
"00;01;02;03","00;01;02;14","provide"
"00;01;02;14","00;01;02;19","us"
"00;01;02;19","00;01;03;09","feedback"
"00;01;03;09","00;01;03;15","so"
"00;01;03;15","00;01;03;20","that"
"00;01;03;20","00;01;03;29","we all"
"00;01;03;29","00;01;04;04","can"
"00;01;04;04","00;01;04;13","improve"
"00;01;04;13","00;01;05;12","our work"
"00;01;05;21","00;01;05;27","all"
"00;01;05;27","00;01;06;13","backgrounds"
"00;01;06;13","00;01;06;16","and"
"00;01;06;16","00;01;07;06","perspectives"
"00;01;07;06","00;01;07;16","are"
"00;01;07;16","00;01;07;27","welcome"
"00;01;07;27","00;01;08;13","here"
"00;01;09;01","00;01;09;12","and"
"00;01;09;12","00;01;09;18","we'll"
"00;01;09;18","00;01;09;22","be"
"00;01;09;22","00;01;10;06","following"
"00;01;10;06","00;01;10;14","good"
"00;01;10;14","00;01;10;23","video"
"00;01;10;23","00;01;11;09","etiquette"
"00;01;11;09","00;01;11;15","for"
"00;01;11;15","00;01;11;20","live"
"00;01;11;20","00;01;12;12","streams."
"00;01;12;26","00;01;13;11","We are"
"00;01;13;11","00;01;13;22","here"
"00;01;13;22","00;01;14;02","in the"
"00;01;14;02","00;01;14;14","second"
"00;01;14;14","00;01;14;25","of the"
"00;01;14;25","00;01;15;01","two"
"00;01;15;01","00;01;15;22","discussions"
"00;01;15;22","00;01;15;27","in"
"00;01;15;27","00;01;16;04","late"
"00;01;16;04","00;01;17;19","May 21"
"00;01;17;19","00;01;18;06","and"
"00;01;18;06","00;01;18;17","happy"
"00;01;18;17","00;01;18;22","to"
"00;01;18;22","00;01;18;28","have"
"00;01;18;28","00;01;19;10","Alex"
"00;01;19;10","00;01;19;19","joining"
"00;01;19;19","00;01;19;25","us"
"00;01;19;25","00;01;19;29","for"
"00;01;19;29","00;01;20;06","both"
"00;01;20;06","00;01;20;08","of"
"00;01;20;08","00;01;20;13","these"
"00;01;20;13","00;01;20;29","discussions"
"00;01;20;29","00;01;21;05","which"
"00;01;21;05","00;01;21;09","has"
"00;01;21;09","00;01;21;19","been"
"00;01;21;19","00;01;22;09","great"
"00;01;22;24","00;01;23;10","today"
"00;01;23;10","00;01;23;25","in"
"00;01;23;25","00;01;25;04","22.2"
"00;01;25;04","00;01;25;15","quick"
"00;01;25;15","00;01;26;14","correction"
"00;01;26;14","00;01;27;26","we will be"
"00;01;27;26","00;01;28;03","just"
"00;01;28;03","00;01;28;09","trying"
"00;01;28;09","00;01;28;11","to"
"00;01;28;11","00;01;28;21","learn"
"00;01;28;21","00;01;28;26","and"
"00;01;28;26","00;01;29;24","discuss"
"00;01;30;04","00;01;30;17","enjoying"
"00;01;30;17","00;01;30;24","these"
"00;01;30;24","00;01;31;16","conversations,"
"00;01;31;16","00;01;31;26","seeing"
"00;01;31;26","00;01;31;29","where"
"00;01;31;29","00;01;32;03","they"
"00;01;32;03","00;01;32;23","go,"
"00;01;32;23","00;01;33;05","enjoying"
"00;01;33;05","00;01;33;09","what"
"00;01;33;09","00;01;33;22","questions"
"00;01;33;22","00;01;33;28","bring"
"00;01;33;28","00;01;34;05","up"
"00;01;34;05","00;01;34;11","and"
"00;01;34;11","00;01;35;09","also"
"00;01;35;09","00;01;35;21","carrying"
"00;01;35;21","00;01;35;28","on"
"00;01;35;28","00;01;36;02","with"
"00;01;36;02","00;01;36;09","a few"
"00;01;36;09","00;01;36;10","of"
"00;01;36;10","00;01;36;29","the topics"
"00;01;36;29","00;01;37;05","that"
"00;01;37;05","00;01;37;11","we"
"00;01;37;11","00;01;37;18","knew"
"00;01;37;18","00;01;37;22","that"
"00;01;37;22","00;01;37;25","we"
"00;01;37;25","00;01;38;04","wanted"
"00;01;38;04","00;01;38;09","to"
"00;01;38;09","00;01;38;23","cover"
"00;01;38;23","00;01;39;01","from"
"00;01;39;01","00;01;40;06","last week."
"00;01;40;14","00;01;41;11","And"
"00;01;41;11","00;01;41;19","with"
"00;01;41;19","00;01;42;03","that"
"00;01;42;03","00;01;42;11","being"
"00;01;42;11","00;01;42;27","said,"
"00;01;42;27","00;01;43;03","we"
"00;01;43;03","00;01;43;19","can jump"
"00;01;43;19","00;01;43;26","right"
"00;01;43;26","00;01;44;05","in"
"00;01;44;11","00;01;44;22","so"
"00;01;44;22","00;01;45;00","we can"
"00;01;45;00","00;01;45;19","go to"
"00;01;45;19","00;01;46;03","the"
"00;01;46;03","00;01;47;09","introductions"
"00;01;47;09","00;01;47;19","and"
"00;01;47;19","00;01;47;24","we'll"
"00;01;47;24","00;01;48;15","just"
"00;01;48;24","00;01;49;09","maybe"
"00;01;49;09","00;01;49;15","go"
"00;01;49;15","00;01;50;01","around,"
"00;01;50;01","00;01;50;13","introduce"
"00;01;50;13","00;01;50;25","ourselves,"
"00;01;50;25","00;01;51;02","say"
"00;01;51;02","00;01;51;23","hello"
"00;01;51;23","00;01;52;01","and"
"00;01;52;01","00;01;52;09","then"
"00;01;52;09","00;01;52;17","end"
"00;01;52;17","00;01;53;01","with"
"00;01;53;01","00;01;53;19","Alex"
"00;01;53;19","00;01;54;02","and"
"00;01;54;02","00;01;54;13","Alex"
"00;01;54;13","00;01;54;28","would be"
"00;01;54;28","00;01;55;07","happy"
"00;01;55;07","00;01;55;10","to"
"00;01;55;10","00;01;55;17","hear"
"00;01;55;17","00;01;55;29","your"
"00;01;55;29","00;01;56;16","thoughts"
"00;01;56;16","00;01;56;29","or"
"00;01;56;29","00;01;57;21","reflections"
"00;01;57;21","00;01;58;06","in this"
"00;01;58;06","00;01;58;18","past"
"00;01;58;18","00;01;58;28","week."
"00;01;58;28","00;01;59;28","So I'm"
"00;01;59;28","00;02;00;21","Daniel."
"00;02;00;21","00;02;01;00","I'm a"
"00;02;01;00","00;02;01;20","post-doctoral"
"00;02;01;20","00;02;02;08","researcher"
"00;02;02;08","00;02;02;18","in"
"00;02;02;18","00;02;03;16","California."
"00;02;03;16","00;02;03;22","And"
"00;02;03;22","00;02;03;26","I'll"
"00;02;03;26","00;02;04;05","pass"
"00;02;04;05","00;02;04;13","to"
"00;02;04;13","00;02;04;23","Dean"
"00;02;06;20","00;02;06;25","Hi"
"00;02;06;25","00;02;07;05","folks."
"00;02;07;05","00;02;07;18","I'm"
"00;02;07;18","00;02;07;28","Dean."
"00;02;07;28","00;02;08;02","I'm"
"00;02;08;02","00;02;08;10","from"
"00;02;08;10","00;02;08;28","Calgary."
"00;02;08;28","00;02;10;11","And"
"00;02;11;04","00;02;11;18","yeah,"
"00;02;11;18","00;02;11;24","I'll"
"00;02;11;24","00;02;12;07","pass"
"00;02;12;07","00;02;12;19","it to"
"00;02;12;19","00;02;13;10","Adam"
"00;02;15;19","00;02;15;27","I'm"
"00;02;15;27","00;02;16;11","Adam."
"00;02;16;11","00;02;17;16","I'm a"
"00;02;17;16","00;02;18;04","post-doctoral"
"00;02;18;04","00;02;18;26","researcher"
"00;02;18;26","00;02;20;05","at the"
"00;02;20;14","00;02;21;00","Johns"
"00;02;21;00","00;02;21;15","Hopkins"
"00;02;21;15","00;02;21;28","Center"
"00;02;21;28","00;02;22;21","for"
"00;02;22;21","00;02;23;08","Psychedelic"
"00;02;23;08","00;02;23;10","and"
"00;02;23;10","00;02;23;25","Consciousness"
"00;02;23;25","00;02;24;22","Science."
"00;02;26;26","00;02;27;04","And"
"00;02;27;04","00;02;27;25","Steven."
"00;02;28;25","00;02;29;03","Oh,"
"00;02;29;03","00;02;29;16","hello."
"00;02;29;16","00;02;29;25","I mean,"
"00;02;29;25","00;02;30;12","Steven,"
"00;02;30;12","00;02;30;18","I'm in"
"00;02;30;18","00;02;31;14","Toronto."
"00;02;31;14","00;02;32;00","I'm"
"00;02;32;00","00;02;33;09","a community"
"00;02;33;09","00;02;33;24","development"
"00;02;33;24","00;02;34;13","practitioner"
"00;02;34;13","00;02;34;26","owner"
"00;02;34;26","00;02;36;17","and a"
"00;02;36;18","00;02;36;27","flight"
"00;02;36;27","00;02;37;20","suit"
"00;02;37;24","00;02;38;19","artist,"
"00;02;38;19","00;02;39;00","and"
"00;02;39;00","00;02;39;05","I'm"
"00;02;39;05","00;02;39;11","doing"
"00;02;39;11","00;02;39;12","a"
"00;02;39;12","00;02;39;26","practice"
"00;02;39;26","00;02;40;16","based"
"00;02;40;18","00;02;40;21","at"
"00;02;40;21","00;02;41;14","the moment."
"00;02;41;17","00;02;41;26","And"
"00;02;41;26","00;02;42;03","I'll"
"00;02;42;03","00;02;42;25","pass"
"00;02;42;25","00;02;43;07","over"
"00;02;43;07","00;02;43;25","to"
"00;02;43;25","00;02;45;00","Alex."
"00;02;52;11","00;02;52;16","The"
"00;02;52;16","00;02;52;28","Alex"
"00;02;52;28","00;02;53;14","or"
"00;02;53;14","00;02;53;22","other"
"00;02;53;22","00;02;54;11","Alex."
"00;02;54;18","00;02;54;28","I think"
"00;02;54;28","00;02;55;02","you're"
"00;02;55;02","00;02;55;13","the only"
