"Start Time","End Time","Transcript"
"00;00;35;09","00;00;35;14","Go"
"00;00;35;14","00;00;35;20","for"
"00;00;35;20","00;00;35;27","it."
"00;00;36;28","00;00;37;07","Hello,"
"00;00;37;07","00;00;37;22","everyone."
"00;00;37;22","00;00;38;13","Welcome"
"00;00;38;13","00;00;38;28","to"
"00;00;38;28","00;00;39;15","Acton"
"00;00;39;15","00;00;40;00","Flab."
"00;00;40;00","00;00;40;21","Livestream"
"00;00;40;21","00;00;41;00","number"
"00;00;41;00","00;00;42;14","25.0."
"00;00;42;14","00;00;43;00","Today"
"00;00;43;00","00;00;43;06","is"
"00;00;43;06","00;00;45;06","July 1st 2021."
"00;00;45;06","00;00;45;11","And"
"00;00;45;11","00;00;45;14","we're"
"00;00;45;14","00;00;45;22","going"
"00;00;45;22","00;00;45;28","to be"
"00;00;45;28","00;00;46;09","talking"
"00;00;46;09","00;00;46;16","about"
"00;00;46;16","00;00;46;21","this"
"00;00;46;21","00;00;47;16","paper,"
"00;00;47;16","00;00;47;21","the"
"00;00;47;21","00;00;48;14","computational"
"00;00;48;14","00;00;49;00","boundary"
"00;00;49;00","00;00;49;04","of"
"00;00;49;04","00;00;49;29","a self"
"00;00;49;29","00;00;50;23","developmental"
"00;00;50;23","00;00;51;01","bio"
"00;00;51;01","00;00;51;25","electricity"
"00;00;51;25","00;00;52;09","drives,"
"00;00;52;09","00;00;53;16","multicellularity"
"00;00;53;16","00;00;53;25","and"
"00;00;53;25","00;00;54;09","skill"
"00;00;54;09","00;00;54;21","free"
"00;00;54;21","00;00;56;02","cognition"
"00;00;56;02","00;00;56;16","blue."
"00;00;56;16","00;00;57;00","And"
"00;00;57;00","00;00;57;10","I'm"
"00;00;57;10","00;00;57;19","here"
"00;00;57;19","00;00;57;28","with"
"00;00;57;28","00;00;58;27","Daniel."
"00;00;59;04","00;01;00;07","Awesome."
"00;01;00;22","00;01;01;21","So"
"00;01;02;01","00;01;02;18","welcome"
"00;01;02;18","00;01;03;11","to the"
"00;01;03;11","00;01;03;20","Active"
"00;01;03;20","00;01;04;03","Inference"
"00;01;04;03","00;01;04;14","Lab,"
"00;01;04;14","00;01;05;03","everyone."
"00;01;05;03","00;01;05;22","We are"
"00;01;05;22","00;01;05;25","a"
"00;01;05;25","00;01;06;22","participatory"
"00;01;06;22","00;01;07;07","online"
"00;01;07;07","00;01;07;18","lab"
"00;01;07;18","00;01;07;29","that is"
"00;01;07;29","00;01;08;26","communicating,"
"00;01;08;26","00;01;09;14","learning"
"00;01;09;14","00;01;09;21","and"
"00;01;09;21","00;01;10;12","practicing"
"00;01;10;12","00;01;10;24","applied"
"00;01;10;24","00;01;11;03","active"
"00;01;11;03","00;01;12;04","inference."
"00;01;12;04","00;01;12;09","You"
"00;01;12;09","00;01;12;14","can"
"00;01;12;14","00;01;12;29","find us"
