"Speaker Name","Start Time","End Time","Transcript"
"Speaker 1","00;00;05;20","00;00;32;00","Hello, everyone. Welcome to Acton Slab Livestream number 25.2 today is July 13th 20, 21. And we're going to be talking about this paper, the computational boundary of a self developmental bio electricity drives, multicellularity and skill free cognition. We are here with the author, Mike Levin. We are a participatory online lab that is communicating, learning and practicing applied active inference."
"Speaker 1","00;00;32;11","00;00;55;22","You can find us at the links here on this page. This is a recorded and an archived live stream. So please provide us with feedback so that we can improve our work. All backgrounds and perspectives are welcome here and we will be following good video etiquette for live streams here. At the short link, you'll find all the live streams that we've done so far, and we're going to have a new series of live streams coming up in the next semester."
"Speaker 1","00;00;56;29","00;01;11;18","So we're going to be jumping off here with the author discussing this paper, and we will just do a brief round of introductions. I am Blue Knight and I am an independent research consultant based out of New Mexico."
"Speaker 2","00;01;14;27","00;01;25;18","My name is Sarah Davis. I'm a master's philosophy student at this point, past engineer and science artist just generally interested in how the world works. Michael."
"Speaker 3","00;01;26;16","00;01;38;04","Yeah, I'm Mike Lemon. I am professor in the biology department at Tufts University. I run the Allen discount center at Tufts, and I'm also in the associate faculty of the Peace Institute at Harvard."
"Speaker 1","00;01;40;01","00;01;50;26","Cool. So so what is something that you're excited to talk about today or something that you liked or remembered about the paper? Maybe give a heads up."
"Speaker 2","00;01;53;00","00;02;17;01","I'm the most interesting through line for me in all of Michael's work that I've looked at is this connection or this maybe tension. I don't know the way that the morphology plays with electricity. Just, yeah, which one's in the driver's seat or some kind of like understand how those two work together awesome."
"Speaker 1","00;02;17;01","00;02;22;27","Is there any, like, burning questions that you have that you want to start off with or otherwise I can just start, oh."
"Speaker 2","00;02;24;04","00;02;29;12","Now I can like that is going to happen down the road, that particular focus. So we yeah."
"Speaker 1","00;02;30;05","00;02;40;16","OK, so here we are on the paper we're going to be discussing today. How do multiple nested skills of individuality work yeah."
"Speaker 3","00;02;41;09","00;03;00;11","So I want to preface this by saying that and maybe, maybe this is obvious, but I just want to say that all of this is very much a work in progress. So I'm going to tell you what I think about these things, but I certainly am not claiming that this is all worked out or that I'm not going to change my mind at some point or that this is not going to develop in some fashion."
"Speaker 3","00;03;00;11","00;03;32;26","This is under under constant or constant work. So I think the fundamentals of all this are simply that there are multiple inter penetrating systems at different scales that are all present simultaneously. All of which can be profitably looked at as, as, as individuals. And so this diagram here sort of it looks like all it's saying is the mere fact of physical structures."
"Speaker 3","00;03;32;28","00;04;02;02","If you look you see organisms and within that you've got organs and cells. So so that's not the you know, that's sort of not the whole point of this. The point isn't merely that they're arranged this way, but that you've got some units and or some units have themselves some units, all of which are selves. And what I mean by them being selves is that the central claim of the paper is that they are to some extent so so not, not binary, but on, on a continuum of of agency, they are to some extent goal directed agents."
"Speaker 3","00;04;02;04","00;04;21;19","So they're trying to achieve certain things. And so when I say that they're nested, all of this simply means that you can have systems where the different parts are all actively trying to achieve various things in their own spaces. And we should talk about that. That's an important part that developed since this paper was written is this idea of different action spaces of these things are working in."
"Speaker 3","00;04;22;24","00;04;42;03","But, but they're nested in the sense that I think just because a higher level system requires the ball or is pursuing a goal, that doesn't mean the lower systems aren't doing it. And all of these things are in fact simultaneously doing our best to pursue various kinds of goals. So that's what I meant by multiple nested individuals."
"Speaker 1","00;04;43;10","00;05;09;16","Awesome. So is there a total 100% of individuality that gets partitioned? And something that I've been really interested in is how is information passed forward and backward across levels? Like is there some kind of course screening or like salience like dominates the information to pass forward. So how does that kind of information flow work?"
"Speaker 3","00;05;10;09","00;05;32;26","Yeah, so so the scaling and the relationship between layers is of course one of the most interesting things here. So one of the things we are currently trying to do both experimentally and with modeling, is to really show some very tight examples because this paper is largely qualitative, but we're now trying to show some very specific examples where where we can, we can actually track the scaling."
"Speaker 3","00;05;32;26","00;06;04;04","So so you have lower level subunits. So let's say you have cells that have only local metabolic goals. So all they know how to do is pursue some some energy level in a kind of homeostasis to stay alive. And so the question is how do you connect those in a way that is then going to give rise to a larger agent that has much larger scale goals that can be working towards a state of affairs and to be actually stressed by the failure to reach a state of affairs that is way bigger than any individual cell."
"Speaker 3","00;06;04;12","00;06;24;18","And so I'm not sure that there is any kind of conservation here in the sense that there's only a total amount that you sort of have to partition that among the levels. And that's all that there is. I mean, I'm not sure that's I would I would make that claim. I think that the total amount of individuality can change over time and it can rise and fall."
"Speaker 3","00;06;24;21","00;06;56;22","In fact, the boundaries between the different agents in chicken can grow and shrink. That was a significant part of the paper talking about that and why there's a couple there's a couple of interesting things that get passed upwards. And so to see it definitely kind of force screening in the sense that if you are a system whose arts are themselves competent in getting various things done despite changing conditions and so on, they're not just the hardwired mechanisms of actually competent to pursue specific outcomes despite perturbations."
"Speaker 3","00;06;57;07","00;07;20;12","What it means is that the larger system is now working in a much easier space in the sense that if it doesn't have to micro-manage all the micro states that that the individual pieces are doing, but it can rely on those components to get there, to get their job done, then what you're really working in is a much is a much lower dimensional, simpler space where problem solving gets easier."
"Speaker 3","00;07;20;17","00;07;46;03","And just as a simple biological example, you know, we now know that for example, in the in the temple, if you if you activate a signal that triggers if it happens to be by electric signal, that triggers AI information in another part of the embryo, let's say on the tail, then all kinds of interesting things will happen. It will it will build an AI, it will recruit cells that you never directly manipulate."
"Speaker 3","00;07;46;03","00;08;01;14","And so it's a local self-organization process that I will form, even though it's sitting in the middle of muscle instead of in the brain where it belongs. All of these things are going to happen anyway if you are if you're the larger and by the way, those temples can then see out of that, even though it's on the tail instead of in the head."
"Speaker 3","00;08;01;22","00;08;20;05","So if you are a system that needs to solve some problems in terms of I've got some ideas and I need to do this behavior that I'm doing. So if you don't have to micromanage all of those components and saying each cell of that I where exactly is going to go, what exactly it's going to attach to and so on."
"Speaker 3","00;08;20;13","00;08;43;23","If there is an effector that you have access to in Affordance, maybe that says build an AI and use larger systems don't need to know how that's going to happen. You can just trust that that is going to happen under a wide range of conditions. You have a much simpler space to work in in the problem solving. That's one of the things we're doing now is trying to map out some of the different spaces in which all these different agents are actually solving problems."
"Speaker 3","00;08;44;18","00;09;00;24","And trying to define what that what that means. It is also one of the things that gets passed up is this is this course horsetrading because of the lower level competency. So that's, I think, the key thing. And maybe we'll get to talking about what that does for evolution, because I think it's massively important."
"Speaker 1","00;09;03;07","00;09;04;05","No, sir."
"Speaker 2","00;09;04;07","00;09;45;22","I don't have a unfortunately they moved to change the interface. So I don't know where the hand is anymore in this. But one question that keeps coming up for me and in all the different realms of discussion about this is like, well, in particular with the bio electricity part, you use the word subroutine when you were talking about we think we're starting to understand that the whatever components works of how this works and and and also related to these nested bubbles and things like this, I, I just keep wondering if it's your sense from all of this work that you've done that in nature in, in in the communication between these levels, that there's any"
"Speaker 2","00;09;45;22","00;10;05;03","amount of abstraction or semantic layer that's needed for, for that to happen between levels and also with the electricity like subroutine implies that there's some kind of semantics that something has to rest on and that just keeps coming back to me. Do you have any sense about that?"
"Speaker 3","00;10;05;18","00;10;32;16","Yeah. So, so a couple of things. It's so one thing about electricity is that by electricity I think is interesting, not because it's in some sense of, you know, magical or there's some there's some things, you know, sort of being uniquely better about by electricity than biomechanical or biochemical modes of interaction. What I think is really interesting about electricity is that that is what is being used."
"Speaker 3","00;10;32;16","00;10;58;21","And, and perhaps these other modes, too, are too we don't know. But but electricity for sure is being used as the computational medium by which the lower levels bind together into higher level cognition. So all world of the higher systems, cognition, whatever level it may have. So what the electricity allows us to do is to directly peek into that computation."
"Speaker 3","00;10;58;21","00;11;14;23","And so I think that's why it's interesting, which is no surprise. I mean, that's exactly what people do of neural decoding. That's exactly what they hope, right, is that by tracking the electricity, they learn something about the information content of the global system. What is the, the animal or the or the human thinking about it. So it's exactly the same here."
"Speaker 3","00;11;14;23","00;11;44;17","So that's what's unique about electricity. And I think that what evolution discovered very early on is that and then it capitalize on that by pivoting it into into neural kinds of systems. And we do it in our computational devices and so on. Is that what evolution found really, really early is around the time of bacterial biofilms actually, is that now tricity is a is a great way to process information, to integrate information across distance and to do computations that shouldn't be a surprise to anybody."
"Speaker 3","00;11;45;01","00;12;12;15","So I don't know if I would claim that it has any kind of a formal syntax at these levels or anything like that. But what it definitely does to is a kind of when I say some routine, what I'm mostly leaning on is this idea of modularity, but not just modularity in form, because that's been discussed a lot in evolutionary developmental biology, but actually modularity of function."
"Speaker 3","00;12;12;24","00;12;33;21","So so the key that the thing the thing about a good subroutine is that you're going to when you activate the similar scheme, you can move along and assume that everything that's necessary to get that job done, given whatever local conditions or current events or whatever else is happening, that subroutine is going to encapsulate everything that's needed to get it done."
"Speaker 3","00;12;33;21","00;13;02;01","Meaning it's it's not just it's the difference between super people who code, it's the difference between sort of macro substitution where all you're doing is just, you know, it's a shorthand for a bunch of hard wired steps which plopping in. I don't think that's the, the magic here at all. I think what it is, is, is it's a degree of competency and that's subroutine routine to get something accomplished and that that has really, really important implications for involve ability and so on."
"Speaker 3","00;13;02;13","00;13;30;07","And what the by electricity allows you to do is to basically to have to have a language in which the system can call up such and such circuits with specific behaviors at different points or at different times. So that makes it that makes it really, really powerful. But the question of whether it has any kind of a flaw or all syntax or anything like that, I don't have a good answer for that."
"Speaker 2","00;13;31;07","00;13;56;01","I don't even mean like a formal syntax. It's it's almost like that. And this also holds true between these layers of these nested layers of organism or whatever. If there's if you have a sense that there's any abstraction there's any abstraction layer needed. And I guess you kind of answered it maybe by saying that electricity is this medium on, which things communicate or."
"Speaker 2","00;13;56;11","00;14;03;19","But yeah, anyway, that is I don't think it's an easy it's like easy to answer question, but that's the theme that keeps coming back to me."
"Speaker 3","00;14;03;19","00;14;30;23","So I think there's a lot of abstraction in the sense of in I don't know if this captures what you're asking about, but there's a lot of abstraction in the sense of generalization. In terms of another way to another way to say this is of bring me voltage itself. Let's just start with that. Voltage itself is an abstraction for cells because in fact people will often ask, I say there's a biological signal."
