"Start Time","End Time","Transcript"
"00;00;12;15","00;00;12;28","Hello"
"00;00;12;28","00;00;13;04","and"
"00;00;13;04","00;00;13;17","welcome,"
"00;00;13;17","00;00;14;08","everyone."
"00;00;14;08","00;00;14;26","This is"
"00;00;14;26","00;00;15;01","the"
"00;00;15;01","00;00;15;12","Active"
"00;00;15;12","00;00;15;23","Insurance"
"00;00;15;23","00;00;16;08","Lab."
"00;00;16;08","00;00;16;23","It is"
"00;00;16;23","00;00;17;03","active"
"00;00;17;03","00;00;17;14","inference."
"00;00;17;14","00;00;17;23","Live"
"00;00;17;23","00;00;18;00","live"
"00;00;18;00","00;00;18;10","stream"
"00;00;18;10","00;00;19;01","number"
"00;00;19;01","00;00;20;27","26.0"
"00;00;20;27","00;00;21;07","on"
"00;00;21;07","00;00;21;18","August"
"00;00;21;18","00;00;21;29","six,"
"00;00;21;29","00;00;23;21","2021."
"00;00;23;21","00;00;23;27","We're"
"00;00;23;27","00;00;24;02","going"
"00;00;24;02","00;00;24;09","to be"
"00;00;24;09","00;00;24;25","discussing"
"00;00;24;25","00;00;24;27","the"
"00;00;24;27","00;00;25;15","paper."
"00;00;25;15","00;00;25;27","Bayesian"
"00;00;25;27","00;00;26;12","Mechanics"
"00;00;26;12","00;00;26;14","for"
"00;00;26;14","00;00;27;01","Stationary"
"00;00;27;01","00;00;28;05","Processes."
"00;00;29;16","00;00;29;28","Welcome"
"00;00;29;28","00;00;30;07","to"
"00;00;30;07","00;00;30;18","Active"
"00;00;30;18","00;00;30;28","Inference"
"00;00;30;28","00;00;31;06","Live,"
"00;00;31;06","00;00;32;01","everyone."
"00;00;32;01","00;00;32;12","We are"
"00;00;32;12","00;00;33;09","a participatory"
"00;00;33;09","00;00;33;22","online"
"00;00;33;22","00;00;34;05","lab"
"00;00;34;05","00;00;34;14","that is"
"00;00;34;14","00;00;35;10","communicating,"
"00;00;35;10","00;00;35;29","learning"
"00;00;35;29","00;00;36;05","and"
"00;00;36;05","00;00;36;25","practicing"
"00;00;36;25","00;00;37;10","applied"
"00;00;37;10","00;00;37;20","active"
"00;00;37;20","00;00;38;17","inference."
"00;00;38;19","00;00;38;24","You"
"00;00;38;24","00;00;38;28","can"
"00;00;38;28","00;00;39;07","find"
"00;00;39;07","00;00;39;22","us at"
"00;00;39;22","00;00;39;25","the"
"00;00;39;25","00;00;40;21","links"
"00;00;40;27","00;00;41;07","on this"
"00;00;41;07","00;00;41;23","slide"
"00;00;42;12","00;00;43;08","This is a recorded"
"00;00;43;08","00;00;43;12","and"
"00;00;43;12","00;00;44;01","an archived"
"00;00;44;01","00;00;44;08","live"
"00;00;44;08","00;00;44;19","stream,"
"00;00;44;19","00;00;44;27","so"
"00;00;44;27","00;00;45;06","please"
"00;00;45;06","00;00;45;15","provide"
"00;00;45;15","00;00;45;18","us"
"00;00;45;18","00;00;46;05","with feedback"
"00;00;46;05","00;00;46;10","so"
"00;00;46;10","00;00;46;14","that"
"00;00;46;14","00;00;46;24","we can"
"00;00;46;24","00;00;47;09","improve"
"00;00;47;09","00;00;47;15","on"
"00;00;47;15","00;00;48;10","our work"
"00;00;50;00","00;00;50;19","All backgrounds"
