"Start Time","End Time","Transcript"
"00;00;07;04","00;00;07;15","Hello,"
"00;00;07;15","00;00;08;01","everyone."
"00;00;08;01","00;00;08;16","Welcome"
"00;00;08;16","00;00;09;00","to the"
"00;00;09;00","00;00;09;12","Active"
"00;00;09;12","00;00;09;25","Inference"
"00;00;09;25","00;00;10;19","Lab."
"00;00;10;21","00;00;11;02","Today"
"00;00;11;02","00;00;11;13","it is"
"00;00;11;13","00;00;12;19","August 10th,"
"00;00;12;19","00;00;13;29","2021,"
"00;00;13;29","00;00;14;15","and"
"00;00;14;15","00;00;14;22","we're"
"00;00;14;22","00;00;15;03","here"
"00;00;15;03","00;00;15;17","in"
"00;00;15;17","00;00;15;25","live"
"00;00;15;25","00;00;16;03","stream"
"00;00;16;03","00;00;16;11","number"
"00;00;16;11","00;00;17;16","26.1"
"00;00;17;16","00;00;18;05","discussing"
"00;00;18;05","00;00;18;17","Bayesian"
"00;00;18;17","00;00;19;01","mechanics"
"00;00;19;01","00;00;19;04","for"
"00;00;19;04","00;00;19;18","stationary"
"00;00;19;18","00;00;20;20","processes."
"00;00;21;19","00;00;22;00","Welcome"
"00;00;22;00","00;00;22;08","to the"
"00;00;22;08","00;00;22;17","Active"
"00;00;22;17","00;00;22;28","Inference"
"00;00;22;28","00;00;23;10","Lab."
"00;00;23;10","00;00;23;15","If"
"00;00;23;15","00;00;23;17","it's"
"00;00;23;17","00;00;23;24","your"
"00;00;23;24","00;00;24;13","first time"
"00;00;24;13","00;00;24;18","or"
"00;00;24;18","00;00;25;06","not,"
"00;00;25;16","00;00;26;00","we are"
"00;00;26;00","00;00;26;05","a"
"00;00;26;05","00;00;26;28","participatory"
"00;00;26;28","00;00;27;10","online"
"00;00;27;10","00;00;27;23","lab"
"00;00;27;23","00;00;28;05","that is"
"00;00;28;05","00;00;28;25","communicating,"
"00;00;28;25","00;00;29;13","learning"
"00;00;29;13","00;00;29;18","and"
"00;00;29;18","00;00;30;12","practicing"
"00;00;30;12","00;00;30;23","applied"
"00;00;30;23","00;00;31;00","active"
"00;00;31;00","00;00;31;24","inference."
"00;00;31;24","00;00;32;00","You"
"00;00;32;00","00;00;32;03","can"
