"Start Time","End Time","Transcript"
"00;00;07;18","00;00;08;08","Hello."
"00;00;08;08","00;00;08;19","Welcome"
"00;00;08;19","00;00;08;28","to the"
"00;00;08;28","00;00;09;07","item"
"00;00;09;07","00;00;09;17","flab"
"00;00;09;17","00;00;10;00","livestream"
"00;00;10;00","00;00;10;06","number"
"00;00;10;06","00;00;11;19","28.1."
"00;00;11;19","00;00;11;27","It's"
"00;00;11;27","00;00;12;25","September 7th."
"00;00;12;25","00;00;14;23","2021."
"00;00;14;23","00;00;15;04","Welcome"
"00;00;15;04","00;00;15;10","to the"
"00;00;15;10","00;00;15;18","Active"
"00;00;15;18","00;00;15;29","Inference"
"00;00;15;29","00;00;16;19","Lab."
"00;00;16;26","00;00;17;04","We are"
"00;00;17;04","00;00;17;06","a"
"00;00;17;06","00;00;18;07","participatory"
"00;00;18;07","00;00;18;22","online"
"00;00;18;22","00;00;19;09","lab"
"00;00;19;09","00;00;19;18","that is"
"00;00;19;18","00;00;20;07","communicating,"
"00;00;20;07","00;00;20;19","learning"
"00;00;20;19","00;00;20;23","and"
"00;00;20;23","00;00;21;12","practicing"
"00;00;21;12","00;00;21;27","applied"
"00;00;21;27","00;00;22;07","active"
"00;00;22;07","00;00;22;27","inference."
"00;00;22;27","00;00;23;01","You"
"00;00;23;01","00;00;23;06","can"
"00;00;23;06","00;00;23;13","find"
"00;00;23;13","00;00;23;16","us"
"00;00;23;16","00;00;23;21","at the"
"00;00;23;21","00;00;24;03","links"
"00;00;24;03","00;00;26;05","on this page"
"00;00;26;05","00;00;27;04","this is a recorded"
"00;00;27;04","00;00;27;11","and an"
"00;00;27;11","00;00;27;25","archived"
"00;00;27;25","00;00;28;00","live"
"00;00;28;00","00;00;28;09","stream,"
"00;00;28;09","00;00;28;16","so"
"00;00;28;16","00;00;28;25","please"
"00;00;28;25","00;00;29;04","provide"
"00;00;29;04","00;00;29;08","us"
"00;00;29;08","00;00;30;02","with feedback"
"00;00;30;02","00;00;30;08","so"
"00;00;30;08","00;00;30;15","we can"
"00;00;30;15","00;00;30;24","improve"
"00;00;30;24","00;00;30;27","our"
"00;00;30;27","00;00;31;17","work."
"00;00;31;29","00;00;32;05","All"
"00;00;32;05","00;00;32;21","backgrounds"
"00;00;32;21","00;00;32;24","and"
"00;00;32;24","00;00;33;12","perspectives"
"00;00;33;12","00;00;33;17","are"
"00;00;33;17","00;00;33;26","welcome"
"00;00;33;26","00;00;34;16","here"
"00;00;34;16","00;00;34;24","and"
"00;00;34;24","00;00;35;00","we'll"
"00;00;35;00","00;00;35;17","follow"
"00;00;35;17","00;00;35;27","video"
"00;00;35;27","00;00;36;12","etiquette"
"00;00;36;12","00;00;36;18","for"
"00;00;36;18","00;00;36;25","live"
"00;00;36;25","00;00;37;18","streams"
"00;00;38;03","00;00;38;18","today"
"00;00;38;18","00;00;38;27","on"
"00;00;38;27","00;00;39;28","September 7th"
"00;00;39;28","00;00;40;11","and"
"00;00;40;11","00;00;40;21","next"
"00;00;40;21","00;00;41;14","Tuesday,"
"00;00;41;14","00;00;41;18","we're"
"00;00;41;18","00;00;41;22","going"
"00;00;41;22","00;00;41;27","to be"
"00;00;41;27","00;00;42;13","discussing"
"00;00;42;13","00;00;42;20","this"
"00;00;42;20","00;00;43;03","paper"
"00;00;43;03","00;00;43;12","on"
"00;00;43;12","00;00;44;10","computational"
"00;00;44;10","00;00;45;15","phenomenology"
"00;00;45;15","00;00;45;27","then."
"00;00;45;27","00;00;46;02","We"
"00;00;46;02","00;00;46;10","haven't"
"00;00;46;10","00;00;46;16","set"
"00;00;46;16","00;00;46;28","the paper"
"00;00;46;28","00;00;47;28","for 29 yet,"
"00;00;47;28","00;00;48;03","and"
"00;00;48;03","00;00;48;07","then"
"00;00;48;07","00;00;48;14","we have"
"00;00;48;14","00;00;49;01","a few"
"00;00;49;01","00;00;49;14","papers"
"00;00;49;14","00;00;50;04","set"
"00;00;50;04","00;00;50;10","for"
"00;00;50;10","00;00;51;09","October."
"00;00;52;20","00;00;53;00","Today,"
"00;00;53;00","00;00;53;16","the goal"
"00;00;53;16","00;00;53;23","is"
"00;00;53;23","00;00;54;02","just"
"00;00;54;02","00;00;54;27","to"
"00;00;54;27","00;00;55;12","learn"
"00;00;55;12","00;00;55;20","and"
"00;00;55;20","00;00;56;05","discuss"
"00;00;56;05","00;00;56;12","this"
"00;00;56;12","00;00;56;20","very"
"00;00;56;20","00;00;57;04","cool"
"00;00;57;04","00;00;58;04","paper"
"00;00;58;04","00;00;58;16","towards"
"00;00;58;16","00;00;58;19","a"
"00;00;58;19","00;00;59;19","computational"
"00;00;59;19","00;01;00;15","phenomenology"
"00;01;00;15","00;01;00;19","of"
"00;01;00;19","00;01;00;29","mental"
"00;01;00;29","00;01;01;26","action"
"00;01;01;26","00;01;02;14","modeling,"
"00;01;02;14","00;01;02;24","meta"
"00;01;02;24","00;01;03;09","awareness"
"00;01;03;09","00;01;03;12","and"
"00;01;03;12","00;01;03;26","attentional"
"00;01;03;26","00;01;04;08","control"
"00;01;04;08","00;01;04;13","with"
"00;01;04;13","00;01;04;20","deep"
"00;01;04;20","00;01;05;07","parametric"
"00;01;05;07","00;01;05;17","active"
"00;01;05;17","00;01;06;16","inference."
"00;01;06;19","00;01;07;03","And"
"00;01;07;03","00;01;07;07","we're"
"00;01;07;07","00;01;07;14","really"
"00;01;07;14","00;01;07;29","appreciative"
"00;01;07;29","00;01;08;09","that"
"00;01;08;09","00;01;08;22","Lars,"
"00;01;08;22","00;01;09;18","the first"
"00;01;09;18","00;01;09;27","author,"
"00;01;09;27","00;01;10;11","is"
"00;01;10;12","00;01;10;19","here"
"00;01;10;19","00;01;10;25","to"
"00;01;10;25","00;01;11;06","discuss"
"00;01;11;06","00;01;11;11","with"
"00;01;11;11","00;01;11;29","us."
"00;01;12;13","00;01;12;19","So"
"00;01;12;19","00;01;12;24","we're"
"00;01;12;24","00;01;13;00","just"
"00;01;13;00","00;01;13;06","going"
"00;01;13;06","00;01;13;19","to"
"00;01;14;29","00;01;15;17","start"
"00;01;15;17","00;01;15;28","where"
"00;01;15;28","00;01;16;02","we"
"00;01;16;02","00;01;16;13","start"
"00;01;16;13","00;01;16;27","and go"
"00;01;16;27","00;01;17;20","from there,"
"00;01;17;20","00;01;18;09","I guess."
"00;01;18;09","00;01;18;24","I think"
"00;01;18;24","00;01;19;06","each of"
"00;01;19;06","00;01;19;19","us"
"00;01;19;19","00;01;20;00","here"
"00;01;20;00","00;01;20;11","probably"
"00;01;20;11","00;01;20;19","brought"
"00;01;20;19","00;01;20;26","some"
"00;01;20;26","00;01;21;16","questions,"
"00;01;21;16","00;01;22;13","and"
"00;01;22;15","00;01;22;28","anyone"
"00;01;22;28","00;01;23;02","who"
"00;01;23;02","00;01;23;19","has a"
"00;01;23;19","00;01;24;01","question"
"00;01;24;01","00;01;24;04","in"
"00;01;24;04","00;01;24;12","the live"
"00;01;24;12","00;01;24;18","chat"
"00;01;24;18","00;01;25;01","can ask"
"00;01;25;01","00;01;25;10","it."
"00;01;26;23","00;01;26;28","So"
"00;01;26;28","00;01;27;04","let's"
"00;01;27;04","00;01;27;26","just"
"00;01;28;05","00;01;28;18","introduce"
"00;01;28;18","00;01;29;28","ourselves"
"00;01;31;00","00;01;31;14","and"
"00;01;31;14","00;01;31;22","end"
"00;01;31;22","00;01;31;27","with"
"00;01;31;27","00;01;33;08","the author"
"00;01;33;08","00;01;33;18","and go"
"00;01;33;18","00;01;34;07","from there."
"00;01;34;09","00;01;35;08","So I'm"
"00;01;35;08","00;01;35;22","Daniel,"
"00;01;35;22","00;01;36;07","I'm a"
"00;01;36;07","00;01;37;04","post-doc"
"00;01;37;04","00;01;37;14","in"
"00;01;37;14","00;01;38;18","California,"
"00;01;38;18","00;01;38;24","and"
"00;01;38;24","00;01;39;01","I'll"
"00;01;39;01","00;01;39;16","pass it"
"00;01;39;16","00;01;39;27","to"
"00;01;39;27","00;01;40;21","Dean"
"00;01;42;11","00;01;42;20","Maury."
