"Speaker Name","Start Time","End Time","Transcript"
"Speaker 1","00;00;07;18","00;00;31;07","Hello. Welcome to the item flab livestream number 28.1. It's September 7th. 2021. Welcome to the Active Inference Lab. We are a participatory online lab that is communicating, learning and practicing applied active inference. You can find us at the links on this page this is a recorded and an archived live stream, so please provide us with feedback so we can improve our work."
"Speaker 1","00;00;31;29","00;01;06;01","All backgrounds and perspectives are welcome here and we'll follow video etiquette for live streams today on September 7th and next Tuesday, we're going to be discussing this paper on computational phenomenology then. We haven't set the paper for 29 yet, and then we have a few papers set for October. Today, the goal is just to learn and discuss this very cool paper towards a computational phenomenology of mental action modeling, meta awareness and attentional control with deep parametric active inference."
"Speaker 1","00;01;06;18","00;01;33;27","And we're really appreciative that Lars, the first author, is here to discuss with us. So we're just going to start where we start and go from there, I guess. I think each of us here probably brought some questions, and anyone who has a question in the live chat can ask it. So let's just introduce ourselves and end with the author and go from there."
"Speaker 1","00;01;34;09","00;01;42;18","So I'm Daniel, I'm a post-doc in California, and I'll pass it to Dean Maury."
"Speaker 2","00;01;42;20","00;02;01;09","I'm Dean, I'm retired, I'm in Calgary, I'm in Canada. And the work that I do ties in nicely with this idea of being able to bring some precision to how we learn. So I will say, who can I positive."
"Speaker 1","00;02;01;09","00;02;03;26","Of Dave de Mayo."
"Speaker 2","00;02;04;00","00;02;05;14","Is usually on mute."
"Speaker 1","00;02;05;20","00;02;22;10","And maybe takes the speech mode, which is fine. Right? But welcome Dave and we'll pass to Lars. So Lars, welcome to this discussion and just thanks again for joining. We're happy to hear any introduction and then we'll go from there."
"Speaker 3","00;02;23;19","00;02;43;23","Yeah, sure. Well, thanks. Excuse me. Thank you. Thanks for having me. I'm kind of excited to be here. Something fun a couple of hours ahead of us. Just sending regards from the other coauthors as well. Obviously, like a lot of these papers, this has emerged in collaboration with other people and they couldn't make it here today. So but I'm glad to be here."
"Speaker 3","00;02;43;23","00;03;09;12","So my name is Lars. I'm based at my affiliation is with the University of Lille in France. I'm doing my Ph.D. there. And my focus is explicitly on meditation, actually, and that's what I'm interested in. It's what brought me into academia. I had a first stint in academia and physics a while ago and kind of left it and went into corporate stuff for a little while."
"Speaker 3","00;03;09;12","00;03;36;02","And then was drawn back in by this. Interested in, in meditation. Sorry, there's a bit of background. I don't know if you can hear it, but yeah, I guess I'll leave it at that. The kind of genesis here was from that from that angle through meditation and ending up in Karl's lab and and asking questions around attention and better awareness through that lens of practice."
"Speaker 3","00;03;36;02","00;03;43;27","And that's where this kind of paper emerged from. So so we'll get into that little bit more detail cool."
"Speaker 1","00;03;44;03","00;03;57;06","And where did active inference come into play? Was it from something you were learning about from that practice perspective? Like you mentioned or a theory driven perspective? Or did a collaborator bring it to the table?"
"Speaker 3","00;03;58;02","00;04;30;03","It was a collaborator. So I, I sort of came into computational neuroscience looking explicitly to contribute to the field of meditation research. And so I'd reached out to a lab in New Alternatives Lab, who was one of the coauthors, and joined the lab there. And they had a like an ongoing relationship with conferences lab because Jeremy Matta is one of the coauthors here, did his postdoc over at UCLA."
"Speaker 3","00;04;30;18","00;04;52;29","And so they had a bit of an idea for an attention project using active inference. And I kind of came in not really knowing very much about it, but eager to learn. And then was sent off to London with a pretty open blank check, as it were, like see if you can figure out how to apply this to meditation and attention."
"Speaker 3","00;04;52;29","00;05;04;28","And we had some, some, some directions that we were thinking about. And then what ended up emerging was this hierarchical sort of deep parametric stuff oh."
"Speaker 1","00;05;05;06","00;05;07;21","Interesting how it kind of came to. Yeah."
"Speaker 3","00;05;08;10","00;05;22;12","It really was. Right, right, right place, right time. They were looking for somebody. The physics background with an interest in meditation and computational neuroscience. And I sent them an email and that was pretty much the extent of the interview process. And off I went."
"Speaker 1","00;05;26;29","00;05;41;24","Oh, well, welcome Stephen Dean or Stephen. And if you have a question, you can raise your hand or of course, anyone in the chat room maybe. Dean, did you want to talk about a crosswalk or something like that that."
"Speaker 2","00;05;42;03","00;06;20;13","I'm yeah, I want to do that later, but I don't mind asking. So click to get the background about the meditation piece because when I before I picked up the paper, what I was wondering about was how precision plays a role in learning and especially when you moving from novel contexts and trying to familiarize yourself with something. And so for me, my curiosity was around the idea that when you have the simple model and then you move to these more nested paradigms, you're kind of moving from the unplanned because you can't plan your perception to the plan."
