"Start Time","End Time","Transcript"
"00;00;09;00","00;00;09;18","Welcome"
"00;00;09;18","00;00;10;07","to the"
"00;00;10;07","00;00;10;20","Active"
"00;00;10;20","00;00;11;04","Inference"
"00;00;11;04","00;00;11;16","Lab"
"00;00;11;16","00;00;12;14","Livestream"
"00;00;12;14","00;00;13;02","number"
"00;00;13;02","00;00;15;03","29.2"
"00;00;15;03","00;00;15;17","today"
"00;00;15;17","00;00;15;29","is"
"00;00;15;29","00;00;18;18","September 28th 2021,"
"00;00;18;18","00;00;19;05","and we"
"00;00;19;05","00;00;19;15","will"
"00;00;19;15","00;00;19;22","be"
"00;00;19;22","00;00;20;12","discussing"
"00;00;20;12","00;00;20;15","the"
"00;00;20;15","00;00;21;01","paper"
"00;00;21;01","00;00;21;15","Active"
"00;00;21;15","00;00;22;19","Imprint"
"00;00;22;20","00;00;22;27","An"
"00;00;22;27","00;00;23;08","Active"
"00;00;23;08","00;00;23;23","Inference"
"00;00;23;23","00;00;24;07","Framework"
"00;00;24;07","00;00;24;11","for"
"00;00;24;11","00;00;24;19","Ant"
"00;00;24;19","00;00;25;03","Colony"
"00;00;25;03","00;00;25;20","Behavior"
"00;00;25;20","00;00;25;26","And"
"00;00;25;26","00;00;26;08","today"
"00;00;26;08","00;00;26;16","we are"
"00;00;26;16","00;00;27;01","here"
"00;00;27;01","00;00;27;11","with"
"00;00;27;11","00;00;27;16","the"
"00;00;27;16","00;00;27;27","first"
"00;00;27;27","00;00;28;22","author,"
"00;00;28;22","00;00;29;04","Daniel"
"00;00;29;04","00;00;29;28","Freeman."
"00;00;31;10","00;00;31;28","The Active"
"00;00;31;28","00;00;32;11","Inference"
"00;00;32;11","00;00;32;21","Lab"
"00;00;32;21","00;00;32;28","is the"
"00;00;32;28","00;00;33;23","participatory"
"00;00;33;23","00;00;34;05","online"
"00;00;34;05","00;00;34;17","lab"
"00;00;34;17","00;00;34;27","that is"
"00;00;34;27","00;00;35;21","communicating"
"00;00;35;21","00;00;36;09","learning"
"00;00;36;09","00;00;36;14","and"
"00;00;36;14","00;00;37;04","practicing"
"00;00;37;04","00;00;37;17","applied"
"00;00;37;17","00;00;37;27","active"
"00;00;37;27","00;00;38;19","inference."
"00;00;38;22","00;00;39;16","You can find us"
"00;00;39;16","00;00;39;21","that"
"00;00;39;21","00;00;40;11","all of"
"00;00;40;11","00;00;40;12","the"
"00;00;40;12","00;00;41;02","links"
"00;00;41;02","00;00;41;18","down"
"00;00;41;18","00;00;42;14","here."
"00;00;43;01","00;00;44;03","This is a recorded"
"00;00;44;03","00;00;44;13","and an"
"00;00;44;13","00;00;45;00","archived"
"00;00;45;00","00;00;46;01","livestream"
"00;00;46;01","00;00;46;06","so"
"00;00;46;06","00;00;46;15","please"
"00;00;46;15","00;00;46;26","provide"
"00;00;46;26","00;00;46;29","us"
"00;00;46;29","00;00;47;17","with feedback"
"00;00;47;17","00;00;47;23","so"
"00;00;47;23","00;00;47;26","that"
"00;00;47;26","00;00;48;13","we can"
"00;00;48;18","00;00;49;02","improve"
"00;00;49;02","00;00;49;10","upon"
"00;00;49;10","00;00;49;14","our"
"00;00;49;14","00;00;49;25","work."
"00;00;50;08","00;00;50;16","All"
"00;00;50;16","00;00;51;08","backgrounds"
"00;00;51;08","00;00;51;20","and"
"00;00;51;20","00;00;52;11","perspectives"
"00;00;52;11","00;00;52;16","are"
"00;00;52;16","00;00;53;15","welcome here"
"00;00;53;15","00;00;53;27","and"
"00;00;53;27","00;00;54;05","we will"
"00;00;54;05","00;00;54;09","be"
"00;00;54;09","00;00;54;25","following"
