"Speaker Name","Start Time","End Time","Transcript"
"Unknown","00;00;00;01","00;00;41;01","It's life OK? It is. Hello and welcome, everyone. Thank you to joining the active and Vince love is October 1st 2021 and I'm Daniel I'm here with blue and we're going to be talking about this paper how to count biological minds Symbiosis, the free Energy Principle and Reciprocal Multi Scale Integration. Welcome to the Active Inference Lab. We are a participatory online lab that is communicating, learning and practicing applied active inference."
"Unknown","00;00;41;15","00;01;04;04","You can find us at the links here on this page. This is a recorded and an archived livestream so please provide us with feedback so that we can be improving our work. All backgrounds and perspectives are welcome here and we'll be following good video etiquette for lectures we are heading into October and the number 30 paper about biological mines."
"Unknown","00;01;04;25","00;01;33;01","We currently have the author Matt Sims scheduled to come on the October 5th discussion and then we'll have the 30.2 another participatory group discussion. So check out the calendar here as well as these other series if you want to join or suggest somebody who we can invite today in item stream number 30.0. The goal is to learn and discuss this paper, How to Count Biological Minds."
"Unknown","00;01;34;06","00;01;57;03","And it's by Matthew Sims it's from 2020 in the journals and these and just like all the other dot zero videos, this is just an introduction to some of the ideas some background that Blue and I whipped together literally leading up to the time of now. So it's just an introduction. And if you want to go deeper into an idea then come to the discussion."
"Unknown","00;01;57;26","00;02;24;20","We're going to go over the aims and claims abstracts roadmap of the paper and then the figures and so on. So let's just get started with the introduction. Greetings Blue. And what makes you excited about this paper? You know, Daniel, I'm always interested in studying intelligence and how that scales from the sub cellular to the systemic ecosystem level."
"Unknown","00;02;25;23","00;02;55;12","And so this is kind of an interesting take and it echoes a lot of what we talked about in the discussion of Mike Levin's paper, The Computational Boundary of the Self back in July. So I was excited that Matthew agreed to come on the livestream, and I've been excited about this paper just because it takes out of inference the multi skill aspect of active inference in a really enhanced integrative direction."
"Unknown","00;02;56;17","00;03;25;06","How about you? What did you like? I liked that it combined some general ideas and questions in philosophy philosophy of biology, and then tied it to the natural history of a specific species. So it's all good, you know, make claims about distributed systems with the microbiome and the host in general, but then tying it to a system that can be studied and has a cool ecological history is a good approach."
"Unknown","00;03;25;15","00;03;57;28","Kind of grounds the paper. Here's the paper and how to count biological minds. Symbiosis. The free energy principle and reciprocal multi skill integration. I'll read the first aim of the blue. You can say something and read the other ones to support the notion of symbiotic minds and the notion of nested biological cognizance that falls out of it. This paper will develop and deploy the notion of reciprocal multi scale integration from within the free energy principle."
"Unknown","00;03;59;08","00;04;20;01","Reciprocal multi skill integration describes the case where each of two or more cognizance systems uses the other to provide evidence for its own model of the world and itself. Acting in that world as a case study in support of the notion of symbiotic minds, I will look at the symbiosis of Vibrio fish, dry bacteria and the bobtail squid."
"Unknown","00;04;20;17","00;04;51;25","I will argue that the Vibrio squid assemblage constitutes a functionally integrated cognitive whole, the markup blanket of which constrains those of Vibrio and the squid, and in showing how the notion of a symbiotic mind can be supported by reciprocal multi scale integration within the energy principle this paper contributes to the philosophy of cognitive science, demonstrating that our folk psychological conception of what cognize what cognizance are require rethinking."
"Unknown","00;04;52;12","00;05;24;05","Moreover, if the account of symbiotic colonizers presented as tenable by bringing into relief and accounting for at least one possible transition cognition, this paper contributes to a more complete understanding of the evolution of cognition so cool claims and again, the kind of to have to it of the general argument and the specific and symbiosis and ecological association have been approached in the free energy principle framework."
"Unknown","00;05;24;05","00;06;02;25","But I think this reciprocal component, its approach a little differently here than probably in some works, but we'll get into that OK, I'll do the first abstract one. The notion of a physiological individual has been developed and applied in the philosophy of biology. To understand symbiosis and understanding of which is key to theorizing about the major transitions in evolution from multi-organ his malady to multicellularity the paper begins by asking what such symbiotic individuals can help to reveal about a possible transition in the evolution of cognition."
"Unknown","00;06;04;13","00;06;28;25","It makes me think about the transition from a solitary insect cognition to a colony. So there's that change in the level of organization, and then it is that purely cognitive to cognitive changes precede it. Did they follow? What is the relationship between the evolutionary, the physiological and the cognitive changes? Is what the first part is getting it the second part."
"Unknown","00;06;29;06","00;07;03;23","Such a transition marks the movement from cooperating individual biological cognizance to functionally integrated cognizance unit somewhere along the way that such cognizant units simultaneously have cognizance as parts expanding upon the multi scale integration view of the free energy principle. This paper develops an account of reciprocal integration, demonstrating how some couple of biological cognizance systems when certain constraints are met can result in a cognizant unit that is in ways greater than the sum of its organizing parts."
"Unknown","00;07;04;14","00;07;31;17","And yet this paper just shouts out a lot to success. Mary versus Maria can say as much in the next month. And you know, the major transitions that we've seen, which is if you haven't read that book or thought about those transitions, I mean, you can even probably pick up the summary. But it's really amazing to think about the evolution in terms of the transition from single celled to multi cell and, you know, from asexual to sexual reproduction."
