"Start Time","End Time","Transcript"
"00;00;30;00","00;00;30;12","Hello"
"00;00;30;12","00;00;30;24","and"
"00;00;30;24","00;00;31;07","welcome"
"00;00;31;07","00;00;31;24","everyone"
"00;00;31;24","00;00;32;05","to"
"00;00;32;05","00;00;32;18","act in"
"00;00;32;18","00;00;32;29","flight"
"00;00;32;29","00;00;33;17","livestream"
"00;00;33;17","00;00;33;26","number"
"00;00;33;26","00;00;35;11","32.3."
"00;00;35;11","00;00;35;18","It's"
"00;00;35;18","00;00;37;18","December 16th 2021"
"00;00;37;26","00;00;38;15","and"
"00;00;38;15","00;00;39;12","we are"
"00;00;39;12","00;00;39;19","really"
"00;00;39;19","00;00;40;00","excited"
"00;00;40;00","00;00;40;08","to be"
"00;00;40;08","00;00;40;15","here"
"00;00;40;15","00;00;41;05","with"
"00;00;41;05","00;00;41;27","Connor,"
"00;00;41;27","00;00;42;08","one of"
"00;00;42;08","00;00;42;14","the"
"00;00;42;14","00;00;43;18","authors"
"00;00;43;29","00;00;44;09","today."
"00;00;44;09","00;00;44;13","We'll"
"00;00;44;13","00;00;44;21","just"
"00;00;44;21","00;00;45;08","jump"
"00;00;45;08","00;00;45;18","right"
"00;00;45;18","00;00;45;29","into"
"00;00;45;29","00;00;46;08","it."
"00;00;46;21","00;00;47;07","Our"
"00;00;47;07","00;00;47;21","goal"
"00;00;47;21","00;00;48;00","is"
"00;00;48;00","00;00;49;02","to be"
"00;00;49;10","00;00;49;22","learning"
"00;00;49;22","00;00;49;29","and"
"00;00;49;29","00;00;51;00","discussing"
"00;00;51;00","00;00;51;11","this"
"00;00;51;11","00;00;51;21","awesome"
"00;00;51;21","00;00;52;04","paper"
"00;00;52;04","00;00;52;22","stochastic"
"00;00;52;22","00;00;53;06","chaos"
"00;00;53;06","00;00;53;12","and"
"00;00;53;12","00;00;53;24","markup"
"00;00;53;24","00;00;54;11","blankets"
"00;00;54;11","00;00;54;22","from"
"00;00;54;22","00;00;55;17","2021"
"00;00;55;17","00;00;56;01","with"
"00;00;56;01","00;00;56;11","Carl"
"00;00;56;11","00;00;56;19","Frist"
"00;00;56;19","00;00;56;25","and"
"00;00;56;25","00;00;57;05","Connor"
"00;00;57;05","00;00;57;28","Hynes"
"00;00;57;28","00;00;58;19","cohorts"
"00;00;58;19","00;00;59;10","offer"
"00;00;59;10","00;00;59;23","Lancelot"
"00;00;59;23","00;00;59;26","to"
"00;00;59;26","00;01;00;10","Costa"
"00;01;00;10","00;01;00;17","and"
"00;01;00;17","00;01;00;29","Thomas"
"00;01;00;29","00;01;01;22","part."
"00;01;02;02","00;01;02;18","And"
"00;01;02;18","00;01;03;02","we had"
"00;01;03;02","00;01;05;18","a .0.12"
"00;01;05;27","00;01;06;06","on"
"00;01;06;06","00;01;06;13","this"
"00;01;06;13","00;01;07;04","paper"
"00;01;07;04","00;01;07;09","and"
"00;01;07;09","00;01;07;20","today"
"00;01;07;20","00;01;07;24","we're"
"00;01;07;24","00;01;08;07","just"
"00;01;08;07","00;01;08;18","excited"
"00;01;08;18","00;01;08;21","to"
"00;01;08;21","00;01;09;00","have"
"00;01;09;00","00;01;09;10","a dot"
"00;01;09;10","00;01;10;02","three."
"00;01;10;02","00;01;10;09","So"
"00;01;10;09","00;01;10;26","we'll have"
"00;01;10;26","00;01;11;03","a"
"00;01;11;03","00;01;11;29","presentation"
"00;01;11;29","00;01;12;08","by"
"00;01;12;08","00;01;12;23","Connor"
"00;01;12;23","00;01;13;01","when"
"00;01;13;01","00;01;13;06","we'll"
"00;01;13;06","00;01;14;08","all be"
"00;01;14;08","00;01;14;29","providing"
"00;01;14;29","00;01;15;10","our"
"00;01;15;10","00;01;15;25","regime"
"00;01;15;25","00;01;15;29","of"
"00;01;15;29","00;01;16;26","attention"
"00;01;16;26","00;01;17;07","and"
"00;01;17;07","00;01;17;17","writing"
"00;01;17;17","00;01;17;27","down"
"00;01;17;27","00;01;18;06","any"
"00;01;18;06","00;01;18;20","questions"
"00;01;18;20","00;01;18;23","and"
"00;01;18;23","00;01;19;07","comments"
"00;01;19;07","00;01;20;06","we have"
"00;01;20;06","00;01;20;14","and"
"00;01;20;14","00;01;20;22","writing"
"00;01;20;22","00;01;20;27","any"
"00;01;20;27","00;01;21;13","questions"
"00;01;21;13","00;01;21;16","in"
"00;01;21;16","00;01;21;26","the live"
"00;01;21;26","00;01;22;05","chat"
"00;01;22;05","00;01;22;17","if we would"
"00;01;22;17","00;01;23;07","like."
"00;01;23;10","00;01;23;16","And"
"00;01;23;16","00;01;23;25","then"
"00;01;23;25","00;01;24;05","we will"
"00;01;24;05","00;01;24;21","have a"
"00;01;24;21","00;01;25;07","discussion"
"00;01;25;07","00;01;25;14","to"
"00;01;25;14","00;01;25;22","kind"
"00;01;25;22","00;01;26;05","of"
"00;01;26;23","00;01;27;03","follow"
"00;01;27;03","00;01;27;15","up on"
"00;01;27;15","00;01;27;17","the"
"00;01;27;17","00;01;28;17","presentation."
"00;01;28;17","00;01;29;05","So"
"00;01;29;05","00;01;29;16","Connor,"
"00;01;29;16","00;01;29;27","thank you"
"00;01;29;27","00;01;30;10","for"
"00;01;30;10","00;01;30;23","joining"
"00;01;30;23","00;01;31;03","and"
"00;01;31;03","00;01;31;13","please"
"00;01;31;13","00;01;31;19","take it"
"00;01;31;19","00;01;32;02","away"
"00;01;32;19","00;01;32;26","OK,"
"00;01;33;16","00;01;33;26","great."
"00;01;33;26","00;01;34;05","Thanks,"
"00;01;34;05","00;01;34;16","Daniel."
"00;01;34;16","00;01;34;23","Thanks"
"00;01;34;23","00;01;34;26","for"
"00;01;34;26","00;01;35;04","having"
"00;01;35;04","00;01;35;09","me."
"00;01;35;09","00;01;35;13","I'm"
"00;01;35;13","00;01;35;18","really"
"00;01;35;18","00;01;35;27","happy"
"00;01;35;27","00;01;36;15","to be"
"00;01;36;15","00;01;36;24","back."
"00;01;36;24","00;01;37;07","This is my"
"00;01;37;07","00;01;37;17","second"
"00;01;37;17","00;01;38;07","time"
"00;01;38;16","00;01;38;21","on"
"00;01;38;21","00;01;39;08","the stream,"
"00;01;39;08","00;01;39;22","so"
"00;01;39;22","00;01;39;28","it's"
"00;01;39;28","00;01;40;06","nice"
"00;01;40;06","00;01;40;15","to be"
"00;01;40;15","00;01;40;23","here."
"00;01;42;17","00;01;43;00","OK,"
"00;01;43;00","00;01;43;04","I'm"
"00;01;43;04","00;01;43;07","going"
"00;01;43;07","00;01;43;09","to"
"00;01;43;09","00;01;43;17","share"
"00;01;43;17","00;01;43;21","my"
"00;01;43;21","00;01;43;25","whole"
"00;01;43;25","00;01;44;28","screen"
"00;01;45;28","00;01;46;07","and"
"00;01;46;11","00;01;47;09","now"
"00;01;49;03","00;01;49;11","here's"
"00;01;49;11","00;01;49;13","the"
"00;01;49;13","00;01;50;28","presentation."
"00;01;51;11","00;01;51;19","Looks"
"00;01;51;19","00;01;51;28","good."
"00;01;51;28","00;01;52;13","Thank you."
"00;01;52;13","00;01;52;28","That's"
"00;01;53;29","00;01;54;09","OK."
"00;01;54;09","00;01;54;17","Cool."
"00;01;54;17","00;01;54;23","So"
"00;01;54;23","00;01;55;03","yeah,"
"00;01;55;03","00;01;55;10","OK."
"00;01;55;10","00;01;55;15","Could"
"00;01;55;15","00;01;55;19","you"
"00;01;55;19","00;01;56;05","maybe"
"00;01;56;05","00;01;56;13","worse"
"00;01;56;13","00;01;56;16","as"
"00;01;56;16","00;01;57;00","hide"
"00;01;57;00","00;01;58;00","immediacy"
"00;01;58;00","00;01;58;04","is"
"00;01;58;06","00;01;58;14","sharing"
"00;01;58;14","00;01;58;17","your"
"00;01;58;17","00;01;58;27","screen."
"00;01;58;27","00;01;59;12","Yeah."
"00;01;59;12","00;01;59;26","Yep."
"00;01;59;26","00;02;00;07","And"
"00;02;01;00","00;02;01;07","hit"
"00;02;01;07","00;02;01;16","hide."
"00;02;01;16","00;02;02;04","Yeah."
"00;02;04;11","00;02;04;24","The whole thing"
"00;02;04;24","00;02;05;06","disappeared."
"00;02;05;06","00;02;05;15","But"
"00;02;05;22","00;02;06;03","yeah."
"00;02;06;03","00;02;06;15","OK,"
"00;02;06;15","00;02;07;00","perfect."
"00;02;07;00","00;02;07;09","We're"
"00;02;07;09","00;02;07;16","back,"
"00;02;07;16","00;02;07;26","right?"
"00;02;07;26","00;02;08;05","Yep."
"00;02;08;05","00;02;09;08","Thank you."
"00;02;09;23","00;02;09;29","Yes."
"00;02;09;29","00;02;10;20","So as"
"00;02;10;20","00;02;10;29","Daniel"
