"Start Time","End Time","Transcript"
"00;00;32;28","00;00;33;09","Hello"
"00;00;33;09","00;00;33;18","and"
"00;00;33;18","00;00;34;01","welcome"
"00;00;34;01","00;00;34;23","to the"
"00;00;34;23","00;00;35;01","Active"
"00;00;35;01","00;00;35;11","Inference"
"00;00;35;11","00;00;35;26","Lab."
"00;00;35;26","00;00;36;07","This is"
"00;00;36;07","00;00;36;18","Active"
"00;00;36;18","00;00;37;01","Lab"
"00;00;37;01","00;00;37;18","Livestream"
"00;00;37;18","00;00;38;05","number"
"00;00;38;05","00;00;40;20","32.1321."
"00;00;41;04","00;00;41;25","Stochastic"
"00;00;41;25","00;00;42;11","Chaos"
"00;00;42;11","00;00;42;24","in"
"00;00;42;24","00;00;43;07","Marker"
"00;00;43;07","00;00;44;05","Blankets."
"00;00;45;14","00;00;45;26","Welcome"
"00;00;45;26","00;00;46;10","to the"
"00;00;46;10","00;00;46;19","Active"
"00;00;46;19","00;00;46;29","Inference"
"00;00;46;29","00;00;47;17","Lab."
"00;00;47;24","00;00;48;10","We are"
"00;00;48;10","00;00;48;12","a"
"00;00;48;12","00;00;49;09","participatory"
"00;00;49;09","00;00;49;23","online"
"00;00;49;23","00;00;50;13","lab"
"00;00;50;13","00;00;50;24","that is"
"00;00;50;24","00;00;51;22","learning,"
"00;00;51;25","00;00;53;02","communicating"
"00;00;53;02","00;00;53;12","and"
"00;00;53;12","00;00;53;29","practicing"
"00;00;53;29","00;00;54;11","applied"
"00;00;54;11","00;00;54;20","active"
"00;00;54;20","00;00;55;15","inference."
"00;00;55;17","00;00;55;21","You"
"00;00;55;21","00;00;55;25","can"
"00;00;55;25","00;00;56;09","find us"
"00;00;56;09","00;00;56;16","at"
"00;00;56;16","00;00;56;25","some of"
"00;00;56;25","00;00;56;28","the"
"00;00;56;28","00;00;57;10","links"
"00;00;57;10","00;00;57;19","here"
"00;00;57;19","00;00;57;29","on this"
"00;00;57;29","00;00;58;25","slide."
"00;00;59;09","00;01;00;11","This is a recorded"
"00;01;00;11","00;01;00;17","and"
"00;01;00;17","00;01;01;08","an archived"
"00;01;01;08","00;01;01;17","live"
"00;01;01;17","00;01;02;03","stream,"
"00;01;02;07","00;01;02;14","so"
"00;01;02;14","00;01;02;23","please"
"00;01;02;23","00;01;03;02","provide"
"00;01;03;02","00;01;03;06","us"
"00;01;03;06","00;01;03;23","with feedback"
"00;01;03;23","00;01;03;28","so"
"00;01;03;28","00;01;04;02","that"
"00;01;04;02","00;01;04;14","we can"
"00;01;04;14","00;01;04;28","improve"
"00;01;04;28","00;01;05;05","on our"
"00;01;05;05","00;01;05;25","work."
"00;01;06;09","00;01;06;15","All"
