"Speaker Name","Start Time","End Time","Transcript"
"Speaker 1","00;00;04;16","00;00;04;25","Pinch."
"Speaker 2","00;00;34;06","00;01;04;24","All right. Hello, everyone. Welcome to Active Flab Live stream number 34.2. It's December 14th. 2021. Welcome to the Acton flap. We are a participatory online lab that is communicating, learning and practicing applied active inference. You can find us at some of the links here on this slide. This is a recorded and an archived live stream so please provide us with feedback so that we can improve our work."
"Speaker 2","00;01;05;28","00;01;32;13","All backgrounds and perspectives are welcome here and will be following good video etiquette for livestreams. If you check out this code, a link which I will post into the YouTube live chat right now. You can see a lot of information on past, present and future live streams and also more information on if you want to participate because that's what a participatory lab is."
"Speaker 2","00;01;32;13","00;02;18;13","If you're hearing this, you have the affordance to get involved today in active stream 34.2. We're going to be having our third discussion on the paper Free Energy Principle. It's not about what it takes. It's about what took you there by Axel Constant from 2021 and we're just going to be having a fun too jumping off will go over any parts of the paper that we want to look at return to some of the formalisms and then also we've written down a few questions specifically to address but of course anything people raise or anything that people ask in the live chat we can get to that and usually it says next week we will discuss"
"Speaker 2","00;02;18;13","00;02;46;06","other papers or we'll be discussing the same paper. But actually it's next year because this is the last regularly scheduled weekly journal discussion that we're doing. And we'll have a little bit of an encore on this Thursday with 32.3 when Connor Hinds will join for a dot three. That's kind of like the triple jump, the hop, skip and the jump rather than just the mere jump."
"Speaker 2","00;02;46;22","00;03;25;19","But this is kind of the ending of a really awesome year of discussions, and we haven't quite set which papers to discuss next year. So if you have suggestions or you want to get involved in the dot coms organizational unit where we make these kinds of decisions collectively, then just contact us through any channel OK, so we'll begin within introductions and warmup section so people can say hello and they can address any of these warmup questions like what they're excited to talk about today or just anything else they want to mention."
"Speaker 2","00;03;26;10","00;03;51;10","So this should be fun and thanks to everybody who's joining on the video stream and those who are watching live on YouTube. So I'll start. I'm Daniel. I'm a researcher in California. And I think today I'm a little bit excited about talking about how we got here, where we are then where we go what is the free energy principle and active inference say about where we go?"
"Speaker 2","00;03;52;02","00;03;53;19","And I'll pass to Blue."
"Speaker 3","00;03;56;04","00;04;12;28","I Am Blue. I'm an independent research consultant in New Mexico, and I am excited to talk about the difference between living and non-living systems and where FFP may come into play."
"Speaker 1","00;04;12;28","00;04;15;11","There you."
"Speaker 2","00;04;18;18","00;04;19;20","All right. About the."
"Speaker 1","00;04;20;16","00;04;27;04","Site I actually."
"Speaker 2","00;04;27;04","00;04;30;24","Don't hear Dean go ahead. Hi."
"Speaker 4","00;04;31;04","00;04;57;11","Sorry about that. I'm Dean. I'm obviously not fully awake and I'm still warming up because I'm in Canada in the mountains and it's snowing as we speak. What's interesting to me about this paper and about its role in terms of FFP and active inference is so once we have identified the Entailment problem, then what happens? And I'll pass it over to Stephen."
"Speaker 5","00;04;59;08","00;05;35;03","Hello, Stephen. Here I'm in Toronto and I'm interested in this reframing. I think this paper does. I think it's helpful maybe thinking about, you know, where was I in the river of life when something happened to take me to where I am? Rather sort of might be never fully known, but the principles might be useful. I like that rather than this is the calculation of what's happened, which is that temptation."
"Speaker 5","00;05;35;03","00;05;42;23","So I think there's something about that going on here. So I look forward to pursuing that more. I'm going to pass this over to Dave."
"Speaker 1","00;05;43;29","00;06;12;26","The two things I'm excited about are that in this city north of Manila, which has roughly the population of Pittsburgh or Anaheim or Manchester, we had one new case of COVID yesterday and zero today and also as soon as Daniel pulled his Pope Alexander the sixth routine and said, What will you make? And suddenly Maria and I are just barreling through the reaction of the seminar."
"Speaker 1","00;06;14;09","00;06;17;13","Whoo! Who is there anybody? That's all. Yeah, I."
"Speaker 2","00;06;17;21","00;06;52;13","Was just mentioning there the imminent completion of the first in symposium transcript where we're taking the symposium that we had earlier in the year. And enriching it into something that can be used for closed captioning as well as translations and enrichment and connections to other aspects of our knowledge base. So that will be very fun. And it also speaks to how we got here and where we're going, I think, because eventually we'll give that kind of a treatment to all of these live streams and that will be quite interesting."
"Speaker 2","00;06;53;01","00;07;26;15","So Stephen. Yes, please. I'm actually so because we're using a slightly different Jesse, let's just get all of our emojis out of the way. If you go to the hand and then you do emojis, it does like OK, perfect, disable sounds for all place, disable it. OK, now feel free to use emojis. You can signal by repeatedly clicking how shocked you are, for example, at what Dean says OK, Stephen, please yes."
"Speaker 5","00;07;27;11","00;07;50;24","OK, this actually it works a bit more cleanly as well. I think this this interface I was going to say that I'm interested as well. The question of scale. The question of scale. I think there's something in this is like we're saying is not how you got there? Well, what scale is you? Is it scale free? Is it scale friendly?"
"Speaker 5","00;07;50;24","00;08;31;28","I know we've been talking about that, but is there is this is this you like the royal one? Is it like a very broad term or is it something that's like very much at the scale of an agent? Is it across scales, nested scales? I'm not saying this necessarily goes into that, but I think because I'm interested in, OK, take in this philosophical underpinning, which at first looks like it adds an extra burden or becomes a side issue for a more applied context."
"Speaker 5","00;08;32;13","00;09;18;26","Actually, I think it does help just back up a bit. It helps back up. And in doing that backing up, I think it keeps us with that unifying principle approach rather than a unified theory temptation, which I think is what often happens to everyone. Right? So I think that keeping it at that slightly more nice and understanding may give us a way to like understand the types of principles that could be seen to have played a part which could therefore be seen to have been useful in other people trying to do something similar, which is not the same as a unified theory of why something happens."
"Speaker 2","00;09;20;22","00;09;21;24","Thanks, Stephen Dean."
"Speaker 4","00;09;26;22","00;10;08;18","So what the paper brings out for me, and it kind of ties into what Stephen was just saying is that you have an entailment question that you want to have answered. And now you have to think of that in terms of what's necessary and what's sufficient. If you look at that unit directionally, meaning through the course of time as the flow or the river or whatever metaphor you want to apply here, if you look at that one directionally, that's going to kick out one version and what this paper points out is that there's two directions at the same time."
"Speaker 4","00;10;08;18","00;10;55;18","So there's a relationship between meaning and a different form of entailment, not one causing the other necessarily, but the fact that there are two and now they are somehow relating to one another, which is which is a different animal. And so I think what I'm going to be really curious about in terms of the point two of ness of what we're doing here today is seeing whether or not we can address what each one of those things, one you know, ladder unit directionally through the course of time and the other strictly relationally in terms of how to how do two things that we know are present interact with one another."
"Speaker 4","00;10;55;18","00;11;09;00","I'm going to be really curious to see what other people think might be the difference between those two very two different views because I think that's what the author asks us to entertain is not just the one."
"Speaker 1","00;11;10;00","00;11;10;18","That both."
"Speaker 2","00;11;13;06","00;11;50;29","Who I think to to Stephen's question about scale, I think it's also a important thing to keep in mind. So the example in the paper, which we talked about in the zero and not one was this bacterium. So this is the toy example that shows that, first off, the differences between the Bayesian bacterium and the variational, Bayesian free energy minimizing bacterium and then shows how it's not simply sufficient to be minimizing free energy, but rather one has to be minimizing free energy with the appropriate priors."
"Speaker 2","00;11;51;12","00;12;16;29","So it's not enough to be doing just Bayesian statistics. You have to have the right priors in order to make the right kinds of decisions. And then the relationship between free energy minimization and life is what is discussed as the entailment problem. So we talked about those earlier. So just go back and check if you'd like. But what is the scale at which the Entailment problem is even applying?"
"Speaker 2","00;12;17;12","00;12;49;10","Is it the cell membrane of the bacterium? It just aligns perfectly with the physical scope of the agent, or is it the colony of bacteria, or is it the bacteria and its niche that has to be explained how it got there. Aren't we always going to have supra systems that are going to need their own explanation? And I think that really speaks to also what you said, Steven, about the difference between the unifying approach versus the unified theory."
"Speaker 2","00;12;49;17","00;13;13;17","This is like past tense, it's been unified. What else do we need to know? There's only one versus unifying. Is this ongoing process and it's an approach where we might have some guidebooks or tools or memes for the road, but it's not over yet. We're still approaching some other question, but how did we get that other question?"
"Speaker 2","00;13;22;15","00;13;36;19","Yeah, Stephen. And also, I don't think that people need to raise their hand. Maybe they can throw up an emoji silently because it still blinks a little bit, but I think if you just use, for example, laugh, then I'll all see a flurry of laughter."
"Speaker 1","00;13;37;19","00;13;40;26","Oh, not and."
"Speaker 5","00;13;42;01","00;14;14;24","Then I'll be laughing as well. And that's not probably a bad thing. Might be a bit more cheerful yeah. I've got this vision of these little faces now. There's, there's something I'd be interested in a bit more on what you were just saying there. Basically because you said there needs to be more. I'd be interested in what people's thoughts are around what makes this helpful from that client perspective."
"Speaker 5","00;14;15;15","00;14;51;13","So because one of the big so I think one of the key things often in a more applied perspective is this may be the application of some kind of minimum model theory that's been shown to give a type of transitional structure in, for instance, what some cognitive agent who might be engaging with the world more like someone with autism, the nature of how they process sensory information or other types of situations."
"Speaker 5","00;14;51;13","00;15;30;22","So that kind of general sense of the types of ways can then be used and maybe applied to a bigger scale but generally speaking, you also once you get if the applied side of it is starting to go beyond a fairly low dimensional model and into these more complex real life, it's not the right term but applied context, then these heuristics might be more broad like the unifying approach is going to be maybe more valid."
"Speaker 5","00;15;31;01","00;15;49;17","And I'm wondering how does the jump from a biological philosophy mindset that's informed in this paper translate into those? So I be curious just for others thoughts are on that good question."
"Speaker 2","00;15;49;17","00;16;21;12","How does philosophy impact or influence application? How do basic or theoretical biology questions influence the day to day and the way that different projects are carried out? Because it seems almost trivial to say that the projects that we're implementing, whether it's a road construction or whatever it is it kind of has a biological components. It's by us for us."
"Speaker 2","00;16;21;23","00;16;46;09","And then it has a philosophical component, even if only implicitly in the top down structuring. So we're talking about philosophy and biology. I think that's even what journal the papers in. So then what does that mean for how we apply and yeah, what else is part of the approach I think these are interesting questions. Yeah, go for it."
"Speaker 5","00;16;47;07","00;17;26;18","One thing I've been very interested in is a new field by Michael Quinn patterned around principles focused evaluation, which sort of extends his utility focused evaluation and developmental evaluation where you you know, your things are unfolding. So the evaluator is not is not evaluation after the fact, but is it part of the strategic journey they will what what sort of you could say in our case, what sort of free energy like minimizing instance happened that look significant to the context?"
"Speaker 5","00;17;27;08","00;18;24;03","OK, so it's it's it's not completely noisy. It's not completely unknown yet. It's complex enough that we're not following a rolled out system that's kind of relatively dead and relatively slapped down on the table each time, like a piece of me that's dead. It's something that's kind of evolving and going. And I think there's something quite nice here to that principles approach, you know, you and what principles are going to be useful when you're looking at understanding if there were particular choices in the particular stream that happened to have been present that made free energy minimizing happen, or maybe when it didn't happen, when the agent didn't manage to make the choices and things started"
"Speaker 5","00;18;24;03","00;19;00;14","to unravel. That could also be interesting because often it's more interesting to see you don't really know which one made the difference when something has been kept on track because it never fully, you know, spiraled out and magnified. But what were the times when something went wrong? And also, can we find out, Trace, where that perturbation that started to rock other parts of the system of interest came from that that might be where this type of work ties in as a thought."
"Speaker 4","00;19;04;24","00;19;08;03","And your can I can I ask a question without raising my hand?"
"Speaker 2","00;19;08;21","00;19;10;24","Yeah, I think we can just go for it in this one."
"Speaker 4","00;19;11;14","00;19;48;07","So so here's my question and it ties in directly with this paper. I don't think the author is asking in the in the generic sense, which came first, the chicken or the egg, any more than I think he's when he's looking at an entailment problem, which came first sensing or acting which came first internal or external, which came first in all aspects of the philosophical sense of what's the relationship between internal, external sensing, acting."
"Speaker 4","00;19;49;05","00;20;22;17","I think what trips people up and what gets them all on that unit directional, linear kind of approach is asking what's first. Instead of holding up the relationship between and then seeing what falls out the other side. So if it's an entailment question is internal necessary for external linearly speaking, you could make that argument, but I don't know that that necessarily holds."
"Speaker 4","00;20;22;17","00;20;54;14","Then if you're saying does external then make necessary internal? However, if you look at it as a relationship between internal and external, both are necessary. So one can be satisfactory for the other if you're looking at it unit directionally. But if you're looking at it by directionally, now all of a sudden the frame shifts and both become necessary in a relationship in order for the relationship to continue forward."
"Speaker 4","00;20;55;02","00;21;20;14","So I think for a lot of people asking, which came first, the chicken or the egg from a relational standpoint, doesn't matter. They both have to exist for the question to continue, not which came first, but do both exist. And I think that's the Entailment question that this author is asking us to at at least contemplate a little bit."
"Speaker 4","00;21;20;21","00;21;36;23","Are we are we holding ourselves to one view, that unilateral view, when really what we should be doing is looking at the relationship and what entails the other as being either satisfied, satisfying or necessary."
"Speaker 2","00;21;38;28","00;21;40;18","Great. Stephen thought on that."
"Speaker 5","00;21;41;12","00;22;08;18","And so following on from those maybes, like you say that when we get into do they exist now we're into the structural stuff, into the structures of into the structures where action and interaction happens as opposed to a matter system of a hand. You know, there's a structure and I suppose the question can also be is do they sufficiently exist and at what point?"
"Speaker 5","00;22;09;10","00;23;05;06","So for instance, at what point maybe through pollution lack of calcium in diet kinetic impact, are they no longer sufficiently persistent and suddenly one of the eggs can't make another chicken? OK, so that that could become you know, that then maybe is out of the how did 50,000 eggs get made. Well maybe it's more useful. So when at what point did point 1% of those eggs not continue what was then outside of the pull back attractor or whatever way we want to say that was needed to keep it within a viable a viable living trajectory."
"Speaker 2","00;23;08;01","00;23;30;05","So one kind of funny answer to which came first the chicken or the egg from an instrumentalist perspective you go, oh, in your sentence, chicken just doesn't answer the way you spoke that question. It was chicken or something said, well, what came first the egg. OK, then the egg came first in how you asked it. So what came first in your model?"
"Speaker 2","00;23;30;24","00;23;54;22","But that question smacks of realism. We start thinking about the the actual way that things might have played out. And is it more the case that there was a chicken, that that's the realism question. And then when we take this relational instrumentalist perspective, there are different kinds of time relationships falling out. And I don't know if these are the right words, but just a few of them."
"Speaker 2","00;23;55;13","00;24;29;11","So one thing is about the internal and external that Dean mentioned. The partition is simultaneous when we do a particular partition of internal external and their corresponding blanket states. Those are all coincidence used at the same time in model time or in the relational instrumental time. That doesn't mean that they had to have been coming into existence as actual external entities, whether that's static structural ontology or a dynamical process ontology."
"Speaker 2","00;24;29;23","00;24;53;24","But once we're in the modelers time, the partitioning comes into existence at the same time, and then we have things that are changing through time. So there's the intra model act then formalism like the subscript next to the letter when we're talking about stay at time, one, two, three, four, that's within the model, within the act and formalism changes through time."
