"Speaker Name","Start Time","End Time","Transcript"
"Unknown","00;00;25;07","00;00;52;02","All right. Hello and welcome, everyone is active flab, live streaming number 36.0 and it's January 13th. 2022. Welcome to the Active Love. We are a participatory online lab that is communicating, learning and practicing applied active inference you can find us at the links here on this slide. This is a recorded and archived livestream, so please provide us with feedback so that we can improve on our work."
"Unknown","00;00;52;02","00;01;12;08","And also if you're watching a long life, please write any comments or questions you have in the live chat. All backgrounds and perspectives are welcome here and we'll be following. Good video etiquette for live streams and thanks blue for helping along with the slides and for coming on because this will be a fun cover go to active inference."
"Unknown","00;01;12;08","00;01;42;23","Talk to, learn more about how to participate in any of the live activities or bring some new idea to the love ok, here we are in Livestream number 36 in the second half of January. 2022. And the goal is to learn and discuss this paper by Matt Simms and Giovanni Fasulo from 2021. The paper is called Modeling Ourselves What the Free Energy Principle Reveals about our implicit notions of representation."
"Unknown","00;01;43;11","00;02;06;29","And as with all doors zero videos, the video is an introduction for some of the ideas and a hasty review. So it's not a review or a final word. We're going to have the upcoming two weeks to talk more about this paper and hopefully talk to some of the authors or any other people who are interested in this idea and get involved if you want to talk about the paper."
"Unknown","00;02;07;16","00;02;53;21","So let's just start with saying hello and an introduction and then what we were excited to read about the paper. I'm Daniel. I'm in California and was excited to read yet another paper on representations and the FSP because it feels like we had a stretch back there of five in a row or something. What about you, Blue I'm Blue in New Mexico, and I really enjoyed Matt Sims paper on Symbiosis that we did a while ago, and I thought this paper was really neat and really a clear elucidation of the different categories of representation and how like there's overarching like representation and representation and then several different layers within that."
"Unknown","00;02;53;21","00;03;17;14","So I thought it broke it down in a really clear and concise way. Even though it's a lot of material to digest I want to ask the big question, sir. The big question of the article was, can the free energy principle help us advance or even resolve the long lasting debate on internal representation in philosophy of mind?"
"Unknown","00;03;20;16","00;03;45;03","It's a long lasting debate. So this is like the dot zero of dark zeros because it's clearly a topic you could spend a lot of time on. So that's our disclaimer is its long standing debate. But here's kind of a meme slide. So it's the first section of this paper right below the title. It has this quotation from Walt Whitman, and it says, Hold it up sternly."
"Unknown","00;03;45;14","00;04;07;24","See this? It sends back Who is it? Is it you? And then here are several different images. And just think about your perception of these images and the cultural significance that you might attach to them or the way that black and white pixels or gray pixels on a screen give the illusion of depth or remind you of an experience that you've never had."
"Unknown","00;04;07;24","00;04;48;20","So that's kind of trippy. And representation gets some of those issues. That's one non philosophical take on it. What are they going to aim to do in this debate, which we're going to sketch out the sides of in this talk, or I guess this discussion generate a blue or so. So the authors argue that even if the FCP can't solve this long standing debate, it can play an invaluable role in revealing our hidden assumptions about the very notion of representation and can create some common ground to discuss and negotiate them."
"Unknown","00;04;49;05","00;05;25;17","So they say our general strategy is to use FP for conceptual clarification of different notions of representation. We work backwards from representing zonal or non representational interpretations of the AFP's constructs to the various notions of representation that motivate those interpretations. So they claim that it emerges from their analysis that the AVP has been or can be used to implement various kinds of computational models which satisfy the requirements of certain theories of representation and hence the question of whether or not the AVP entails representations depends on what notion of representation one uses in the first place."
"Unknown","00;05;27;10","00;05;49;28","We're going to unpack that a lot, but just wanted to give the first coat of paint on what they're aiming and what they claim to do. So I'll read the first half. The abstract predictive processing theories are increasingly popular in philosophy of mind. Such process theories often gain support from the free energy principle. FFP a normative principle for adaptive self-organized systems."
"Unknown","00;05;50;16","00;06;25;22","Yet there is a current and much discussed debate about conflicting philosophical interpretations of FFP for example representational versus non representational. Here we argue that these different interpretations depend on implicit assumptions about what qualifies or fails to qualify as representational the next part we deploy the FP instrumentally to distinguish four main notions of representation which focus on organizational, structural, content related and functional aspects respectively."
"Unknown","00;06;26;08","00;07;17;20","The various ways that these different aspects matter in arriving at representation or non represent representational interpretations of the FP are discussed. We also discuss how the FP may be seen as a unified view where terms that traditionally belong to different ontologies, for example, notions of model and expectation versus notions of appropriateness and synchronization can be harmonized. However, rather than attempting to settle the representational east versus non representational debate and reveal something about what representations are simplicity, this paper demonstrates how the free energy principle may be used to reveal something about those partaking in the debate, namely what our hidden assumptions about what representations are assumptions that act as sometimes antithetical starting points in this persistent"
"Unknown","00;07;17;24","00;07;52;20","philosophical debate, there's really two or three pieces to this paper. There's an introduction and an abstract, I guess we can delete that. The first part introduces a short summary on the free energy principle, and we'll see that action perception cognition loop. The bulk of the paper is in these four segments of each with a dyadic relationship of the representational and the non representational perspectives."
"Unknown","00;07;53;03","00;08;39;27","And that section is a lot like a literature review and a philosophical taxonomy of different perspectives and arguments related to representation and FFP and these four subdivisions. There's then a addendum on evolutionary function specifically, and that's apt as nothing in biology makes sense except in the light of evolution. As they say, and then Section five kind of turns a mirror back on the process and thought, just like those earlier images with the mirror and that's where FFP differences in perspective are used almost as input data for theorizing and speculating about different things, which we'll get to."
"Unknown","00;08;40;09","00;09;16;04","So that takes the authors then to the conclusion. So it's a pretty wide ranging paper and the keywords that are here are active inference, free energy principle, predictive processing, generative model, internal representation, action oriented representation, in activism, forward model and markup blankets. There's no single path or a single slide that would do justice to all these keywords. So we're just going to kind of jump in and knowing that some people will be really familiar with some of these terms and others will be hearing about them for the first time."
"Unknown","00;09;17;09","00;09;53;26","So first the big topic is representation. Now, this is just a quote from the paper whether or not living organisms have or need internal representations is an old and fiercely debated topic. So we kind of like unzipped that citation to add the titles and the links and just some of the images from these citations. So if these topics or any of this body of literature you feel like is well motivated or well-reasoned or you've never been exposed to it, that's sort of the continent we're on and it is such a large continent."
"Unknown","00;09;54;06","00;10;15;07","So the authors write such a debate is reiterated within the predictive processing for you. So they're going to tell the story of representation from predictive processing as sort of an implicit starting point from a more specific and mechanistic angle. I'm assuming the FSP is a good model of living organisms. Does it entail the notion of internal representation or not?"
"Unknown","00;10;15;22","00;10;40;07","So it's almost like we're conditioning our analysis, whether it's a counterfactual or not. On FIP being used instrumentally. So we're going to use it just like we would use a ruler, not by questioning the ruler against known objects, but by going to unknown objects and investigating them. So that's the way that the FIP is going to be used in this very large scale topic and complex area of representation."
"Unknown","00;10;40;27","00;11;06;27","Any comments? All right. Another big topic and word that comes up in this paper, but also a lot of other of our discussions is in activism and so who better to hear it from than the radicals? So Herrick 20, 14, I think it's a thesis why radical and activism is not radical enough a case for really radical and activism."
"Unknown","00;11;07;03","00;11;38;20","So take it up with the author if this is oversimplifying or that's kind of a joke slash appeal here it is oversimplifying and here we see three different frameworks contrasted against each other cognitive ism radical and activism and then really radical and activism and cognitive ism differs from an activism on the top row in that cognitive ism says basic cognition is representational and an activism is going to be rejecting that claim on all accounts."
"Unknown","00;11;39;10","00;12;02;21","And then where this author is saying that you could even go further into the inactive camp or forest or whatever is you could even deny that linguistic cognition is representational. So even if it looks symbolic and it looks like it has some representational characteristic and it's the gray zone that makes people go, Oh, OK, maybe there is some redeeming aspect of representation."
