"Start Time","End Time","Transcript"
"00;00;23;25","00;00;23;29","All"
"00;00;23;29","00;00;24;06","right."
"00;00;24;06","00;00;24;19","Hello"
"00;00;24;19","00;00;24;25","and"
"00;00;24;25","00;00;25;05","welcome"
"00;00;25;05","00;00;25;12","to"
"00;00;25;12","00;00;25;23","Active"
"00;00;25;23","00;00;26;19","Flab"
"00;00;27;02","00;00;27;10","Live"
"00;00;27;10","00;00;27;24","Stream"
"00;00;27;24","00;00;28;03","Number"
"00;00;28;03","00;00;29;23","37.13"
"00;00;29;23","00;00;30;04","Energy"
"00;00;30;04","00;00;30;18","A User's"
"00;00;30;18","00;00;30;27","Guide."
"00;00;30;27","00;00;31;05","It's"
"00;00;31;05","00;00;32;01","February 2nd."
"00;00;32;01","00;00;33;11","2022"
"00;00;33;11","00;00;34;25","to two"
"00;00;34;25","00;00;36;08","2220"
"00;00;36;08","00;00;36;17","days"
"00;00;36;17","00;00;36;23","till"
"00;00;36;23","00;00;37;01","the big"
"00;00;37;01","00;00;37;08","one."
"00;00;37;08","00;00;38;09","Of course"
"00;00;38;24","00;00;39;05","welcome"
"00;00;39;05","00;00;39;16","to"
"00;00;39;16","00;00;39;26","Active"
"00;00;39;26","00;00;40;07","Inference"
"00;00;40;07","00;00;40;21","Lab."
"00;00;41;07","00;00;41;22","We are"
"00;00;41;22","00;00;41;23","a"
"00;00;41;23","00;00;42;24","participatory"
"00;00;42;24","00;00;43;08","online"
"00;00;43;08","00;00;43;24","lab"
"00;00;43;24","00;00;44;04","that is"
"00;00;44;04","00;00;44;23","communicating,"
"00;00;44;23","00;00;45;02","learning"
"00;00;45;02","00;00;45;05","and"
"00;00;45;05","00;00;46;02","practicing"
"00;00;46;02","00;00;46;14","applied"
"00;00;46;14","00;00;46;24","active"
"00;00;46;24","00;00;47;23","inference"
"00;00;47;26","00;00;48;01","you"
"00;00;48;01","00;00;48;05","can"
"00;00;48;05","00;00;48;13","find"
"00;00;48;13","00;00;48;23","us at"
"00;00;48;23","00;00;49;10","links"
"00;00;49;10","00;00;49;19","here"
"00;00;49;19","00;00;50;06","on this"
"00;00;50;06","00;00;51;06","slide"
"00;00;53;00","00;00;53;12","this is a"
"00;00;53;12","00;00;53;27","recorded"
"00;00;53;27","00;00;54;04","in an"
"00;00;54;04","00;00;54;21","archived"
"00;00;54;21","00;00;55;08","livestream,"
"00;00;55;08","00;00;55;16","so"
"00;00;55;16","00;00;55;24","please"
"00;00;55;24","00;00;56;03","provide"
"00;00;56;03","00;00;56;05","us"
"00;00;56;05","00;00;56;22","with feedback"
"00;00;56;22","00;00;56;26","so"
"00;00;56;26","00;00;57;01","we can"
"00;00;57;01","00;00;57;10","improve"
"00;00;57;10","00;00;57;13","our"
"00;00;57;13","00;00;58;05","work."
"00;00;58;17","00;00;58;25","All"
"00;00;58;25","00;00;59;13","backgrounds"
"00;00;59;13","00;00;59;17","and"
"00;00;59;17","00;01;00;09","perspectives"
"00;01;00;09","00;01;00;15","are"
"00;01;00;15","00;01;01;12","welcome"
"00;01;01;13","00;01;01;18","and"
"00;01;01;18","00;01;01;22","we'll"
"00;01;01;22","00;01;01;25","be"
"00;01;01;25","00;01;02;08","following"
"00;01;02;08","00;01;02;23","good"
"00;01;02;23","00;01;03;03","video"
"00;01;03;03","00;01;03;14","etiquette"
"00;01;03;14","00;01;03;20","for"
"00;01;03;20","00;01;04;07","Livestream."
"00;01;04;07","00;01;04;16","Maybe"
"00;01;04;16","00;01;04;24","people"
"00;01;04;24","00;01;04;29","can"
"00;01;04;29","00;01;05;06","raise"
"00;01;05;06","00;01;05;18","their hand"
"00;01;05;18","00;01;06;09","visually"
"00;01;06;09","00;01;06;15","so"
"00;01;06;15","00;01;06;20","there's"
"00;01;06;20","00;01;06;29","not a"
"00;01;06;29","00;01;07;06","little"
"00;01;07;06","00;01;07;20","gypsy"
"00;01;07;20","00;01;08;02","blip"
"00;01;08;02","00;01;08;11","until"
"00;01;08;11","00;01;08;14","we"
"00;01;08;14","00;01;08;25","figure it"
"00;01;08;25","00;01;09;03","out."
"00;01;09;03","00;01;09;27","Or by"
"00;01;09;27","00;01;10;00","the"
"00;01;10;00","00;01;10;11","way,"
"00;01;11;25","00;01;12;09","go to"
"00;01;12;09","00;01;12;20","active"
"00;01;12;20","00;01;13;01","inference"
"00;01;13;01","00;01;13;07","dot"
"00;01;13;07","00;01;13;24","org"
"00;01;13;24","00;01;14;10","if you want"
"00;01;14;10","00;01;14;19","to"
"00;01;14;19","00;01;14;29","learn"
"00;01;14;29","00;01;15;06","more"
"00;01;15;06","00;01;15;14","about"
"00;01;15;14","00;01;16;08","participating"
"00;01;16;08","00;01;16;13","or"
"00;01;16;13","00;01;16;28","check"
"00;01;16;28","00;01;17;01","the"
"00;01;17;01","00;01;17;09","code"
"00;01;17;09","00;01;17;17","link"
"00;01;17;17","00;01;17;24","here."
"00;01;19;09","00;01;20;06","OK,"
"00;01;20;11","00;01;20;23","today"
"00;01;20;23","00;01;21;13","in"
"00;01;21;14","00;01;22;29","37.1,"
"00;01;22;29","00;01;23;04","the"
"00;01;23;04","00;01;23;14","goal"
"00;01;23;14","00;01;24;08","is to"
"00;01;24;08","00;01;24;22","learn"
"00;01;24;22","00;01;25;00","and"
"00;01;25;00","00;01;25;13","discuss"
"00;01;25;13","00;01;25;28","and"
"00;01;26;16","00;01;26;25","also"
"00;01;26;25","00;01;27;10","appreciate"
"00;01;27;10","00;01;27;23","having"
"00;01;27;23","00;01;28;04","Steven"
"00;01;28;04","00;01;28;11","Man"
"00;01;28;11","00;01;29;06","the first"
"00;01;29;06","00;01;29;15","author"
"00;01;29;15","00;01;30;00","here"
"00;01;30;00","00;01;30;28","with us"
"00;01;30;28","00;01;31;04","this"
"00;01;31;04","00;01;31;27","paper"
"00;01;31;27","00;01;32;05","Free"
"00;01;32;05","00;01;33;04","Energy"
"00;01;33;04","00;01;33;21","A User's"
"00;01;33;21","00;01;34;13","Guide"
"00;01;35;02","00;01;35;22","and"
"00;01;35;22","00;01;36;23","for"
"00;01;36;23","00;01;36;29","this"
"00;01;36;29","00;01;37;27","37.1"
"00;01;37;27","00;01;38;16","we'll"
"00;01;38;16","00;01;38;24","start"
"00;01;38;24","00;01;38;28","with"
"00;01;38;28","00;01;39;00","an"
"00;01;39;00","00;01;39;29","introduction"
"00;01;39;29","00;01;40;05","and"
"00;01;40;05","00;01;40;09","then"
"00;01;40;09","00;01;40;13","we'll"
"00;01;40;13","00;01;41;08","just"
"00;01;41;08","00;01;41;20","fire"
"00;01;41;20","00;01;41;24","up"
"00;01;41;24","00;01;42;23","some"
"00;01;42;25","00;01;43;15","slides"
"00;01;43;15","00;01;44;12","and"
"00;01;44;19","00;01;45;07","here"
"00;01;45;07","00;01;45;17","perhaps"
"00;01;45;17","00;01;45;20","an"
"00;01;45;20","00;01;46;05","opening"
"00;01;46;05","00;01;46;10","in the"
"00;01;46;10","00;01;47;04","contextualizing"
"00;01;47;04","00;01;47;17","statement"
"00;01;47;17","00;01;47;28","from"
"00;01;47;28","00;01;48;26","Steven"
"00;01;48;26","00;01;49;14","to be"
"00;01;49;14","00;01;49;26","introduced"
"00;01;49;26","00;01;50;21","last"
"00;01;50;21","00;01;50;27","and"
"00;01;50;27","00;01;51;15","then"
"00;01;51;15","00;01;51;23","go"
"00;01;51;23","00;01;52;08","into"
"00;01;52;08","00;01;52;22","whatever"
"00;01;52;22","00;01;53;08","questions"
"00;01;53;08","00;01;53;11","that"
"00;01;53;11","00;01;53;25","everyone else"
"00;01;53;25","00;01;54;00","has"
"00;01;54;00","00;01;54;15","brought"
"00;01;54;15","00;01;54;22","and"
"00;01;54;22","00;01;55;03","anyone"
"00;01;55;03","00;01;55;15","watching"
"00;01;55;15","00;01;56;01","love"
"00;01;56;11","00;01;57;12","so I'm"
"00;01;57;12","00;01;57;26","Daniel"
"00;01;57;26","00;01;58;01","I'm"
"00;01;58;01","00;01;58;03","a"
"00;01;58;03","00;01;58;18","researcher"
"00;01;58;18","00;01;58;23","in"
"00;01;58;23","00;01;59;21","California"
"00;01;59;21","00;02;00;02","and"
"00;02;00;02","00;02;00;09","I will"
"00;02;00;09","00;02;00;16","pass"
"00;02;00;16","00;02;00;25","on to"
"00;02;00;25","00;02;01;17","Steven."
"00;02;02;25","00;02;03;05","Hello,"
"00;02;03;05","00;02;03;24","Steven."
"00;02;03;24","00;02;04;02","I'm"
"00;02;04;02","00;02;05;06","a practice"
"00;02;05;06","00;02;05;22","based"
"00;02;05;23","00;02;06;18","Ph.D."
"00;02;07;01","00;02;08;11","researcher"
"00;02;08;11","00;02;08;20","based"
"00;02;08;20","00;02;08;23","in"
"00;02;08;23","00;02;09;29","Toronto,"
"00;02;09;29","00;02;10;05","and"
"00;02;10;05","00;02;10;09","I'll"
"00;02;10;09","00;02;10;25","pass it"
"00;02;10;25","00;02;11;04","over"
