"Speaker Name","Start Time","End Time","Transcript"
"Speaker 1","00;00;31;04","00;01;04;01","All right. It's January 28,022, and we're here in Acton Fly Livestream number 37.0 discussing the paper free energy user. Scott, welcome to the Acton Flat. We are a participatory online lab that is communicating, learning and practicing applied active inference. You can find us at the links here. This is a recorded and an archived livestream, so please provide us with feedback so we can improve our work all backgrounds and perspectives are welcome here and we'll be following good etiquette on livestream."
"Speaker 1","00;01;05;10","00;01;39;12","Go to active inference dot org if you want to learn more about anything happening in active flap All right. So today in 37.0, we are going to learn and discuss and introduce and provide some background for this paper. Free Energy A User's Guide by Steven Francis Mann, Ross Payne and Michael Kirchhoff. And just like all the dot zeros and discussions, we're just going to introduce some ideas, give a little tip of the iceberg and kind of warm up to talk about this paper in the coming two weeks."
"Speaker 1","00;01;40;04","00;01;55;00","And so today we'll be going through a lot of the background and some of the key formalisms in the paper. And in the coming two weeks, we'll be discussing in paper. So let us know if you want to join so first, there's this comment in red. Is this your sign?"
"Speaker 2","00;01;55;17","00;01;55;29","Yeah."
"Speaker 1","00;01;56;22","00;01;57;06","Do you want to."
"Speaker 2","00;01;57;24","00;01;58;02","Hear."
"Speaker 1","00;01;58;27","00;02;01;04","Part of it? You want to describe it here or in your intro."
"Speaker 2","00;02;02;06","00;02;02;29","Yeah, in nature."
"Speaker 1","00;02;03;22","00;02;31;05","All right. Well, we'll each just go around and say hello and then I think we can just say one reason why we're excited to discuss it. I'm Daniel. I'm in California and was just enticed by the title short and direct, and I think it has some great solidification and perspectives and implications on multiple levels. So how about Stephen Hello."
"Speaker 3","00;02;31;15","00;02;54;04","I'm Stephen. I'm based in Toronto. Yeah, I was interested by another sort of way to surmise the free energy principle, an active inference type approaches in relation to the philosophy of biology and cognitive science. I thought that was interesting to see how that pitch was being made. I could then."
"Speaker 2","00;02;56;02","00;03;15;12","I again, I'm in Calgary and any time I see the word guide, I'm always curious because of my background in setting up programing where people were going into novel situations. So the authors kind of had me at that word, and then I wanted to sort of learn more of them what they had to say."
"Speaker 1","00;03;17;28","00;03;24;27","What are some key features of guides or things that guides should keep in mind before we head off on this journey?"
"Speaker 2","00;03;25;23","00;03;50;03","Yeah, well, for me, I've sort of adopted the term wayfinding, kind of as as a blanket, not just a moral blank. This way of maybe describing, but that path could turn out to be without necessarily constraining people. So and there I'm sure there are other descriptions and definitions of the word guide, but that's the one I tend to gravitate towards."
"Speaker 1","00;03;51;03","00;03;52;14","Right? Stephen."
