"Start Time","End Time","Transcript"
"00;00;32;21","00;00;33;03","Hello"
"00;00;33;03","00;00;33;07","and"
"00;00;33;07","00;00;33;16","welcome"
"00;00;33;16","00;00;34;11","everyone."
"00;00;34;14","00;00;34;23","It's"
"00;00;34;23","00;00;35;24","May 18th."
"00;00;35;24","00;00;37;00","20, 22"
"00;00;37;00","00;00;37;15","and we"
"00;00;37;15","00;00;38;07","are in"
"00;00;38;07","00;00;38;20","active"
"00;00;38;20","00;00;38;28","flight"
"00;00;38;28","00;00;39;05","live"
"00;00;39;05","00;00;39;13","stream"
"00;00;39;13","00;00;39;21","number"
"00;00;39;21","00;00;41;04","44.1"
"00;00;41;04","00;00;41;19","on the"
"00;00;41;19","00;00;42;06","therapeutic"
"00;00;42;06","00;00;42;21","alliance"
"00;00;42;21","00;00;43;02","as"
"00;00;43;02","00;00;43;12","active"
"00;00;43;12","00;00;44;09","inference"
"00;00;44;09","00;00;44;23","the role"
"00;00;44;23","00;00;45;02","of"
"00;00;45;02","00;00;45;19","therapeutic"
"00;00;45;19","00;00;46;04","touch"
"00;00;46;04","00;00;46;11","in"
"00;00;46;11","00;00;47;04","synchrony."
"00;00;47;27","00;00;48;12","Welcome to"
"00;00;48;12","00;00;48;27","the Active"
"00;00;48;27","00;00;49;15","Lab"
"00;00;49;21","00;00;49;27","We're"
"00;00;49;27","00;00;49;28","a"
"00;00;49;28","00;00;50;24","participatory"
"00;00;50;24","00;00;51;07","online"
"00;00;51;07","00;00;51;17","lab"
"00;00;51;17","00;00;51;28","that is"
"00;00;51;28","00;00;52;20","communicating,"
"00;00;52;20","00;00;53;05","learning"
"00;00;53;05","00;00;53;09","and"
"00;00;53;09","00;00;54;02","practicing"
"00;00;54;02","00;00;54;14","applied"
"00;00;54;14","00;00;54;25","active"
"00;00;54;25","00;00;55;25","inference."
"00;00;55;25","00;00;55;29","You"
"00;00;55;29","00;00;56;04","can"
"00;00;56;04","00;00;56;10","find"
"00;00;56;10","00;00;56;15","us at"
"00;00;56;15","00;00;56;18","the"
"00;00;56;18","00;00;56;28","links"
"00;00;56;28","00;00;57;05","on this"
"00;00;57;05","00;00;57;23","slide."
"00;00;58;07","00;00;59;09","This is a recorded"
"00;00;59;09","00;00;59;13","and"
"00;00;59;13","00;01;00;02","an archived"
"00;01;00;02","00;01;00;09","live"
"00;01;00;09","00;01;00;22","stream."
"00;01;00;22","00;01;01;01","So"
"00;01;01;01","00;01;01;09","please"
"00;01;01;09","00;01;01;20","provide"
"00;01;01;20","00;01;02;05","feedback"
"00;01;02;05","00;01;02;10","so"
"00;01;02;10","00;01;02;17","we can"
"00;01;02;17","00;01;02;27","improve"
"00;01;02;27","00;01;03;02","our"
"00;01;03;02","00;01;03;21","work."
"00;01;04;05","00;01;04;10","All"
"00;01;04;10","00;01;04;28","backgrounds"
"00;01;04;28","00;01;05;04","and"
"00;01;05;04","00;01;05;24","perspectives"
"00;01;05;24","00;01;06;01","are"
"00;01;06;01","00;01;06;21","welcome"
"00;01;06;21","00;01;06;28","and"
"00;01;06;28","00;01;07;01","we'll"
"00;01;07;01","00;01;07;04","be"
"00;01;07;04","00;01;07;26","following"
"00;01;07;26","00;01;08;06","video"
"00;01;08;06","00;01;08;26","etiquette"
"00;01;08;26","00;01;09;01","for"
"00;01;09;01","00;01;09;17","livestreams"
"00;01;09;17","00;01;09;22","so"
"00;01;10;16","00;01;10;25","if you want"
"00;01;10;25","00;01;10;27","to"
"00;01;10;27","00;01;11;02","learn"
"00;01;11;02","00;01;11;13","more"
"00;01;11;13","00;01;11;23","about"
"00;01;11;23","00;01;11;29","live"
"00;01;11;29","00;01;12;13","streams"
"00;01;12;13","00;01;13;03","or"
"00;01;13;05","00;01;13;11","any"
"00;01;13;11","00;01;13;15","of the"
"00;01;13;15","00;01;13;21","other"
"00;01;13;21","00;01;14;08","projects"
"00;01;14;08","00;01;14;15","that"
"00;01;14;15","00;01;14;19","are"
"00;01;14;19","00;01;15;05","happening"
"00;01;15;05","00;01;15;13","in the"
"00;01;15;13","00;01;15;25","active"
"00;01;15;25","00;01;16;13","lab,"
"00;01;16;18","00;01;16;22","head"
"00;01;16;22","00;01;16;28","over"
"00;01;16;28","00;01;17;09","to"
"00;01;17;09","00;01;17;20","Active"
"00;01;17;20","00;01;18;09","Inference"
"00;01;18;09","00;01;18;17","dot"
"00;01;18;17","00;01;19;05","org"
"00;01;20;01","00;01;20;26","OK,"
"00;01;21;10","00;01;21;23","today"
"00;01;21;23","00;01;22;02","we're"
"00;01;22;02","00;01;22;14","in"
"00;01;22;14","00;01;23;09","Livestream"
"00;01;23;09","00;01;23;19","number"
"00;01;23;19","00;01;24;27","44.1,"
"00;01;24;27","00;01;25;14","and we"
"00;01;25;14","00;01;25;23","are"
"00;01;25;23","00;01;26;07","learning"
"00;01;26;07","00;01;26;14","and"
"00;01;26;14","00;01;27;11","discussing"
"00;01;27;11","00;01;27;25","around"
"00;01;27;25","00;01;28;11","this"
"00;01;28;11","00;01;29;04","paper"
"00;01;29;04","00;01;29;18","Therapeutic"
"00;01;29;18","00;01;30;00","Alliance"
"00;01;30;00","00;01;30;06","as"
"00;01;30;06","00;01;30;16","active"
"00;01;30;16","00;01;31;12","inference"
"00;01;31;12","00;01;31;23","by"
"00;01;31;23","00;01;32;23","McPartlin,"
"00;01;32;23","00;01;33;20","certainly"
"00;01;33;20","00;01;34;08","Kristen"
"00;01;34;08","00;01;34;16","and"
"00;01;34;16","00;01;35;11","SS."
"00;01;35;11","00;01;35;21","And"
"00;01;35;21","00;01;35;28","we're"
"00;01;35;28","00;01;36;15","really"
"00;01;36;15","00;01;36;27","honored"
"00;01;36;27","00;01;36;29","and"
"00;01;36;29","00;01;37;15","appreciative"
"00;01;37;15","00;01;37;19","to"
"00;01;37;19","00;01;38;04","have"
"00;01;38;04","00;01;38;16","a bunch"
"00;01;38;16","00;01;38;21","of"
"00;01;38;21","00;01;39;07","authors"
"00;01;39;07","00;01;39;18","joining"
"00;01;39;18","00;01;39;29","us"
"00;01;39;29","00;01;40;22","today"
"00;01;40;22","00;01;41;01","and"
"00;01;41;01","00;01;41;22","also"
"00;01;41;22","00;01;42;13","Ian"
"00;01;42;13","00;01;42;25","and"
"00;01;42;25","00;01;43;05","Ian."
"00;01;43;05","00;01;44;28","I did a zero"
"00;01;44;28","00;01;45;20","last week,"
"00;01;45;20","00;01;46;05","so for"
"00;01;46;05","00;01;46;17","any"
"00;01;46;17","00;01;47;25","context"
"00;01;47;25","00;01;48;06","one"
"00;01;48;06","00;01;48;11","might"
"00;01;48;11","00;01;48;16","want"
"00;01;48;16","00;01;48;19","to"
"00;01;48;19","00;01;49;03","check out"
"00;01;49;03","00;01;49;07","the"
"00;01;49;07","00;01;49;14","dot"
"00;01;49;14","00;01;50;09","zero."
"00;01;50;12","00;01;51;10","Otherwise"
"00;01;51;10","00;01;51;17","in"
"00;01;51;17","00;01;51;27","the dot"
"00;01;51;27","00;01;52;07","one"
"00;01;52;07","00;01;52;29","today"
"00;01;52;29","00;01;53;08","and"
"00;01;53;08","00;01;54;02","in the dot"
"00;01;54;02","00;01;54;13","to"
"00;01;54;13","00;01;54;22","next"
"00;01;54;22","00;01;55;01","week,"
"00;01;55;01","00;01;55;05","we're"
"00;01;55;05","00;01;55;12","going"
"00;01;55;12","00;01;56;06","to"
"00;01;56;08","00;01;56;18","open"
"00;01;56;18","00;01;57;08","up and"
"00;01;57;08","00;01;57;25","develop"
"00;01;57;25","00;01;58;12","threads"
"00;01;58;12","00;01;58;21","and"
"00;01;58;27","00;01;59;03","have"
"00;01;59;03","00;01;59;06","the"
"00;01;59;06","00;01;59;27","opportunity"
"00;01;59;27","00;02;00;19","to"
"00;02;00;19","00;02;00;29","address"
"00;02;00;29","00;02;01;04","any"
"00;02;01;04","00;02;01;20","questions"
"00;02;01;20","00;02;01;24","that"
"00;02;01;24","00;02;02;03","people"
"00;02;02;03","00;02;02;06","are"
"00;02;02;06","00;02;02;26","having"
"00;02;02;26","00;02;03;11","in the"
"00;02;03;11","00;02;03;19","live"
"00;02;03;19","00;02;04;07","chat"
"00;02;04;07","00;02;04;18","or"
"00;02;04;18","00;02;05;00","submitted"
"00;02;05;00","00;02;05;11","to us"
"00;02;05;11","00;02;05;29","otherwise"
"00;02;05;29","00;02;06;11","and"
"00;02;06;11","00;02;07;00","just"
"00;02;07;07","00;02;07;15","take"
"00;02;07;15","00;02;07;26","notes"
"00;02;07;26","00;02;08;09","and"
"00;02;08;16","00;02;09;07","have"
"00;02;09;07","00;02;10;00","spontaneity"
"00;02;10;00","00;02;10;05","and"
"00;02;10;05","00;02;10;11","see"
"00;02;10;11","00;02;10;15","where"
"00;02;10;15","00;02;11;00","this goes"
"00;02;11;00","00;02;11;08","because"
"00;02;11;08","00;02;11;13","it's a"
"00;02;11;13","00;02;12;04","really"
"00;02;12;04","00;02;12;21","exciting"
"00;02;12;21","00;02;13;14","area"
"00;02;13;14","00;02;14;12","of research."
"00;02;14;12","00;02;15;00","So"
"00;02;15;00","00;02;15;05","we're"
"00;02;15;05","00;02;15;09","just"
"00;02;15;09","00;02;15;16","going"
"00;02;15;16","00;02;16;06","to"
"00;02;16;06","00;02;16;15","start"
"00;02;16;15","00;02;16;18","with"
"00;02;16;18","00;02;16;25","that"
"00;02;18;09","00;02;18;26","all."
"00;02;18;26","00;02;19;03","Say"
"00;02;19;03","00;02;19;17","hello"
"00;02;19;17","00;02;19;26","and"
"00;02;19;26","00;02;20;03","then"
"00;02;20;03","00;02;20;11","pass"
"00;02;20;11","00;02;20;27","to Ian"
"00;02;20;27","00;02;21;03","and"
"00;02;21;03","00;02;21;11","then"
"00;02;21;11","00;02;21;23","we'll"
"00;02;21;23","00;02;21;29","hear"
"00;02;21;29","00;02;22;04","from"
"00;02;22;04","00;02;22;19","the authors"
"00;02;22;19","00;02;22;26","with"
"00;02;22;26","00;02;24;06","any context."
"00;02;24;06","00;02;25;09","So I'm"
"00;02;25;09","00;02;26;21","a researcher"
