start	end	startTime	summary	headline	gist
28100	68740	00:28	This is ActInf Lab Livestream number 44.2. We're a participatory online lab that is practicing applied active inference. All backgrounds and perspectives are welcome, and we'll be following video etiquette for live streams. Please provide feedback so we can improve our work.	This is ActInf Lab Livestream number 44.2	Livestream
69800	221170	01:09	Today in 44.2, we are in our third discussion around the paper, therapeutic alliance as Active Inference the Role of Therapeutic Touch and Synchrony from 2022. Feel free to add anything in that area.	This is our third discussion around the paper, therapeutic alliance from 2022	Discussion Around The Paper (Therapeutic Collaboration and Synchron
222100	387100	03:42	George: Where do I see this going forward? I think we can definitely explore those ideas about the synchronization to agents. It would be important to talk about not just diadic, but triadic or otherwise. Anyone that wants to ask questions, feel free to go for it.	George: Where do I see this going forward with synchrony research	The issue of synchrony in osteopath care
387550	763200	06:27	Ian. George. How was synchrony approached in the active inference literature? A lot of aspects of how we achieve therapeutic alliance was through synchrony. Without that connection between the different people, we wouldn't be able to save energy to work together.	How was synchrony approached in this paper? Why was it key	Osteopathic Therapeutic Alliance: Synchrony
765430	1478966	12:45	I'm fascinated by the topic of synchrony and the little bits I've read in the literature. What are we synchronizing towards and is it always beneficial? Is it always about minimizing free energy? Arguably the first thing that people need to be in a clinical setting is good communicator.	Daniel: I'm fascinated by the topic of synchrony in therapy	George on Synchrony and its implications
1479068	1586966	24:39	Yeah, just thinking about beliefs in the way that we might talk about them. Not always like a psychological experienced belief but in some statistical way it's like they're held stances that are updated in some way or partially or completely by certain kinds of incoming information. And then also this is going to be I think very interesting to return to the free energy minimization.	Just thinking about beliefs in the way that we might talk about them	Bayesian Intelligence on Beliefs
1587068	1852960	26:27	Are we saying that this synchrony in the therapeutic reliance is a form of co regulation? And then I'm just thinking also other forms of therapeutic synchrony and co regulation. How you achieve that core regulation, autonomic nervous system, sympathetic parasympathetic is primarily through the use of techniques.	Zoe: I'm thinking about synchrony and co regulation in therapy	Self-regulation and co-regulation in therapy
1853650	2048830	30:53	S synchrony is a multipronged approach where touch matters, that communication matters as much as touch. It's not a technique X, Y or NZ, but it's actually the whole package of care that's likely to enable us to get there.	Blue: Synchrony goes beyond passive practitioner led intervention	The synchrony of inactivists
2049170	2078278	34:09	Welcome. Do you want to add anything or ask anything? Not right off the bat, just hi. I'm sorry I missed last week and I've really enjoyed the discussions of the paper so far. So the Dopamine angle and a few other things we'll return to.	Welcome. I'm sorry I missed last week's discussion	Last Week's Discussion of the Dopamine Paper
2078364	2379970	34:38	Free energy is being used like a connective tissue here. It's helping us connect different sensory modalities and therapeutic modalities. What is the real sort of hidden goal? Is this minimization of true surprise. How does that fit into sense making?	We were talking about minimizing free energy and how does that fit into sense making	Minimizing free energy in the active inference textbook
