"Speaker Name","Start Time","End Time","Transcript"
"Speaker 1","00;00;27;00","00;00;54;24","All right. Hello and welcome, everyone. It's active live livestream number 45.1. It's June 1st 2022 Welcome to the Active Lab. We're a participatory online lab that is communicating, learning and practicing applied active inference. You can find us at the links here on the slide. This is a recorded and an archived live stream, so please provide us with feedback so we can improve our work."
"Speaker 1","00;00;55;28","00;01;37;26","All backgrounds and perspectives are welcome and we'll be following good video etiquette for livestreams. Head over to active inference. Talk to find out more about what we're up to at the lab and participate if you'd like to get involved we're here in Livestream number 45.1, and we're in our second discussion around this paper. The Free Energy Principle made simpler but not too simple by first in de Costa, Sajid Hinds also for Pathologists and PAS and the video just like all of them are, is an introduction and an invitation for those who would like to ask questions in the live chat."
"Speaker 1","00;01;37;27","00;02;04;03","For those who would like to join us next week in the conversation And just to try to learn and unpack and understand this paper as well as seeing it as a starting point for the continued learning and applying that we're all involved in and we will just begin with some introductions and overviews, remind ourself where we've been in this paper and then start to think about where we're going and we'll see who joins us."
"Speaker 1","00;02;04;22","00;02;28;11","We'll see who asks questions in the live chat and I guess where we go together so we can begin just by giving an introduction, saying hi and mentioning anything like what's something that we're excited about? What's something that we liked or remembered about the paper and what is something that we're wondering about or would like to resolve towards the end of the discussion?"
"Speaker 1","00;02;28;27","00;02;36;11","So I'm Daniel. I'm a researcher in California, and I'll answer the questions later. How about you?"
"Speaker 2","00;02;36;11","00;03;18;29","Blue and blue? I'm a researcher in New Mexico. And I don't know why I'm tasked with going first. There's there's a lot of things that I think I would like to have resolved or a greater certainty about, like including the hierarchical nature of active in France and how mathematically that works out, as well as like the time dependance and time independence and I'm curious about like can I don't know, we can get more into it later yeah."
"Speaker 2","00;03;19;22","00;03;19;28","OK."
"Speaker 1","00;03;21;16","00;03;54;12","While people are filing in and getting their questions ready, let's take a look back at the big question, kind of situate ourself in this paper and just recall also what the main sections are in the roadmap so Brock and I worked together on 45.0. And we highlighted the big question, just one way to ask it as what are the foundations of the free energy principle RFP and what does it contribute?"
"Speaker 1","00;03;54;26","00;04;18;23","And then also we can ask how is active inference related to RFP and we drew from the abstract where they mentioned starting from a description of the world in terms of a random dynamical systems and ending up with the description of self-organization as sentient behavior. Greetings, Carl."
"Speaker 1","00;04;22;22","00;04;23;08","How goes it?"
"Speaker 3","00;04;24;02","00;04;29;11","And I've just managed to get back in my house after being locked out by my son. Otherwise, fine."
"Speaker 1","00;04;30;14","00;04;32;12","You found an alternate policy approach."
"Speaker 3","00;04;32;26","00;04;35;29","Yeah, I did. And some keys hiding underneath the bucket."
"Speaker 1","00;04;37;21","00;04;42;00","Would you say this paper is the key to the free energy principle, or what is the key."
"Speaker 3","00;04;45;03","00;04;48;17","This is which one's it's this is the simpler one."
"Speaker 1","00;04;48;24","00;04;51;28","Simple as possible, made simpler but not too simple."
"Speaker 3","00;04;53;02","00;05;03;28","Now, there are simpler ones. I I hope that will be simpler ones so that this is this is one route to the desired simplicity."
"Speaker 1","00;05;05;20","00;05;15;18","All right. So what is this paper about? What did you intend to do and how did you accomplish that in this paper?"
"Speaker 3","00;05;18;23","00;05;51;24","It was originally conceived as a brief summary of the particular physics paper, if you remember that one. That's an archive. We're very dense, hundred page deconstruction of physics as we know it. So this was meant to be a technical rehearsal and focusing specifically on the free energy principle, the active importance part, and was meant to be as simple as you could get it."
