"Start Time","End Time","Transcript"
"00;00;27;01","00;00;27;06","All"
"00;00;27;06","00;00;27;15","right."
"00;00;27;15","00;00;27;24","Hello"
"00;00;27;24","00;00;27;27","and"
"00;00;27;27","00;00;28;07","welcome,"
"00;00;28;07","00;00;29;03","everyone."
"00;00;29;03","00;00;29;15","It's"
"00;00;29;15","00;00;30;00","active"
"00;00;30;00","00;00;30;08","live"
"00;00;30;08","00;00;30;26","livestream"
"00;00;30;26","00;00;31;09","number"
"00;00;31;09","00;00;33;18","45.1."
"00;00;33;18","00;00;33;25","It's"
"00;00;33;25","00;00;35;26","June 1st 2022"
"00;00;38;01","00;00;38;12","Welcome"
"00;00;38;12","00;00;38;21","to"
"00;00;38;21","00;00;39;06","the Active"
"00;00;39;06","00;00;39;24","Lab."
"00;00;40;02","00;00;40;07","We're"
"00;00;40;07","00;00;40;08","a"
"00;00;40;08","00;00;41;06","participatory"
"00;00;41;06","00;00;41;20","online"
"00;00;41;20","00;00;42;04","lab"
"00;00;42;04","00;00;42;14","that is"
"00;00;42;14","00;00;43;07","communicating,"
"00;00;43;07","00;00;43;21","learning"
"00;00;43;21","00;00;43;26","and"
"00;00;43;26","00;00;44;16","practicing"
"00;00;44;16","00;00;44;29","applied"
"00;00;44;29","00;00;45;07","active"
"00;00;45;07","00;00;46;06","inference."
"00;00;46;09","00;00;46;13","You"
"00;00;46;13","00;00;46;18","can"
"00;00;46;18","00;00;46;28","find us"
"00;00;46;28","00;00;47;03","at the"
"00;00;47;03","00;00;47;17","links"
"00;00;47;17","00;00;47;24","here"
"00;00;47;24","00;00;48;24","on the slide."
"00;00;49;07","00;00;50;07","This is a recorded"
"00;00;50;07","00;00;50;12","and"
"00;00;50;12","00;00;51;00","an archived"
"00;00;51;00","00;00;51;06","live"
"00;00;51;06","00;00;51;26","stream,"
"00;00;51;26","00;00;52;07","so"
"00;00;52;07","00;00;52;17","please"
"00;00;52;17","00;00;52;26","provide"
"00;00;52;26","00;00;52;29","us"
"00;00;52;29","00;00;53;16","with feedback"
"00;00;53;16","00;00;53;22","so"
"00;00;53;22","00;00;53;29","we can"
"00;00;53;29","00;00;54;10","improve"
"00;00;54;10","00;00;54;14","our"
"00;00;54;14","00;00;55;04","work."
"00;00;55;28","00;00;56;06","All"
"00;00;56;06","00;00;56;23","backgrounds"
"00;00;56;23","00;00;56;26","and"
"00;00;56;26","00;00;57;14","perspectives"
"00;00;57;14","00;00;57;19","are"
"00;00;57;19","00;00;58;10","welcome"
"00;00;58;10","00;00;58;17","and"
"00;00;58;17","00;00;58;21","we'll"
"00;00;58;21","00;00;58;25","be"
"00;00;58;25","00;00;59;08","following"
"00;00;59;08","00;00;59;15","good"
"00;00;59;15","00;00;59;22","video"
"00;00;59;22","00;01;00;09","etiquette"
"00;01;00;09","00;01;00;15","for"
"00;01;00;15","00;01;01;19","livestreams."
"00;01;02;05","00;01;02;11","Head"
"00;01;02;11","00;01;02;17","over"
"00;01;02;17","00;01;02;28","to"
"00;01;02;28","00;01;03;10","active"
"00;01;03;10","00;01;03;20","inference."
"00;01;03;20","00;01;04;11","Talk"
"00;01;04;11","00;01;04;17","to"
"00;01;04;17","00;01;04;25","find"
"00;01;04;25","00;01;05;00","out"
"00;01;05;00","00;01;05;09","more"
"00;01;05;09","00;01;06;02","about"
"00;01;06;08","00;01;06;13","what"
"00;01;06;13","00;01;06;18","we're"
"00;01;06;18","00;01;06;26","up to"
"00;01;06;26","00;01;07;01","at the"
"00;01;07;01","00;01;07;10","lab"
"00;01;07;10","00;01;07;17","and"
"00;01;07;17","00;01;08;07","participate"
"00;01;08;07","00;01;08;12","if"
"00;01;08;12","00;01;08;20","you'd like"
"00;01;08;20","00;01;09;03","to get"
