"Start Time","End Time","Transcript"
"00;00;12;27","00;00;13;02","All"
"00;00;13;02","00;00;13;18","right."
"00;00;13;28","00;00;14;09","Hello"
"00;00;14;09","00;00;14;16","and"
"00;00;14;16","00;00;14;27","welcome,"
"00;00;14;27","00;00;15;26","everyone."
"00;00;16;20","00;00;17;01","It's"
"00;00;17;01","00;00;17;15","active"
"00;00;17;15","00;00;17;24","live"
"00;00;17;24","00;00;18;00","live"
"00;00;18;00","00;00;18;11","stream"
"00;00;18;11","00;00;18;28","number"
"00;00;18;28","00;00;20;14","46.0."
"00;00;20;14","00;00;21;13","And"
"00;00;21;13","00;00;21;20","it's"
"00;00;21;20","00;00;22;07","June 10th."
"00;00;22;07","00;00;22;24","20,"
"00;00;22;24","00;00;23;19","22."
"00;00;24;19","00;00;24;29","Welcome"
"00;00;24;29","00;00;25;06","to the"
"00;00;25;06","00;00;25;17","active"
"00;00;25;17","00;00;25;27","lap,"
"00;00;25;27","00;00;26;23","everyone."
"00;00;26;23","00;00;26;29","We're"
"00;00;26;29","00;00;27;01","a"
"00;00;27;01","00;00;27;26","participatory"
"00;00;27;26","00;00;28;09","online"
"00;00;28;09","00;00;29;01","lab"
"00;00;29;01","00;00;29;10","that is"
"00;00;29;10","00;00;30;01","communicating,"
"00;00;30;01","00;00;30;15","learning"
"00;00;30;15","00;00;30;20","and"
"00;00;30;20","00;00;31;09","practicing"
"00;00;31;09","00;00;31;24","applied"
"00;00;31;24","00;00;32;04","active"
"00;00;32;04","00;00;33;00","inference."
"00;00;33;00","00;00;33;05","You"
"00;00;33;05","00;00;33;09","can"
"00;00;33;09","00;00;33;16","find"
"00;00;33;16","00;00;33;29","us at"
"00;00;33;29","00;00;34;08","links"
"00;00;34;08","00;00;34;14","here"
"00;00;34;14","00;00;35;16","on the slide."
"00;00;35;25","00;00;36;09","This is a"
"00;00;36;09","00;00;36;25","recorded"
"00;00;36;25","00;00;37;02","in an"
"00;00;37;02","00;00;37;18","archived"
"00;00;37;18","00;00;37;25","live"
"00;00;37;25","00;00;38;12","stream,"
"00;00;38;12","00;00;38;21","so"
"00;00;38;21","00;00;38;29","please"
"00;00;38;29","00;00;39;08","provide"
"00;00;39;08","00;00;39;11","us"
"00;00;39;11","00;00;40;04","with feedback"
"00;00;40;04","00;00;40;10","so"
"00;00;40;10","00;00;40;16","we can"
"00;00;40;16","00;00;40;28","improve"
"00;00;40;28","00;00;41;02","our"
"00;00;41;02","00;00;41;22","work."
"00;00;42;15","00;00;42;21","All"
"00;00;42;21","00;00;43;09","backgrounds"
"00;00;43;09","00;00;43;15","and"
"00;00;43;15","00;00;44;03","perspectives"
"00;00;44;03","00;00;44;08","are"
"00;00;44;08","00;00;44;25","welcome,"
"00;00;44;25","00;00;45;03","and"
"00;00;45;03","00;00;45;05","we'll"
"00;00;45;05","00;00;45;12","be"
"00;00;45;12","00;00;46;00","following"
"00;00;46;00","00;00;46;09","video"
"00;00;46;09","00;00;46;25","etiquette"
"00;00;46;25","00;00;46;29","for"
"00;00;46;29","00;00;48;02","livestreams."
"00;00;48;21","00;00;48;27","Head"
"00;00;48;27","00;00;49;04","over"
"00;00;49;04","00;00;49;17","to"
"00;00;49;17","00;00;49;28","active"
"00;00;49;28","00;00;50;10","inference"
"00;00;50;10","00;00;50;17","dot"
"00;00;50;17","00;00;50;28","org"
"00;00;50;28","00;00;51;09","if you want"
"00;00;51;09","00;00;51;15","to"
"00;00;51;15","00;00;51;22","learn"
"00;00;51;22","00;00;52;00","more"
"00;00;52;00","00;00;52;11","about"
"00;00;52;11","00;00;52;21","live"
"00;00;52;21","00;00;53;06","streams"
"00;00;53;06","00;00;53;27","at the lab"
"00;00;53;27","00;00;54;02","or"
"00;00;54;02","00;00;54;13","other"
"00;00;54;13","00;00;55;06","projects"
"00;00;55;06","00;00;55;13","that are"
"00;00;55;13","00;00;56;12","ongoing."
"00;00;57;12","00;00;58;06","All right."
"00;00;58;07","00;00;58;17","We are"
"00;00;58;17","00;00;59;01","here"
"00;00;59;01","00;00;59;22","in the first"
"00;00;59;22","00;01;00;20","discussion"
"00;01;00;20","00;01;01;00","the dot"
"00;01;01;00","00;01;01;11","zero"
"00;01;01;11","00;01;01;18","for"
"00;01;01;18","00;01;02;09","background"
"00;01;02;09","00;01;02;14","and"
"00;01;02;14","00;01;03;05","context"
"00;01;03;05","00;01;03;26","in"
"00;01;03;26","00;01;04;07","stream"
"00;01;04;07","00;01;04;16","number"
"00;01;04;16","00;01;06;09","46.0."
"00;01;06;09","00;01;06;27","We are"
"00;01;06;27","00;01;07;12","learning"
"00;01;07;12","00;01;07;18","and"
"00;01;07;18","00;01;08;08","discussing"
"00;01;08;08","00;01;08;12","the"
"00;01;08;12","00;01;09;07","paper"
"00;01;09;07","00;01;09;18","active"
"00;01;09;18","00;01;09;29","inference"
"00;01;09;29","00;01;10;13","models"
"00;01;10;13","00;01;10;25","Do Not"
"00;01;10;25","00;01;11;12","Contradict"
"00;01;11;12","00;01;11;21","Folk"
"00;01;11;21","00;01;12;22","Psychology"
"00;01;12;22","00;01;13;13","by"
"00;01;13;13","00;01;13;23","Ryan"
"00;01;13;23","00;01;14;15","Smith,"
"00;01;14;15","00;01;15;02","Maxwell"
"00;01;15;02","00;01;15;18","Ramstad"
"00;01;15;18","00;01;15;28","and"
"00;01;15;28","00;01;16;11","Alex"
"00;01;16;11","00;01;17;02","Kieffer."
"00;01;17;10","00;01;17;19","And"
"00;01;17;19","00;01;18;07","the video,"
"00;01;18;07","00;01;18;16","just"
"00;01;18;16","00;01;18;21","like"
"00;01;18;21","00;01;18;28","all"
"00;01;18;28","00;01;19;11","the videos"
"00;01;19;11","00;01;19;22","are,"
"00;01;19;22","00;01;20;04","is an"
"00;01;20;04","00;01;20;20","introduction"
"00;01;20;20","00;01;21;15","an end"
"00;01;21;15","00;01;21;23","to"
"00;01;21;23","00;01;22;23","contextualize"
"00;01;22;23","00;01;23;02","and an"
"00;01;23;02","00;01;24;04","appetizer"
"00;01;24;04","00;01;24;13","for"
"00;01;24;13","00;01;24;19","some"
"00;01;24;19","00;01;24;23","of"
"00;01;24;23","00;01;25;03","these"
"00;01;25;03","00;01;25;22","ideas."
"00;01;25;22","00;01;26;00","It's"
"00;01;26;00","00;01;26;15","not a"
"00;01;26;15","00;01;27;01","review"
"00;01;27;01","00;01;27;12","or"
"00;01;27;12","00;01;27;13","a"
"00;01;27;13","00;01;27;24","final"
"00;01;27;24","00;01;28;12","word."
"00;01;28;25","00;01;28;29","We're"
"00;01;28;29","00;01;29;06","going"
"00;01;29;06","00;01;29;26","to say"
"00;01;29;26","00;01;30;14","hi and"
"00;01;30;14","00;01;30;21","give"
"00;01;30;21","00;01;31;28","introductions."
"00;01;31;28","00;01;32;11","Then"
"00;01;32;11","00;01;32;22","we'll"
"00;01;32;22","00;01;32;26","be"
"00;01;32;26","00;01;33;20","covering"
"00;01;33;20","00;01;33;26","the"
"00;01;33;26","00;01;34;13","roadmap"
"00;01;34;13","00;01;34;19","and"
"00;01;34;19","00;01;35;07","abstract"
"00;01;35;07","00;01;35;22","claims"
"00;01;35;22","00;01;36;19","and aims."
"00;01;36;19","00;01;36;24","And"
"00;01;36;24","00;01;36;28","then"
"00;01;36;28","00;01;37;04","we'll"
"00;01;37;04","00;01;37;08","head"
"00;01;37;08","00;01;37;15","through"
"00;01;37;15","00;01;37;19","some"
"00;01;37;19","00;01;37;22","of"
"00;01;37;22","00;01;38;00","the"
"00;01;38;00","00;01;38;10","core"
"00;01;38;10","00;01;38;27","sections"
"00;01;38;27","00;01;40;06","of the paper"
"00;01;40;06","00;01;40;14","and"
"00;01;40;14","00;01;40;22","just"
"00;01;40;22","00;01;40;28","get"
"00;01;40;28","00;01;41;04","some"
"00;01;41;04","00;01;41;19","of the"
"00;01;41;19","00;01;41;27","key"
"00;01;41;27","00;01;42;18","arguments"
"00;01;42;18","00;01;43;15","down."
"00;01;43;15","00;01;43;22","And"
"00;01;43;22","00;01;43;28","during"
"00;01;43;28","00;01;44;01","the"
"00;01;44;01","00;01;44;07","dot,"
"00;01;44;07","00;01;44;21","one in"
"00;01;44;21","00;01;45;00","the dark"
"00;01;45;00","00;01;45;19","two in"
"00;01;45;19","00;01;46;01","the coming"
"00;01;46;01","00;01;46;07","two"
"00;01;46;07","00;01;46;26","weeks,"
"00;01;46;26","00;01;47;12","we'll have"
"00;01;47;12","00;01;48;09","an open"
"00;01;48;09","00;01;48;24","space"
"00;01;48;24","00;01;49;09","for"
"00;01;49;09","00;01;49;22","asking"
"00;01;49;22","00;01;49;29","a lot"
"00;01;49;29","00;01;50;01","of"
"00;01;50;01","00;01;50;18","questions"
"00;01;50;18","00;01;50;26","for"
"00;01;50;26","00;01;51;03","those"
"00;01;51;03","00;01;51;09","who want"
"00;01;51;09","00;01;51;11","to"
"00;01;51;11","00;01;52;00","participate,"
"00;01;52;00","00;01;52;11","live"
"00;01;52;11","00;01;52;18","and"
"00;01;52;18","00;01;52;26","ask"
"00;01;52;26","00;01;53;21","questions"
"00;01;53;21","00;01;53;28","as"
"00;01;53;28","00;01;54;11","well."
"00;01;54;22","00;01;55;29","So on"
"00;01;55;29","00;01;56;10","we go."
"00;01;57;09","00;01;57;13","We'll"
"00;01;57;13","00;01;58;02","start"
"00;01;58;02","00;01;58;11","just"
"00;01;58;11","00;01;58;25","by"
"00;01;58;25","00;01;59;12","introducing"
"00;01;59;12","00;01;59;28","ourself"
"00;01;59;28","00;02;00;20","as much"
"00;02;00;20","00;02;00;25","or as"
"00;02;00;25","00;02;01;04","little"
"00;02;01;04","00;02;01;10","as"
"00;02;01;10","00;02;01;24","we'd like,"
"00;02;01;24","00;02;02;06","and"
"00;02;02;06","00;02;02;14","if we"
