"Speaker Name","Start Time","End Time","Transcript"
"Speaker 1","00;00;28;06","00;00;56;21","Hello and welcome, everyone. It's June 15th, 2022, and we're here in Acton five live stream number 46.1. Welcome up and mute the stream if you have in the background. Doo doo doo doo doo doo Thank you. Welcome to the Active Inference Lab. We are a participatory online lab that is communicating, learning and practicing applied active inference you can find us at some of the links on this slide."
"Speaker 1","00;00;57;23","00;01;23;00","This is a recorded and an archived and transcribed and edited and published live stream. So please provide feedback so we can improve our work. All backgrounds and perspectives are welcome and we'll be following good video etiquette for livestreams. Head over to active inference dot org to learn more about livestreams and a lot of the other projects that are happening in the lab."
"Speaker 1","00;01;24;08","00;01;55;04","So we're here in Active Stream 46.1, and we're in our second discussion of the paper Active Inference Models Do Not Contradict Folk Psychology by Ryan Smith, Marshall Ramstad and Alex Keefer. And we're going to go I expect in many fun and interesting directions today. So thanks everybody who has joined the panel live. And also for those who are watching live, thanks for adding your comments in the live chat."
"Speaker 1","00;01;55;21","00;02;32;13","We'll begin with some introductions and then I believe that will introduce many interesting areas. We can continue from there so we can start by just introducing ourself and then passing it to someone else who has not yet spoken. And we'll close with the authors who are here. So I'm Daniel. I'm a researcher in California, and the DART Zero was very interesting with Yaakov and Dean and Ryan, and it raised many questions that I was excited to discuss today."
"Speaker 1","00;02;33;12","00;02;51;08","Just to provide one would be perhaps the relationship between Formalisms of any kinds and natural language and just regular concepts that people have. How do we draw the connection or evaluate connections that are drawn there? And I'll pass to Ali."
"Speaker 2","00;03;04;22","00;03;06;16","Questions I'd like to ask if they're not."
"Speaker 1","00;03;09;12","00;03;23;17","But oh, sorry. Sorry. Just the audio is a set up a little bit differently. So if you could just start you can just reintroduce, but go for it. Thank you."
"Speaker 2","00;03;25;22","00;03;27;06","OK, is it OK?"
"Speaker 1","00;03;27;12","00;03;29;00","Yes. Yes, thank you."
"Speaker 2","00;03;29;12","00;03;54;03","All right. Yeah. I'm an independent researcher from Iran. And as I said, I also have a couple of questions I'd like to ask if they're not addressed during the discussion, especially when we get to Section nine of the paper and I'm very glad to be here. And that's it for me. And I'll pass it to Dean Morning."
"Speaker 3","00;03;54;25","00;03;57;24","My name's Dean. I'm here in Calgary."
"Speaker 3","00;03;59;28","00;04;34;04","I really like this paper, which I kind of indicated in the last, last livestream my my curiosity, because I really don't know is because my background in education, when I'm looking at that sort of qualification quantification and ease, and I'm thinking about the desires as something that we can see as point one and point nine as a distribution, I often thought of some of my previous conversations around things like Likert scales."
"Speaker 3","00;04;34;08","00;05;02;28","So I know this paper doesn't address those things specifically, but the idea of being able to translate into sort of a numeric form has always been interesting to me. And that's something that maybe today or maybe in the point to, we can we can think about the implications of that, and I'll pass it to David and David Kelton here."
"Speaker 3","00;05;03;03","00;05;32;27","Thanks for having me on my first time here, an active inference inference. I go by David as a streamer. I'm a civil engineer by education and practice my background, linguistics and physics and psychology I spent many years in Yeshiva Rabbinic study and have been a practicing Hindu. I'm more on the mystical side of consciousness. I've been studying it actively streaming for a few years, but also the mathematical materialistic side."
"Speaker 3","00;05;32;27","00;06;02;03","So this paper was very interesting, especially dealing with the sense perception related to motor control, which, you know, my perception of dualism is something that the material does actually control. So I like the model of the paper. I was interested in looking at some of the more philosophical and even the mystical precursors, what could actually be explained, what are the assumptions being being made."
"Speaker 3","00;06;02;03","00;06;03;18","And this paper was definitely a good start."
"Speaker 1","00;06;05;12","00;06;15;28","Thank you, David, and to Alex. So feel free to give any introduction and then provide any context on what brought about the paper from your perspective."
"Speaker 4","00;06;17;05","00;06;45;10","Yeah, thanks. So I'm Alex Keefer. I'm one of the authors on the paper I'm affiliated with with Monash University and Yankelovich. So cognition and philosophy out there. And I currently also I mean my main sort of gig is a versus research labs in L.A. So we've been doing some really interesting research there that plugs into active inference, among other things."
"Speaker 4","00;06;46;26","00;07;32;26","So as far as the context for the paper, so this is this issue of how, how and whether active inference and ends and theories in the vicinity like predictive processing and all that, how those things map on the folks psychology is something I've been interested in for a long time. Before I spoke to Ryan and Maxwell about this paper and I won't try to give Ryan's side of the of the back story, but basically he was, I think, planning on drafting something along these lines for independently we got in touch through Carl first and I think and it was pointed out that I was drafting something on the same thing and then I ended up"
"Speaker 4","00;07;32;26","00;07;42;09","just hopping on board to work on certain sections and to sort of to sort of help carry through the argument. So that's a little bit of background."
