"Start Time","End Time","Transcript"
"00;00;27;24","00;00;27;28","All"
"00;00;27;28","00;00;28;15","right."
"00;00;28;27","00;00;29;11","Hello."
"00;00;29;11","00;00;29;22","Welcome,"
"00;00;29;22","00;00;30;14","everyone."
"00;00;30;14","00;00;30;29","It is"
"00;00;30;29","00;00;31;15","active"
"00;00;31;15","00;00;31;22","live"
"00;00;31;22","00;00;32;01","stream"
"00;00;32;01","00;00;32;12","number"
"00;00;32;12","00;00;34;14","47.1"
"00;00;34;14","00;00;35;00","on"
"00;00;35;00","00;00;35;13","August"
"00;00;35;13","00;00;36;09","10th,"
"00;00;36;09","00;00;37;22","2022."
"00;00;37;22","00;00;38;04","And"
"00;00;38;04","00;00;38;13","we're"
"00;00;38;13","00;00;39;03","continuing"
"00;00;39;03","00;00;39;17","our"
"00;00;39;17","00;00;40;17","explorations"
"00;00;40;17","00;00;40;29","into"
"00;00;40;29","00;00;41;15","the"
"00;00;41;15","00;00;41;27","paper"
"00;00;41;27","00;00;42;19","dyad"
"00;00;42;19","00;00;43;08","inactive"
"00;00;43;08","00;00;43;21","dynamics,"
"00;00;43;21","00;00;44;02","social"
"00;00;44;02","00;00;44;21","cognition"
"00;00;44;21","00;00;44;26","and"
"00;00;44;26","00;00;45;05","Active"
"00;00;45;05","00;00;46;05","Inference"
"00;00;46;05","00;00;46;12","of"
"00;00;46;12","00;00;47;00","Hippolyta"
"00;00;47;00","00;00;47;07","and"
"00;00;47;07","00;00;48;07","Venice"
"00;00;48;07","00;00;48;19","and"
"00;00;48;19","00;00;49;02","Active"
"00;00;49;02","00;00;49;19","Inference"
"00;00;49;19","00;00;50;01","and"
"00;00;50;01","00;00;51;04","Abduction"
"00;00;51;04","00;00;51;13","by"
"00;00;51;13","00;00;51;21","Pierre"
"00;00;51;21","00;00;52;11","Tanin"
"00;00;52;11","00;00;52;18","and"
"00;00;52;18","00;00;53;08","Bene."
"00;00;54;11","00;00;54;22","Welcome"
"00;00;54;22","00;00;55;15","to the"
"00;00;55;15","00;00;55;29","Active"
"00;00;55;29","00;00;57;00","Institute."
