"Speaker Name","Start Time","End Time","Transcript"
"Unknown","00;00;29;12","00;01;01;22","All right. Hello. Welcome. It is September 2nd, 2022, and we're in active live stream number 48.0. Welcome to the Active Inference Institute. We're a participatory online institute that is communicating, learning and practicing applied active inference. This is a recorded and archived livestream, so please provide feedback. So we can improve our work. All backgrounds and perspectives are welcome and we'll be following video etiquette for livestreams."
"Unknown","00;01;03;03","00;01;34;01","Head to active inference dot org or Active Inference Institute to come to our website. Learn more. We are in active stream number 48 series. We're going to be discussing the paper communication as socially extended, active inference and ecological approach to communicative behavior. Paper in 2021 by Rémi Thyssen and Pierre Poirier. The video is a total introduction to some of these ideas."
"Unknown","00;01;34;08","00;02;02;23","It's not a review or capturing every aspect for that. You can read the paper and explore some of the ideas we are going to talk about. Aims and claims, abstract roadmap, keywords and bring up some notable points. It is still upcoming with the 48.1 and 48.2. So people are welcome to submit questions or things to discuss, write comments and join the panels live if they want."
"Unknown","00;02;03;15","00;02;32;00","So let's begin with introductions and warmup. I think we can share more with our big question. So Jean, why don't you say hello and introduce your big question? Thanks, Daniel. I'm Dina. I'm Sharon, Calgary, and well, I could I could read out the big question, but it's pretty long winded. So I'll just say that I'm always curious about what happens when active inference isn't something that we look at as a subject or a topic."
"Unknown","00;02;32;00","00;03;08;20","That is something that we actually use or perceive as being around us. And so I think the question of whether or not you focus on what's inside of an ecological space or look at the ecology and the system in which we believe active inference exist this as and and maybe within because we kind of 4747 live stream we kind of touched on the idea could be both if if we're going to if we're going to expand our horizons and look at what kind of limits are and describe that as an ecology."
"Unknown","00;03;09;15","00;03;46;25","My question then is as communication and of communication, what is the product of communication and what is communication serve? And so let's kind of like the questions and that's what in the next three last names we can start maybe at least staking out where that ecology begins and ends. Nice. Well, very interesting. Thanks a lot. Also for so much of the preparation here, we're still coming down off of 47."
"Unknown","00;03;46;25","00;04;19;03","And so I think it's going to be interesting to see how we approach pragmatism in this discussions. So the big questions that brought me to this paper or that I was thinking about during the paper were what are the applications and implications of different interpretations of communication? Why does it matter? What would be the things in the world, including the mind that would be changed as a factor with or downstream of how our interpretation of communication is?"
"Unknown","00;04;20;00","00;04;54;17","And then what are the causes and consequences of different perspectives? We take on active inference, where perspective also includes action, propensity and engagement with. So a perspective is like where one is situated and viewing. And so it's the view from somewhere from something rather than view from nowhere, slash everywhere. And I think in that specificity we can have a lot of discussions about ecology as a great system to learn from then."
"Unknown","00;04;55;13","00;05;21;29","Yeah, yeah. I think when we're outside it or we perceive ourselves or where we're framing, that would be the on this slide, that would be the first box. That's our sense that we're kind of outside of the system looking in, whereas the second box on the right would be, well, we're embedded. And now the, the, the, the reason we're better at it is as the genie came out, it got out and now it's all around us."
"Unknown","00;05;21;29","00;05;45;26","It's kind of like that. The perfume is now been distributed through the air and now we're walking through it. So which of those two things, depending upon how we want to analyze which of those two things produce, what results sort of thing. And I think we're both kind of asking the same question if this then what if that, then what?"
"Unknown","00;05;47;22","00;06;23;20","All right. I'll read the first half of the abstract. In this paper we introduce in ecological accounts communication, according to which acts of communication are active inferences achieved by affecting the behavior of target organism via the modification of its field of affordances. Constraining a target organisms behavior constitutes a mechanism of socially extended active inference allowing organism arms to proactively regulate their inner states through the behavior of other organisms."
"Unknown","00;06;23;20","00;06;55;28","In this general conception of communication, the type of cooperative communication characteristic of human communicative interaction is a way of constraining interaction dynamics towards the goals of a given joint action by constructing and altering shared fields of affordances. This account embraces a pragmatist view, according to which communication is a form of action, aiming to influence the behavior of a target and stands against the traditional transmission view."
"Unknown","00;06;55;28","00;07;24;24","Sorry, you just have to shut up here because it kind of slow down my screen. Where am I transmission to you? According to which communication? Fundamental research can be information. Understanding acts of communication is active inference and its ecological interpretation allows us to link communicative and ultimately linguistic behavior to the biological imperative, minimize free energy, and emphasize the action oriented nature of communicative action interactions."
"Unknown","00;07;26;03","00;08;03;26","All right, nice. Here's the roadmap. And there's some light, sometimes consistent highlighting at play. The paper is prose based. There are not any figures or formal isms. However many are suggested. So we'll have an interesting time. I think making some representations, using words, maybe some non linguistic communication because there's so much to add. It's not providing visual centers as many papers outside of especially philosophy do."
"Unknown","00;08;03;26","00;08;42;22","So first there's an introduction. Then the central distinction or dialectic or division is introduced. The transmission and the influencing the and versus but or the contrary is indications that we've kind of explored this time. That type of a dyadic comparison is being brought to two views of communication. Two supporting witnesses join, which are ecological interpretation, the ecological developments and the turn in that area and active inference."
"Unknown","00;08;43;15","00;09;19;22","And they're going to then in communication, active inference focusing on human cooperative communication. Describe how under ecological and active inference starting points justified starting points, as they'll argue that we can endorse a pragmatist view at the detriment to the transmission view. Any other thoughts? Yes. Now, the authors are pretty clear. They they describe this paper or these arguments as a sketch."
"Unknown","00;09;20;14","00;09;56;20","So when we say roadmap here, I think it's more of it's not a what a highly detailed, highly specified zoom in on it on a, you know, a very precise Google map. This is kind of a back of the napkin idea for for a conversation starter. And so I appreciate that because I mean, at least by the authors saying, we want to get this down, we want to stake this out and then let people decide how to come at this empirically to maybe fill in some more of the position."
"Unknown","00;09;57;23","00;10;32;00","Yeah, it's like planning a road trip in its implications, especially that itself is an entire completed work. Let's just jump to the aims. Well, the top two aims are some of the largest. They summarize their work as introducing a pragmatist conception of communication grounded in ecology of active inference. So the three threads are pragmatism, ecological interpretation and active inference about communication."
"Unknown","00;10;32;00","00;11;28;04","And they're going to argue that all of communication be understood as socially extended, active inference, be understood by whom, when. And those are some of the points that brings us to. Secondly, there are some direct contradictions slash tensions described and contrasting with the transmission view, which is the the dancing partner of the advance of the ecological pragmatic active view is two is by contrast with the transmission view, which can help a lot with literature continuity in in setting direction for research field people looking for transmission view can see that there's a paper from 2021 that's that's connecting and finding concordance."
"Unknown","00;11;28;10","00;11;55;01","And as they mentioned, they will stress in several different ways that it's an initial account with many gestured to next directions that will get to any other thoughts. Yes, I think without using these terms, they're they're saying, you know, there are nodes out there. There's there are connect, there are potential connections out there. One way of doing that is through a transmission line."
"Unknown","00;11;55;01","00;12;27;03","And what we would like to do is maybe advance the idea that those links are are a little bit more embellished than something simple. And so, again, those are the terms that they use. But with Daniel, you're better at this than I am. We had a recent livestream this year, I think, where we talked about offloading as being a really important part of extending the active inference or you remember which one that was kind of."
"Unknown","00;12;28;07","00;13;07;12","Yeah, yeah. That extended something was extended. Let's look. Yeah, yeah, yeah. It was with the cognitive offloading cognitive all communicate this is 48 extended active inference constructing predictive cognitive beyond Scholes number 41 right and that and that and that leads stream there wasn't really there wasn't anything in that idea that the between this was like the whole idea of how how Markov blanket may function as a way of of of focusing or bringing down the amount of noise and raising up the amount of signal in a in a space outside yourself."
"Unknown","00;13;07;12","00;13;33;11","There was no we didn't have a lot of pushback on how that theoretically would work. So I don't think that they're stepping into the Twilight Zone by mentioning this. Nice. All right. So they make several claims that are summarized here, but we'll we'll deal them in the sections in rough order. Anything to add, though? Okay. These are just not really going to come up."
"Unknown","00;13;33;11","00;13;58;15","Yeah. Yeah. These are some summaries of some important claims, but we're going to come up with them. So. All right. And then last, last stuff before we jump into the background, which is one term and then the paper itself, what are the keywords in your eye? Well, I mean, we had dynamical systems model in the last live stream, too."
"Unknown","00;13;58;15","00;14;31;15","So there's a lot of people that are are depending on that theory to advance whatever arguments they want to make. And the other I think the other term that comes up quite often is joint actions without really getting into some hard specifics about what that may look like on a scale friendly level. So I think when the authors joined us, I think both of those things are things we'll have there's fertile ground there to to grow some conversations."
"Unknown","00;14;31;15","00;14;58;29","Awesome. The one I would just want to highlight is Dynamical Systems Model. You you mentioned how maybe just rephrasing that people use it to in a lot of different ways and just that being raised made me think about what is being advanced by claiming that alone or together, something changes through time. Does anyone disagree and would it matter that everyone disagrees?"
"Unknown","00;14;58;29","00;15;21;25","But what does dynamical mean when we're talking about time dependent, real existing systems? What does it mean that you have a system or a model or a systems model? What does that mean? Because that's something that's an artifact or is it a, quote, mental model? And so there's a lot to explore about what is being meant by dynamical systems model."
"Unknown","00;15;22;15","00;15;54;16","We're thinking about time or does it mean something more than that continuous time, discrete time, implementation effects? There's so many aspects to it and it's actually going to come back at the very end. All right. And pragmatics, also the top part, you could mention anything otherwise. Then how does this connect to what we discussed in 47? Well, just I kind of wrote this, so grab a read it."
"Unknown","00;15;54;26","00;16;21;18","Pragmatism in action, especially the question of what makes up an aim. And I put in behind that the act, the act, the process and meaning, which is the sense aligning, which as we all know, is the generative model, given targeting with what there's still a question of what are we targeting with when we when we put it all under one umbrella called active inference, a situational analysis tool."
"Unknown","00;16;21;23","00;16;47;21","This this is we've had lots and lots of people claim that that's what's that's what active inference is. It's a range finder with a depth of filter or is active inference in importance generator something that enables ask the lecture given to reframing and step stabilization or both. Now, if you want to write an academic paper, it's way easier to just limit it to active inference as a stabilizer."
"Unknown","00;16;47;21","00;17;13;03","Now we have t0tt1, t two and so on, but it's also a way to delimit that temporal, spatial, temporal field. So do we just ignore that because it's easier to write? Because if we do, that's where the arrow of time, meaning we're kind of more moving with the flow and temporal depth through the memorial and across the spectrum."
"Unknown","00;17;13;07","00;17;42;05","The spectral range, whatever we arbitrarily pick as our projection and integration space must both be induced or included in whatever the representational is if we analyze the entanglement along with the attainment. So what is the relationship is? I mean, is a relationship in the passing of rings? No, of course it isn't. But those symbols still reinforce what's going on."
"Unknown","00;17;42;09","00;18;42;02","So how can we just say there's no representational ism in this? It's it would be hard to do that on realistic scans. That would be pragmatics in a nutshell. To me, very interesting closure. Well, especially if you're if you're recently involved in a in a long lasting long term relation. Right. It's so true. Yeah. The part I'll point out is just the few highlighted words on the top with a lot of citations provided that are going to be taking a pragmatic federation approach, broadly disparate interests and foci that are being used by these authors in their advancement of an anti transmission view distributed language hypothesis constraint view of language, participatory sense making framework."
"Unknown","00;18;42;28","00;19;13;15","Maybe those fields are connected in their citations or co-authorship, but then the authors are able to connect these as kind of three people pointing at the same process or thing. And that's like a nice dense usage that could be really catching people up on a few ways to navigate these topics, because there's a lot of related topics. It's like, aren't we just talking about how things are, including how modeling is?"
"Unknown","00;19;13;15","00;19;45;13","They begin in the introduction with an overview of the layout of their paper and they describe, as you mentioned, the sketch. It's a pragmatist account of communicative behavior, grounded in ecological interpretation of the active inference framework, contrasted with a transmission view of communication, according to which the function of communicative behavior is to convey information. So a claim is that communication is about information transmission."
"Unknown","00;19;46;23","00;20;27;12","Then they are contrasting that in light of ecological psychology and theory broadly, and also giving an active inference twist slash theory, integration slash introduction of free energy minimization or uncertainty reduction as imperatives or modeling imperatives or existence imperatives. Whereas some of these previous threads, like ecological psychology more neutrally, wouldn't have necessarily a formal or a first principles way to connect to modern applications, though they may have a first principles grounding in pragmatism."
"Unknown","00;20;28;15","00;21;07;04","So many of the pieces have already been assembled in terms of the ecological and pragmatic and all of these areas coming together outside the paper. And so that will be a theme what is linking out to other empirical and philosophical literature. What is active inference doing in this mediation as a framework, something that makes it an organized principle, organizing principle in a way that merely the literature corpus of these areas, which in many respects have been connected, like the pragmatics of linguistics."
"Unknown","00;21;08;01","00;21;34;21","So what is active inference doing anything on that? Well, again, I don't think it's hard to argue that to focus only on the string and the two cups is probably reducing to fork out when we're talking about communication. I mean, they're they're entangled, right? Like they're now tied together. But what the authors are trying to point out here is that there also are signal learners and signal receivers in it."
"Unknown","00;21;34;21","00;22;10;22","And as soon as you add more layers to this, what's actually going on? Suddenly an ecology emerges. So let's step back and look at everything that is possibly participate in this, not just the hardware. And so again, it will be hard to argue against that. At the same time, if you and I don't have all of the all of the things that we need to communicate from Davis, California, to Calgary, Canada, no matter how much we scream, there is no communique, there's no live stream 48 right now."
"Unknown","00;22;10;22","00;22;42;25","So again, to dismiss a transmission do I think is also probably not the best idea in the world because without that, what do you got? Yep, good point. And they'll bring up that sort of enabling system perspective in the conclusion very clearly. Yeah, they set up the perspective of communication as transmitting information symbolic information or other kinds of information influencing sculpting."
"Unknown","00;22;42;25","00;23;14;17","What is it influencing? Is it modifying cognitive dials? Is it modifying the field of affordances? Is it doing both? Is it any number of ways that people have been studying nexus of communication, interest, species, interpersonally, everything. And you've done a lot to say. I'm going to see if you read if you've read anything from Charles Sanders. Peirce, you would have to say it's both."
"Unknown","00;23;15;21","00;23;41;04","Thank you. I mean, if you're a PERS follower, you're not left with much choice because there's a lot of in it's nonsense going on because it's a lot of interpreting and yeah, awesome. All right. Setting the context, do you want to mention or don't mean to mention it. Go for it. All right. Well, the first footnote is about the notion of information."
"Unknown","00;23;41;28","00;24;22;24","And they describe different information and uncertainty concepts which we can address in later discussions. They do not dedicate a lot of time and space to fleshing out the transmission view and different ways that people have formally, informally addressed it, causes and consequences, etc. However, they have provided a lot of citations. Then, in footnote four, they are describing French a writing in the 1890s, which is a very interesting connection."
"Unknown","00;24;22;24","00;25;04;07","I don't know the details, but some information is provided in this section. Footnote It's an interesting path. It would be fun to kind of go down more because we've now brought back in pairs to the discussion as others are. And I think walking the fine line between not using last names for equations while respecting the process and contributions of past researchers and practitioners in just different areas, will be really part of what active inference brings together."
"Unknown","00;25;04;07","00;25;35;17","All right. Anything else I would say is that I think what this maybe points out, again, this is not what they wrote in their notes, but with every transmission, there are things like conflict embedded in that or complexity embedded in that. I mean, any any good writer knows that you can't just transmit a bunch of information. There are there are expectation around what what are you moving towards and why would I continue to communicate?"
"Unknown","00;25;35;17","00;26;02;26","And so you have to have a context around which that that can genuine regime of attention is held up get chair attention regimes of attention joint action. Yeah so setting logic here they are going to flesh out two primary reasons to explore theoretical alternatives to TV. So not they're wrong they thought bad. But there are two reasons to explore."
"Unknown","00;26;03;13","00;26;49;15","We're at camp and we're going to explore some theoretical alternatives. Firstly, TV entails a commitment to an account of the putative contents conveyed via communication, providing such an account is notoriously difficult, especially if linguistic practices cannot be invoked as part of the explanation. Very deep points about what is linguistically accessible, consciously accessible, perceptible under difference situations through different kinds of memory, anticipation, and all these features which we know do play roles in semiotics."
"Unknown","00;26;50;14","00;27;18;00","And then the second reason why to explore a theoretical alternative is how it's not clear that communication conceived of as the transmission of content could be relevant to the basic allosteric processes which drive the behavior of organisms. So you might say bio semiotics. See, the pancreas communicates with different cells in the body through hormone signaling, but in a transmission to you, would one be committed to the viewpoint?"
"Unknown","00;27;18;00","00;27;54;03","Insulin means do X, Y or z? To whom? Under what conditions? In what ways? Is that a communication? So especially at scales and systems that aren't quite literally humans talking about language which is quite common, then there's going to be an account that's non linguistic. So to what extent are we going to privilege or center this type of linguistic discourse and communication in a broader ecology of communication right."
