"Start Time","End Time","Text","Layer ID"
"00;00;24;25","00;00;25;07","Hello.","1"
"00;00;25;07","00;00;26;07","Welcome.","1"
"00;00;26;17","00;00;29;04","It is September 14th, 2022","1"
"00;00;29;04","00;00;31;16","and we're in active livestream","1"
"00;00;31;17","00;00;33;18","number 48.2.","1"
"00;00;34;03","00;00;35;02","Welcome to the Active","1"
"00;00;35;02","00;00;36;16","Inference Institute.","1"
"00;00;36;16","00;00;38;24","We're participatory online institute","1"
"00;00;39;02","00;00;40;08","that is communicating,","1"
"00;00;40;08","00;00;41;18","learning and practicing","1"
"00;00;41;18","00;00;43;10","applied active inference.","1"
"00;00;43;10","00;00;44;01","You can find us","1"
"00;00;44;01","00;00;46;12","at some of the links on the slide.","1"
"00;00;46;12","00;00;47;12","This is a recorded","1"
"00;00;47;12","00;00;49;10","and an Archived livestream,","1"
"00;00;49;10","00;00;50;18","so please provide feedback","1"
"00;00;50;18","00;00;52;24","so we can improve our work.","1"
"00;00;52;24","00;00;53;20","All backgrounds","1"
"00;00;53;20","00;00;55;24","and perspectives are welcome here","1"
"00;00;55;24","00;00;56;19","and we'll follow","1"
"00;00;56;19","00;00;59;23","video etiquette for livestreams.","1"
"00;00;59;23","00;01;01;13","Head over to active inference","1"
"00;01;01;13","00;01;03;21","dot org to learn more about","1"
"00;01;03;21","00;01;05;12","how to participate in learning","1"
"00;01;05;12","00;01;06;16","groups and projects","1"
"00;01;06;16","00;01;08;19","such as livestreams and others.","1"
"00;01;10;08","00;01;12;28","Well, we are in our third discussion","1"
"00;01;13;08","00;01;15;08","around this paper","1"
"00;01;15;08","00;01;17;18","communication as socially extended,","1"
"00;01;17;18","00;01;20;00","active inference and ecological approach","1"
"00;01;20;07","00;01;21;17","to communicative behavior.","1"
"00;01;21;17","00;01;23;08","From 2021","1"
"00;01;23;08","00;01;25;08","by Rometty, Sohn and Pierre Poirier","1"
"00;01;26;01","00;01;29;21","and last week in 48.1.","1"
"00;01;30;05","00;01;30;22","With","1"
"00;01;31;24","00;01;33;02","the very same","1"
"00;01;33;02","00;01;35;22","fellows in the conversation,","1"
"00;01;35;22","00;01;38;11","we had some explorations into","1"
"00;01;38;23","00;01;41;14","different aspects of the paper.","1"
"00;01;41;14","00;01;44;19","Perhaps we can each say hello again","1"
"00;01;45;06","00;01;47;00","and something if we want to,","1"
"00;01;47;00","00;01;48;29","that we remember from last week,","1"
"00;01;48;29","00;01;51;19","or that we'd like to explore today.","1"
"00;01;51;23","00;01;54;08","And then we can just be right in it.","1"
"00;01;55;03","00;01;57;04","So I'm Daniel.","1"
"00;01;57;04","00;01;58;21","I'm in California","1"
"00;01;58;21","00;02;02;08","and I'm interested to look towards","1"
"00;02;02;08","00;02;02;22","the latter","1"
"00;02;02;22","00;02;06;01","half the back nine of the paper","1"
"00;02;06;19","00;02;08;24","and see where we go,","1"
"00;02;08;24","00;02;10;03","which is kind of what we do","1"
"00;02;10;03","00;02;12;21","in Dot Two's usually.","1"
"00;02;13;07","00;02;15;13","And I just have a feeling that","1"
"00;02;15;29","00;02;19;20","the exit from the slide on this one","1"
"00;02;20;09","00;02;22;23","may put our communication","1"
"00;02;22;23","00;02;25;22","and situated ness in a different place","1"
"00;02;27;17","00;02;29;10","than where we were before.","1"
"00;02;29;10","00;02;32;07","And I'll pass it to.","1"
"00;02;36;25","00;02;37;07","Hi.","1"
"00;02;37;07","00;02;40;09","I'm a little. I'm not.","1"
"00;02;43;08","00;02;44;14","I heard the initial part and","1"
"00;02;44;14","00;02;48;09","then lost the blue.","1"
"00;02;48;09","00;02;49;12","You happen to hear me now?","1"
"00;02;49;12","00;02;53;23","Yeah, I am a blue","1"
"00;02;53;23","00;02;55;25","and I'm a researcher in New Mexico","1"
"00;02;55;25","00;02;58;03","and I am excited to dig","1"
"00;02;58;06","00;03;00;17","back in to this paper.","1"
"00;03;00;17","00;03;01;08","I think we left","1"
"00;03;01;08","00;03;02;25","a lot of things","1"
"00;03;02;25","00;03;06;18","to wonder about last week and and yeah,","1"
"00;03;06;25","00;03;08;24","excited to get to maybe more","1"
"00;03;08;24","00;03;10;23","into the meat of the paper itself","1"
"00;03;10;23","00;03;12;08","as opposed to just","1"
"00;03;12;08","00;03;14;17","discussing tangential ideas.","1"
"00;03;15;15","00;03;17;00","And I'll pass today.","1"
"00;03;18;01","00;03;18;16","Thanks Blue.","1"
"00;03;18;16","00;03;21;08","I'm I'm here in Calgary.","1"
"00;03;21;08","00;03;22;02","I'm interested in","1"
"00;03;22;02","00;03;23;01","seeing whether or not","1"
"00;03;23;01","00;03;23;29","the big road map","1"
"00;03;23;29","00;03;24;23","that I think that","1"
"00;03;24;23","00;03;26;16","this paper provides","1"
"00;03;26;16","00;03;29;28","also can be explained as a big score, as","1"
"00;03;30;04","00;03;30;17","as in a","1"
"00;03;30;17","00;03;32;26","kind of a musical analogy,","1"
"00;03;32;26","00;03;35;08","because I'm really interested in the,","1"
"00;03;35;08","00;03;36;03","in the interplay","1"
"00;03;36;03","00;03;36;26","or the interaction","1"
"00;03;36;26","00;03;39;07","between orchestration and arrangements.","1"
"00;03;39;07","00;03;40;14","We yesterday","1"
"00;03;40;14","00;03;42;13","there was a math string","1"
"00;03;42;13","00;03;44;18","that where our guest was","1"
"00;03;45;17","00;03;47;15","really good at sort of","1"
"00;03;47;15","00;03;50;05","describing the arrangement part of","1"
"00;03;50;05","00;03;51;15","of what's going on","1"
"00;03;51;15","00;03;53;16","and active inference potentially.","1"
"00;03;53;16","00;03;55;01","And so I'm really kind of interested","1"
"00;03;55;01","00;03;55;24","in looking at that","1"
"00;03;55;24","00;03;56;20","because","1"
