start	end	paragNum	speaker	pconfid	wordPos	paragWordPos	paragFirstWordCount	paragLastWordCount
38860	55892	1	A	0.12903	35	35	1	35
56036	85060	2	A	0.50022	109	74	36	109
86040	118444	3	A	0.65691	172	63	110	172
118572	166448	4	A	0.98974	268	96	173	268
166534	168690	5	A	0.98723	273	5	269	273
174570	196490	6	A	0.99854	312	39	274	312
196650	224440	7	B	0.90487	360	48	313	360
226490	290026	8	A	1.0	466	106	361	466
290128	342410	9	B	0.99563	538	72	467	538
346290	371560	10	A	0.96033	591	53	539	591
374330	422360	11	B	0.74604	666	75	592	666
426080	447190	12	A	0.99866	712	46	667	712
460820	521770	13	B	0.49068	793	81	713	793
522380	589260	14	B	0.68	885	92	794	885
595150	625106	15	A	0.99837	945	60	886	945
625288	707962	16	B	0.86	1061	116	946	1061
708106	768450	17	B	0.99784	1160	99	1062	1160
771830	808190	18	A	0.87425	1211	51	1161	1211
810850	836390	19	B	0.61536	1250	39	1212	1250
839630	884406	20	A	0.90448	1319	69	1251	1319
884428	959790	21	B	0.64	1423	104	1320	1423
970340	978420	22	A	0.99984	1441	18	1424	1441
984040	1060480	23	B	0.99	1575	134	1442	1575
1064740	1107340	24	A	0.99976	1657	82	1576	1657
1112500	1141480	25	A	0.99477	1716	59	1658	1716
1144300	1167520	26	B	0.94122	1749	33	1717	1749
1171860	1224020	27	B	0.72225	1829	80	1750	1829
1227170	1238270	28	A	0.98591	1846	17	1830	1846
1240930	1270650	29	B	0.48686	1877	31	1847	1877
1272670	1311110	30	B	0.62559	1952	75	1878	1952
1312350	1355750	31	B	0.76939	2008	56	1953	2008
1359450	1362410	32	A	0.99278	2013	5	2009	2013
1366510	1389410	33	B	0.99716	2042	29	2014	2042
1391830	1408630	34	A	0.99845	2078	36	2043	2078
1410890	1489922	35	B	0.82516	2144	66	2079	2144
1489986	1527550	36	B	0.99998	2195	51	2145	2195
1531290	1605898	37	A	0.99996	2313	118	2196	2313
1606074	1636440	38	A	0.73	2366	53	2314	2366
1641150	1671620	39	A	1.0	2421	55	2367	2421
1673830	1730360	40	B	0.98472	2516	95	2422	2516
1730730	1777080	41	A	1.0	2612	96	2517	2612
1780010	1783350	42	B	0.92308	2617	5	2613	2617
1785770	1849290	43	B	1.0	2699	82	2618	2699
1853470	1876930	44	B	0.54415	2720	21	2700	2720
1882090	1906670	45	A	0.96698	2780	60	2721	2780
1910920	1964980	46	B	0.96703	2850	70	2781	2850
1965130	2012310	47	A	0.97014	2931	81	2851	2931
2017900	2032960	48	B	0.95755	2949	18	2932	2949
2037180	2060210	49	A	0.71248	3004	55	2950	3004
2062660	2137050	50	B	0.99733	3103	99	3005	3103
2137660	2166240	51	B	0.99792	3141	38	3104	3141
2173640	2225460	52	A	0.95041	3232	91	3142	3232
2225610	2303900	53	A	0.99931	3362	130	3233	3362
2311600	2382950	54	B	0.7874	3456	94	3363	3456
2386810	2440950	55	A	0.6663	3535	79	3457	3535
2444170	2508490	56	A	0.60381	3622	87	3536	3622
2509230	2595350	57	B	1.0	3737	115	3623	3737
2600030	2628290	58	A	0.90042	3777	40	3738	3777
2632970	2736530	59	B	0.86531	3920	143	3778	3920
2737690	2762010	60	B	0.92899	3951	31	3921	3951
2765330	2800140	61	B	0.99957	3987	36	3952	3987
2809500	2855960	62	A	0.96487	4069	82	3988	4069
2858220	2943910	63	B	0.96717	4195	126	4070	4195
2944360	3036690	64	B	0.97074	4299	104	4196	4299
3040850	3063430	65	B	0.96462	4330	31	4300	4330
3065870	3096900	66	B	0.98808	4388	58	4331	4388
3103810	3168930	67	A	0.82337	4520	132	4389	4520
3169430	3265680	68	A	0.9986	4673	153	4521	4673
3269620	3272880	69	A	0.98402	4683	10	4674	4683
3278290	3282750	70	B	0.88376	4690	7	4684	4690
3285570	3319610	71	A	0.99985	4759	69	4691	4759
3325230	3357690	72	B	0.79751	4795	36	4760	4795
3360270	3441090	73	B	0.99602	4930	135	4796	4930
3441990	3458010	74	B	0.7325	4947	17	4931	4947
3464400	3546630	75	B	0.99994	5047	100	4948	5047
3555000	3588960	76	A	0.99316	5100	53	5048	5100
3590340	3593840	77	B	0.98772	5107	7	5101	5107
3598120	3662360	78	A	0.74357	5194	87	5108	5194
3664540	3686480	79	A	0.99996	5222	28	5195	5222
3688500	3736590	80	A	0.96909	5300	78	5223	5300
3738720	3775576	81	B	0.80937	5359	59	5301	5359
3775688	3785340	82	B	1.0	5370	11	5360	5370
3789520	3796240	83	B	0.91035	5385	15	5371	5385
3798440	3848150	84	B	0.9907	5472	87	5386	5472
3848840	3914216	85	A	0.99631	5602	130	5473	5602
3914398	3974780	86	A	0.99	5719	117	5603	5719
3981440	4060150	87	B	0.53588	5827	108	5720	5827
4062540	4125500	88	A	0.83159	5915	88	5828	5915
4127680	4208740	89	A	0.99999	6013	98	5916	6013
4211100	4287680	90	A	0.99319	6120	107	6014	6120
4294660	4296450	91	B	0.97	6123	3	6121	6123
4300420	4343132	92	B	0.9583	6183	60	6124	6183
4343276	4414356	93	B	0.97635	6278	95	6184	6278
