start	end	speaker	confidence	text
38860	178280	A	0.9311814035087712	Key all right, hello everyone. Welcome. This is activem live stream number 51.1. We are in the second discussion of our this paper canonical neural networks perform active inference. Welcome to the active inference institute. We're a participatory online institute that is communicating, learning and practicing applied active inference. You can find us on the this slide and this is recorded in an archived Livestream. So please provide us feedback so we can improve our work. All backgrounds and perspectives are welcome and we'll follow good video etiquette for livestreams. Head over to activemfirms.org to learn more about the institute and how to participate in projects and learning groups. All right, we're in Livestream number 51 one and having our first non solo discussion on this paper, canonical Neural Networks Perform Active Inference. And really appreciative dakuya that you've joined today. It's going to be a great discussion. We'll begin with introductions. I'll say hello and then please just jump in however you'd like and we can start by setting some context. So I'm Daniel. I'm a researcher in California, and I was interested in this paper because we've been talking a lot about active inference from a variety of different perspectives, from the more fundamental math and physics to some applications. Philosophy embodiment all these really interesting threads. And this paper seems to make a really clear, meaningful contribution and connection by connecting active inference entities and this approach of modeling to neural networks which are in daily use globally. So thought it was a fascinating connection and really appreciate that we can talk about this today. So to you and welcome. Go for it Tokuya however you'd like to introduce and say hello.
178730	221000	B	0.8785353623188407	Yeah. Hi. I'm Takai Somar, neuroscientist in Lieken Brain Science Institute in Japan. I'm particularly interested in universal characterization of neural network and brain using mathematical techniques. So this work I believe important as a link between active coherence aspect aspect of the brain and the dynamic system aspect of the neural network. So I'm very happy to join this discussion. Thank you for invitation. Nice to meet you.
222090	239820	A	0.9473774285714285	Nice to meet you as well. The first thing you added, the universal characterization of neural networks. What is the universal characterization of neural networks? Why is it being pursued in this area of research?
241310	342410	B	0.8575789932885903	So, as a narrow sense, my main aim of this paper is that so people use active inference formularization to characterize brain activity, behavior, so on and so on, but which would be different from a conventional neural network. So there is a crossover program which is associated with conventional neural network and it is not very clear whether all characterization of computational neural network can be explained by active infrastructure and as a principle or not. So here universal characterization means that parameterisation of every aspect of conventional neural network which is a kind of dynamical system derived as association between biological phenomena and simple mathematical formula, typically using differential equations as the broad sense. I think universal characterization means that well, it is a characterization of brain intelligence, but it's a big picture and what the paper particular address is only one aspect of the full picture.
346290	371560	A	0.9446750943396227	All right, so it'll be great to pull back to really understand what synthesis is happening. So I'm going to ask what makes a neural network model a neural network model and what makes an active inference model an active inference model? Is this synthesis and connection you've made true because of what?
374330	422360	B	0.8152666666666666	Because basically what we showed is the mathematical equivalence between the correlation of canonical neural networks and the correlation active inference lab in the sense that we show that a stress of neural network can be characterized by a minimization. Of some biological plausible cost function. And we show that that cost function can be lead as variation of Bayesian coherence and particular cross of generative model in terms of well known partially observable process.
426080	447190	A	0.9301980434782608	All right, shall we perhaps walk through some of the action of the paper? It would be awesome. Just for each of these sections, maybe the numbered and the lettered sections, what does the section aim to show and why was it there in the paper?
460820	589260	B	0.8244086705202308	It's and overview. Right, first we introduce so the main issue, main program, our interest, which is a relationship, which is that we try to make a formal ring between neural network and active infrastructure. That's the main problem background. And then we first formulate the equivalent mathematical equivalence in a very broad manner. So in the least action in result, we formulate the relationship using concrete cross theorem, which is a well known statistical theorem proposed very long time ago. And using that, we link a general form of neural network with a general form of variational data coherence. But a problem is that this characterization does not address a specific generative model which is crucial to characterize a specific model, specific neural network dynamics. So in the following sections, we characterize the problem using Pomodb or partially observer Marco digital process and link that model with a particular cross of canonical neural network. And then we simulated we used the simulation to corroborate that property in terms of some maze task.
595150	614260	A	0.9520925000000001	All right, thank you for this. Could we talk about the complete class theorem? So what is the scope of the complete class theorem and why was it the relevant set of the neural networks to pursue or the right way to frame it?
615270	768450	B	0.8569664502164501	Thank you for asking that. So I like the slide you showed the last week's video. The computer basically indicates the relationship between some crossover decision rule and Beijing inference. Here a crucial keyword is admissibility or admissible decision rule, which is rule which is the same as good as other decision rules or at least at one point better than other decision rules. So simply speaking, administrative indicate in some sense it is the best rule for some aspect. And usually we characterize such a goodness using cost function loss function or risk function. And here what we did is establish some association with this type of loss function or risk function with function of canonical neural network which is we call cost function or biological cost function for neural network. So our assumptions is that neural network minimize cost function. So if it achieved the minimization and it is validly achieved some sort of optimality so we can say it is admissible with respect to that cost function. So the beauty of complete cross serum is that if we find some admissible decision then automatically we can say that it is based on coherence in terms of some Bayesian cost function with generative model or prior beliefs. So this complexity theorem is crucial as abstract characterization of the relationship between conventional neural network architectures, dynamics and variational. Beijing inference.
771830	780360	A	0.9623394444444444	Right, thank you. What does it mean when you said it was biologically plausible of a loss function?
782090	836390	B	0.8424609722222223	The term is a little bit arbitrary because in this paper we Dean by prosperity in the sense that this neural network model can be derived from heuristic neural model through some approximation. Here, biological probability suggests or means probability as a neural model or synaptic prostitution model. And if this cost function loss function can derive such a plausible algorithm, then we can say that this cost function is vertically plausible.
839630	847980	A	0.9314728571428571	So what is the distinction between those neural and synaptic components in the loss function or what equation to look at?
849710	854154	B	0.759227142857143	You mean distinction between dynamics and synaptic?
854282	859070	A	0.9773293333333335	Yeah. What is the distinctions between them and how is it represented in the equations?
860690	959790	B	0.8415239230769228	Okay, basically neuroptivity equation means differential equation about variable that represent firing intensity or some sort of variables associated with the neural firing on the other. And synaptic plastic creation means an update rule about the synaptic weight or synaptic strengths which is a connection between two neurons. And beauty of this formulation in this paper is that we characterize both heuristic equation and synaptic process in terms of gradient descent on a same cost function, common Costa function. So we can say that if we consider the partial derivative of some cost function with respect to neural activity, then it derives gradient descent rule about activity neuroptivity. While if we consider partial generative of cost function L with respect to synaptic weight, then we derive a synaptic prosthesis rule.
970340	978420	A	0.9696694444444444	Are those the only two aspects of a neural network or why are those the two key aspects?
984040	1060480	B	0.8578672388059703	I think it's a main body of the neural activity. If we consider some inference running our action exhibit by neural network in the sense that neural activity correspond to fast dynamics, fast gradient dynamics mix and while synaptic prostitution indicates a slow dynamics that minimize risk function cost function. But in general we can consider and aspect any variables associated with Urinator. For example ant least what we show in the paper is any free parameter which may be associated with firing threshold or although we don't discuss in this paper it would be possible to add other variables related to neural network. For example, here we ignored contribution of griar factor but it would be possible to add the grille factor in this correlation or any other aspect of virus Carnap network.
1064740	1141480	A	0.9163030496453896	That's very interesting and it speaks also to a general separation of timescales, for example in different multi scale systems or in the renormalization group where it's describing some minimal multi times scale system where the faster time scale can be seen as perception like and the slower timescale can be seen as more learning like. And then in some hierarchical model what's learning of one time scale can be perceptual for a slower time scale? So it's a very nice generalization. Are there any examples of decision rules that will help us think about the action components of what the neural network is doing? Because it may be more familiar to think about digit characterization and image classification, some kind of classical tasks for neural networks. But how does the decision rule play out in the context of neural networks?
