start	end	sentNum	speaker	confidence	text
32290	35054	1	A	0.11085	Subscribe hello and welcome everyone.
35252	42480	2	A	0.99992	This is ActInf Livestream, number 51.28, November 9, 2022.
43250	45978	3	A	0.98553	Welcome to the active inference institute.
46154	53498	4	A	0.85978	We're a participatory online institute that is communicating, learning, and practicing applied active inference.
53674	60520	5	A	0.73626	This is a recorded and an archived live stream, so please provide us feedback so we can improve our work.
60890	67830	6	A	0.99987	All backgrounds and perspectives are welcome, and we'll be following video etiquette for live streams.
68970	76090	7	A	0.99988	Head over to activemfronts.org to learn more about participating in different institute projects.
77070	83230	8	A	0.99641	All right, well, we're in active states number 51.2.
83380	86558	9	A	0.55572	We're in our third discussion on the paper.
86644	89930	10	A	0.99564	Canonical neural networks perform active inference.
90010	91920	11	A	0.99997	From 2022.
92290	98110	12	A	0.99999	We had a dot zero video with some background and context and overview.
98270	109634	13	A	1.0	And then last week in 51.1, we had a great discussion, went over many interesting details of the paper and related topics.
109762	121820	14	A	0.77437	So today we're going to jump in, cover some empirical details, some implications, connect some more dots, maybe look at some code.
122590	126570	15	A	1.0	And thanks again to Kuya for joining these discussions.
127710	158206	16	A	0.99947	I'm Daniel, I'm a researcher in California and thought a lot over the last week about what this kind of neural network POMDP synthesis or translation really means and just want to learn more about what fundamentals or foundational aspects of these different kinds of models enable that synthesis or translation.
158398	166790	17	A	1.0	And then again what that means for areas where one or the other kind of model is already in use.
166940	181290	18	A	0.83719	So thanks again for joining and I'll pass it to you if you want to say hi or give any other a second introduction.
182990	188750	19	B	0.61	Oh, yeah, I'm takirisomera in, lieutenant brain science institute, japan.
189330	199760	20	B	0.86274	So I look forward to discuss another different aspects of this work.
203350	219240	21	A	0.99985	Well, let's just remind ourselves of the fundamental parallel being made in the paper and then we'll get to these two questions about kind of the two directions that things can go.
220090	230614	22	A	1.0	One representation is in equation one with loss function of a neural network and the free energy on a POMDP.
230742	242746	23	A	1.0	And that's also seen visually in figure one, with a neural network being drawn a concordance against the variational bays of the action perception loop.
242858	246830	24	A	0.99233	So maybe just let's begin by restating.
247170	256980	25	A	1.0	What is this parallel that is in equation one and figure one and how was it reached in this paper?
259430	298750	26	B	0.88598	So basically idea here is that we derived to characterize the dynamics and plasticity of canonical neural network in terms of Bayesian inference, because arbitrary dynamics of neural network is interruptible in the sense that we don't know what is the function underlying such a dynamics and what is the coherence of the self organization or prostitution.
300230	314558	27	B	0.70928	So once we translate that dynamics in terms of Beijing ants, we can align quantities in Beijing parents for any biological quantities.
314734	324158	28	B	0.47736	So which enables us to lend the experiment ambiguity to the neural network dynamics and architecture.
324354	326730	29	B	0.95334	So that's a basic idea.
