docLabel	sp	myTime	myTimeDisplay	myTimeSRT
ls051-1	A	38860	00:38	00:00:38,982
ls051-1	A	226490	03:46	00:03:46,094
ls051-1	A	346290	05:46	00:05:46,172
ls051-1	A	426080	07:06	00:07:06,850
ls051-1	A	595150	09:55	00:09:55,420
ls051-1	A	771830	12:51	00:12:51,007
ls051-1	A	839630	13:59	00:13:59,625
ls051-1	A	970340	16:10	00:16:10,753
ls051-1	A	1064740	17:44	00:17:44,636
ls051-1	A	1227170	20:27	00:20:27,108
ls051-1	A	1359450	22:39	00:22:39,228
ls051-1	A	1391830	23:11	00:23:11,254
ls051-1	A	1531290	25:31	00:25:31,382
ls051-1	A	1730730	28:50	00:28:50,563
ls051-1	A	1882090	31:22	00:31:22,697
ls051-1	A	1965130	32:45	00:32:45,774
ls051-1	A	2037180	33:57	00:33:57,840
ls051-1	A	2173640	36:13	00:36:13,958
ls051-1	A	2386810	39:46	00:39:46,153
ls051-1	A	2600030	43:20	00:43:20,343
ls051-1	A	2809500	46:49	00:46:49,534
ls051-1	A	3103810	51:43	00:51:43,798
ls051-1	A	3285570	54:45	00:54:45,962
ls051-1	A	3555000	59:15	00:59:15,201
ls051-1	A	3598120	59:58	00:59:58,245
ls051-1	A	3848840	1:04:08	01:04:08,258
ls051-1	A	4062540	1:07:42	01:07:42,214
ls051-1	A	4508384	1:15:08	01:15:08,193
ls051-1	A	4589460	1:16:29	01:16:29,944
ls051-1	A	4886000	1:21:26	01:21:26,160
ls051-1	A	5023300	1:23:43	01:23:43,286
ls051-1	A	5182440	1:26:22	01:26:22,427
ls051-1	A	5423810	1:30:23	01:30:23,644
ls051-1	A	5635710	1:33:55	01:33:55,838
ls051-1	A	5909360	1:38:29	01:38:29,082
ls051-1	A	6075930	1:41:15	01:41:15,230
ls051-1	A	6252290	1:44:12	01:44:12,389
ls051-1	A	6445160	1:47:25	01:47:25,564
ls051-1	A	7011950	1:56:51	01:56:51,076
ls051-1	B	196650	03:16	00:03:16,796
ls051-1	B	290128	04:50	00:04:50,670
ls051-1	B	374330	06:14	00:06:14,393
ls051-1	B	460820	07:40	00:07:40,197
ls051-1	B	625288	10:25	00:10:25,662
ls051-1	B	810850	13:30	00:13:30,338
ls051-1	B	884428	14:44	00:14:44,013
ls051-1	B	984040	16:24	00:16:24,890
ls051-1	B	1144300	19:04	00:19:04,031
ls051-1	B	1240930	20:40	00:20:40,121
ls051-1	B	1366510	22:46	00:22:46,235
ls051-1	B	1410890	23:30	00:23:30,273
ls051-1	B	1673830	27:53	00:27:53,512
ls051-1	B	1780010	29:40	00:29:40,606
ls051-1	B	1910920	31:50	00:31:50,725
ls051-1	B	2017900	33:37	00:33:37,820
ls051-1	B	2062660	34:22	00:34:22,859
ls051-1	B	2311600	38:31	00:38:31,084
ls051-1	B	2509230	41:49	00:41:49,264
ls051-1	B	2632970	43:52	00:43:52,375
ls051-1	B	2858220	47:38	00:47:38,577
ls051-1	B	3278290	54:38	00:54:38,955
ls051-1	B	3325230	55:25	00:55:25,996
ls051-1	B	3590340	59:50	00:59:50,237
ls051-1	B	3738720	1:02:18	01:02:18,277
ls051-1	B	3981440	1:06:21	01:06:21,464
ls051-1	B	4294660	1:11:34	01:11:34,296
ls051-1	B	4582488	1:16:22	01:16:22,874
ls051-1	B	4633200	1:17:13	01:17:13,321
ls051-1	B	4945320	1:22:25	01:22:25,214
ls051-1	B	5091580	1:24:51	01:24:51,348
ls051-1	B	5290040	1:28:10	01:28:10,523
ls051-1	B	5534710	1:32:14	01:32:14,743
ls051-1	B	5765770	1:36:05	01:36:05,950
ls051-1	B	6041000	1:40:41	01:40:41,201
ls051-1	B	6170338	1:42:50	01:42:50,319
ls051-1	B	6336910	1:45:36	01:45:36,467
ls051-1	B	6658400	1:50:58	01:50:58,759
ls051-1	B	7033890	1:57:13	01:57:13,092
