start	end	speaker	confidence	paragNum	paragWordCount	wordPos	text
38860	39240	A	0.12903	1	1	1	Key
39350	39528	A	0.62816	1	2	2	all
39534	40136	A	0.99731	1	3	3	right,
40318	40712	A	0.99987	1	4	4	hello
40766	41080	A	0.99951	1	5	5	everyone.
41150	41816	A	0.9984	1	6	6	Welcome.
41998	42392	A	0.9998	1	7	7	This
42446	42760	A	0.99859	1	8	8	is
42830	43364	A	0.88736	1	9	9	activem
43412	43624	A	0.75482	1	10	10	live
43662	43956	A	0.99188	1	11	11	stream
43988	44232	A	0.96743	1	12	12	number
44286	45640	A	0.97	1	13	13	51.1.
45790	46056	A	0.99959	1	14	14	We
46078	46264	A	0.99733	1	15	15	are
46302	46456	A	0.99981	1	16	16	in
46478	46616	A	1.0	1	17	17	the
46638	46920	A	1.0	1	18	18	second
46990	47716	A	0.99773	1	19	19	discussion
47828	48392	A	1.0	1	20	20	of
48526	48968	A	0.93338	1	21	21	our
49054	49304	A	0.76688	1	22	22	this
49342	49688	A	0.979	1	23	23	paper
49774	50292	A	0.97855	1	24	24	canonical
50356	50628	A	0.99907	1	25	25	neural
50644	51076	A	0.9949	1	26	26	networks
51108	51448	A	0.99257	1	27	27	perform
51534	51956	A	0.9211	1	28	28	active
51988	52760	A	0.9432	1	29	29	inference.
53340	53800	A	0.99997	1	30	30	Welcome
53870	54104	A	1.0	1	31	31	to
54142	54296	A	1.0	1	32	32	the
54318	54628	A	0.9157	1	33	33	active
54644	55044	A	0.85111	1	34	34	inference
55092	55892	A	0.99883	1	35	35	institute.
56036	56388	A	0.50022	2	1	36	We're
56404	56488	A	0.98	2	2	37	a
56494	57364	A	0.94567	2	3	38	participatory
57412	57768	A	0.99884	2	4	39	online
57854	58372	A	0.98539	2	5	40	institute
58436	58616	A	0.9995	2	6	41	that
58638	58824	A	0.98141	2	7	42	is
58862	59540	A	0.99978	2	8	43	communicating,
59620	59912	A	0.99829	2	9	44	learning
59966	60184	A	0.62	2	10	45	and
60222	60676	A	0.98138	2	11	46	practicing
60708	61124	A	0.98676	2	12	47	applied
61172	61476	A	0.61243	2	13	48	active
61508	62164	A	0.60933	2	14	49	inference.
