docLabel	sp	myTime	myTimeDisplay	myTimeSRT
ls052-2	A	7590	00:07	00:00:07,583
ls052-2	A	411070	06:51	00:06:51,760
ls052-2	A	3214038	53:34	00:53:34,897
ls052-2	A	3788470	1:03:08	01:03:08,714
ls052-2	A	4011390	1:06:51	01:06:51,763
ls052-2	A	5474210	1:31:14	01:31:14,689
ls052-2	A	5557150	1:32:37	01:32:37,766
ls052-2	A	5972610	1:39:32	01:39:32,139
ls052-2	A	6576930	1:49:36	01:49:36,683
ls052-2	A	6669330	1:51:09	01:51:09,764
ls052-2	A	6867030	1:54:27	01:54:27,944
ls052-2	A	6942750	1:55:42	01:55:42,013
ls052-2	B	127962	02:07	00:02:07,169
ls052-2	B	452348	07:32	00:07:32,113
ls052-2	B	3253610	54:13	00:54:13,930
ls052-2	B	3834376	1:03:54	01:03:54,173
ls052-2	B	4079476	1:07:59	01:07:59,384
ls052-2	B	5526346	1:32:06	01:32:06,735
ls052-2	B	5828130	1:37:08	01:37:08,007
ls052-2	B	6164350	1:42:44	01:42:44,313
ls052-2	B	6633170	1:50:33	01:50:33,734
ls052-2	B	6684070	1:51:24	01:51:24,779
ls052-2	B	6934430	1:55:34	01:55:34,005
