start	end	speaker	confidence	paragNum	paragWordCount	wordPos	text
7960	8220	A	0.99907	1	1	1	Hello
8290	8524	A	1.0	1	2	2	and
8562	9150	A	1.0	1	3	3	welcome.
9520	9884	A	1.0	1	4	4	It
9922	10510	A	0.80122	1	5	5	is
11520	12072	A	0.98	1	6	6	March
12136	13196	A	0.92	1	7	7	2023
13218	14940	A	0.78	1	8	8	and
15010	15256	A	0.90408	1	9	9	we're
15288	15580	A	1.0	1	10	10	here
15650	16028	A	0.99898	1	11	11	in
16114	16584	A	0.89363	1	12	12	Activem
16632	17336	A	0.54046	1	13	13	Livestream
17448	19310	A	0.97	1	14	14	52.1.
20080	20540	A	1.0	1	15	15	Welcome
20610	20844	A	1.0	1	16	16	to
20882	21084	A	1.0	1	17	17	the
21122	21624	A	0.89638	1	18	18	active
21672	22440	A	0.99758	1	19	19	institute.
22600	22936	A	0.76857	1	20	20	We're
22968	23068	A	0.97	1	21	21	a
23074	23944	A	0.7675	1	22	22	participatory
23992	24348	A	1.0	1	23	23	online
24434	25096	A	0.99827	1	24	24	institute
25208	25484	A	0.99905	1	25	25	that
25522	25724	A	0.99789	1	26	26	is
25762	26488	A	0.99973	1	27	27	communicating,
26584	26988	A	0.99683	1	28	28	learning
27074	27324	A	0.96	1	29	29	and
27362	28032	A	0.96297	1	30	30	practicing
28136	28624	A	0.75813	1	31	31	applied
28672	29008	A	0.98295	1	32	32	active
29024	29792	A	0.0	1	33	33	coherence.
29936	30244	A	0.97633	1	34	34	This
30282	30388	A	0.99925	1	35	35	is
30394	30516	A	0.98	1	36	36	a
30538	31012	A	0.99972	1	37	37	recorded
31146	31396	A	1.0	1	38	38	and
31418	31556	A	0.98756	1	39	39	an
31578	32048	A	0.59566	1	40	40	archived
32064	32640	A	0.29887	1	41	41	Livestream,
32720	33012	A	0.99772	1	42	42	so
33066	33332	A	0.93965	1	43	43	please
33386	33652	A	0.99999	1	44	44	provide
33706	33876	A	1.0	1	45	45	us
33898	34272	A	0.96889	1	46	46	feedback
34336	34516	A	0.99997	1	47	47	so
34538	34628	A	0.99993	1	48	48	we
34634	34756	A	0.99987	1	49	49	can
34778	35056	A	0.9998	1	50	50	improve
35088	35236	A	0.99993	1	51	51	our
35258	35830	A	0.99993	1	52	52	work.
36200	36564	A	1.0	2	1	53	All
36602	37216	A	0.61259	2	2	54	backgrounds
37248	37396	A	1.0	2	3	55	and
37418	37952	A	0.6709	2	4	56	perspectives
38016	38196	A	0.99982	2	5	57	are
38218	38692	A	1.0	2	6	58	welcome
38826	39076	A	1.0	2	7	59	and
39098	39248	A	0.93602	2	8	60	we'll
39264	39444	A	0.82772	2	9	61	be
39482	40048	A	0.8991	2	10	62	following
40144	40452	A	0.99877	2	11	63	video
40506	41024	A	0.47088	2	12	64	etiquette
41072	41236	A	0.99906	2	13	65	for
41258	42180	A	0.6186	2	14	66	livestreams
42760	43076	A	0.99993	2	15	67	head
43098	43284	A	0.94	2	16	68	over
43322	43476	A	0.99938	2	17	69	active
43498	44644	A	0.69	2	18	70	coherence.org
44692	45000	A	1.0	2	19	71	to
45070	45304	A	0.99989	2	20	72	learn
45342	45640	A	1.0	2	21	73	more
45710	46136	A	0.99999	2	22	74	about
46238	46552	A	0.99998	2	23	75	getting
46606	47060	A	0.55226	2	24	76	involved
47140	47336	A	1.0	2	25	77	in
47358	47592	A	0.99995	2	26	78	learning
47646	47908	A	0.99992	2	27	79	groups
47924	48104	A	0.87	2	28	80	and
48142	48596	A	0.99956	2	29	81	projects
48628	48776	A	0.99999	2	30	82	such
48798	48984	A	0.94353	2	31	83	as
49022	49224	A	0.52	2	32	84	live
49262	49960	A	0.9848	2	33	85	streams.
50940	51208	A	0.97	2	34	86	All
51214	51770	A	0.96	2	35	87	right,
52700	53076	A	0.99998	2	36	88	we
53118	53372	A	0.9807	2	37	89	are
53426	53788	A	0.99093	2	38	90	in
53874	55564	A	0.99	2	39	91	52.1
55762	56220	A	1.0	2	40	92	and
56290	56716	A	0.99998	2	41	93	our
56818	57224	A	0.99993	2	42	94	goal
57272	57916	A	1.0	2	43	95	today
58098	58492	A	0.99997	2	44	96	is
58546	59150	A	0.96	2	45	97	to
59600	59964	A	0.99996	2	46	98	learn
60002	60156	A	1.0	2	47	99	and
60178	60508	A	0.99968	2	48	100	discuss
60594	60892	A	0.99993	2	49	101	this
60946	61260	A	0.9999	2	50	102	awesome
61330	61660	A	0.99991	2	51	103	paper
61730	62296	A	0.99766	2	52	104	geometric
62328	62776	A	0.97639	2	53	105	Methods
62808	62956	A	1.0	2	54	106	for
62978	63432	A	0.5474	2	55	107	Sampling
63496	64264	A	0.99808	2	56	108	Optimization,
64392	65032	A	0.67475	2	57	109	Inference
65096	65468	A	0.99	2	58	110	and
65554	66104	A	0.94217	2	59	111	Adoptive
66152	66508	A	0.99861	2	60	112	Agents
66594	66940	A	0.75	2	61	113	of
67010	67384	A	0.98334	2	62	114	Barp
67432	67596	A	1.0	2	63	115	and
67618	68568	A	0.87851	2	64	116	Acosta
68744	69084	A	0.65	2	65	117	at
69122	69710	A	0.91	2	66	118	all.
70100	70896	A	0.95	2	67	119	And
71078	71436	A	0.99836	2	68	120	we're
71468	71568	A	0.99975	2	69	121	going
71574	71696	A	1.0	2	70	122	to
71718	72144	A	0.99989	2	71	123	just
72262	72636	A	0.9997	2	72	124	jump
72668	72912	A	0.92	2	73	125	right
72966	73568	A	0.99984	2	74	126	in.
73734	74064	A	0.99801	2	75	127	Thanks
74102	74208	A	0.96	2	76	128	a
74214	74480	A	0.98137	2	77	129	lot
74550	74956	A	0.99116	2	78	130	Lance
74988	75472	A	0.99994	2	79	131	for
75606	76508	A	0.97264	2	80	132	joining
76684	77410	A	0.99	2	81	133	and
79240	79604	A	0.99499	2	82	134	those
79642	79748	A	0.99969	2	83	135	who
79754	79924	A	0.58	2	84	136	have
