docLabel	sp	myTime	myTimeDisplay	myTimeSRT
ls053-0	A	410	00:00	00:00:00,410
ls053-0	A	154408	02:34	00:02:34,433
ls053-0	A	287860	04:47	00:04:47,648
ls053-0	A	552360	09:12	00:09:12,993
ls053-0	A	746920	12:26	00:12:26,758
ls053-0	A	887380	14:47	00:14:47,043
ls053-0	A	1137780	18:57	00:18:57,030
ls053-0	A	1302280	21:42	00:21:42,177
ls053-0	A	1433682	23:53	00:23:53,296
ls053-0	A	1599578	26:39	00:26:39,444
ls053-0	A	1644684	27:24	00:27:24,483
ls053-0	A	1877750	31:17	00:31:17,692
ls053-0	A	2079830	34:39	00:34:39,876
ls053-0	A	2203782	36:43	00:36:43,988
ls053-0	A	2221250	37:01	00:37:01,000
ls053-0	A	2583570	43:03	00:43:03,326
ls053-0	A	2927070	48:47	00:48:47,640
ls053-0	A	3360170	56:00	00:56:00,025
ls053-0	A	3745110	1:02:25	01:02:25,340
ls053-0	A	4041214	1:07:21	01:07:21,001
ls053-0	A	4180752	1:09:40	01:09:40,277
ls053-0	A	4472040	1:14:32	01:14:32,890
ls053-0	A	4698408	1:18:18	01:18:18,913
ls053-0	A	5134460	1:25:34	01:25:34,385
ls053-0	A	5431620	1:30:31	01:30:31,652
ls053-0	A	5614878	1:33:34	01:33:34,817
ls053-0	B	7860	00:07	00:00:07,853
ls053-0	B	254178	04:14	00:04:14,311
ls053-0	B	491620	08:11	00:08:11,446
ls053-0	B	714212	11:54	00:11:54,491
ls053-0	B	813740	13:33	00:13:33,367
ls053-0	B	1016780	16:56	00:16:56,217
ls053-0	B	1209180	20:09	00:20:09,090
ls053-0	B	1394680	23:14	00:23:14,257
ls053-0	B	1489940	24:49	00:24:49,346
ls053-0	B	1621090	27:01	00:27:01,460
ls053-0	B	1756750	29:16	00:29:16,583
ls053-0	B	2009950	33:29	00:33:29,812
ls053-0	B	2176470	36:16	00:36:16,961
ls053-0	B	2211062	36:51	00:36:51,996
ls053-0	B	2403790	40:03	00:40:03,164
ls053-0	B	2750070	45:50	00:45:50,481
ls053-0	B	3164410	52:44	00:52:44,853
ls053-0	B	3561590	59:21	00:59:21,208
ls053-0	B	3944860	1:05:44	01:05:44,158
ls053-0	B	4094620	1:08:14	01:08:14,476
ls053-0	B	4227514	1:10:27	01:10:27,684
ls053-0	B	4649400	1:17:29	01:17:29,483
ls053-0	B	4868360	1:21:08	01:21:08,143
ls053-0	B	5260980	1:27:40	01:27:40,499
ls053-0	B	5545480	1:32:25	01:32:25,754
