start	end	sentNum	speaker	confidence	wordPosSent	wordPosDoc	text
410	960	1	A	0.78767	1	1	You.
7860	8368	2	B	0.98538	1	2	Hello
8454	8752	2	B	1.0	2	3	and
8806	9410	2	B	0.99997	3	4	welcome.
9940	10396	3	B	0.89026	1	5	It's
10428	10716	3	B	1.0	2	6	March
10748	11324	3	B	0.62	3	7	17,
11372	12528	3	B	0.97	4	8	2023.
12614	12956	4	B	0.72314	1	9	We're
12988	13232	4	B	0.99976	2	10	here
13286	13504	4	B	0.99989	3	11	in
13542	14076	4	B	0.76054	4	12	active
14108	14524	4	B	0.59554	5	13	Livestream.
14572	14832	5	B	0.99722	1	14	Number
14886	16290	5	B	0.96	2	15	53.0.
16820	17232	6	B	0.73146	1	16	Welcome
17286	17456	6	B	0.82	2	17	to
17478	17616	6	B	1.0	3	18	the
17638	18108	6	B	0.86662	4	19	active
18124	18844	6	B	0.99162	5	20	institute.
18972	19308	7	B	0.95611	1	21	We're
19324	19456	7	B	0.99	2	22	a
19478	20252	7	B	0.98519	3	23	participatory
20316	20640	7	B	1.0	4	24	online
20710	21244	7	B	0.97848	5	25	institute
21292	21456	7	B	0.99996	6	26	that
21478	21664	7	B	1.0	7	27	is
21702	22300	7	B	0.98758	8	28	communicating,
22380	22672	7	B	0.99951	9	29	learning
22726	22944	7	B	0.58	10	30	and
22982	23660	7	B	0.70577	11	31	practicing
23740	24156	7	B	0.99971	12	32	applied
24188	24476	7	B	0.99813	13	33	active
24508	25068	7	B	0.99	14	34	inference.
25164	25328	8	B	0.9996	1	35	You
25334	25456	8	B	0.83344	2	36	can
25478	25664	8	B	1.0	3	37	find
25702	25856	8	B	1.0	4	38	us
25878	25968	8	B	1.0	5	39	at
25974	26096	8	B	1.0	6	40	the
26118	26396	8	B	0.9991	7	41	links
26428	26576	8	B	0.99965	8	42	on
26598	26688	8	B	1.0	9	43	the
26694	27436	8	B	0.99187	10	44	slide.
27628	27936	9	B	0.99983	1	45	This
27958	28096	9	B	1.0	2	46	is
28118	28256	9	B	0.97	3	47	a
28278	28704	9	B	0.97129	4	48	recorded
28822	29104	9	B	1.0	5	49	and
29142	29596	9	B	0.68128	6	50	archived
29628	29896	9	B	0.94464	7	51	live
29958	30420	9	B	0.97815	8	52	stream,
30500	30744	9	B	0.99956	9	53	so
30782	31032	9	B	0.9999	10	54	please
31086	31352	9	B	0.99989	11	55	provide
31406	31844	9	B	0.98572	12	56	feedback
31892	32056	9	B	0.9998	13	57	so
32078	32168	9	B	0.99987	14	58	we
32174	32296	9	B	0.99946	15	59	can
32318	32596	9	B	0.74921	16	60	improve
32628	32824	9	B	0.99347	17	61	our
32862	33400	9	B	0.99979	18	62	work.
33550	33912	10	B	0.99883	1	63	All
33966	34564	10	B	0.83402	2	64	backgrounds
34612	34824	10	B	1.0	3	65	and
34862	35412	10	B	0.93947	4	66	perspectives
35476	35656	10	B	0.99825	5	67	are
35678	36200	10	B	0.99032	6	68	welcome.
36350	36708	11	B	0.99456	1	69	We'll
36724	36856	11	B	0.99983	2	70	be
36878	37332	11	B	0.67456	3	71	following
37396	37672	11	B	0.99996	4	72	video
37726	38196	11	B	0.97026	5	73	etiquette
38228	38424	11	B	0.97946	6	74	for
38462	38664	11	B	0.96561	7	75	live
38702	39400	11	B	0.99963	8	76	streams,
40380	40744	11	B	0.99988	9	77	head
40782	41032	11	B	0.75796	10	78	over
41086	41352	11	B	0.99997	11	79	active
41406	43128	11	B	0.3	12	80	inference.org
43224	43484	11	B	0.71	13	81	to
43522	43772	11	B	1.0	14	82	learn
43826	44092	11	B	1.0	15	83	more
44146	44412	11	B	0.71362	16	84	about
44466	44636	11	B	1.0	17	85	the
44658	45112	11	B	0.75358	18	86	institute
45176	45404	11	B	1.0	19	87	and
45442	45644	11	B	0.99975	20	88	getting
45682	46152	11	B	0.99974	21	89	involved
46216	46396	11	B	0.99971	22	90	with
46418	46700	11	B	0.50722	23	91	learning
46770	47144	11	B	0.59491	24	92	groups
47192	47404	11	B	1.0	25	93	and
47442	48300	11	B	0.83807	26	94	projects.
49360	49816	12	B	0.59921	1	95	We're
49848	50284	12	B	0.57298	2	96	here
50402	50780	12	B	0.85375	3	97	in
50850	51384	12	B	0.05027	4	98	Acdam
51432	51736	12	B	0.81762	5	99	stream
51768	52012	12	B	0.99743	6	100	number
52066	53452	12	B	0.96	7	101	53.0,
53586	54028	12	B	0.84	8	102	and
54114	54460	12	B	0.99993	9	103	our
54530	55060	12	B	0.99597	10	104	goal
55160	55424	12	B	1.0	11	105	is
55462	55712	12	B	1.0	12	106	to
55766	56080	12	B	0.95438	13	107	learn
56150	56384	12	B	1.0	14	108	and
56422	57008	12	B	0.99973	15	109	discuss
57174	57456	12	B	1.0	16	110	a
57478	57724	12	B	0.87869	17	111	pair
57772	57984	12	B	1.0	18	112	of
58022	58956	12	B	0.61748	19	113	papers.
59148	59504	13	B	0.88	1	114	The
59542	59792	13	B	1.0	2	115	first
59846	60112	13	B	0.9999	3	116	paper
60166	60480	13	B	0.56	4	117	is
60550	60956	13	B	0.79888	5	118	Snakes
60988	61136	13	B	1.0	6	119	and
