docLabel	start	end	count	rank	text
ls054-2	1142688	1144192	1	0.07	active inference systems
ls054-2	1775460	1777004	2	0.07	active inference systems
ls054-2	1942784	1944064	3	0.07	active inference systems
ls054-2	2047776	2048848	4	0.07	active inference systems
ls054-2	1561716	1562920	1	0.07	systems theory
ls054-2	1741480	1742592	2	0.07	systems theory
ls054-2	2312390	2313270	3	0.07	systems theory
ls054-2	2654242	2655410	4	0.07	systems theory
ls054-2	3506600	3508016	5	0.07	systems theory
ls054-2	1941880	1944064	1	0.07	composite active inference systems
ls054-2	1141720	1144192	1	0.06	nested active inference systems
ls054-2	2047034	2048848	1	0.06	harmonious active inference systems
ls054-2	1560860	1562920	1	0.06	categorical systems theory
ls054-2	2311390	2313270	2	0.06	categorical systems theory
ls054-2	2653450	2655410	3	0.06	categorical systems theory
ls054-2	4671404	4675050	1	0.06	many different systems
ls054-2	2923828	2924794	1	0.06	other systems
ls054-2	927110	928396	1	0.06	dynamical systems
ls054-2	1658452	1659396	2	0.06	dynamical systems
ls054-2	1739480	1742144	3	0.06	dynamical systems
ls054-2	1762798	1763876	4	0.06	dynamical systems
ls054-2	1771762	1772776	5	0.06	dynamical systems
ls054-2	2325946	2326986	6	0.06	dynamical systems
ls054-2	2556498	2557990	7	0.06	dynamical systems
ls054-2	2724804	2726090	8	0.06	dynamical systems
ls054-2	2870992	2871974	9	0.06	dynamical systems
ls054-2	3372606	3374084	10	0.06	dynamical systems
ls054-2	3375470	3376888	11	0.06	dynamical systems
ls054-2	3590118	3591036	12	0.06	dynamical systems
ls054-2	5771646	5773400	13	0.06	dynamical systems
ls054-2	5781128	5783020	14	0.06	dynamical systems
ls054-2	3372606	3374488	1	0.06	dynamical systems world
ls054-2	621122	622024	1	0.06	category theory
ls054-2	1213522	1214376	2	0.06	category theory
ls054-2	1558382	1559124	3	0.06	category theory
ls054-2	1651342	1652084	4	0.06	category theory
ls054-2	2368358	2369094	5	0.06	category theory
ls054-2	2962720	2963414	6	0.06	category theory
ls054-2	3080938	3081818	7	0.06	category theory
ls054-2	3727470	3728760	8	0.06	category theory
ls054-2	3915996	3916914	9	0.06	category theory
ls054-2	4212218	4213470	10	0.06	category theory
ls054-2	4231244	4232034	11	0.06	category theory
ls054-2	4236604	4237730	12	0.06	category theory
ls054-2	4256690	4258010	13	0.06	category theory
ls054-2	4279422	4280858	14	0.06	category theory
ls054-2	4299078	4300054	15	0.06	category theory
ls054-2	4585860	4587178	16	0.06	category theory
ls054-2	4920028	4921054	17	0.06	category theory
ls054-2	5126336	5127878	18	0.06	category theory
ls054-2	5146212	5147274	19	0.06	category theory
ls054-2	5517934	5519410	20	0.06	category theory
ls054-2	5559210	5560500	21	0.06	category theory
ls054-2	5669486	5670660	22	0.06	category theory
ls054-2	5692422	5693760	23	0.06	category theory
ls054-2	5938226	5939580	24	0.06	category theory
ls054-2	1473866	1475856	1	0.06	visual systems
ls054-2	1926838	1927836	1	0.06	hierarchical systems
ls054-2	2368048	2369094	1	0.06	applied category theory
ls054-2	3080628	3081818	2	0.06	applied category theory
ls054-2	4211828	4213470	3	0.06	applied category theory
ls054-2	4278952	4280858	4	0.06	applied category theory
ls054-2	4298672	4300054	5	0.06	applied category theory
ls054-2	5126336	5128790	1	0.05	category theory deals
