docLabel	sp	myTime	myTimeDisplay	myTimeSRT
ls054-2	A	250	00:00	00:00:00,250
ls054-2	A	117862	01:57	00:01:57,128
ls054-2	A	706140	11:46	00:11:46,410
ls054-2	A	1011040	16:51	00:16:51,159
ls054-2	A	1329300	22:09	00:22:09,198
ls054-2	A	1354060	22:34	00:22:34,223
ls054-2	A	2294470	38:14	00:38:14,067
ls054-2	A	2475332	41:15	00:41:15,230
ls054-2	A	2879970	47:59	00:47:59,598
ls054-2	A	2984050	49:44	00:49:44,691
ls054-2	A	3263480	54:23	00:54:23,940
ls054-2	A	3800294	1:03:20	01:03:20,832
ls054-2	A	4121380	1:08:41	01:08:41,743
ls054-2	A	4863610	1:21:03	01:21:03,138
ls054-2	A	6092370	1:41:32	01:41:32,247
ls054-2	B	6820	00:06	00:00:06,814
ls054-2	B	667120	11:07	00:11:07,021
ls054-2	B	979964	16:19	00:16:19,849
ls054-2	B	1207262	20:07	00:20:07,088
ls054-2	B	1349604	22:29	00:22:29,218
ls054-2	B	2148762	35:48	00:35:48,939
ls054-2	B	2218140	36:58	00:36:58,003
ls054-2	B	2250800	37:30	00:37:30,029
ls054-2	B	2968670	49:28	00:49:28,675
ls054-2	B	3130700	52:10	00:52:10,819
ls054-2	B	3784480	1:03:04	01:03:04,674
ls054-2	B	3892050	1:04:52	01:04:52,689
ls054-2	B	4411900	1:13:31	01:13:31,348
ls054-2	B	4526030	1:15:26	01:15:26,370
ls054-2	B	4774350	1:19:34	01:19:34,061
ls054-2	B	4882830	1:21:22	01:21:22,157
ls054-2	B	5047010	1:24:07	01:24:07,304
ls054-2	B	5256414	1:27:36	01:27:36,495
ls054-2	B	5383530	1:29:43	01:29:43,610
ls054-2	B	5513750	1:31:53	01:31:53,728
ls054-2	B	5637520	1:33:57	01:33:57,840
ls054-2	B	6033360	1:40:33	01:40:33,194
ls054-2	B	6085570	1:41:25	01:41:25,240
ls054-2	C	642840	10:42	00:10:42,837
ls054-2	C	2214140	36:54	00:36:54,999
ls054-2	C	2233860	37:13	00:37:13,012
ls054-2	C	2413056	40:13	00:40:13,174
ls054-2	C	3134860	52:14	00:52:14,823
ls054-2	C	3809560	1:03:29	01:03:29,925
ls054-2	C	4200910	1:10:00	01:10:00,419
ls054-2	C	4593810	1:16:33	01:16:33,987
ls054-2	C	5052870	1:24:12	01:24:12,309
ls054-2	C	5410930	1:30:10	01:30:10,631
ls054-2	C	6041750	1:40:41	01:40:41,202
ls054-2	D	2102868	35:02	00:35:02,893
ls054-2	D	2151480	35:51	00:35:51,942
ls054-2	D	2829810	47:09	00:47:09,548
ls054-2	D	3949010	1:05:49	01:05:49,199
ls054-2	D	4146932	1:09:06	01:09:06,939
ls054-2	D	4312770	1:11:52	01:11:52,477
ls054-2	D	4462230	1:14:22	01:14:22,792
ls054-2	D	4989392	1:23:09	01:23:09,252
ls054-2	D	5376010	1:29:36	01:29:36,602
ls054-2	D	5623180	1:33:43	01:33:43,826
ls054-2	D	5911962	1:38:31	01:38:31,084
