start	end	paragNum	speaker	pconfid	wordPos	paragWordPos	paragFirstWordCount	paragLastWordCount
250	800	1	A	0.7398	1	1	1	1
6820	17052	2	B	1.0	19	18	2	19
17196	45820	3	B	0.71767	89	70	20	89
46480	85064	4	B	0.99843	171	82	90	171
85262	117664	5	B	0.51783	239	68	172	239
117862	172416	6	A	1.0	360	121	240	360
172608	233716	7	A	0.99955	497	137	361	497
233908	280504	8	A	0.99988	601	104	498	601
280622	354270	9	A	0.99953	754	153	602	754
355120	407170	10	A	0.7	879	125	755	879
407540	454720	11	A	0.99977	988	109	880	988
455060	492540	12	A	0.99989	1057	69	989	1057
496480	498460	13	A	0.99232	1061	4	1058	1061
501560	507960	14	A	1.0	1081	20	1062	1081
510220	531170	15	A	0.99975	1112	31	1082	1112
535160	569960	16	A	0.74556	1197	85	1113	1197
570120	609528	17	A	1.0	1288	91	1198	1288
609624	640420	18	A	1.0	1370	82	1289	1370
642840	666350	19	C	0.88001	1433	63	1371	1433
667120	685856	20	B	0.99852	1479	46	1434	1479
685968	704810	21	B	0.99981	1531	52	1480	1531
706140	758990	22	A	1.0	1648	117	1532	1648
762080	776560	23	A	0.89	1688	40	1649	1688
776710	818780	24	A	0.99986	1791	103	1689	1791
818850	869084	25	A	0.86666	1907	116	1792	1907
869202	916510	26	A	0.99983	2004	97	1908	2004
918960	942950	27	A	1.0	2059	55	2005	2059
944920	979868	28	A	0.98084	2149	90	2060	2149
979964	1008350	29	B	0.99967	2209	60	2150	2209
1011040	1070320	30	A	0.99997	2321	112	2210	2321
1070470	1132140	31	A	0.68874	2457	136	2322	2457
1132220	1190116	32	A	1.0	2608	151	2458	2608
1190138	1207204	33	A	0.5407	2649	41	2609	2649
1207262	1256052	34	B	0.93513	2766	117	2650	2766
1256116	1272130	35	B	0.81917	2805	39	2767	2805
1273700	1328800	36	B	0.99969	2928	123	2806	2928
1329300	1338470	37	A	0.99976	2959	31	2929	2959
1341880	1349508	38	A	0.81513	2970	11	2960	2970
1349604	1351850	39	B	0.99884	2973	3	2971	2973
1354060	1392230	40	A	0.65735	3043	70	2974	3043
1396110	1411360	41	A	1.0	3066	23	3044	3066
1415220	1446676	42	A	1.0	3144	78	3067	3144
1446708	1495364	43	A	0.7	3259	115	3145	3259
1495412	1539590	44	A	0.99997	3334	75	3260	3334
1541160	1577730	45	A	0.99996	3418	84	3335	3418
1578820	1602890	46	A	1.0	3473	55	3419	3473
1605260	1635292	47	A	0.95088	3543	70	3474	3543
1635436	1681280	48	A	0.51	3667	124	3544	3667
1682180	1736370	49	A	0.43	3787	120	3668	3787
1737300	1799670	50	A	1.0	3910	123	3788	3910
1800620	1836370	51	A	0.99952	4002	92	3911	4002
1836740	1843190	52	A	0.99996	4021	19	4003	4021
1846280	1908280	53	A	0.99991	4163	142	4022	4163
1908860	1913080	54	A	1.0	4175	12	4164	4175
1916620	1957210	55	A	1.0	4274	99	4176	4274
1958300	2000260	56	A	0.99944	4362	88	4275	4362
2002220	2041852	57	A	0.99652	4466	104	4363	4466
2041926	2043140	58	A	0.99965	4470	4	4467	4470
2045880	2065390	59	A	0.99964	4515	45	4471	4515
2065920	2102756	60	A	0.6889	4595	80	4516	4595
2102868	2119596	61	D	0.83939	4629	34	4596	4629
2119778	2148644	62	D	0.89093	4687	58	4630	4687
2148762	2149430	63	B	0.99997	4688	1	4688	4688
2151480	2181312	64	D	0.99825	4760	72	4689	4760
2181446	2206840	65	D	0.99998	4806	46	4761	4806
2214140	2215530	66	C	0.76678	4809	3	4807	4809
2218140	2223150	67	B	0.51435	4824	15	4810	4824
2226260	2229970	68	B	0.99916	4832	8	4825	4832
2233860	2240850	69	C	0.55874	4838	6	4833	4838
2244100	2247940	70	C	0.86973	4848	10	4839	4848
2250800	2254350	71	B	0.9995	4857	9	4849	4857
2274450	2290420	72	B	0.99995	4885	28	4858	4885
2294470	2328880	73	A	1.0	4963	78	4886	4963
2329890	2402450	74	A	1.0	5088	125	4964	5088
2402530	2412922	75	A	1.0	5109	21	5089	5109
2413056	2442420	76	C	0.99894	5165	56	5110	5165
2444470	2475134	77	C	0.9	5251	86	5166	5251
2475332	2548686	78	A	0.97197	5390	139	5252	5390
2548878	2595650	79	A	0.76	5497	107	5391	5497
2595990	2676154	80	A	0.99	5653	156	5498	5653
2676202	2707400	81	A	0.86129	5735	82	5654	5735
2707770	2730160	82	A	1.0	5792	57	5736	5792
2732450	2810730	83	A	1.0	5957	165	5793	5957
2810880	2826880	84	A	0.57	5991	34	5958	5991
2829810	2878960	85	D	0.99999	6125	134	5992	6125
2879970	2937246	86	A	0.55364	6255	130	6126	6255
2937438	2965850	87	A	1.0	6339	84	6256	6339
2968670	2981680	88	B	0.99943	6360	21	6340	6360
2984050	3018378	89	A	1.0	6430	70	6361	6430
3018544	3051000	90	A	0.99805	6503	73	6431	6503
3051530	3096750	91	A	1.0	6613	110	6504	6613
3096910	3117260	92	A	1.0	6673	60	6614	6673
3119790	3125610	93	A	0.99664	6683	10	6674	6683
3130700	3132040	94	B	0.99825	6685	2	6684	6685
3134860	3200984	95	C	0.41413	6801	116	6686	6801
3201052	3263110	96	C	0.47526	6925	124	6802	6925
3263480	3318884	97	A	0.99895	7060	135	6926	7060
3318932	3356870	98	A	1.0	7145	85	7061	7145
3359640	3380670	99	A	0.89	7189	44	7146	7189
3383280	3426430	100	A	1.0	7291	102	7190	7291
3428960	3463540	101	A	0.99999	7380	89	7292	7380
3464780	3509408	102	A	1.0	7497	117	7381	7497
3509504	3585660	103	A	0.98993	7672	175	7498	7672
3586320	3599090	104	A	1.0	7713	41	7673	7713
3601800	3655830	105	A	1.0	7862	149	7714	7862
3656680	3716410	106	A	0.87564	8041	179	7863	8041
3717100	3782540	107	A	1.0	8195	154	8042	8195
3784480	3800288	108	B	0.99997	8226	31	8196	8226
3800294	3808630	109	A	0.75	8249	23	8227	8249
3809560	3886236	110	C	0.89972	8383	134	8250	8383
3886338	3889010	111	C	0.9164	8388	5	8384	8388
3892050	3902660	112	B	0.99182	8412	24	8389	8412
3904950	3946510	113	B	0.99955	8496	84	8413	8496
3949010	3986470	114	D	0.80193	8551	55	8497	8551
3989160	4052344	115	D	0.99692	8676	125	8552	8676
4052382	4119650	116	D	0.99728	8803	127	8677	8803
4121380	4146804	117	A	1.0	8851	48	8804	8851
4146932	4194360	118	D	1.0	8959	108	8852	8959
4194510	4196890	119	D	0.99991	8967	8	8960	8967
4200910	4269150	120	C	0.99704	9098	131	8968	9098
4269230	4310030	121	C	0.84518	9177	79	9099	9177
4312770	4373554	122	D	0.88	9293	116	9178	9293
4373752	4407210	123	D	0.99926	9363	70	9294	9363
4411900	4457220	124	B	0.99744	9433	70	9364	9433
4462230	4508770	125	D	0.84899	9526	93	9434	9526
4512890	4522460	126	D	0.78175	9546	20	9527	9546
4526030	4567718	127	B	0.57	9631	85	9547	9631
4567884	4591360	128	B	0.61	9671	40	9632	9671
4593810	4678630	129	C	0.98625	9820	149	9672	9820
4678790	4701460	130	C	0.99998	9858	38	9821	9858
4705190	4772380	131	C	0.95831	9963	105	9859	9963
4774350	4810802	132	B	0.99618	10042	79	9964	10042
4810946	4861750	133	B	0.99	10155	113	10043	10155
4863610	4880250	134	A	0.99997	10183	28	10156	10183
4882830	4935470	135	B	0.99993	10304	121	10184	10304
4935970	4989354	136	B	0.99949	10421	117	10305	10421
4989392	5024940	137	D	0.68369	10490	69	10422	10490
5031070	5044400	138	D	1.0	10520	30	10491	10520
5047010	5050820	139	B	0.32224	10532	12	10521	10532
5052870	5100038	140	C	1.0	10615	83	10533	10615
5100154	5198720	141	C	0.98267	10763	148	10616	10763
5201810	5256238	142	C	0.9972	10861	98	10764	10861
5256414	5297200	143	B	0.99907	10950	89	10862	10950
5298930	5347520	144	B	0.99631	11062	112	10951	11062
5349990	5373720	145	B	0.99761	11102	40	11063	11102
5376010	5377930	146	D	0.89282	11106	4	11103	11106
5383530	5410000	147	B	0.99996	11165	59	11107	11165
5410930	5485640	148	C	0.94	11283	118	11166	11283
5486170	5511230	149	C	0.99677	11317	34	11284	11317
5513750	5522690	150	B	0.99386	11326	9	11318	11326
5526220	5553860	151	B	1.0	11369	43	11327	11369
5555960	5605572	152	B	0.75457	11488	119	11370	11488
5605706	5612020	153	B	0.99945	11502	14	11489	11502
5614940	5620090	154	B	0.99974	11516	14	11503	11516
5623180	5633340	155	D	0.99673	11545	29	11517	11545
5637520	5655270	156	B	0.99996	11585	40	11546	11585
5659160	5660790	157	B	0.99987	11589	4	11586	11589
5663480	5693760	158	B	0.82075	11651	62	11590	11651
5698900	5765690	159	B	0.99995	11766	115	11652	11766
5768940	5812470	160	B	0.44803	11838	72	11767	11838
5813240	5852692	161	B	0.6621	11909	71	11839	11909
5852746	5862980	162	B	0.99995	11938	29	11910	11938
5865260	5888380	163	B	0.56	11978	40	11939	11978
5891940	5911924	164	B	0.98261	12017	39	11979	12017
5911962	5982344	165	D	0.99	12159	142	12018	12159
5982382	6004470	166	D	0.54	12229	70	12160	12229
6006600	6024120	167	D	0.99906	12265	36	12230	12265
6024270	6029470	168	D	0.62437	12276	11	12266	12276
6033360	6036620	169	B	0.99978	12282	6	12277	12282
6041750	6057880	170	C	0.96075	12317	35	12283	12317
6058250	6085200	171	C	0.71	12368	51	12318	12368
6085570	6087760	172	B	0.99996	12372	4	12369	12372
6092370	6092650	173	A	0.77842	12373	1	12373	12373
