text	entity_type		start	end
July 17, 2023	date		7628	9696
Chris Bodner	person_name		13702	14588
learning	occupation		16348	16784
Chris	person_name		21372	21740
Microsoft Research	organization		61356	62240
University of Cambridge	organization		66122	67540
machine learning	occupation		83342	84330
geometric deep learning	occupation		88862	90270
deep learning	occupation		94498	94972
life sciences	occupation		109078	109740
geometrical	occupation		144834	145496
geometry	occupation		155446	156044
caffeine	drug		179658	180112
mathematical physics	occupation		249874	250904
category theory	occupation		429886	430724
category theory	occupation		436382	437480
category theory	occupation		441600	442584
mathematics	occupation		447778	448696
algebra	occupation		476202	476736
geometry	occupation		477786	478336
topology	occupation		478602	479004
math	occupation		520650	520944
algebraic topology	occupation		674394	675344
geometry	occupation		675642	676064
modeling	occupation		867472	867856
graph machine learning	occupation		929918	931130
Europe	location		968106	968900
machine learning	occupation		981646	982232
Francesco de Giovanni ben Chamberlain	person_name		986462	988548
pietro Leo	person_name		988644	989440
advisor	occupation		989618	990344
Michael Bronstein	person_name		991058	992540
graph machine learning	occupation		1131534	1132472
group theory	occupation		1426202	1427220
group theory	occupation		1574618	1576260
group theory	occupation		1649922	1650860
group theory	occupation		1707878	1708588
machine learning	occupation		1736238	1736888
von der Laur	person_name		2062900	2063756
Kudal	person_name		2063788	2064204
DeVries	person_name		2064374	2064860
category theory	occupation		2323962	2325200
linear algebra	occupation		2633598	2634532
Toby St. Clair	person_name		3008870	3010764
Smyth	person_name		3010812	3011292
empirical researchers	occupation		3065578	3067120
engineering	occupation		3116218	3116912
physics	occupation		3488638	3489440
quantum mechanics	occupation		3495474	3496780
geometry	occupation		3719226	3720180
computational science	occupation		3725706	3727076
geometry	occupation		3732996	3733604
topology	occupation		3734062	3734996
geometry	occupation		3749986	3750664
ology	occupation		3750898	3751740
geometry	occupation		3774538	3775344
geometry	occupation		3786014	3786772
topology	occupation		3787102	3787880
geometry	occupation		3792402	3792904
Buckminster Fuller	person_name		3801330	3802556
topology	occupation		3861974	3862860
geometry	occupation		3863382	3864140
Francesco	person_name		3888036	3889236
differential geometry	occupation		3889918	3891044
