docLabel	sp	myTime	myTimeDisplay	myTimeSRT
ma005-1	A	2220	00:02	00:00:02,218
ma005-1	A	25780	00:25	00:00:25,675
ma005-1	A	2124218	35:24	00:35:24,915
ma005-1	A	2444480	40:44	00:40:44,205
ma005-1	A	2588494	43:08	00:43:08,331
ma005-1	A	2824352	47:04	00:47:04,543
ma005-1	A	3125880	52:05	00:52:05,814
ma005-1	A	3536220	58:56	00:58:56,189
ma005-1	A	3695680	1:01:35	01:01:35,064
ma005-1	A	3854420	1:04:14	01:04:14,314
ma005-1	B	5460	00:05	00:00:05,455
ma005-1	B	2076288	34:36	00:34:36,873
ma005-1	B	2318058	38:38	00:38:38,091
ma005-1	B	2514340	41:54	00:41:54,269
ma005-1	B	2709500	45:09	00:45:09,440
ma005-1	B	3002880	50:02	00:50:02,703
ma005-1	B	3397346	56:37	00:56:37,062
ma005-1	B	3675800	1:01:15	01:01:15,078
ma005-1	B	3745138	1:02:25	01:02:25,341
