text	entity_type		start	end
September 1, 2023	date		10492	12598
Sean Toll	person_name		18012	19042
Sean	person_name		35172	35482
organizers	occupation		42564	43098
Daniel	person_name		44628	44906
mathematics	occupation		66044	66498
category theory	occupation		66668	67618
Sean Tull	person_name		83588	84074
researcher	occupation		84804	85306
Continuum	organization		85636	86590
postdoc	occupation		87764	88186
computer science	occupation		88388	88906
Oxford	location		89044	89658
Continuum	organization		90148	90538
Oxford team	organization		91028	91566
category theory	occupation		95678	96686
AI	occupation		97832	98610
FQXi	organization		103368	104158
Topos Institute	organization		105848	106546
center for Applied Category Theory	organization		106924	109030
mathematics	occupation		205864	206286
artificial intelligence	occupation		210908	211794
Kristen Par	person_name		249768	250594
mathematics	occupation		282464	282838
category theory	occupation		283104	283570
applied category theory	occupation		289668	290586
probability theory	occupation		293268	294106
Robin Lorenz	person_name		308428	309154
Johannes Kleiner	person_name		324704	325398
Ive	person_name		326208	327030
category theory	occupation		353928	354622
category theory	occupation		378432	379126
categorical cybernetics	occupation		381264	382486
Toby has	person_name		384132	384814
probability theory	occupation		767004	768338
applied category theory	occupation		773488	774406
probability theory	occupation		781296	782166
probability theory	occupation		825968	826518
probability theory	occupation		831808	832454
probability theory	occupation		1113628	1114338
Robin Lorenz	person_name		1172768	1173926
math	occupation		1353608	1353934
math	occupation		1541428	1541850
math	occupation		1620988	1621182
Bart Jacobs	person_name		1658172	1658802
Jacobs	person_name		1671516	1671918
Jeffries	person_name		1672304	1672694
Pearl	person_name		1672864	1673206
Jefferies	person_name		1675968	1676454
Pearl	person_name		1686628	1686986
Math	occupation		1775968	1776294
Jeffrey	person_name		2001848	2002206
Pearl	person_name		2065228	2065506
Jeffrey	person_name		2065708	2066034
Jensen	person_name		2547032	2547438
probability theory	occupation		2934948	2935754
Pearl	person_name		3018268	3018546
Jeffrey	person_name		3019484	3019746
AI	occupation		3052648	3052974
category theory	occupation		3058044	3058626
AI	occupation		3058828	3059394
categorical cybernetics	occupation		3062364	3063586
Sean	person_name		3108072	3108414
Ali	person_name		3114520	3115278
Daniel	person_name		3122860	3123670
Sean	person_name		3125308	3125634
Bob Kirky	person_name		3141760	3142646
quantum mechanics	occupation		3145828	3146938
Z	occupation		3154810	3155322
quantum mechanics	occupation		3166152	3167486
quantum mechanics	occupation		3182048	3183290
quantum theory	occupation		3203588	3204750
active	occupation		3237168	3237446
theory	occupation		3238006	3238758
Oxford	organization		3262824	3263118
quantum mechanics	occupation		3264382	3265086
quantum theory	occupation		3267208	3267806
quantum theory	occupation		3279644	3280450
quantum theory	occupation		3288208	3288646
quantum theories	occupation		3301524	3302538
quantum computing	occupation		3337728	3338966
quantum theory	occupation		3399188	3399834
Ollie	person_name		3489152	3489494
theory	occupation		3512366	3512734
constructor theory	occupation		3515832	3517250
constructor	occupation		3537376	3538054
category theory	occupation		3678578	3679138
probability theory	occupation		3709364	3710154
cognitive science	occupation		3733148	3733874
cognitive science	occupation		3796944	3798110
category theory	occupation		3812260	3812894
category theory	occupation		3824648	3825390
applied category theory	occupation		3829068	3830274
categorical, cybernetics	occupation		3831404	3832418
category theory	occupation		3838972	3839558
category theory	occupation		3919576	3920590
categorical cybernetics	occupation		4019912	4021006
categorical systems theory	occupation		4021384	4022654
category theory	occupation		4098624	4099206
algebra	occupation		4107460	4108058
Language English	occupation		4193808	4195046
category theory	occupation		4234892	4235554
category theory	occupation		4238048	4238646
category theory	occupation		4241878	4242486
computer scientists	occupation		4259444	4260154
mathematicians	occupation		4280252	4280898
Bob	person_name		4285644	4285906
physicist	occupation		4287778	4288158
physicists	occupation		4288688	4289046
computer science	occupation		4292438	4293014
cognitive science	occupation		4296512	4297206
Bob	person_name		4326170	4326706
Bob	person_name		4329068	4329570
Alex Kissinger	person_name		4330268	4330946
Robin	person_name		4405396	4405706
Ali	person_name		4429084	4429634
tobi	person_name		4452564	4453098
Fritz	person_name		4453114	4453562
Fritz	person_name		4463270	4463854
Kirk	person_name		4530284	4530626
Speckin	person_name		4530828	4531570
Asian	nationality		4587868	4588158
quantum mechanics	occupation		4629394	4630770
quantum mechanics	occupation		4639698	4640582
quantum theory	occupation		4682428	4682946
cybernetics	occupation		4743798	4744454
Ollie	person_name		4771048	4771566
category theory	occupation		4793968	4795130
active inference theory	occupation		4800704	4802010
inference theory	occupation		4824658	4826710
Bayesian mechanical theories	occupation		4862232	4864850
physics	occupation		4906548	4906874
Bayesian mechanics	occupation		4914136	4915566
Bayesian mechanics	occupation		4993888	4994966
active inference theory	occupation		4995168	4996690
Daniel	person_name		5015416	5015774
Sean	person_name		5019112	5019374
Ali	person_name		5024250	5024834
Bayesian mechanics	occupation		5029692	5030642
cognitive science	occupation		5046768	5047690
English	language		5061432	5061774
ology	occupation		5062862	5063390
physical sciences	occupation		5109108	5110450
ology	occupation		5187074	5187730
Sean	person_name		5215560	5215854
Ali	person_name		5226408	5226878
