"Start Time","End Time","Transcript"
"00;00;08;01","00;00;08;27","OK."
"00;00;09;04","00;00;09;16","Hello"
"00;00;09;16","00;00;09;21","and"
"00;00;09;21","00;00;10;03","welcome"
"00;00;10;03","00;00;10;27","everyone."
"00;00;10;27","00;00;11;09","It is"
"00;00;11;09","00;00;12;21","January 28th,"
"00;00;12;21","00;00;14;26","2022."
"00;00;14;26","00;00;15;04","We're"
"00;00;15;04","00;00;15;12","here"
"00;00;15;12","00;00;15;23","in"
"00;00;15;23","00;00;16;07","Acton"
"00;00;16;07","00;00;16;28","flat,"
"00;00;16;28","00;00;17;10","modest"
"00;00;17;10","00;00;17;19","stream"
"00;00;17;19","00;00;18;00","number"
"00;00;18;00","00;00;19;10","5.1"
"00;00;19;10","00;00;19;23","with"
"00;00;19;23","00;00;20;16","Pietro"
"00;00;20;16","00;00;20;26","Mazur"
"00;00;20;26","00;00;21;10","Glia"
"00;00;21;10","00;00;21;19","and"
"00;00;21;19","00;00;21;26","Tim"
"00;00;21;26","00;00;22;22","Verboten."
"00;00;22;22","00;00;23;06","So"
"00;00;23;06","00;00;23;19","this is"
"00;00;23;19","00;00;23;24","going"
"00;00;23;24","00;00;24;10","to be"
"00;00;24;10","00;00;24;22","a"
"00;00;24;22","00;00;25;01","model"
"00;00;25;01","00;00;25;15","stream"
"00;00;25;15","00;00;26;09","presentation"
"00;00;26;09","00;00;26;19","and"
"00;00;26;19","00;00;27;13","discussion"
"00;00;27;13","00;00;28;05","on"
"00;00;28;05","00;00;28;12","their"
"00;00;28;12","00;00;28;21","recent"
"00;00;28;21","00;00;29;03","work"
"00;00;29;03","00;00;29;26","Contrastive"
"00;00;29;26","00;00;30;08","Active"
"00;00;30;08","00;00;31;08","Inference."
"00;00;31;08","00;00;31;12","We're"
"00;00;31;12","00;00;31;18","going"
"00;00;31;18","00;00;31;20","to"
"00;00;31;20","00;00;32;12","have a"
"00;00;32;12","00;00;33;09","presentation"
"00;00;33;09","00;00;34;00","section"
"00;00;34;00","00;00;34;07","and"
"00;00;34;07","00;00;34;25","then"
"00;00;34;25","00;00;35;27","discussion."
"00;00;35;27","00;00;36;15","So"
"00;00;36;15","00;00;36;24","please"
"00;00;36;24","00;00;36;29","feel"
"00;00;36;29","00;00;37;06","free"
"00;00;37;06","00;00;37;25","to ask"
"00;00;37;25","00;00;38;01","any"
"00;00;38;01","00;00;38;17","questions"
"00;00;38;17","00;00;38;25","during"
"00;00;38;25","00;00;38;28","the"
"00;00;38;28","00;00;39;19","presentation"
"00;00;39;19","00;00;39;23","that"
"00;00;39;23","00;00;40;04","we can"
"00;00;40;04","00;00;40;18","address"
"00;00;40;18","00;00;40;26","in the"
"00;00;40;26","00;00;41;25","discussion."
"00;00;41;25","00;00;42;15","And"
"00;00;42;15","00;00;42;24","Tim"
"00;00;42;24","00;00;42;27","and"
"00;00;42;27","00;00;43;11","Pietro,"
"00;00;43;11","00;00;43;25","thanks"
"00;00;43;25","00;00;44;11","a ton."
"00;00;44;11","00;00;44;15","We"
"00;00;44;15","00;00;44;27","really"
"00;00;44;27","00;00;45;14","appreciate"
"00;00;45;14","00;00;46;00","you"
"00;00;46;00","00;00;46;13","joining"
"00;00;46;13","00;00;46;20","to"
"00;00;46;20","00;00;46;28","share"
"00;00;46;28","00;00;47;11","your work,"
"00;00;47;11","00;00;47;20","so"
"00;00;47;20","00;00;48;10","please"
"00;00;48;10","00;00;48;18","take it"
"00;00;48;18","00;00;49;00","away."
"00;00;49;00","00;00;49;25","And"
"00;00;49;25","00;00;50;01","thanks"
"00;00;50;01","00;00;50;14","again"
"00;00;52;12","00;00;52;21","Yeah."
"00;00;52;21","00;00;53;04","Thanks,"
"00;00;53;04","00;00;53;18","Daniel,"
"00;00;53;18","00;00;54;05","for"
"00;00;54;10","00;00;54;27","inviting us"
"00;00;54;27","00;00;55;14","as well."
"00;00;55;14","00;00;56;21","So I'm"
