"Speaker Name","Start Time","End Time","Transcript"
"Speaker 1","00;00;08;01","00;00;41;12","Okay. Hello and welcome everyone. It is January 28th. 20, 22. We're here in Acton Flat Model Stream number 5.1 with Pietro Marseglia and Tim Verboten. So this is going to be a model stream presentation and discussion on their recent work Contrastive Active Inference. We're going to have a presentation section and then discussion. So please feel free to ask any questions during the presentation that we can address in the discussion."
"Speaker 1","00;00;41;25","00;00;50;07","And Tim and Pietro, thanks a ton. We really appreciate you joining to share your work. So please take it away. And thanks again."
"Speaker 2","00;00;52;12","00;01;20;10","Yeah, thanks, Daniel, for inviting us as well. So I'm going to be able to get the better we are going to work on. Interesting of interest. So let me first set the scene. Why are we looking at active inference or basically our lab wants to build convergence agents? And so from that perspective, the studio and if you want to build something indulgent, it needs to be involved."
"Speaker 2","00;01;20;12","00;01;53;04","It needs to be interacting with its environments. And then most of those interactive instruments are basically your agents to your environment. It's interacting with. And you need to build the model, basically. So are first give an overview of active inference and the way that the three are and a little this material is also being covered in a previous middle stream, I think number three."
"Speaker 2","00;01;53;15","00;02;29;10","So if you want more details, you can think of that one again. And so then afterwards gets over and he will go to the nitty gritty details of the contrasting approach of inference. So let's get started. So basically active inference, it's a process theory of the brain. And basically it says that your brain or your agents build or you build this model of the environment, which is basically the joins probability distribution over that observation."
"Speaker 2","00;02;29;15","00;03;00;16","So things that you can see or experience actions which we do know the state and then states or states of the universe. So basically you have your agents that separate from the environment and its actions interact with the environment. And this gives rise to new observations. And so the idea of the ball is agents for out, which are kind of the hidden states."
"Speaker 2","00;03;01;02","00;03;30;21","That's the change by actions and the different ways to my observations. And if you can build such a model, then basically this enables the agents to plan some actions to to bring the agent to some preferred observations or outcomes and so forth. But so the crucial bits is basically how do you get this model of what happens if I do my actions?"
"Speaker 2","00;03;31;01","00;04;05;13","How does this influence the states and how does this influence the outcomes that I see? So the crucial for from experience is twofold. First of all, the key is what the agent does in a decision optimizing so-called free energy, which is a profound surprise, a prediction error. So basically, if Joe, this model allows the agent to predict the outcomes, that it will see that true witness and the better this match your actual observations, the more happier you are as an agent."
"Speaker 2","00;04;07;05","00;04;54;10","And crucially, you will also select the actions that will minimize the frequency you expect in the future. And so we think of this to the models just to to set the scene. On the one hand, the reason why so that we all know for the system is for this also to then see the move the jet will make from the let's see value act of influence presentation thoughts more countries the formulation of the of interest free energy object So we start off with setting to see what the genesis model so it's it's a bit laid out the diagram of the agents and the environments that was on the previous slide."
"Speaker 2","00;04;54;11","00;05;20;02","So basically this unfolds over time. So you are in certain states that gives rise to certain observation and then given an action on your previous state and basically move ahead to the next stage and this process unfolds over time. And you can see some of the circles are colored gray. And these are basically the things that you can observe."
"Speaker 2","00;05;20;20","00;05;44;12","So, you know, the actions, if you did that until now, as you know, the observations that you saw until now and all the rest is basically for you to infer. So you can only infer it in states until now, but you can also try to infer the hidden states of the future. Actions that you want to take or d'observation that you will experience."
