docLabel	sp	myTime	myTimeDisplay	myTimeSRT
mo007-2	A	5390	00:05	00:00:05,385
mo007-2	A	1849720	30:49	00:30:49,670
mo007-2	A	2259002	37:39	00:37:39,037
mo007-2	A	2661740	44:21	00:44:21,398
mo007-2	A	5303080	1:28:23	01:28:23,536
mo007-2	A	6846740	1:54:06	01:54:06,923
mo007-2	A	7021470	1:57:01	01:57:01,080
mo007-2	A	7283620	2:01:23	02:01:23,859
mo007-2	A	7376670	2:02:56	02:02:56,656
mo007-2	A	7469390	2:04:29	02:04:29,463
mo007-2	A	7651910	2:07:31	02:07:31,108
mo007-2	A	7682656	2:08:02	02:08:02,356
mo007-2	B	35710	00:35	00:00:35,667
mo007-2	B	1892980	31:32	00:31:32,707
mo007-2	B	1943228	32:23	00:32:23,752
mo007-2	B	2226002	37:06	00:37:06,004
mo007-2	B	2395940	39:55	00:39:55,162
mo007-2	B	2514046	41:54	00:41:54,268
mo007-2	B	3142340	52:22	00:52:22,831
mo007-2	B	4841220	1:20:41	01:20:41,122
mo007-2	B	5326760	1:28:46	01:28:46,559
mo007-2	B	6922590	1:55:22	01:55:22,993
mo007-2	B	7125950	1:58:45	01:58:45,178
mo007-2	B	7332778	2:02:12	02:02:12,217
mo007-2	B	7382530	2:03:02	02:03:02,655
mo007-2	B	7622510	2:07:02	02:07:02,815
mo007-2	B	7672998	2:07:52	02:07:52,319
mo007-2	C	1856040	30:56	00:30:56,676
mo007-2	C	1899240	31:39	00:31:39,714
mo007-2	C	2185110	36:25	00:36:25,970
mo007-2	C	4836160	1:20:36	01:20:36,117
mo007-2	C	7067630	1:57:47	01:57:47,126
mo007-2	D	2292838	38:12	00:38:12,065
mo007-2	D	2438020	40:38	00:40:38,198
mo007-2	E	2679360	44:39	00:44:39,416
