docLabel	sp	myTime	myTimeDisplay	myTimeSRT
mo008-1	A	1170	00:01	00:00:01,169
mo008-1	A	44310	00:44	00:00:44,526
mo008-1	A	3503670	58:23	00:58:23,156
mo008-1	A	3520030	58:40	00:58:40,172
mo008-1	A	3673310	1:01:13	01:01:13,829
mo008-1	A	3840530	1:04:00	01:04:00,175
mo008-1	A	3920990	1:05:20	01:05:20,919
mo008-1	A	4071650	1:07:51	01:07:51,305
mo008-1	A	4163870	1:09:23	01:09:23,108
mo008-1	A	4253916	1:10:53	01:10:53,948
mo008-1	A	4358110	1:12:38	01:12:38,870
mo008-1	A	4628130	1:17:08	01:17:08,271
mo008-1	A	5418640	1:30:18	01:30:18,639
mo008-1	A	5886900	1:38:06	01:38:06,059
mo008-1	A	5935560	1:38:55	01:38:55,108
mo008-1	A	6200140	1:43:20	01:43:20,343
mo008-1	A	6238340	1:43:58	01:43:58,381
mo008-1	A	6330750	1:45:30	01:45:30,461
mo008-1	A	6471370	1:47:51	01:47:51,590
mo008-1	B	5290	00:05	00:00:05,285
mo008-1	B	3459850	57:39	00:57:39,118
mo008-1	B	3510490	58:30	00:58:30,163
mo008-1	B	3664250	1:01:04	01:01:04,924
mo008-1	B	3828910	1:03:48	01:03:48,118
mo008-1	B	3896470	1:04:56	01:04:56,734
mo008-1	B	4000970	1:06:40	01:06:40,659
mo008-1	B	4118646	1:08:38	01:08:38,716
mo008-1	B	4192470	1:09:52	01:09:52,394
mo008-1	B	4316830	1:11:56	01:11:56,517
mo008-1	B	4572850	1:16:12	01:16:12,778
mo008-1	B	5391080	1:29:51	01:29:51,618
mo008-1	B	5712320	1:35:12	01:35:12,903
mo008-1	B	5891000	1:38:11	01:38:11,063
mo008-1	B	5987320	1:39:47	01:39:47,154
mo008-1	B	6212480	1:43:32	01:43:32,355
mo008-1	B	6278590	1:44:38	01:44:38,415
mo008-1	B	6368754	1:46:08	01:46:08,493
