start	end	paragNum	speaker	pconfid	wordPos	paragWordPos	paragFirstWordCount	paragLastWordCount
1170	1720	1	A	0.73106	1	1	1	1
5290	31578	2	B	0.64799	53	52	2	53
31674	42660	3	B	0.97442	83	30	54	83
44310	124282	4	A	0.83893	216	133	84	216
124416	132800	5	A	0.99559	239	23	217	239
135650	167210	6	A	1.0	299	60	240	299
167280	214870	7	A	0.99989	399	100	300	399
215030	232030	8	A	1.0	428	29	400	428
234210	273900	9	A	1.0	524	96	429	524
277490	319290	10	A	1.0	614	90	525	614
319870	408226	11	A	0.9	806	192	615	806
408338	440740	12	A	0.9999	887	81	807	887
444150	470234	13	A	1.0	949	62	888	949
470272	492434	14	A	0.88649	1006	57	950	1006
492472	524106	15	A	0.62	1090	84	1007	1090
524208	551800	16	A	0.99988	1172	82	1091	1172
552170	589010	17	A	1.0	1248	76	1173	1248
589160	647314	18	A	0.54	1398	150	1249	1398
647432	674442	19	A	1.0	1469	71	1399	1469
674496	715754	20	A	0.99999	1555	86	1470	1555
715872	768230	21	A	1.0	1670	115	1556	1670
768310	802642	22	A	0.6936	1759	89	1671	1759
802706	858310	23	A	0.99984	1881	122	1760	1881
858460	920220	24	A	1.0	2002	121	1882	2002
920750	939620	25	A	0.54031	2047	45	2003	2047
942550	1004754	26	A	0.99953	2194	147	2048	2194
1004802	1062994	27	A	0.99628	2321	127	2195	2321
1063042	1073020	28	A	0.99994	2341	20	2322	2341
1075390	1120022	29	A	1.0	2433	92	2342	2433
1120086	1161110	30	A	0.99635	2536	103	2434	2536
1163690	1209298	31	A	0.98016	2635	99	2537	2635
1209394	1273770	32	A	0.99	2763	128	2636	2763
1273920	1333518	33	A	1.0	2897	134	2764	2897
1333604	1382186	34	A	0.99999	3010	113	2898	3010
1382378	1411880	35	A	0.98939	3069	59	3011	3069
1414990	1462310	36	A	0.85	3142	73	3070	3142
1465640	1516630	37	A	0.97	3240	98	3143	3240
1519340	1582316	38	A	1.0	3365	125	3241	3365
1582418	1614004	39	A	0.96469	3445	80	3366	3445
1614042	1658628	40	A	0.9996	3535	90	3446	3535
1658794	1712820	41	A	0.9951	3656	121	3536	3656
1712970	1780940	42	A	0.99997	3809	153	3657	3809
1781520	1860928	43	A	1.0	3973	164	3810	3973
1861104	1937224	44	A	0.99812	4146	173	3974	4146
1937352	1979450	45	A	0.9999	4273	127	4147	4273
1985120	2022984	46	A	1.0	4347	74	4274	4347
2023182	2066388	47	A	0.99977	4432	85	4348	4432
2066554	2078330	48	A	0.95136	4458	26	4433	4458
2080800	2122120	49	A	0.99988	4539	81	4459	4539
2122860	2187208	50	A	1.0	4651	112	4540	4651
2187384	2210550	51	A	1.0	4701	50	4652	4701
2213080	2273540	52	A	1.0	4839	138	4702	4839
2273620	2308420	53	A	0.99991	4930	91	4840	4930
2308570	2319480	54	A	0.99988	4955	25	4931	4955
2321660	2366870	55	A	1.0	5045	90	4956	5045
2367980	2392610	56	A	0.91	5097	52	5046	5097
2393060	2426360	57	A	1.0	5179	82	5098	5179
2428220	2461174	58	A	1.0	5239	60	5180	5239
2461292	2484590	59	A	0.99998	5288	49	5240	5288
2489490	2555566	60	A	0.99776	5420	132	5289	5420
2555678	2590778	61	A	1.0	5489	69	5421	5489
2590874	2597440	62	A	1.0	5506	17	5490	5506
2600550	2644580	63	A	0.99999	5591	85	5507	5591
2646870	2717110	64	A	0.98	5741	150	5592	5741
2717180	2764680	65	A	0.99967	5845	104	5742	5845
2765370	2832334	66	A	1.0	5994	149	5846	5994
2832532	2876026	67	A	0.99999	6073	79	5995	6073
2876128	2918630	68	A	1.0	6175	102	6074	6175
2919470	2970070	69	A	1.0	6305	130	6176	6305
2970230	3006822	70	A	0.99989	6376	71	6306	6376
3006876	3069722	71	A	0.99778	6523	147	6377	6523
3069856	3108846	72	A	0.63063	6603	80	6524	6603
3108878	3160130	73	A	0.98	6712	109	6604	6712
3162710	3195140	74	A	0.43381	6792	80	6713	6792
3196790	3269420	75	A	1.0	6939	147	6793	6939
3273070	3304194	76	A	0.68545	6997	58	6940	6997
3304392	3364962	77	A	0.99739	7126	129	6998	7126
3365106	3429130	78	A	0.85298	7268	142	7127	7268
3429790	3457720	79	A	0.98764	7339	71	7269	7339
3459850	3476620	80	B	0.81823	7376	37	7340	7376
3478430	3501010	81	B	0.97	7425	49	7377	7425
3503670	3507880	82	A	0.99978	7441	16	7426	7441
3510490	3519180	83	B	0.76361	7461	20	7442	7461
3520030	3563190	84	A	0.99994	7548	87	7462	7548
3564090	3642602	85	A	0.99	7707	159	7549	7707
3642666	3661910	86	A	0.93857	7747	40	7708	7747
3664250	3672010	87	B	0.99972	7762	15	7748	7762
3673310	3718498	88	A	0.99974	7849	87	7763	7849
3718674	3773050	89	A	0.99	7973	124	7850	7973
3774750	3805220	90	A	0.99982	8027	54	7974	8027
3806330	3828300	91	A	0.82487	8077	50	8028	8077
3828910	3837390	92	B	1.0	8093	16	8078	8093
3840530	3895700	93	A	0.98214	8194	101	8094	8194
3896470	3919740	94	B	1.0	8247	53	8195	8247
3920990	3996850	95	A	0.64966	8394	147	8248	8394
4000970	4008970	96	B	0.99998	8415	21	8395	8415
4011630	4069770	97	B	0.99999	8539	124	8416	8539
4071650	4118582	98	A	0.59343	8627	88	8540	8627
4118646	4163500	99	B	0.99822	8730	103	8628	8730
4163870	4189090	100	A	0.78286	8781	51	8731	8781
4192470	4253862	101	B	0.99687	8913	132	8782	8913
4253916	4297800	102	A	0.99997	9034	121	8914	9034
4298650	4314490	103	A	1.0	9067	33	9035	9067
4316830	4356440	104	B	0.74452	9151	84	9068	9151
4358110	4403186	105	A	0.99891	9240	89	9152	9240
4403218	4457640	106	A	1.0	9353	113	9241	9353
4458430	4508310	107	A	1.0	9446	93	9354	9446
4510430	4559420	108	A	0.99998	9551	105	9447	9551
4560430	4571920	109	A	0.99934	9582	31	9552	9582
4572850	4627520	110	B	0.99999	9705	123	9583	9705
4628130	4670394	111	A	0.9997	9783	78	9706	9783
4670432	4673500	112	A	0.99927	9792	9	9784	9792
4679160	4705450	113	A	0.97197	9797	5	9793	9797
4711170	4735668	114	A	0.96416	9846	49	9798	9846
4735834	4787590	115	A	0.77142	9955	109	9847	9955
4788120	4820190	116	A	0.99993	10027	72	9956	10027
4820800	4886596	117	A	0.99999	10191	164	10028	10191
4886778	4932492	118	A	1.0	10293	102	10192	10293
4932636	4976284	119	A	0.77263	10391	98	10294	10391
4976412	5037940	120	A	0.98797	10502	111	10392	10502
5038360	5113704	121	A	1.0	10663	161	10503	10663
5113832	5135750	122	A	0.99994	10714	51	10664	10714
5138120	5214460	123	A	0.75894	10861	147	10715	10861
5216000	5285796	124	A	1.0	10992	131	10862	10992
5285898	5344150	125	A	1.0	11103	111	10993	11103
5344840	5388020	126	A	1.0	11210	107	11104	11210
5391080	5416190	127	B	0.9996	11249	39	11211	11249
5418640	5422780	128	A	0.76845	11257	8	11250	11257
5425140	5522340	129	A	0.63	11437	180	11258	11437
5522520	5537780	130	A	1.0	11472	35	11438	11472
5540760	5595300	131	A	1.0	11575	103	11473	11575
5595450	5655320	132	A	0.97	11731	156	11576	11731
5655470	5710330	133	A	1.0	11849	118	11732	11849
5712320	5758970	134	B	0.98843	11936	87	11850	11936
5759420	5781360	135	B	0.95	11963	27	11937	11963
5783620	5842180	136	B	0.99916	12074	111	11964	12074
5842680	5885520	137	B	1.0	12170	96	12075	12170
5886900	5887760	138	A	0.37189	12171	1	12171	12171
5891000	5934770	139	B	0.99994	12267	96	12172	12267
5935560	5983280	140	A	0.99	12365	98	12268	12365
5987320	6031440	141	B	0.97923	12439	74	12366	12439
6033300	6094900	142	B	0.99504	12537	98	12440	12537
6095400	6179090	143	B	1.0	12679	142	12538	12679
6179780	6197940	144	B	0.94	12714	35	12680	12714
6200140	6207320	145	A	0.98745	12724	10	12715	12724
6212480	6236240	146	B	0.99932	12776	52	12725	12776
6238340	6260120	147	A	0.59	12819	43	12777	12819
6262400	6268350	148	A	0.94474	12831	12	12820	12831
6272240	6275650	149	A	0.99995	12840	9	12832	12840
6278590	6329500	150	B	1.0	12951	111	12841	12951
6330750	6368658	151	A	1.0	13048	97	12952	13048
6368754	6448570	152	B	0.98874	13207	159	13049	13207
6448730	6467080	153	B	1.0	13253	46	13208	13253
6471370	6482490	154	A	1.0	13279	26	13254	13279
6483470	6498554	155	A	1.0	13325	46	13280	13325
6498592	6507540	156	A	0.67933	13345	20	13326	13345
