docLabel	sp	myTime	myTimeDisplay	myTimeSRT
mph001-1	A	3960	00:03	00:00:03,957
mph001-1	A	904070	15:04	00:15:04,150
mph001-1	A	2772710	46:12	00:46:12,497
mph001-1	A	3062130	51:02	00:51:02,757
mph001-1	A	3164014	52:44	00:52:44,852
mph001-1	A	3271030	54:31	00:54:31,947
mph001-1	A	3481030	58:01	00:58:01,134
mph001-1	A	3636190	1:00:36	01:00:36,715
mph001-1	A	3704390	1:01:44	01:01:44,934
mph001-1	A	4002910	1:06:42	01:06:42,678
mph001-1	A	4092250	1:08:12	01:08:12,452
mph001-1	B	6880	00:06	00:00:06,874
mph001-1	B	2952530	49:12	00:49:12,659
mph001-1	B	3393248	56:33	00:56:33,058
mph001-1	B	3589710	59:49	00:59:49,236
mph001-1	B	3816110	1:03:36	01:03:36,990
mph001-1	C	49278	00:49	00:00:49,022
mph001-1	C	2731370	45:31	00:45:31,462
mph001-1	C	3094246	51:34	00:51:34,789
mph001-1	C	3212388	53:32	00:53:32,895
mph001-1	C	3609422	1:00:09	01:00:09,041
mph001-1	C	3670890	1:01:10	01:01:10,588
mph001-1	C	3772060	1:02:52	01:02:52,610
mph001-1	C	3931640	1:05:31	01:05:31,026
mph001-1	C	4034230	1:07:14	01:07:14,932
