start	end	speaker	sentiment	confidence	text
3960	4510	A	0.546256959438324	You.
6880	7980	B	0.5307407379150391	Hello, everybody.
8130	8830	B	0.7317204475402832	Welcome.
9200	12860	B	0.9151225090026855	It is September 26, 2023.
13010	17864	B	0.8066417574882507	We are here kicking off a new stream series at the Active Inference Institute.
17992	18984	B	0.6354769468307495	This is the morph.
19032	21116	B	0.825240969657898	Stream 1.1.
21298	28940	B	0.8460759520530701	Today we have David Cappell and also this section and streams facilitated by Sarah Ham.
29480	34624	B	0.9002998471260071	We're going to have a overview, first presented by Sarah.
34752	41924	B	0.7986225485801697	Then David will share some work on neuromorphic computing, and then we'll have some time to discuss.
42042	49096	B	0.9510809183120728	So thank you both for joining and Sarah, to you for the first presentation and also to introduce yourself, if you'd like.
49278	50312	C	0.9551897048950195	Yes, that's a good idea.
50366	51908	C	0.9763081073760986	Thank you very much, Daniel.
52084	53636	C	0.8094164729118347	So my name is Sarah.
53748	61464	C	0.9026572704315186	I'm a neuroscientist specializing intelligence, currently working in the field of neuromorphic computing at Sheffield Hallam in the UK.
61592	70060	C	0.8677146434783936	So I'm going to give you a high level overview of what neuromorphic computing is before we hear David's exciting talk in the first edition of this new series.
70640	76130	C	0.6338506937026978	Just to let you know, if you're watching on Double Time in the future, I talk quite fast, so you might not want to watch me on Double Time.
76740	82630	C	0.9516409039497375	So this QR code I put here will take you to a paper which I thought was a really nice introduction to the field.
83080	89748	C	0.8729680776596069	But neuromorphic computing can be defined as computing systems that are designed to mimic the structure and function of the nervous system.
89914	92196	C	0.6549088358879089	So this doesn't have to be the human nervous system.
92298	99370	C	0.7722007036209106	The field actually takes inspiration from all sorts of animals and insects, although the definitions online don't necessarily acknowledge that.
99740	113016	C	0.7830567955970764	So some people are quite open with what constitutes neuromorphic, while maybe others would prefer neuromorphic was reserved for hardware instantiations of biological like neurons, which are sometimes referred to as non von Newman computers.
113048	119176	C	0.8682031035423279	And I think that's what the paper that that QR code refers to it as their definition.
119368	121644	C	0.8865306973457336	So what I think is really interesting is a little bit of the context.
121692	127872	C	0.8101491332054138	So, like our current von Newman computer architecture was also inspired by neuroscience, particularly the McCullough and Pitts 43.
127926	131716	C	0.8928350210189819	Neuromodel inspired von Newman's first draft in 1945.
131818	151464	C	0.5770881772041321	So neuroscience has a long history of inspiring computer science, and this also includes reinforcement learning, which is based on theories about learning, decision making from behavioral psychology based on rewards and punishments, and also Hebian learning principles of cells that fire together, wire together from 49 became foundational for unsupervised learning.
151582	154970	C	0.7179729342460632	So, first of all, hang on 1 second.
155820	161864	C	0.7640137076377869	So in order to understand the why of neuromorphic computing, I really wanted to explain what's so great about the brain.
161992	165336	C	0.5090985894203186	So here's some inspiration for light bulbs.
165448	166684	C	0.870448887348175	So I'm going to ask you a question.
166722	168332	C	0.7921290397644043	I just want you to think about it for a second.
168466	172332	C	0.8154611587524414	In terms of light bulbs, how much energy do you think the brain uses?
172476	177456	C	0.788081705570221	Do you think it's more or less energy than the bulbs lighting the room that you're in?
177558	179344	C	0.7036219835281372	If you're in the future, by all means pause this.
179382	179744	C	0.5271216034889221	Pause this.
179782	181792	C	0.8755771517753601	If you want to do some in depth calculations.
