start	end	sentNum	speaker	confidence	text
7240	8388	2	B	0.99989	Hello, everyone.
8554	11252	3	B	0.89182	It's September 29, 2023.
11386	15508	4	B	0.96911	We're here in the Active Inference Institute's quarterly roundtable number three.
15594	20500	5	B	0.99925	So this is our third of the quarterly updates.
22440	23860	6	B	0.99997	We have guests.
24360	27584	7	B	0.99976	I'm Daniel, one of the officers of the institute.
27632	32220	8	A	0.6	And I'm Bleu Knight, also another officer of the institute.
33120	41292	9	B	0.97678	All right, we are a participatory online institute that is communicating, learning, and practicing applied active inference.
41356	45504	10	B	0.99966	You can find us active Inference institute or the address.
45622	49808	11	B	0.63601	We'll be moving things over more to the institute address, though.
49974	54848	12	B	0.97464	We're inference active on Twitter or X, and here's more information.
55014	61924	13	B	1	This is recorded in an archived Livestream, so please provide us with feedback so we can improve on all aspects of our work.
62122	67320	14	B	0.99986	All backgrounds and perspectives are welcome, and we'll follow video etiquette for live streams.
67900	97200	15	B	0.99779	So today, in this quarterly update, we will first cover some big developments and updates at the Institute and Ecosystem Scale, then go over some educational and research updates from our Edioactive and Reinference organizational units, respectively, and then have some fun and entertaining musings on where we're going for the last months of 2023.
97350	98928	16	B	0.99993	Where we can all go in 2024.
98934	110950	17	B	1	And if you're watching live, please feel free to add any questions in the live chat and then in the last section, we'll be able to scan over that and look at your questions.
112040	117800	18	B	0.95065	All right, first, updates from the institute at the organizational scale.
119180	138040	19	B	1	One of the big highlights of the last months and really of the year and of really all of our work together was the accomplishment of this collaborative paper that we released in August of this year, the Active Inference Institute and Active Inference Ecosystem.
138200	147984	20	B	0.99933	We had a great team of co authors and to give a visual abstract and just a teaser for those who might want to learn more about this paper.
148182	162230	21	B	0.99979	We went through a great collaborative process to document and align on various aspects of what had been, was, and will be happening.
163080	165504	22	B	1	And on the right side is figure one.
165642	172040	23	B	0.34	This is an overview of the institute's structure itself in engagement with the ecosystem.
173260	181496	24	B	0.99957	On the left side are a representation of our open source products and some of the functions that they provide in the ecosystem.
181608	186830	25	B	0.99948	There's a lot more to say, but Bleu, what do you want to comment on or what was it like for you?
188880	190460	26	A	0.99968	It was super intense.
190880	197744	27	A	0.97	I think that we applied for a phase two grant, which I think we should talk about maybe.
197862	205120	28	A	0.98	And in doing that phase two Pose grant, this was the preparation that they kind of give you in the phase one.
205190	214372	29	A	1	And it really is about becoming like a big business or a big corporation or a big organization right.
214426	223930	30	A	1	And what it takes to really get organized and anchor and manage a large community of people, which I think that was really good for us.
225580	227176	31	A	0.8	I don't know how much managing we do.
227198	233596	32	A	0.98848	We're a very distributed system, but we do already oversee or engage with a large community of people.
233698	244124	33	A	1	And what does that look like when maybe we have conflicting factions or things get dropped, like the ball gets dropped in one court or another.
244242	251890	34	A	0.99669	So I think that that really kind of brought to light a lot of the things we need to work on and also the things that we're doing a good job at.
252660	253120	35	B	0.99997	Awesome.
253190	253424	36	B	0.99997	Yeah.
253462	259344	37	B	0.99974	We'll come to the grant in a few slides, but just to verbally describe the image.
259392	270680	38	B	0.99998	On the right, we have the circle, a golden ring that alludes to the COVID of the Par Pazulo and Friston 2022 textbook.
271100	283036	39	B	0.99	And that ring symbolizes the active inference ecosystem and also the boundary between the Institute as an entity and the ecosystem as niche in the Institute itself.
283138	290140	40	B	0.99986	Starting on the top of within the ring, we have several official bodies or organs.
290640	301392	41	B	0.99988	We have the Board of Directors, who select officers, as well as scientific advisory Board, which is an informal guidance and insight group, which we'll come to later.
301526	317208	42	B	0.99	And the Institute provides institute level functionality and support for the two organizational units, which are Eduactive, which is focused on educational outcomes, and Reinforce, which is focused on research work.
317374	338060	43	B	1	The organizational units host through facilitation, other processes, different projects that are all sorts of within, on and out there in the ecosystem, and then out in the ecosystem, we have all different types of activities and products and organizations and players.
338400	342744	44	B	1	And if you're listening to this, we encourage you to get involved.
342792	351568	45	B	0.99997	If it's something that you want to learn more about, then the paper is a great place to start, best starting place that we've made so far.
351734	358260	46	B	0.99	And the next step is to take that active step and actually get involved.
358760	360710	47	B	0.99996	Anything else to say on this?
361240	372312	48	A	0.99995	We should probably highlight the fact that our research unit, which hasn't been formally we've formally renamed our research unit to Reinforce, which we haven't announced yet.
372366	379608	49	A	0.99985	So I think as we are talking about the Reinference Unit, we did that kind of in the construction of this paper.
