start	end	paragNum	speaker	confidence	startTime	wordCount	text
1450	35026	1	A	0.81	00:01	63	Okay, it is May 19, 2022 and it's week three of the textbook group first cohort. We're in week three discussing appendix A and B and there are some notes in the sections of the book. In the chapters. There are also some ideas and questions that people have raised. So we'll go to the questions and then start with the most upvoted.
35058	65680	2	A	0.99991	00:35	74	So feel free to add more upvotes if you want to discuss it, like even in this discussion. And then hopefully if people are available to take notes in this section, that will help add their thoughts in and also capture what the speakers are saying. And then we'll look at the question and then try to come to different answers and just add more information that people can add more structure to later.
67970	83670	3	A	0.65	01:07	38	Okay, the first question says appendix A is described as the mathematical background. So maybe question one for the authors or for you. What is the process of determining what is figuring ground for the formalisms of active?
86840	101880	4	A	0.99966	01:26	36	What other math concepts and formalisms are important for learning and applying active inference? And then three, what are some resources and approaches for learning math that help us learn what is useful for active inference?
127200	152900	5	A	0.88853	02:07	65	Anyone can raise their hand or we can just start to add some annotations here, like what should be included in the primary regime of attention with a reading of a book, either linearly, like some books are, or in a maybe moving around the sections. So what should be in the chapters? What should be in the appendix? What is not in the appendix?
156690	161790	6	A	0.99992	02:36	14	What did people expect would be in the chapter in the appendix? Not covered.
186930	189280	7	A	0.9	03:06	6	Yeah, Jessica and then anyone else?
191650	210420	8	B	0.99	03:11	34	Yeah, I was wondering about the multiplication of the matrices that we covered yesterday. Which equations have the multiplication of the matrices? A couple of examples just so I can play around with them.
213530	216790	9	B	0.97	03:33	6	In the actual active inference equations.
221270	248410	10	A	0.99777	03:41	57	Does anyone know? One, this is referencing the way that the appendix A is starting with linear algebra and then introducing this operation of multiplying two matrices. Or to get a product if someone can find like an equation that we already seen or some other equation while I'm typing up that question, that would be helpful.
315250	329780	11	A	0.98488	05:15	34	Could anyone just describe what they thought the intention was of starting with linear algebra and using 8.1 as the first equation of the appendix? Or we'll return to just the more general questions.
339560	345780	12	C	0.4	05:39	12	Yeah, I mean, learning our algebra is kind of the most discreet.
348220	386570	13	A	0.97	05:48	50	I don't. Want to say fundamental, but like practical and comprehensive way of kind of working with a large space of data, I guess, together and computing on it. So it's kind of the basis for the discrete parts and maybe easier than the nondiscrete parts. Good reason it started.
397850	445846	14	D	0.78	06:37	98	I guess if the question was where is linear algebra used in the active inference math? When you go to appendix b. Then you've got the equations of active inference and these are all expressed in terms of large vector spaces of variables, so probability of distributions. And so for example, on page 245, you've got this dot notation which is the expectation of a value. So that goes directly back to that first section of appendix A is what does that mean in terms of how do you take an expectation of a large vector of things?
445948	447990	15	D	0.58092	07:25	6	How do you express that compactly?
450490	485970	16	A	0.54043	07:30	69	Thanks. Could you unpack we looked at the dot notation a little bit yesterday and they were mentioning how well, I think it was actually one of the questions too. Let's just see if someone asks this, okay? They say the dot operator in a three, the dot operator is equivalent to standard matrix multiplication where the first matrix has been transposed. So what is the relationship with expectation?
487910	493750	17	A	0.62952	08:07	12	How does expectation for anyone, how does expectation relate to linear algebra?
506160	549400	18	D	0.89	08:26	120	Yeah, expectation is the probability of a value, the average probability of some value. So you're going to take all the possible values and you're going to multiply them by the probability of that value and then divide by the sum of the probability of normal is to one. So that will be the expectation. So if you have a whole array or a vector in your distribution, you can express that all in compact notation by saying with this simple way of saying we're going to take every one of these terms and we're going to multiply it by the probability of that term and the probability is some to one. So then that will be your average overall.
551340	553550	19	A	0.99947	09:11	5	Awesome, thanks for that answer.
559200	577152	20	A	1.0	09:19	39	Okay, thanks for that awesome answer. Does anyone have any other thoughts on just this first question and then we'll continue. So what is figuring ground? We're learning active inference in the chapters. That's why the chapters are there.
577286	612380	21	A	1.0	09:37	71	The appendix is there to somehow lightly supplement that. Like they describe it as an introduction or a refresher to the basic mathematical techniques. And linear algebra is the first section, a two that is discussing a lot of important things like derivatives and Probabilities taylor series variational calculus and Stochastic dynamics are going to come in in the coming chapters, but the linear algebra is important for the upcoming chapters.
616580	621730	22	A	0.85	10:16	8	Okay, so this question asked in a three.
627460	667760	23	A	0.99864	10:27	111	They say the dot operator is equivalent to standard matrix multiplication where the first matrix has been transposed, which is flipped like it's the operation in Google Sheets or Excel right click paste transpose. They say that in the case of column matrices, this is equivalent to the dot product. So the dot operator here is like a generalization of the vector dot operator, the sum of the products of the corresponding entries of the two sequences of numbers. So the questions here were what is interpretation, implication or use of a dot product of vectors? And then what is an interpretation, implication or use of a more generalized dot product.
667830	670290	24	A	1.0	11:07	8	And there looks like there's an awesome answer.
711750	719350	25	A	0.96147	11:51	19	What would be a situation where if anyone can think of one, like the Dot product would be applied.
721610	734780	26	A	0.9999	12:01	30	We're trying to do this in this situation. This is the operation that we needed. We wanted to compute matrix A on something of something. We used B dot C.
742990	780670	27	C	0.99809	12:22	47	Continue eric's description from the probability like you have expectation probability and you wanted to kind of see the error or whatever the difference, I guess between observation and the expectation, then a Dot product would give you that answer or it's a probability density of it.
787930	815730	28	A	0.99999	13:07	51	What are some ways to compute differences? Like if there are scalars you can subtract like five minus three or something, then it was mentioned of cosine similarity. Does anyone think of or imagine another way that you could compute the difference between two different kinds of features of different dimensions.
823970	841190	29	A	0.93	13:43	40	Like another example is divergence because that's like measuring the differences between these two distributions and there's different divergences. The KL is one of them. What other things are in this space that might be just tractable possible distance measures?
843850	867280	30	D	0.99869	14:03	44	Well, these are the same dimensionality in all these cases. But another very popular one is the sum squared difference, sum squared error. And then you can have absolute different value difference. So these are called different norms. I think that's the right word.
867730	878530	31	A	0.99981	14:27	16	Yes. There's also the Ginny index, the Jacard index, euclidean distances like sample to sample distances.
907910	918150	32	A	0.9798	15:07	20	So could anyone talk about L zero, l one and L two, et cetera norms? While I'm adding some links.
933520	955760	33	D	0.75781	15:33	55	If I have the right numbers here l two norm would be the square root of the sum of squares. L one norm would be the average of the absolute absolute value differences and L zero. I don't know what that is. I don't think it's a difference, is it? It's like a presence absence.
956680	957430	34	D	1.0	15:56	1	Okay.
960520	985630	35	A	0.99934	16:00	51	That kind of encoding is used in a lot of different algorithms and then the L two norm is the sum of squares. So the L two norm is what is used like in at least squares regression, classical statistics, ttest inova that's a lot driven by the L two norm.
988880	996400	36	A	1.0	16:28	17	And all of that is like in the genre of what the A three notation is describing.
998820	1008310	37	A	0.9498	16:38	33	But depending on what the B and the C are and what the A is, et cetera, there's just the dimensions of everything and other operations that are happening before or after it.
1013190	1025510	38	D	0.99998	16:53	35	Later on they mentioned the quadratic, which is the L two norm. So that's where you have the same term as multiplied by itself. Or if you have cross terms, then you get the covariance.
1028780	1036440	39	A	1.0	17:08	15	And that's going to be used later with the LaPlace approximation and other approximation techniques.
1039760	1048780	40	A	0.99962	17:19	18	Any other comments on a three or dot product? Or just like this kind of linear algebra topic?
1061240	1083820	41	A	0.99973	17:41	42	Linear algebra the basics, the trace and the determinant, which are probably less important than the dot product but still come into play, the derivatives, how things change with respect to each other, possibly time, possibly some other surface, and then probabilities.
1088320	1097170	42	A	0.97572	18:08	28	So does anyone have any other comments or thoughts on that whole section? Like anything that they read or like had uncertainty around up to equation A 22?
1109860	1115010	43	A	0.99983	18:29	15	Great. That no one has uncertainty around any of the equations up to A 22?
1118600	1125590	44	A	1.0	18:38	16	Yeah, obviously there is a lot to learn and to understand and we're not going to.
1128200	1135210	45	A	0.6464	18:48	25	It's just I don't know people who want to think about that. Like, what are we learning in Appendix A? Why is appendix A there?
1137420	1178820	46	A	0.99868	18:57	89	Hopefully we can start to understand some of this in Math Learning Group. The people who want to be really engaged with the math questioning and process and also connecting it to computer science into the applications has been happening and then hopefully everyone can benefit from this, like finding the resources and stuff. Because the relationships between the terms, relationships amongst the terms are driven by formalisms. Like the way that preferences and expectations are framed in active inference is related to equations, not only a conceptual linkage.
1190120	1195800	47	A	0.99967	19:50	15	Maybe here we can just write Math Learning Group and copy this to the resources.
1199100	1222640	48	A	0.98	19:59	51	Okay, so what kinds of examples do you think would be useful for learning the equations and concepts in Appendix A? If the equations felt too general and not applying to anything in particular, what example or scenario or would have made sense or you felt would have made that clearer?
1227020	1261140	49	A	0.99	20:27	85	Like, we're running a business and first this person wants to do this and then this person wants to do that? Or what example or what would somebody have expected to have found or wanted to have found that would have made it clear? Examples or other exercises or a format? This is kind of like a math lecture. It's kind of directional versus like, what other things could happen where you would feel like you were understanding and learning this and engaging with it.
1261210	1321620	50	A	0.66534	21:01	93	Yes. Thanks, Brock. I was kind of reminded of a video that Karl A presentation where he in real time demonstrates and helps you work through a pattern of red. Like it's like three dots sort of that are moving around red, green and pattern. And so understanding just a simple visual example of how active inference would work that doesn't require the formalism to just surface level kind of pattern recognized, that would be like ideal maybe of then bringing in the math for this part and that part and some scaffolding.
1322460	1371740	51	C	0.96893	22:02	98	But yeah, I'm not sure the appendix, I'm not sure it was meant to be bred in. I'm not sure there's a great way to read one order or another there because you kind of need it, but you kind of it's a lot too, right? Yeah, great point. And the organizing team for the textbook group which was open to everybody who wanted to join the and the comms weekly meetings. So for future cohorts, people could totally be involved with planning it, communicating it, doing anything for future cohorts as a co organizer or other role.
1372240	1418124	52	A	0.93661	22:52	101	But we talked a lot about the reading order. Would it make sense to read them in without appendix or putting the appendix last or somewhere else? One was short and hopefully the one week of regime of attention on appendix A and B is like we're just skimming it in a week. We're not getting a PhD in math, we're not generating these equations on a blank piece of paper. We're just like seeing the forms that will be used and then some of the key areas in the order that the authors thought that those background topics were important.
1418242	1465740	53	A	0.9972	23:38	117	So like for appendix A, linear algebra, which is what we talked the most about, because it's going to come into play most quickly, especially with these notions of expectation and differences which is going to come into play with everything that's going to happen. Taylor series variational calculus and Stochastic dynamics we talked less about. They happened in a later order within the appendix, but hopefully there will still be many questions on them because they're probably also areas with a lot to learn and to clarify. And also appendix A is like not the final resource of it diffusing into us. Like something that was really important that came up in the math learning group.
1465890	1512860	54	A	0.99994	24:25	122	Is there's not like a glossary of variables or table of variables so that's something we can work on with notation is connecting the variables to natural language ontology terms and then also things like this what do we even look up or a symbol or what does it mean when there's a double arrow? There's a lot of things that like a lot of dots that could be connected if people ask them and then we can probably get a response like what was the double arrow in a three? Does it mean anything that they're offset? Or what are the parts of this shape that are mattering for the background of learning? Active inference, anyone can ask like any question.
1512930	1539060	55	A	0.99999	25:12	65	If it's coming to mind as an uncertainty, then writing it down just anywhere is really helpful. Because then on the first pass through learning or a primary branch of learning, we can just go, okay, here's what a one shows, and then have that in a way that reduces uncertainty more rapidly than how any of us would just give an ad hoc explanation.
1545160	1576990	56	D	0.70304	25:45	86	Moritz wrote one thing that I always find useful in thinking about matrix, linear algebra matrices is to write out pictures of the matrices in their dimensions because often the notation, you've got these I's and J's and K's and stuff going around, but you don't know how that maps out into the actual elements of the matrix. So those illustrations are always helpful that could be added into this book. They're in a few places, but not that much. There you go. Things like that.
1579120	1626416	57	A	0.82	26:19	136	Yeah. And also connecting the programming experience that people might have even in no code tools like Excel Google Sheet, you have rows and columns, ones have numbers and ones have letters, but they can be other things. And then anyone who's used something like Python or R or even just doing some statistical calculations, like if you put two lists of numbers into the t test, that would be vector versus vector something, and then you would address the fifth element of the list. And then if it was in Excel, you would need to address two numbers to say where you were in the matrix. And then the tensor is just any number of more than three dimensions, which is sometimes like it's like, oh, but how spatially are we going to see it?
1626438	1644580	58	A	0.55319	27:06	43	But then we're familiar with working with spreadsheets and data sets that are larger than two by two or larger than two dimensions, and that will come into play a lot. And the numbers can be representing probabilities or be used for probabilities.
1646840	1677680	59	E	0.71	27:26	74	I also Daniel in the chat shared a link to a Python notebook that is a link, and it shows kind of the operations on matrices. And you can see both the mathematical yeah, there you go. So you can see the actual matrix and you can actually run code too, there. So that particular awesome. So I pasted the link in here and then we can fill out the rest of the row.
1679060	1699760	60	A	0.99989	27:59	40	But then someone could be looking for a guide on matrix or programming and matrix or something before this state. So then each person, if they find it and add it here, will have a lot to share and learn.
1705340	1730980	61	A	1.0	28:25	47	Okay, does anybody want to like, if they were the one who asked it this question, I i think it's probably referring to long equations that that probably none of us are ready to give answers to at this point. Unless somebody wants to contextualize this question.
1738320	1745890	62	A	0.99954	28:58	20	I'm hoping a read of chapter four will elucidate when the time comes. Just exploring the formal foundations here. Okay.
1751470	1752220	63	A	0.75	29:11	1	Okay.
1756370	1765630	64	A	0.99084	29:16	20	Does anyone have a favorite or recommended textbook that it contains the KL divergence and Dearsley distribution in the index.
1768230	1780094	65	A	0.91382	29:28	35	This is for the math learning group. Okay. Maybe we could tag some questions too, and so then we can know which ones they can look at. Wikipedia is good. The Kale divergence is approachable.
1780142	1786280	66	A	1.0	29:40	19	The deerish lay is tougher. The links take you to definitions that enable you to put the pieces together.
1788490	1801500	67	A	0.99	29:48	28	Okay, any comments on KL and Dear schley from someone who is familiar? Otherwise it sounds very technical and we don't need to go into it right now.
1816590	1820700	68	A	0.97989	30:16	10	What is up with dividing by sigma in a 31?
1824390	1867150	69	A	0.999	30:24	80	Also detail, but we'll just see if there's any questions that are not going to be specific details because math is very hard to understand sometimes on the fly and there's definitely a space for the interactive discussions around math that are unrecorded which are important. However, this is a little bit of a different format, which is how I'm hopefully interpreting people's activity rather than their disengagements because they are here and hopefully have at least scanned these chapters.
1875910	1914560	70	A	0.9904	31:15	51	Anyone can raise their hand at any time or add questions or upload things. Mean field mode, equation nine, equation 16 probability resource, statistical question, appendix B just to see if there was any. Also seem like all details. So we have 23 minutes. What does anybody want to ask now?
1915010	1928580	71	A	1.0	31:55	30	Or is there some question here like the most upvoted one or some other one that's far less challenging that they would like to address for the next 20 minutes?
1970350	1974410	72	A	0.99991	32:50	8	Did anyone read Appendix A or B visually?
1982990	1999278	73	E	0.99984	33:02	39	Did you just ask if anyone read it? Yes. What would anyone like to share about reading it? I totally read it with a highlighter and made several notes in the margin in my physical book. It was challenging.
1999374	2033660	74	E	1.0	33:19	55	A lot of the notation I feel like is crazy, even just independence b was it the very first thing? Are they using O for observations or are they using O for outcomes? I was totally unclear on that. Completely. So like state inference, Markov decision processes like the states that influence outcomes O, right?
2034030	2043454	75	E	0.99963	33:54	31	Literally. That's what it says on the top of page 244. So it says that the variable O is an outcome. Is an outcome and observation. Are those the same thing?
2043492	2059374	76	E	0.99999	34:03	34	Are they interchangeable? I've always thought O was observations. I put that question in there in the past. It's already there and then the question right before it. This is a really tricky section.
2059422	2091918	77	E	0.80228	34:19	89	Right? So the two questions that are in Appendix B that are together, it says the likelihood of observations given a policy is not straightforward to compute. This is because POMDP problem is structured so that policies pi influence trajectories indicated by tilde of states S that influence outcomes o without a direct influence of policies on outcomes. The problem then involves the sum over trajectories of states to marginalize these out and find a marginal likelihood of observations given policies. Like what does that these even refer to?
2092004	2115270	78	E	1.0	34:52	68	If you look in the questions in Appendix B, they're there in the questions already listed. I felt like it was very obscure and not super clear. And also the notation gets crazy and I'm really a stickler for defining every single variable and symbol in an equation to understand the math so that I can actually read it in English. So I was a little bit lost.
2117690	2147280	79	A	0.98444	35:17	73	Totally agree. Thanks for sharing it, Eric. Just with respect to that particular question, I think that these refers to the trajectories of states and you can see that because the sum is over the tilde s. So the tilde s is the trajectories of states. So you sum over all the trajectories of states to try to figure out, well, what are we going to get if we apply a given policy?
2148390	2163510	80	D	0.98588	35:48	34	That's my intuition about that. And I suspect also that observations are outcomes. They're sensory outcomes. They're the outcome of a generative model or a generative process, but they're the outcome that is observed.
2168090	2187280	81	A	0.99977	36:08	52	How many dots we need to actually unpack and connect for unsighted grammatically vague sentences. Right. So thank you. My uncertainty has been reduced substantially just by figuring that out. But I felt like that the whole time I was reading the appendix, I was like, what is even going on here?
2188690	2189440	82	A	0.99	36:28	1	Yeah.
