start	end	speaker	confidence	text
1450	139960	A	0.9419088958990535	Hello, everyone. It's May 26, 2022. It's the fourth week of the first cohort of the active textbook group. We're in our first discussion of chapter two today. We're going to go over the questions that are posted for chapter two. Then we'll see where that takes us and what ID of the book have been explored. And that'll be the main focus. Also, just a note on the math learning group, those meetings have been occurring on 19 UTC on Wednesdays. And so in the math learning group, you'll find information about how to participate. You'll find and be able to edit resources on learning different topics. So this is a really helpful activity if people want to share the resources that help them learn about different ideas and that'll help people search for a video about this. We have a notation table that will help us as we start to look at the notation more. There's some math learning basic questions, like around math, anything related to the textbook content can go in the main questions. Math learning group is part of the real textbook group. So these are not the questions to be answered like the other ones that we're going to go to are, but this is just about math. And then also there's some math oriented overviews. Like, I wrote this summary of the first two thirds of chapter two. So if people want to be like, continuing to distill and represent what they're learning and what they're asking, that's all good. Okay, any other notes that anybody wants to add before we start to go into the questions? You can raise your hand or you can type it in the chat. Okay, so we're in the first week of discussing chapter two, the low Road to active inference. So just to kind of warm us up, what is the low road?
174160	240760	B	0.8939640594059403	Got? A low road is the Bayesian Brain approach. Right here is the Proximate next big concept, I guess previous, but it's kind of based on I guess. Yeah, I mean, you can see right in the picture, it's based on basing it's like mathematical. The way I conceptualize it is like literally the low road, meaning very primitive, very mathematical, very hyper analytical, foundational, kind of an analysis way of looking at it, I guess that's not necessarily living or anything like that. Right? Whereas the high road is kind of more about the other side of that. All right.
242490	390140	A	0.9395039498432607	Okay, so we're going to be learning about the high road and low road. Those are the two paths that are offered in chapter two and three of the book. So hopefully, again, it would be awesome to have as many people as possible speak and feel welcome to share their views during this session. So everyone is especially encouraged to put questions or comments in the chat or raise their hand to speak or find other times to have synchronous communications and especially to make contributions to the coda. But really appreciate that everyone has come out to go through these discussion questions. So we're going to now go to the questions that have been placed into the questions table. And just the more questions, the better they can be super short. It can be anything that you're having uncertainty about. If you come across a table or a figure or a sentence in the text and you have a question, please write the question down. It will be extremely, extremely helpful. It doesn't have to be with extensive references or citations. It can just be what does this mean if you're uncertain about something and then if you were certain about it, you could still write a question like what would you ask somebody to test or to understand what they understood about it? Okay, so we're going to start with this first most upvoted question. But there's still time in this session and also till next week in our next session on chapter two, to add more questions if you wrote them down somewhere else and also to upvote questions. But we're just going to start with the most interestingly voted questions. What is the relevance of the support and surprise for the different probability distributions in table 2.1? So what does anyone see in table 2.1 and what are support and surprise people? Mike yes.
394430	420740	C	0.9431806000000003	So table 2.1 looks to me like a guide for selecting distributions. If you're building out one of these models with support saying what set of numbers would fit within this distribution selection? And then if you chose this distribution, how would you look at the support equation for it?
423590	427222	A	0.9113757142857143	Can you unpack with a surprise part?
427356	433000	C	0.933973125	Yeah. If you chose this distribution, how would you look at the surprise component of it?
442360	710940	A	0.9238801048218039	And we're going to get to surprise and Bayesian surprise in the coming questions. So support using the definition pulled here from Wikipedia, the support of the function is the subset of the x axis, like the domain where there's a y value that's not zero. So it's where the function is nonzero defined. The Gaussian, the normal Belker of distribution, has nonzero support at all numbers. Fancy r and then other distributions have different variable, different values that they're having non zero values at. Like the gamma distribution is defined over the interval from zero to infinity. So if it was like how many of this thing do you have that might be a reason to use a distribution that's only positive numbers? Or if you were wanting something that could have positive or negative numbers of any size, the Gaussian is a distribution and then another one that's like a relevant support difference would be like the deer Schlee being defined only within the zero to one interval, which helps connect it to probabilities. So the support is where that function, that distribution family is defined. And then what is the surprise? Does anyone know the name of the little squiggle they are using to represent surprise? I think it's called Fracture i, aka fancy eye. We're going to come to the definition of surprise in a coming question and without going into every variable and trying to overlearn something, the surprise of a given observation, like a data point, let's just think about the Gaussian. X is the observed data point and Mu is like the mean of that normal distribution, which is also the mode. So it's like the center of that distribution. And then this capital pi is a variance estimator, I believe here. So how surprised one should be by a new data point coming in is related to the difference between that new data point and the mean. So if the new data point were exactly on the center of the distribution, this whole term is going to go to zero. So one should not be surprised at all by exact data points on the mean of the distribution. But any data point that has not exactly on the mean is going to have some non zero value and so it's going to be a function of how far the data point is from the mean and some scaling by the variance. So if we were expecting 100 with a variance of ten versus 100 with a variance of one in one case, like getting 101 is like a one sigma event. It has a z score of one. Just speaking loosely here, whereas in the case of it having a variance that's very small, then that might be more surprising. Any other comments that people have on Table 2.1?
712270	714140	D	0.8432700000000001	I have a question.
715310	716060	A	0.97193	Yeah.
717550	857800	D	0.9375037658227848	So while I was reading through the chapter going back to section 2.2, right, perception as inference. So when he says, when they say that the brain is a predictive machine or a statistical organ, that infers external states of the world. Okay, here's my question, because I'm primarily from a telecom background. So most of our things are to get messages crossed between two distant transmitters receiver, right? So we build noise models. So without any noise you don't get signal. So you need to know what noise model looks like. For example, if the power spectrum of the signal is what you expect from, let's say we are using a Gaussian distribution of noise, right? So if it's the same as you expect from the Gaussian, you do nothing. So that's just noise. So you don't classify the data point that's coming in. If it is more than this, then okay, so there might be something interesting about this. There might be some signal here. So we define that signal to noise ratio. A lot of this chapter seems to be dealing with the fact that we by default know what the signal looks like. So there's no attempt to build a noise model here. That would be like, okay, so maybe the sensor in this case, our eyes for example, has some parameters it can detect between, say, a bandwidth, okay, so it can detect light between certain frequency ranges, but maybe it performs very well in a certain frequency range and not others. There's more error in other frequency ranges, right? So the noise model should incorporate such things, imperfections in the sensor, imperfections in the connections between the sensor and processing equipment. But there's no attempt to do that in this entire chapter. So I'm just curious as to what exactly is the predictive machine here? What is being predicted here?
858810	928830	A	0.9350271428571426	Great question. And in general, every question that people have, they're going to be 100 times more impactful if they can be written down. This is just the second chapter. It's introducing us to the essence of starting with just Bayes equation. It's the first equation here, starting with the foundation of increasingly advanced noise filtering approaches. So check out Livestream 43 to see how colman filter and advanced multilevel Bayesian filtering schemes are used and learned and fit with free energy, minimization and so on. But you're right, that is not approached in this chapter because it's starting with the essence of Bayes equation and then going to build towards another kernel, which is going to be the kernel of the variational free energy. And then that in this one layer case is going to be able to be elaborated and parameterized and fit within nested models to accommodate, like, learning on hyperparameters, learning of noise models and so on. But it is not in this chapter.
929890	934334	D	0.94342	Okay, yeah, I'm sorry if I threw us off track.
934452	946530	A	0.9421962500000001	No, it's perfect. But they're good questions. And then Jacob asked, what do you think of the surprise, the distributions involving a sum product of the project, probability distributions, except for gamma.
951990	995120	E	0.9309858974358974	Actually, I guess the Gaussian kind of as well. Yeah, maybe I'm thinking about this wrong, but I thought that the surprise was like the information gain or equivalent. And so for the Gaussian and the gamma distributions, it's always for one single element of the distribution for one x. But for the multinomial and derivative lay, there's something over all of the possible probabilities, which makes it, I guess, an entropy function. But is there a difference?
1004440	1027790	A	0.8826396363636365	For example, one could have a multidimensional Gaussian, a two dimensional Gaussian, and then the surprise for the two dimensional Gaussian would be represented as a sum over the different dimensions. So they've shown the Gaussian and the gamma in the uni dimensional case and the multinomial and the zero schlay in a multidimensional case.
1028320	1030590	E	0.9146583333333332	So in that case, is it.
1033280	1033596	A	1.0	I.
1033618	1058356	E	0.9568515789473683	Thought that x was just one element of the domain. So x is just if we think of the Gaussian as this kind of bell shaped curve on the x and y axis, we really want the f of x value to get like the Gaussian value, but x is just the input value. Is that correct?
1058362	1074670	A	0.8732320930232558	Believe I. That is accurate because, yes, x is the domain of the function and then the sum is over eyes. So if we had a multinomial Gaussian or multi dimensional Gaussian in I dimensions, then it would have a sum over eyes.
1077360	1128504	E	0.927290744680851	Yeah, I guess I still have uncertainty about why we don't do that for the single dimensional Gaussian as well. Because if we take just one point on the Gaussian, I understand why that would have a certain surprise. But then in the same way, if we take one point in the Dirichlet distribution, shouldn't that also have an equivalent equation for surprise? Why in the Dirichlet distribution are we summing over all the eyes, but in the Gaussian we are considering just one point on the probability distribution? Or maybe Derishley is multidimensional.
1128552	1183100	A	0.9401363793103449	And that's the reason I think the uni dimensional case would be just without this sigma I. It would just be this. But if anyone has any other thoughts, especially if they want to contribute them in writing to improve our understanding, that'd be awesome. Let's continue to the next question. In Section 2.4 they write we now introduce the simple but fundamental advance offered by active inference. This starts from the same inferential perspective discussed above, but extends it to consider action as inference. In your own words, what is the simple but fundamental advance offered by active inference? So what would anyone write or like to share? What is the advance of active inference?
1197660	1229540	F	0.9266446575342464	Sorry, is it just bringing action into the equation? So predictive coding and Bayesian brain are specifically about perception, visual perception. I think the key thing with active inference is that it's well, it's not just that it brings action into the equation, it's that it treats them as essentially the same thing, that they're kind of united as part of the same process, which I think is kind of a new development.
1231420	1235960	A	0.99548	Thanks for the awesome answer, Ali.
