start	end	paragNum	speaker	pconfid	wordPos	paragWordPos	paragFirstWordCount	paragLastWordCount
650	28550	1	A	0.45805	54	54	1	54
28620	48860	2	A	1.0	106	52	55	106
49550	89850	3	A	1.0	222	116	107	222
90350	109898	4	A	0.91	277	55	223	277
109994	136162	5	A	0.88721	353	76	278	353
136306	174658	6	A	0.99995	425	72	354	425
174744	202206	7	A	0.99994	491	66	426	491
202388	227030	8	A	0.99963	559	68	492	559
232640	266720	9	A	0.99998	640	81	560	640
266880	294400	10	A	0.99	720	80	641	720
297220	300400	11	A	0.9996	726	6	721	726
302740	326730	12	A	0.99999	784	58	727	784
329840	345970	13	A	0.98202	823	39	785	823
350340	355590	14	A	0.91569	832	9	824	832
360520	363300	15	A	0.86	839	7	833	839
370250	389660	16	A	0.99947	893	54	840	893
391970	411614	17	A	0.99913	938	45	894	938
411662	448170	18	A	1.0	1036	98	939	1036
448330	457170	19	A	0.65	1054	18	1037	1054
460550	503210	20	D	0.99395	1168	114	1055	1168
503370	534890	21	D	0.99	1261	93	1169	1261
538270	582090	22	E	0.99914	1339	78	1262	1339
586440	628508	23	B	0.53075	1428	89	1340	1428
628684	671324	24	A	0.99996	1535	107	1429	1535
671452	695860	25	A	1.0	1604	69	1536	1604
700360	703670	26	A	0.99991	1612	8	1605	1612
712070	712820	27	A	0.94034	1613	1	1613	1613
719530	720440	28	A	0.79449	1615	2	1614	1615
723790	755340	29	A	0.78474	1676	61	1616	1676
755680	789130	30	A	0.99995	1759	83	1677	1759
790780	825184	31	A	1.0	1824	65	1760	1824
825232	860516	32	A	0.72	1931	107	1825	1931
860648	865840	33	F	0.99	1950	19	1932	1950
868740	870450	34	A	0.99956	1954	4	1951	1954
873800	920044	35	A	0.93012	2081	127	1955	2081
920092	940292	36	F	1.0	2140	59	2082	2140
940356	975248	37	F	0.99989	2205	65	2141	2205
975424	1000190	38	A	1.0	2266	61	2206	2266
1000560	1023090	39	A	1.0	2315	49	2267	2315
1027480	1064444	40	A	1.0	2405	90	2316	2405
1064492	1096516	41	A	0.99	2477	72	2406	2477
1096628	1126092	42	A	0.99958	2542	65	2478	2542
1126156	1133510	43	A	0.99169	2562	20	2543	2562
1135580	1159308	44	A	0.69077	2618	56	2563	2618
1159474	1210468	45	A	0.83173	2719	101	2619	2719
1210664	1234820	46	A	0.99985	2772	53	2720	2772
1235720	1270320	47	A	0.99896	2854	82	2773	2854
1271700	1314320	48	A	0.99635	2968	114	2855	2968
1317380	1336748	49	F	0.99	3027	59	2969	3027
1336784	1359980	50	F	1.0	3100	73	3028	3100
1360130	1394570	51	F	0.99814	3193	93	3101	3193
1396460	1448840	52	A	1.0	3303	110	3194	3303
1448990	1479584	53	A	1.0	3389	86	3304	3389
1479632	1521692	54	A	0.99991	3502	113	3390	3502
1521756	1561064	55	A	0.99996	3592	90	3503	3592
1561112	1582950	56	A	1.0	3645	53	3593	3645
1585080	1618320	57	A	0.99998	3724	79	3646	3724
1619460	1657260	58	A	0.99371	3809	85	3725	3809
1659600	1687640	59	A	0.9203	3857	48	3810	3857
1692050	1746510	60	E	1.0	3947	90	3858	3947
1747890	1754980	61	A	0.99807	3966	19	3948	3966
1757750	1781658	62	A	0.74147	4026	60	3967	4026
1781744	1799754	63	A	1.0	4073	47	4027	4073
1799892	1837840	64	A	0.99994	4155	82	4074	4155
1838770	1849520	65	A	0.67	4181	26	4156	4181
1852550	1883660	66	A	0.84335	4262	81	4182	4262
1893970	1905890	67	A	0.99781	4282	20	4263	4282
1909130	1937760	68	A	0.99985	4331	49	4283	4331
1942130	1997340	69	A	0.99976	4426	95	4332	4426
1998820	2007250	70	A	0.99994	4443	17	4427	4443
2009720	2043528	71	A	0.95156	4512	69	4444	4512
2043624	2094984	72	A	0.99997	4605	93	4513	4605
2095112	2125464	73	A	0.99993	4668	63	4606	4668
2125662	2141630	74	A	0.99973	4696	28	4669	4696
2148580	2157840	75	A	0.24228	4713	17	4697	4713
2171220	2207810	76	B	0.56	4781	68	4714	4781
2212140	2249380	77	A	0.99981	4867	86	4782	4867
2253610	2286286	78	B	0.90248	4943	76	4868	4943
2286388	2381360	79	B	0.62	5116	173	4944	5116
2382290	2396850	80	A	0.5914	5147	31	5117	5147
2397000	2410600	81	A	0.99988	5182	35	5148	5182
2410970	2451890	82	A	0.99802	5280	98	5183	5280
2452390	2500114	83	A	0.94639	5390	110	5281	5390
2500152	2548930	84	A	0.94	5489	99	5391	5489
2549080	2589070	85	A	0.99	5583	94	5490	5583
2590870	2634030	86	A	0.99853	5685	102	5584	5685
2639570	2658594	87	G	0.95882	5737	52	5686	5737
2658722	2689406	88	G	0.99788	5817	80	5738	5817
2689588	2731200	89	G	0.71	5922	105	5818	5922
2732130	2744420	90	A	0.99995	5951	29	5923	5951
2744790	2773050	91	D	0.92	6011	60	5952	6011
2773390	2797466	92	D	0.69441	6063	52	6012	6063
2797658	2880346	93	A	0.99988	6266	203	6064	6266
2880458	2895700	94	D	0.79792	6305	39	6267	6305
2897830	2906120	95	A	0.78567	6323	18	6306	6323
2908330	2931040	96	A	0.74139	6374	51	6324	6374
2932930	2963470	97	D	0.92895	6459	85	6375	6459
2963650	2964410	98	A	0.64298	6460	1	6460	6460
2968190	2983360	99	C	0.56	6491	31	6461	6491
2986290	3016780	100	C	0.99995	6538	47	6492	6538
3019230	3049986	101	C	0.5	6613	75	6539	6613
3050008	3065560	102	C	0.46478	6660	47	6614	6660
3066190	3087470	103	G	0.99994	6716	56	6661	6716
3087620	3124410	104	A	0.97	6809	93	6717	6809
3124560	3166666	105	A	1.0	6894	85	6810	6894
3166778	3197530	106	A	0.94631	6955	61	6895	6955
3198910	3245098	107	A	1.0	7059	104	6956	7059
3245184	3281250	108	A	0.92069	7148	89	7060	7148
3282170	3298150	109	A	0.93	7173	25	7149	7173
3303980	3327570	110	E	0.98654	7215	42	7174	7215
3332340	3356712	111	C	0.83271	7261	46	7216	7261
3356846	3390656	112	C	0.97	7350	89	7262	7350
3390768	3419950	113	F	0.99486	7451	101	7351	7451
3421140	3462332	114	A	0.91767	7530	79	7452	7530
3462466	3520124	115	A	0.9177	7684	154	7531	7684
3520162	3528530	116	A	0.99852	7710	26	7685	7710
3528900	3557032	117	A	0.82577	7776	66	7711	7776
3557166	3586420	118	A	0.99992	7856	80	7777	7856
3588040	3609980	119	A	0.99866	7920	64	7857	7920
3610050	3610990	120	A	0.99942	7923	3	7921	7923
