docLabel	sp	myTime	myTimeDisplay	myTimeSRT
AATxtBk_C01-05	A	650	00:00	00:00:00,650
AATxtBk_C01-05	A	628684	10:28	00:10:28,696
AATxtBk_C01-05	A	868740	14:28	00:14:28,857
AATxtBk_C01-05	A	975424	16:15	00:16:15,804
AATxtBk_C01-05	A	1396460	23:16	00:23:16,259
AATxtBk_C01-05	A	1747890	29:07	00:29:07,574
AATxtBk_C01-05	A	2212140	36:52	00:36:52,997
AATxtBk_C01-05	A	2382290	39:42	00:39:42,149
AATxtBk_C01-05	A	2732130	45:32	00:45:32,463
AATxtBk_C01-05	A	2797658	46:37	00:46:37,522
AATxtBk_C01-05	A	2897830	48:17	00:48:17,610
AATxtBk_C01-05	A	2963650	49:23	00:49:23,670
AATxtBk_C01-05	A	3087620	51:27	00:51:27,782
AATxtBk_C01-05	A	3421140	57:01	00:57:01,080
AATxtBk_C01-05	D	460550	07:40	00:07:40,195
AATxtBk_C01-05	D	2744790	45:44	00:45:44,475
AATxtBk_C01-05	D	2880458	48:00	00:48:00,593
AATxtBk_C01-05	D	2932930	48:52	00:48:52,645
AATxtBk_C01-05	E	538270	08:58	00:08:58,912
AATxtBk_C01-05	E	1692050	28:12	00:28:12,525
AATxtBk_C01-05	E	3303980	55:03	00:55:03,974
AATxtBk_C01-05	B	586440	09:46	00:09:46,333
AATxtBk_C01-05	B	2171220	36:11	00:36:11,956
AATxtBk_C01-05	B	2253610	37:33	00:37:33,032
AATxtBk_C01-05	F	860648	14:20	00:14:20,776
AATxtBk_C01-05	F	920092	15:20	00:15:20,310
AATxtBk_C01-05	F	1317380	21:57	00:21:57,192
AATxtBk_C01-05	F	3390768	56:30	00:56:30,055
AATxtBk_C01-05	G	2639570	43:59	00:43:59,382
AATxtBk_C01-05	G	3066190	51:06	00:51:06,761
AATxtBk_C01-05	C	2968190	49:28	00:49:28,675
AATxtBk_C01-05	C	3332340	55:32	00:55:32,003
