docLabel	sp	myTime	myTimeDisplay	myTimeSRT
AATxtBk_C01-07	A	1690	00:01	00:00:01,689
AATxtBk_C01-07	A	217134	03:37	00:03:37,000
AATxtBk_C01-07	A	712700	11:52	00:11:52,476
AATxtBk_C01-07	A	766720	12:46	00:12:46,956
AATxtBk_C01-07	A	981680	16:21	00:16:21,866
AATxtBk_C01-07	A	1023740	17:03	00:17:03,227
AATxtBk_C01-07	A	1090320	18:10	00:18:10,833
AATxtBk_C01-07	A	1348660	22:28	00:22:28,217
AATxtBk_C01-07	A	1405220	23:25	00:23:25,268
AATxtBk_C01-07	A	1839176	30:39	00:30:39,660
AATxtBk_C01-07	A	2002678	33:22	00:33:22,805
AATxtBk_C01-07	A	2206950	36:46	00:36:46,991
AATxtBk_C01-07	A	2363320	39:23	00:39:23,130
AATxtBk_C01-07	A	2493600	41:33	00:41:33,248
AATxtBk_C01-07	A	2727422	45:27	00:45:27,458
AATxtBk_C01-07	A	2898842	48:18	00:48:18,611
AATxtBk_C01-07	A	3019770	50:19	00:50:19,720
AATxtBk_C01-07	A	3269450	54:29	00:54:29,946
AATxtBk_C01-07	A	3570370	59:30	00:59:30,217
AATxtBk_C01-07	B	80650	01:20	00:01:20,563
AATxtBk_C01-07	B	988720	16:28	00:16:28,936
AATxtBk_C01-07	B	1049940	17:29	00:17:29,489
AATxtBk_C01-07	B	1363800	22:43	00:22:43,232
AATxtBk_C01-07	B	1699700	28:19	00:28:19,532
AATxtBk_C01-07	B	2098500	34:58	00:34:58,895
AATxtBk_C01-07	B	3191684	53:11	00:53:11,874
AATxtBk_C01-07	C	669120	11:09	00:11:09,041
AATxtBk_C01-07	C	753560	12:33	00:12:33,825
AATxtBk_C01-07	C	1786136	29:46	00:29:46,613
AATxtBk_C01-07	C	2312040	38:32	00:38:32,085
AATxtBk_C01-07	D	919980	15:19	00:15:19,309
AATxtBk_C01-07	D	1289600	21:29	00:21:29,164
AATxtBk_C01-07	E	1739440	28:59	00:28:59,572
AATxtBk_C01-07	E	1911320	31:51	00:31:51,726
AATxtBk_C01-07	E	2148246	35:48	00:35:48,939
AATxtBk_C01-07	E	2383260	39:43	00:39:43,150
AATxtBk_C01-07	E	2648502	44:08	00:44:08,385
AATxtBk_C01-07	F	2823530	47:03	00:47:03,542
AATxtBk_C01-07	F	2979126	49:39	00:49:39,686
AATxtBk_C01-07	F	3516230	58:36	00:58:36,169
AATxtBk_C01-07	F	3654370	1:00:54	01:00:54,531
AATxtBk_C01-07	G	3102228	51:42	00:51:42,797
