text	entity_type		start	end
June 16, 2022	date		3444	4894
Math Learning Group	organization		36010	37238
Math	occupation		48208	48726
math	occupation		56388	56746
math	occupation		62228	62910
Ali	person_name		75770	76354
Karl Frisden	person_name		107732	108842
Andy Clark	person_name		123832	124654
Kant	person_name		171336	171614
Hellholtz	person_name		171848	172446
Frison	person_name		199584	200098
Clark	person_name		217352	218030
psychology	occupation		229388	230194
philosophy	occupation		230322	231362
qu	location		243312	243846
Clark	person_name		265128	265406
ology	occupation		292688	293430
physics	occupation		304628	304954
Ali	person_name		447032	447406
Blue	person_name		447736	448126
math	occupation		541656	542286
programming	occupation		543016	544030
math group	organization		564524	565014
operator	occupation		755838	756292
Eric	person_name		915722	916064
Ali	person_name		983010	983900
Eric	person_name		1437394	1437944
Mount Improbable	location		1470708	1471924
biologists	occupation		1472052	1472804
physicist	occupation		1478078	1478564
computer science	occupation		1481600	1482696
Lyle	person_name		1694960	1695900
John	person_name		1751948	1752464
decentralized science	occupation		1873550	1874772
Lyle	person_name		1885906	1886620
John	person_name		2011142	2011440
John	person_name		2017882	2018132
Mahault	person_name		2029262	2029796
cybernetics	occupation		2083198	2083972
Ali	person_name		2093970	2094504
John	person_name		2094882	2095470
John	person_name		2197058	2197648
Stephen Fox	person_name		2198246	2198924
industrial engineering	occupation		2201158	2202640
Yaakob	person_name		2239362	2240024
systems engineering	occupation		2267466	2268720
complex systems simulation	occupation		2268800	2270820
John Lyle	person_name		2282500	2285076
John Lyle	person_name		2364026	2365984
Mike	person_name		2366442	2367140
John	person_name		2369082	2369380
Mike	person_name		2465530	2466420
john	person_name		2489938	2490172
John	person_name		2500710	2501330
Eric	person_name		2503990	2504492
Lyle	person_name		2629420	2630440
Eric	person_name		2632060	2632484
Jakub	person_name		2720760	2721436
researcher	occupation		2757878	2758524
John	person_name		2805060	2805810
Rohan	person_name		2818730	2819442
Rohan	person_name		2961720	2962530
DeVries	person_name		3022716	3023506
Rohan	person_name		3093786	3094314
John	person_name		3094756	3095360
John	person_name		3101476	3101886
Mike Levin	person_name		3161352	3162014
cancer	medical_condition		3171452	3171922
Ali	person_name		3187230	3188250
John	person_name		3192452	3192702
Karl Friston	person_name		3217930	3218962
cut nature at the joints	injury		3282640	3283798
behavioral modeling	occupation		3366188	3367186
facilitators	occupation		3435632	3436374
math	occupation		3508968	3509166
rojan	person_name		3511064	3511614
Anil Seth	person_name		3662708	3663594
