docLabel	sp	myTime	myTimeDisplay	myTimeSRT
AATxtBk_C01-08	A	1450	00:01	00:00:01,449
AATxtBk_C01-08	A	230480	03:50	00:03:50,134
AATxtBk_C01-08	A	638820	10:38	00:10:38,797
AATxtBk_C01-08	A	1047110	17:27	00:17:27,460
AATxtBk_C01-08	A	1073950	17:53	00:17:53,728
AATxtBk_C01-08	A	1339640	22:19	00:22:19,208
AATxtBk_C01-08	A	1843240	30:43	00:30:43,664
AATxtBk_C01-08	A	1938630	32:18	00:32:18,747
AATxtBk_C01-08	A	2158010	35:58	00:35:58,948
AATxtBk_C01-08	A	2277090	37:57	00:37:57,056
AATxtBk_C01-08	A	2576890	42:56	00:42:56,325
AATxtBk_C01-08	A	2638940	43:58	00:43:58,381
AATxtBk_C01-08	A	3475010	57:55	00:57:55,133
AATxtBk_C01-08	A	3496170	58:16	00:58:16,149
AATxtBk_C01-08	B	157880	02:37	00:02:37,468
AATxtBk_C01-08	B	1808560	30:08	00:30:08,629
AATxtBk_C01-08	B	1887670	31:27	00:31:27,702
AATxtBk_C01-08	B	2199690	36:39	00:36:39,984
AATxtBk_C01-08	B	2549170	42:29	00:42:29,298
AATxtBk_C01-08	B	3408460	56:48	00:56:48,073
AATxtBk_C01-08	B	3491610	58:11	00:58:11,144
AATxtBk_C01-08	C	601560	10:01	00:10:01,425
AATxtBk_C01-08	C	1034370	17:14	00:17:14,333
AATxtBk_C01-08	C	1057910	17:37	00:17:37,568
AATxtBk_C01-08	D	1319700	21:59	00:21:59,194
AATxtBk_C01-08	D	2145190	35:45	00:35:45,936
AATxtBk_C01-08	D	2161210	36:01	00:36:01,946
AATxtBk_C01-08	E	2049598	34:09	00:34:09,846
AATxtBk_C01-08	F	2602220	43:22	00:43:22,345
