start	end	speaker	confidence	text
250	53200	A	0.9293545714285711	Of these questions. I think we talked about the oh, this is chapter two. Let's go to chapter four. Okay, so we talked about belief, policy, state. I'm not sure if we talked about this question. In the discussion of active inference in POMDP t belief updating about policies, we find that the posterior that minimizes the free energy does the posterior at time t. Oh, we did discuss this. Yeah, we did discuss this last time. So this question, I think we did not discuss pi being a policy or a model last time. Or did we? I think we didn't get to this.
53650	55614	B	0.9981871428571429	Yeah, I don't think we discussed that.
55732	203290	A	0.9483681766381763	All right, so we can open it up and we'll start here, I guess, with the most upvoted. So the question reads, what is pi? On page 69, the authors write, at each time step, the current state is conditionally dependent on the state at the previous time and on the policy pi currently being pursued. Then on page 71, they write, thus we can interpret the priors of equation 4.6 combined with the likelihood of equation 4.5 as expressing a model pi of a behavioral sequence. So which is it, policy or model? And then they suggest a rewrite of the sentence. They say that, thus we can interpret the priors of equation 4.6 combined with the likelihood of equation 4.5 and the transition probabilities b sub tau pi as expressing a model for a behavioral sequence where the model is a function of policy pi. And then there's some discourse here. So in this reframing, can we say that the model simulates the agent in the environment as if it had taken the actions in the policy? And I don't know who asked that question. Oh, Eric, that was you. That was your question. And then does anyone want to maybe take a stab at answering that question? Or we can continue reading what was written here. So what's written here says that on page 69, the authors also say policies here may be thought of as indexing alternative trajectories or sequences of actions that could be followed. On page 71, they define the likelihood in equation four five as a matrix A that expresses the probability of an outcome. They describe the priors of equation 4.6 as the prior over the initial state vector D, and beliefs about how the state at one time transitions to the state at the next time, matrix B. And they also say that the transitions are conditionally dependent on the policy chosen. Because of this conditional dependence, we can see how the policy influences the model and why the authors may use the terms interchangeably. So does anyone have any comments there's?
204850	260990	C	0.9046451578947367	I guess I would say that that answer in discourse kind of agrees with what I proposed, which is that strictly speaking, we should treat the pi as policy, but it behaves as a model. Once it's executed, it's implemented. Then the model has become a function of the policy that's been we've seen so far. So I'd say that's compatible interpretation. So I think strictly speaking, it would be better if the text was consistent and called Pi policy and then say, yeah, the model is a function of Pi. That'd be my interpretation.
262370	278360	A	0.917831219512195	Yeah, I definitely agree with that. I think that the model is policy specific, but they could do a better job of I mean, the variables as we've seen are so ambiguous anyway, so it could definitely be a lot better.
284180	333570	B	0.914942936507936	And by the way, about the topic of consistency, actually I gave some thoughts about the issue we were discussing in yesterday's math learning session and I also consulted some other papers and active inference and in all of them the notation for matrices and vectors is used consistently, as in almost every linear algebra textbook. So I'm seriously beginning to suspect that every instance of a matrix or a vector not written in Bold face is a typo either in chapters or appendices because otherwise I really cannot find any justification behind using two different types of notation. So I'm going to use this assumption as my prior for the rest of the book, unless someone has any belief updating observation she wants to share.
336740	436490	A	0.9385276525821592	So just to summarize, for the people that weren't there yesterday, we had a big debate about what does the Bold typeface signify? And it wasn't so much a debate, but just like trying to come to a mutual understanding. So it's this question here. Does bold lettering mean this is a matrix, but seemingly also many non bold letters are a matrix? Or does bold lettering mean sufficient statistics of as on these page examples? And it really was yeah, we couldn't come to a single unified answer there because there are many instances where it seems like it should be a matrix, but it's not bold and there are many instances where sufficient statistics are used but it's also not bold. So yeah, we couldn't really conclude that, but I think I'll lead it. That's a good assumption there. So we also talked about this a little bit last time, but we didn't really get fully into this question. What is the use of categorical distributions in equation 4.5? The second line is supposed to explain the cat notation, but I have problems to understand the advantage of the notation. Could someone explain it in simple words? Does anyone want to try to explain that? I can pull up the equation.
443600	480280	B	0.8987518333333331	Well, I think every regular matrix and vector is by definition an array of ordered elements. But in a categorical distribution we don't necessarily assign any specific order to the elements. So the reason behind using the categorical distribution might be to just jettison any orderness in the elements and treat them as just an unordered set of the probabilities.
482880	610780	C	0.939195436893203	I wrote an answer to this one if you want to pull that up, so you can just read that's. So I hope this is helpful. It's basically the way I see it is you have the math, the math notation there, but when you need to actually implement that, you need to carry it out, then you need to turn that into operations you can perform. And so when you say that A is this categorical object, that means that you're turning it into an actual matrix with elements. And so the ordering is important, actually, because the ordering of the elements in the matrix says how that matrix is going to apply to the objects it applies to, which are the belief state S, and then your observation O. So basically it says the way you carry out inferring what O will be the probability of O given a belief state is you do a matrix multiply. And because in this example, the states are not continuous, they're categorical, then you need a categorical matrix element in order to do map from the categories of belief states to the categories of observation states. And those are both distributions that gets transformed by the matrix.
613600	620770	A	0.8918435294117648	Thanks, Eric, that was super helpful. Does anybody have any further question or comment on this one?
625310	718886	B	0.918158053691275	Sorry, Eric, but isn't the categorical notation special case of multinomial distribution? Categorical distribution special cases of multinomial distribution? I don't know that. Yeah, because that was my understanding that the main difference between any categorical distribution and well, I mean, for instance, of course you're right that in any matrix we necessarily have some ordered elements in order for us to be able to compute the math on those matrices. But on the other hand, for categorical distributions, at least that was my understanding that we don't necessarily treat them as ordered elements, such as, I don't know, the ordered vectors or ordered matrices as the normal matrix. Because if that was the case, well, we could just designate this distribution as just a regular matrix. Right. So I don't get what's the reason behind using the notation here, cat A or cat, instead of just using the.
718908	720230	D	0.9394075	Name of the matrix?
723150	740200	A	0.869342	Steven, can you mute you're super loud over there. Sorry.
742970	782180	C	0.9454582142857143	Yeah, I guess so. The mathematical notation doesn't have an ordering. It just says distribution is related to another distribution through this relation. And when you get to the mechanics of how do you do that? That's where you care that you have the matrix with the vector ordering. So, yeah, I don't know what cat A actually means other than it's just describing it. I don't think it's like an operator, I think it's just saying what it is. Does that make sense?
793790	796480	A	0.8733655555555555	Steven, if you're trying to talk, we can't hear.
798770	799520	D	0.53766	What.
815860	825510	A	0.9234867857142858	I feel like Steven is trying to share an idea with us, but is unable to communicate effectively through the technological affordances he's been given at the time.
826440	837160	C	0.8850835	Like the gain on your mic is way up or something, so it's picking up more background noise than you're.
882020	929100	A	0.9371052459016392	Just looking at this equation. Can you guys hear me okay? Yeah. Okay, so just looking at this equation, the second part, it's like the, it's like an ordered matrix A-I-J where the probability of the observations are equal to index I and the states equal to index j, something like that. I don't know, it looks like it is ordered.
930260	932880	B	0.94069	Yeah, the matrix itself is ordered.
