start	end	paragNum	speaker	confidence	startTime	wordCount	text
250	20320	1	A	0.63	00:00	36	Of these questions. I think we talked about the oh, this is chapter two. Let's go to chapter four. Okay, so we talked about belief, policy, state. I'm not sure if we talked about this question.
21730	50860	2	A	0.99987	00:21	62	In the discussion of active inference in POMDP t belief updating about policies, we find that the posterior that minimizes the free energy does the posterior at time t. Oh, we did discuss this. Yeah, we did discuss this last time. So this question, I think we did not discuss pi being a policy or a model last time. Or did we?
51230	75118	3	A	1.0	00:51	70	I think we didn't get to this. Yeah, I don't think we discussed that. All right, so we can open it up and we'll start here, I guess, with the most upvoted. So the question reads, what is pi? On page 69, the authors write, at each time step, the current state is conditionally dependent on the state at the previous time and on the policy pi currently being pursued.
75214	113854	4	A	0.99669	01:15	97	Then on page 71, they write, thus we can interpret the priors of equation 4.6 combined with the likelihood of equation 4.5 as expressing a model pi of a behavioral sequence. So which is it, policy or model? And then they suggest a rewrite of the sentence. They say that, thus we can interpret the priors of equation 4.6 combined with the likelihood of equation 4.5 and the transition probabilities b sub tau pi as expressing a model for a behavioral sequence where the model is a function of policy pi. And then there's some discourse here.
114052	127400	5	A	0.88099	01:54	34	So in this reframing, can we say that the model simulates the agent in the environment as if it had taken the actions in the policy? And I don't know who asked that question.
129530	139900	6	A	0.83	02:09	32	Oh, Eric, that was you. That was your question. And then does anyone want to maybe take a stab at answering that question? Or we can continue reading what was written here.
142990	188230	7	A	0.9787	02:22	125	So what's written here says that on page 69, the authors also say policies here may be thought of as indexing alternative trajectories or sequences of actions that could be followed. On page 71, they define the likelihood in equation four five as a matrix A that expresses the probability of an outcome. They describe the priors of equation 4.6 as the prior over the initial state vector D, and beliefs about how the state at one time transitions to the state at the next time, matrix B. And they also say that the transitions are conditionally dependent on the policy chosen. Because of this conditional dependence, we can see how the policy influences the model and why the authors may use the terms interchangeably.
192990	244646	8	A	0.98963	03:12	69	So does anyone have any comments there's? I guess I would say that that answer in discourse kind of agrees with what I proposed, which is that strictly speaking, we should treat the pi as policy, but it behaves as a model. Once it's executed, it's implemented. Then the model has become a function of the policy that's been we've seen so far. So I'd say that's compatible interpretation.
244758	278360	9	C	0.99962	04:04	74	So I think strictly speaking, it would be better if the text was consistent and called Pi policy and then say, yeah, the model is a function of Pi. That'd be my interpretation. Yeah, I definitely agree with that. I think that the model is policy specific, but they could do a better job of I mean, the variables as we've seen are so ambiguous anyway, so it could definitely be a lot better.
284180	333570	10	B	0.71	04:44	126	And by the way, about the topic of consistency, actually I gave some thoughts about the issue we were discussing in yesterday's math learning session and I also consulted some other papers and active inference and in all of them the notation for matrices and vectors is used consistently, as in almost every linear algebra textbook. So I'm seriously beginning to suspect that every instance of a matrix or a vector not written in Bold face is a typo either in chapters or appendices because otherwise I really cannot find any justification behind using two different types of notation. So I'm going to use this assumption as my prior for the rest of the book, unless someone has any belief updating observation she wants to share.
336740	365080	11	A	0.7898	05:36	76	So just to summarize, for the people that weren't there yesterday, we had a big debate about what does the Bold typeface signify? And it wasn't so much a debate, but just like trying to come to a mutual understanding. So it's this question here. Does bold lettering mean this is a matrix, but seemingly also many non bold letters are a matrix? Or does bold lettering mean sufficient statistics of as on these page examples?
365580	393590	12	A	0.95	06:05	65	And it really was yeah, we couldn't come to a single unified answer there because there are many instances where it seems like it should be a matrix, but it's not bold and there are many instances where sufficient statistics are used but it's also not bold. So yeah, we couldn't really conclude that, but I think I'll lead it. That's a good assumption there.
412470	434986	13	A	0.60748	06:52	66	So we also talked about this a little bit last time, but we didn't really get fully into this question. What is the use of categorical distributions in equation 4.5? The second line is supposed to explain the cat notation, but I have problems to understand the advantage of the notation. Could someone explain it in simple words? Does anyone want to try to explain that?
435088	436490	14	A	1.0	07:15	6	I can pull up the equation.
443600	480280	15	B	0.99905	07:23	60	Well, I think every regular matrix and vector is by definition an array of ordered elements. But in a categorical distribution we don't necessarily assign any specific order to the elements. So the reason behind using the categorical distribution might be to just jettison any orderness in the elements and treat them as just an unordered set of the probabilities.
482880	499870	16	C	1.0	08:02	20	I wrote an answer to this one if you want to pull that up, so you can just read that's.
517460	519200	17	C	0.99581	08:37	6	So I hope this is helpful.
521540	580100	18	C	0.75489	08:41	133	It's basically the way I see it is you have the math, the math notation there, but when you need to actually implement that, you need to carry it out, then you need to turn that into operations you can perform. And so when you say that A is this categorical object, that means that you're turning it into an actual matrix with elements. And so the ordering is important, actually, because the ordering of the elements in the matrix says how that matrix is going to apply to the objects it applies to, which are the belief state S, and then your observation O. So basically it says the way you carry out inferring what O will be the probability of O given a belief state is you do a matrix multiply.
582200	610780	19	C	0.67	09:42	47	And because in this example, the states are not continuous, they're categorical, then you need a categorical matrix element in order to do map from the categories of belief states to the categories of observation states. And those are both distributions that gets transformed by the matrix.
613600	620770	20	A	0.50666	10:13	17	Thanks, Eric, that was super helpful. Does anybody have any further question or comment on this one?
625310	636270	21	B	0.99997	10:25	19	Sorry, Eric, but isn't the categorical notation special case of multinomial distribution? Categorical distribution special cases of multinomial distribution?
639090	703074	22	B	0.97	10:39	109	I don't know that. Yeah, because that was my understanding that the main difference between any categorical distribution and well, I mean, for instance, of course you're right that in any matrix we necessarily have some ordered elements in order for us to be able to compute the math on those matrices. But on the other hand, for categorical distributions, at least that was my understanding that we don't necessarily treat them as ordered elements, such as, I don't know, the ordered vectors or ordered matrices as the normal matrix. Because if that was the case, well, we could just designate this distribution as just a regular matrix. Right.
703192	720230	23	B	0.92993	11:43	25	So I don't get what's the reason behind using the notation here, cat A or cat, instead of just using the. Name of the matrix?
723150	726220	24	A	0.59967	12:03	9	Steven, can you mute you're super loud over there.
739450	740200	25	A	0.99831	12:19	1	Sorry.
742970	744840	26	C	0.99799	12:22	4	Yeah, I guess so.
748170	775940	27	C	1.0	12:28	61	The mathematical notation doesn't have an ordering. It just says distribution is related to another distribution through this relation. And when you get to the mechanics of how do you do that? That's where you care that you have the matrix with the vector ordering. So, yeah, I don't know what cat A actually means other than it's just describing it.
777030	782180	28	C	0.99	12:57	19	I don't think it's like an operator, I think it's just saying what it is. Does that make sense?
793790	796480	29	A	0.58009	13:13	9	Steven, if you're trying to talk, we can't hear.
798770	799520	30	D	0.53766	13:18	1	What.
